Plot ID,PPW1328,,Sampler(s),"DDA, MNB, APW, MFO",,,,,Date ,"20130426, 20130502",,
,,,,,,,,,,,,
C2,SA,4880,ARBMEN,1,,67,0.67,2,,93,95,
C2,TR,4891,QUEAGR,1,,,,,14,35,-180,
C2,TR,,QUEAGR,1,D,,,,10.5,24,-165,
C2,SA,4899,PSEMEN,1,,67,0.5,1,,110,-18,
C2,TR,4890,QUEAGR,1,,,,,15,148,-72,
C2,TR,,QUEAGR,1,D,,10.2,1,,220,-46,BROKEN
C2,TR,,QUEAGR,1,D,,,,27.5,-246,-126,
C2,SA,4881,PSEMEN,1,,59,0.38,1,,188,-180,
C2,SA,4882,PSEMEN,1,,86,0.76,1,,222,-163,
C2,SA,4886,PSEMEN,1,,84,0.53,1,,243,-173,
C2,SA,4885,PSEMEN,1,,80,0.74,1,,249,-180,
C2,SA,4887,PSEMEN,1,,72,0.5,1,,252,-197,
C2,SA,4884,PSEMEN,1,,58,0.48,1,,267,-181,
C2,SA,4883,PSEMEN,1,,76,0.47,1,,280,-169,
C2,SA,4889,PSEMEN,1,,52,0.76,1,,-122,-130,
C2,SA,4888,PSEMEN,1,,61,0.7,1,,-129,-212,
C2,SA,4898,UMBCAL,1,,105,2,2,,-56,-29,
C3,SA,4906,PSEMEN,1,,69,0.63,1,,121,21,
C3,SA,4905,PSEMEN,1,,63,0.66,1,,75,92,
C3,SA,4904,PSEMEN,1,,68,0.71,1,,72,151,
C3,SA,4903,PSEMEN,1,,54,0.47,1,,72,175,
C3,SA,4916,FRACAL,1,,66,0.36,1,,51,205,
C3,SA,4902,PSEMEN,1,,81,0.85,1,,99,250,
C3,SA,4908,PSEMEN,1,,52,0.38,1,,48,268,
C3,SA,4915,UMBCAL,1,,59,0.47,2,,170,182,
C3,SA,4901,UMBCAL,1,,199,2.1,1,,282,170,
C3,SA,4907,PSEMEN,1,,90,0.67,1,,-194,156,
C3,SA,4895,FRACAL,1,,54,0.29,2,,-114,155,
C3,SA,4896,PSEMEN,1,,78,0.72,1,,-66,145,
,,,,,,,,,,,,
C3,SA,4897,PSEMEN,1,,84,0.94,1,,-18,132,
C3,SA,4894,UMBCAL,1,,66,0.96,2,,-180,255,
C3,SA,4900,PSEMEN,1,,130,1.12,1,,-182,-130,
C3,SA,4893,PSEMEN,1,,63,0.72,1,,-48,-180,
C3,TR,4910,FRACAL,1,,,,,2.41,102,-93,
C3,TR,4910.1,FRACAL,1,,,,,1.96,102,-93,
C3,TR,4910.2,FRACAL,1,,,,,1.78,102,-93,
C3,TR,4910.3,FRACAL,1,,,,,2.03,102,-93,
C3,TR,4910.4,FRACAL,1,,,,,1.56,102,-93,
C3,TR,4910.5,FRACAL,1,,,,,1.19,102,-93,
C3,TR,4910.6,FRACAL,1,,,,,1.85,102,-93,
C4,TR,4914,PSEMEN,1,,,,,1,-4,87,
C4,SA,4913,PSEMEN,1,,76,0.77,1,,-70,90,
C4,TR,4912,PSEMEN,1,,,,,2.6,-121,152,
C4,SA,4911,PSEMEN,1,,56,0.62,1,,-30,153,
C4,SA,4918,PSEMEN,1,,111,0.8,1,,-41,197,
C4,SA,4917,PSEMEN,1,,51,0.47,1,,-165,213,
C4,SA,4927,PSEMEN,1,,61,0.43,1,,-142,-265,changed from 4827 after 2019 field season- qc2022mk
C4,SA,4922,PSEMEN,1,,63,0.78,1,,-124,-270,
C4,SA,4921,PSEMEN,1,,135,0.3,1,,-109,-225,
C4,TR,4920,PSEMEN,1,,,,,2.12,-48,-223,
C4,SA,4924,PSEMEN,1,,66,0.69,1,,200,238,
C4,SA,4925,PSEMEN,1,,80,0.93,1,,240,215,
C4,SA,4919,PSEMEN,1,,160,1.67,1,,55,244,
C4,SA,4934,PSEMEN,1,,64,0.58,1,,-190,-172,
C4,SA,4932,PSEMEN,1,,66,0.66,1,,-178,-158,
C4,SA,4935,PSEMEN,1,,85,0.76,1,,-164,-168,
C4,SA,4926,PSEMEN,1,,57,0.63,1,,-155,-192,
,,,,,,,,,,,,
C4,SA,4944,PSEMEN,1,,80,0.67,1,,151,-250,
C4,SA,4928,PSEMEN,1,,120,1.02,1,,248,-236,
C4,SA,4929,PSEMEN,1,,79,0.74,1,,261,-204,
C4,SA,4923,PSEMEN,1,,89,0.86,1,,284,-243,
C4,TR,4955,FRACAL,1,,,,,1.09,162,22,
C4,SA,4955.1,FRACAL,1,,155,0.63,1,,162,22,
C4,SA,4957,PSEMEN,1,,70,0.64,1,,69,63,
C4,SA,4956,FRACAL,1,,86,0.48,1,,13,38,CHANGED TREE NUM INPUTED AFTER AUG2013 RESURVEY 20130810 MFO
C4,SA,4958,QUEAGR,1,,92,12,1,,74,181,STEM SPROUT W/ STUMP
C4,TR,,QUEAGR,1,S,,,,7.5,109,230,
C4,SA,4946,PSEMEN,1,,81,0.84,1,,86,281,
C4,TR,,QUEAGR,0,S,,4.2,,,30,200,BROKEN
C4,TR,4947,QUEAGR,1,,,,,33.5,79,-233,
C4,SA,4945,PSEMEN,1,,66,0.42,1,,103,-210,
C4,SA,,QUEAGR,1,S,,,,15.5,33,-120,STUM SPROUTS LESS THAN 50 CM
C4,SA,4950,PSEMEN,1,,88,0.71,1,,83,-123,
C4,SA,4949,PSEMEN,1,,71,0.64,1,,129,-124,
C4,TR,4937,PSEMEN,1,,,,,3.11,205,-130,
C4,TR,4823,PSEMEN,1,,,,,3.45,4,-30,
C4,SA,4951,FRACAL,1,,103,0.49,1, ,88,-67,
C4,SA,4952,PSEMEN,1,,76,0.66,1,,110,-30,
C4,SA,4953,FRACAL,1,,124,0.82,2,,113,-19,
C4,SA,4948,PSEMEN,1,,54,0.53,1,,46,-42,
C4,SA,4936,PSEMEN,1,,81,0.68,1,,142,-13,
C4,SA,4938,PSEMEN,1,,76,0.58,1,,242,-79,
C4,SA,4939,PSEMEN,1,,123,0.88,1,,276,-61,
C4,SA,4940,PSEMEN,1,,112,0.95,1,,279,-110,"so who's missing based on 2018,? Nobody. Damn. qc2022mk"
C4,SA,4933,PSEMEN,1,,62,0.65,1,,-158,-119,
,,,,,,,,,,,,
C4,SA,4941,PSEMEN,1,,81,0.65,1,,-140,-26,
C4,SA,4942,PSEMEN,1,,97,0.62,1,,-129,-12,
C4,SA,4943,PSEMEN,1,,123,1.24,1,,-122,-84,
C4,SA,4940,PSEMEN,1,,115,1.16,1,,-112,-98,real one based on 2018 dbh
C4,SA,4931,PSEMEN,1,,189,1.77,1,,-120,-41,changed from 4031 in 2022 QC-MK
D1,SA,4975,PSEMEN,1,,61,0.55,1,,-243,89,
D1,SA,4959,PSEMEN,1,,102,0.86,1,,-110,-275,
D1,TR,4960,FRACAL,1,,,,,2.17,195,-89,
D1,TR,4960.1,FRACAL,1,,,,,1.48,195,-89,
D1,TR,4960.2,FRACAL,1,,,,,2.15,195,-89,
D1,TS,4960.3,FRACAL,1,,127,1.22,4,,195,-89,
D1,TR,4985,QUEAGR,1,,,,,20.85,271,-37,
D1,TR,4984,QUEAGR,1,,,,,24.8,66,-14,
D1,TR,4978,QUEAGR,1,,,,,11.35,133,-182,
D1,TR,4976,QUEAGR,1,,,,,10.8,77,-208,
D1,TR,4977,QUEAGR,1,,,,,31.4,33,-155,
D1,TR,,QUEAGR,1,D,,,,7.4,56,-114,STUMP SPROUTS LESS THAN 50 CM
D2,TR,,QUEAGR,0,D,,,,7.3,91,11,
D2,TR,4982,QUEAGR,1,,,,,12.7,86,87,
D2,SA,4983,PSEMEN,1,,55,0.45,1,,66,138,
D2,SA,5056,HETARB,1,,56,0.76,2,,88,140,
D2,TR,,QUEAGR,1,D,,,,7.9,163,90,
D2,TR,4981,QUEAGR,1,,,,,18.3,190,160,
D2,TR,4980,QUEAGR,1,,,,,10.35,239,172,
D2,TR,,QUEAGR,1,D,,,,5.69,204,40,
D2,TS,5057,QUEAGR,1,,82,0.55,2,,220,16,ASSOCIATED WITH NEARBY DEAD STUMP
D2,TR,4979,QUEAGR,1,,,,,8.8,-230,85,
,,,,,,,,,,,,
D2,SA,4961,PSEMEN,1,,107,0.9,1,,-270,-243,
D2,SA,4986,PSEMEN,1,,103,0.63,1,,-180,-198,
D2,SA,4962,PSEMEN,1,,59,0.63,1,,-243,-110,
D2,SA,4970,PSEMEN,1,,60,0.75,1,,-140,-53,
D2,SA,4963,PSEMEN,1,,56,0.45,1,,197,-140,
D2,SA,5058,UMBCAL,1,,147,1.46,1,,164,-87,
D2,TR,4971,UMBCAL,1,,,,,1.41,167,-30,
D2,TR,4971.1,UMBCAL,1,,,,,1.24,167,-30,
D2,TS,4971.2,UMBCAL,1,,209,2.07,1,,167,-30,
D2,TR,4969,PSEMEN,1,,,,,1.1,24,16,
D2,SA,4968,PSEMEN,1,,53,0.54,1,,38,-103,
D2,SA,4966,PSEMEN,1,,143,1.52,1,,85,-213,
D2,SA,4967,PSEMEN,1,,79,0.75,1,,117,-174,
D2,SA,4965,PSEMEN,1,,132,1.47,1,,136,242,
D2,SA,4964,PSEMEN,1,,79,0.67,1,,170,285,
,,,,,,,,,,,,
D4,TR,5013,QUEAGR,1,,,,,11.8,135,-11,
D4,TR,,QUEAGR,0,D,,,,6.8,134,-17,
D4,TR,5043,ARBMEN,1,,,,,5.8,157,-184,
D4,TR,5043.1,ARBMEN,1,,,,,1.11,157,-184,
D4,TR,5043.2,ARBMEN,1,,,,,1.98,157,-184,
D4,TR,5043.3,ARBMEN,1,,,,,1.06,157,-184,
D4,SA,5049,ARBMEN,1,,93,1.28,1,,223,-208,
D4,SA,5048,ARBMEN,1,,98,1.38,1,,241,-238,
D4,SA,5047,PSEMEN,1,,67,0.54,1,,160,275,
D4,SA,5052,PSEMEN,1,,74,0.71,1,,68,213,
D4,SA,5012,PSEMEN,1,,63,0.57,1,,131,116,
D4,SA,5040,PSEMEN,1,,151,0.69,1,,170,134,
D4,SA,5042,FRACAL,1,,98,0.74,1,,152,51,
D4,SA,5041,PSEMEN,1,,114,1.09,1,,204,184,
D4,SA,5037,PSEMEN,1,,52,0.5,1,,232,82,
D4,SA,5039,PSEMEN,1,,96,0.7,1,,201,49,
D4,TR,5036,PSEMEN,1,,,,,1.1,-215,249,
D4,SA,5014,PSEMEN,1,,173,1.43,1,,-166,189,
D4,SA,5038,PSEMEN,1,,79,0.6,1,,-215,134,
D4,TR,,QUEAGR,0,D,10,8.5,1,,-144,159,
D4,TR,5015,QUEAGR,0,,,,,34.7,-132,83,CHANGED TYPE TO TR; 20130605 MFO
D4,TR,,QUEAGR,0,D,,,,6.6,-108,7,
D4,SA,5028,HOLDIS,0,,283,1.32,2,,-109,271,RIBES? NOT SPINY- holdis- mkqc2022- was unk28
D4,TR,5029,PSEMEN,1,,,,,1.35,-60,267,
D4,SA,5026,PSEMEN,1,,75,0.61,1,,-42,199,
D4,SA,5045,PSEMEN,1,,141,1.47,1,,-151,-183,
D4,SA,5044,PSEMEN,1,,46,0.45,1,,-108,-198,
,,,,,,,,,,,,
D4,SA,5027,PSEMEN,1,,138,1.18,1,,-8,-169,
D4,SA,5033,PSEMEN,1,,80,0.73,1,,-63,-98,
D4,SA,5030,PSEMEN,1,,60,0.46,1,,-111,-93,
D4,SA,5025,PSEMEN,1,,66,0.54,1,,-141,-47,
D4,SA,5031,PSEMEN,1,,57,0.53,1,,-127,-49,
D4,TR,5032,PSEMEN,1,,,,,1.44,-6,-39,
D4,SA,5010,PSEMEN,1,,110,0.96,1,,-183,-44,
D4,SA,5011,PSEMEN,1,,98,0.75,1,,-168,-36,
D4,SA,5034,PSEMEN,1,,79,0.7,1,,-137,-7,
D4,SA,5046,PSEMEN,1,,99,1.04,1,,-198,-105,
D4,SA,5035,PSEMEN,1,,112,0.78,1,,-172,-94,
D4,SA,5018,PSEMEN,1,,70,0.55,1,,7,-52,
D4,SA,5019,PSEMEN,1,,157,1.7,1,,67,-93,
D3,SA,5020,PSEMEN,1,,58,0.53,1,,23,-133,
D3,SA,5021,PSEMEN,1,,61,0.59,1,,11,-173,
D3,SA,4995,FRACAL,1,,69,0.32,2,,23,-179,
D3,SA,4994,PSEMEN,1,,101,0.91,1,,73,-209,
D3,SA,4993,FRACAL,1,,57,0.25,1,,16,-221,
D3,SA,4992,FRACAL,1,,76,0.53,3,,64,-268,
D3,SA,4990,PSEMEN,1,,81,0.59,1,,8,132,
D3,SA,4991,PSEMEN,1,,69,0.58,1,,11,141,
D3,SA,4989,PSEMEN,1,,85,0.6,1,,48,103,
D3,SA,5003,PSEMEN,1,,155,0.62,1,,113,144,
D3,SA,5004,PSEMEN,1,,89,0.72,1,,108,110,
D3,SA,4988,PSEMEN,1,,75,0.64,1,,113,53,
D3,SA,4987,FRACAL,1,,79,0.54,1,,103,47,
D3,SA,4856,PSEMEN,1,,71,0.56,1,,81,33,
D3,SA,5001,PSEMEN,1,,70,0.69,1,,156,66,
,,,,,,,,,,,,
D3,SA,5002,PSEMEN,1,,77,0.63,1,,146,142,
D3,SA,4974,PSEMEN,1,,89,0.67,1,,145,18,
D3,SA,5054,PSEMEN,1,,75,0.39,1,,166,22,
D3,SA,4973,PSEMEN,1,,62,0.4,1,,180,29,
D3,SA,5007,PSEMEN,1,,61,0.47,1,,228,198,
D3,SA,5006,PSEMEN,1,,61,0.34,1,,229,196,
D3,SA,5005,PSEMEN,1,,67,0.56,1,,232,149,
D3,SA,5053,PSEMEN,1,,62,0.48,1,,236,113,
D3,SA,4972,PSEMEN,1,,68,0.57,1,,227,28,
D3,SA,5016,PSEMEN,1,,69,0.56,1,,174,-144,
D3,SA,5017,PSEMEN,1,,56,0.44,1,,180,-151,
D3,SA,,PSEMEN,1,D,53,0.4,1,,226,-189,
D3,SA,5008,PSEMEN,1,,66,0.47,1,,276,-265,
