Plot ID,PPW1343,,Sampler(s),"MMJ, KMG, MFO",,,,,Date ,20130227,,
A2,TR,,PSEMEN,1,D,,,,2.64,-86,-241,
A2,SA,,PSEMEN,1,D,160,0.98,1,,-101,-186,
A2,TR,,PSEMEN,1,D,,,,1.83,-58,-197,
A2,TR,1897,PSEMEN,1,,,,,3.98,-76,-258,
A2,TR,1896,PSEMEN,1,,,,,3.67,-133,-170,
A2,TR,1834,PSEMEN,1,,,,,4.51,-79,-102,
A2,TR,1835,PSEMEN,1,,,,,3.63,-7,-125,
A2,TR,1836,PSEMEN,1,,,,,5.04,-13,-225,
A2,TR,,PSEMEN,1,D,,,,1.28,-27,-39,
A3,SA,,PSEMEN,1,D,200,1.45,1,,-5,15,
A3,TR,1850,PSEMEN,1,,,,,4.49,-38,70,
A3,SA,1849,UMBCAL,1,,50,0.43,2,,-56,94,
A3,SA,,PSEMEN,1,D,113,2.47,1,,-66,-27,
A3,TR,,PSEMEN,1,D,,,,1.71,-101,-35,
A3,TR,,PSEMEN,1,D,,,,2.06,-111,-72,
A3,TR,1851,PSEMEN,1,,,,,3.11,-49,325,
A3,TR,,PSEMEN,1,D,,,,1.94,-90,285,
A3,TR,1853,PSEMEN,1,,,,,10.9,-126,241,
A3,TR,,PSEMEN,1,D,,,,1.5,-121,219,
A3,SA,,PSEMEN,1,D,151,1.17,1,,-145,-179,
A3,TR,1855,PSEMEN,1,,,,,1.8,-147,-133,2nd branch dead
A3,TR,1852,PSEMEN,1,,,,,1.51,-38,-110,
A3,SA,,PSEMEN,1,D,125,0.72,1,,-17,-110,
A3,TR,,PSEMEN,1,D,,,,1.49,-16,-147,
A3,TR,,PSEMEN,1,D,,,,1.04,-232,-90,
A3,TR,,PSEMEN,1,D,,,,1.22,-235,-94,
A3,SA,,PSEMEN,1,D,154,1.43,1,,-252,-88,
A3,SA,1857,UMBCAL,1,,75,0.54,1,,-263,-56,
A3,SA,,PSEMEN,1,D,190,1.39,1,,-262,-30,
A3,SA,2002,PSEMEN,1,,90,0.5,1,,-231,-29,
A3,SA,1856,PSEMEN,1,,200,1.58,1,,-202,-34,
A3,SA,2003,PSEMEN,1,,191,1.65,1,,141,-39,
A3,SA,,PSEMEN,1,D,182,1.02,1,,80,-67,
A3,SA,1858,PSEMEN,1,,200,1.33,1,,90,-75,
A3,TR,1859,PSEMEN,1,,,,,1.53,80,-80,
A3,SA,1860,PSEMEN,1,,185,1.13,1,,102,-112,
A3,SA,,PSEMEN,1,D,191,1.46,1,,45,-120,
A3,TR,,PSEMEN,1,D,,,,1.89,-234,-181,
A3,TR,1854,PSEMEN,1,,,,,1.95,-254,-188,
A3,TR,1862,PSEMEN,1,,,,,4.55,145,-174,
A3,TR,2013,PSEMEN,1,,,,,2.7,126,-181,
A3,TR,1861,PSEMEN,1,,,,,3.93,132,-161,
A3,TR,,PSEMEN,1,D,,,,2.62,87,232,
A3,SA,,PSEMEN,1,D,200,2.43,1,,57,197,
A3,TR,2019,PSEMEN,1,,,,,1.85,95,186,
A3,TR,1846,PSEMEN,1,,,,,3.09,3,202,
A3,TR,1844,PSEMEN,1,,,,,2.16,35,15,
A3,TR,1845,PSEMEN,1,,,,,2.7,87,52,
A3,TR,,PSEMEN,1,D,,,,4.2,193,170,
A3,TR,,PSEMEN,1,D,,,,1.7,226,175,
A3,TR,1847,PSEMEN,1,,,,,2.29,253,169,
A3,TR,,PSEMEN,1,D,,,,1.31,281,125,
A3,TR,,PSEMEN,1,D,,,,9.04,243,136,
A3,TR,1848,PSEMEN,1,,,,,3.25,234,115,
A3,TR,,PSEMEN,1,D,,,,1.25,199,107,
A3,TR,,PSEMEN,1,D,,,,1.45,-302,19,
A4,SA,1878,UMBCAL,1,,60,0.42,1,,93,-215,
A4,TR,1877,PSEMEN,1,,,,,1.2,100,-185,
A4,SA,1879,UMBCAL,1,,71,0.41,1,,43,-145,
A4,SA,,PSEMEN,1,D,200,1.83,1,,49,-126,
A4,TR,1881,PSEMEN,1,,,,,3.01,57,-120,
A4,TR,1887,PSEMEN,1,,,,,2.36,24,-83,
A4,TR,1885,PSEMEN,1,,,,,2.12,60,-55,
A4,SA,,PSEMEN,1,D,128,0.88,1,,93,-56,
A4,SA,,PSEMEN,1,D,200,2.05,1,,96,-68,
A4,TR,1880,PSEMEN,1,,,,,1.74,103,-32,
A4,TR,1883,PSEMEN,1,,,,,1.86,109,-25,
A4,TR,1884,PSEMEN,1,,,,,2.3,157,-3,
A4,TR,1882,PSEMEN,1,,,,,3.43,184,-48,
A4,SA,1889,QUEAGR,1,,60,0.56,1,,207,-103,second branch dead
A4,SA,,PSEMEN,1,D,13.9,0.92,1,,210,-18,
A4,TR,1890,PSEMEN,1,,,,,2.35,216,-46,
A4,TR,1892,PSEMEN,1,,,,,1.19,218,-63,
A4,SA,1888,UMBCAL,1,,76,0.52,1,,161,-30,
A4,SA,1876,PSEMEN,1,,205,1.55,1,,138,224,
A4,SA,1875,PSEMEN,1,,171,1.05,1,,148,232,
A4,SA,1874,PSEMEN,1,,200,1.72,1,,200,251,
A4,SA,,PSEMEN,1,D,152,1,1,,212,234,
A4,SA,1863,UMBCAL,1,,63,1.47,2,,174,126,
A4,SA,2049,QUEAGR,1,,58,0.56,1,,151,136,
A4,TR,1864,PSEMEN,1,,,,,6.9,-250,187,
A4,TR,1865,PSEMEN,1,,,,,19.2,-200,200,
A4,SA,,PSEMEN,1,D,122,1.02,1,,-229,-105,
A4,SA,,PSEMEN,1,D,188,1.44,1,,-225,-8,
A4,TR,1891,PSEMEN,1,,,,,3.14,-189,-33,
A4,SA,,PSEMEN,1,D,156,1.62,1,,-146,-33,
A4,TR,2001,PSEMEN,1,,,,,1.22,-80,-4,
A4,SA,1871,UMBCAL,1,,101,0.84,1,,-10,-153,
A4,SA,1873,ARBMEN,1,,63,0.53,4,,-165,-161,
A4,TR,1872,PSEMEN,1,,,,,2.06,-48,-129,
A4,SA,,PSEMEN,1,D,113,0.98,1,,-142,-160,
A4,SA,,PSEMEN,1,D,97,0.69,1,,-56,249,
A4,SA,1870,PSEMEN,1,,178,1.26,1,,-20,193,
A4,TR,1867,PSEMEN,1,,,,,13.5,-52,93,
A4,TR,1869,PSEMEN,1,,,,,1.53,-21,54,
A4,SA,1868,UMBCAL,1,,94,0.58,1,,-31,42,
A4,TR,1866,UMBCAL,1,,,,,9.5,-15,12,
A4,TR,1866.1,UMBCAL,1,,,,,11.4,-15,12,
B4,TR,2009,PSEMEN,1,,,,,2.1,72,87,
B4,SA,2007,UMBCAL,1,,60,0.68,1,,68,108,
B4,SA,2006,PSEMEN,1,,149,1,1,,119,131,
B4,SA,,PSEMEN,1,D,132,1.2,1,,-245,2,
B4,TR,2017,PSEMEN,1,,,,,3.1,-227,44,
B4,TR,2020,PSEMEN,1,,,,,1.67,-215,23,
B4,TR,2021,PSEMEN,1,,,,,4.12,-132,30,
B4,TR,2014,PSEMEN,1,,,,,13.7,-130,278,
B4,SA,2008,UMBCAL,1,,51,0.48,1,,-256,215,
B4,SA,,PSEMEN,1,D,161,0.94,1,,13,-161,
B4,SA,2004,PSEMEN,1,,79,0.55,1,,30,-176,
B4,SA,,PSEMEN,1,D,86,0.67,1,,49,-148,
B4,SA,,PSEMEN,1,D,78,0.51,1,,58,-136,
B4,SA,2005,PSEMEN,1,,109,0.94,1,,70,-161,
B4,TR,2010,PSEMEN,1,,,,,1.61,133,289,
B4,SA,,PSEMEN,1,D,144,0.77,1,,158,296,
B4,TR,2011,PSEMEN,1,,,,,2.06,188,322,
B4,SA,,PSEMEN,1,D,79,1.22,1,,-31,227,
B4,SA,2012,ARBMEN,1,,57,0.42,2,,-59,-107,1 dead branch
B4,SA,,PSEMEN,1,D,66,1.02,1,,-62,-49,
B4,SA,2018,UMBCAL,1,,64,0.59,1,,-77,-22,
B4,SA,2016,UMBCAL,1,,58,0.56,2,,-54,-26,
B3,SA,2015,PSEMEN,1,,214,1.39,1,,107,500,
B3,SA,,PSEMEN,1,D,183,1.46,1,,27,-118,
B3,TR,,PSEMEN,1,D,200,,,2.37,48,-143,
B3,TR,2022,PSEMEN,1,,,,,3.06,81,-137,
B3,TR,2024,PSEMEN,1,,,,,3.02,25,-185,
B3,SA,2023,UMBCAL,1,,58,0.55,1,,80,-200,
B3,SA,,PSEMEN,1,D,200,1.95,1,,27,141,
B3,TR,2025,PSEMEN,1,,,,,5.74,49,167,
B3,TR,,PSEMEN,1,D,,,,1.09,209,6,
B3,SA,,PSEMEN,1,D,203,1.74,1,,176,38,
B3,TR,2041,PSEMEN,1,,,,,9.5,131,9,
B3,SA,2026,UMBCAL,1,,71,0.69,1,,204,178,
B3,SA,2027,PSEMEN,1,,164,1.3,1,,-235,163,
B3,SA,2028,UMBCAL,1,,71,0.39,1,,-220,154,
B3,TR,,PSEMEN,1,D,,,,1.29,-210,143,
B3,TR,,PSEMEN,1,D,,,,1.11,-69,11,
B3,TR,,PSEMEN,1,D,,,,1.1,-57,19,
B3,TR,2037,QUEKEL,0,,,,,26.2,-18,68,
B3,TR,,PSEMEN,1,D,,,,1.35,-189,83,
B3,TR,2030,PSEMEN,1,,,,,3.02,-58,138,
B3,TR,2031,PSEMEN,1,,,,,2.21,-102,104,
B3,SA,,PSEMEN,1,D,200,1.61,1,,-131,138,
B3,TR,2029,QUEKEL,0,,,,,20.6,-60,213,
B3,TR,,PSEMEN,1,D,,,,1.31,-18,164,
B3,TR,2032,PSEMEN,1,,,,,3.6,-80,215,
B3,TR,2035,PSEMEN,1,,,,,1.97,-73,263,
B3,SA,2034,UMBCAL,1,,75,0.52,1,,-104,248,
B3,TR,,PSEMEN,1,D,,,,2.63,-261,-18,
B3,TR,2033,PSEMEN,1,,,,,3.3,-185,-19,
B3,TR,,PSEMEN,1,D,,,,1.42,-141,-126,
B3,SA,,PSEMEN,1,D,193,1.39,1,,-121,-172,
B3,SA,,PSEMEN,1,D,162,1.26,1,,-169,-86,
B3,TR,2036,PSEMEN,1,,,,,4.33,-37,-32,
B3,TR,,PSEMEN,1,D,130,0.84,1,,-67,-25,
B2,SA,,PSEMEN,1,D,,,,1.36,144,-81,
B2,TR,2043,PSEMEN,1,,,,,5.3,171,-121,
B2,TR,2044,PSEMEN,1,,,,,4.08,62,-205,
B2,TR,,PSEMEN,1,D,,,,2.5,75,-147,2 Branches
B2,TR,,PSEMEN,1,D,,,,2.87,32,146,
B2,SA,2048,UMBCAL,1,,59,0.48,2,,48,172,
B2,TR,2047,PSEMEN,1,,,,,2.5,46,197,
B2,TR,,PSEMEN,1,D,,,,1.4,129,265,
B2,TR,2046,PSEMEN,1,,,,,7.9,140,259,
B2,TR,,PSEMEN,1,D,,,,1.79,186,300,
B2,TR,,PSEMEN,1,D,,,,1.45,189,281,
B2,SA,,PSEMEN,1,D,200,1.45,1,,195,292,
B2,TR,,PSEMEN,1,D,,,,1.81,195,253,
B2,TR,,PSEMEN,1,D,,,,1.21,213,269,
B2,TR,,PSEMEN,1,D,,,,2.41,216,97,
B2,SA,,PSEMEN,1,D,107,1.36,1,,244,85,
B2,SA,,PSEMEN,1,D,117,1.7,1,,235,97,
B2,TR,,PSEMEN,1,D,,,,2.99,136,16,
B2,TR,2050,PSEMEN,1,,,,,3.32,109,49,
B2,TR,1825,PSEMEN,1,,,,,10.5,16,41,
B2,TR,,PSEMEN,1,D,,,,2.27,181,190,
B2,TR,,PSEMEN,1,D,,,,2.7,220,238,
B2,SA,,PSEMEN,1,D,230,2.16,1,,229,231,
B2,SA,2052,UMBCAL,1,,73,0.42,1,,294,197,
B2,TR,,PSEMEN,1,D,,,,2.14,334,188,
B2,TR,,PSEMEN,1,D,,,,3.84,-174,21,
B2,TR,2051,PSEMEN,1,,,,,5.84,-138,86,
B2,TR,,PSEMEN,1,D,,,,1.15,-52,9,
B2,SA,,PSEMEN,1,D,200,1.18,,,-27,92,
B2,TR,,PSEMEN,1,D,,,,2.04,-13,105,
B2,TR,,PSEMEN,1,D,,,,1.49,-56,123,
B2,TR,,PSEMEN,1,D,,,,1.61,-51,154,
B2,SA,2053,UMBCAL,1,,60,0.31,1,,-20,177,
B2,TR,2054,PSEMEN,1,,,,,13.4,-62,-187,
B2,SA,,PSEMEN,1,D,200,1.9,1,,-135,-251,
B2,SA,,PSEMEN,1,D,200,1.45,1,,-182,-216,
B2,TR,,PSEMEN,1,D,,,,1.31,-211,-215,
B2,TR,,PSEMEN,1,D,,,,1.32,-39,-182,
B2,SA,,PSEMEN,1,D,200,1.18,1,,-70,-143,
B2,TR,,PSEMEN,1,D,,,,1.53,-87,-120,
B2,SA,2039,UMBCAL,1,,93,0.61,1,,-72,-109,
B2,TR,2038,PSEMEN,1,,,,,1.96,-40,-75,
B2,TR,2038.1,PSEMEN,1,,,,,1.23,-40,-75,
B2,SA,,PSEMEN,1,D,200,1.66,1,,-74,-53,
B2,SA,,PSEMEN,1,D,200,1.82,1,,-108,-55,
B2,TR,,PSEMEN,1,D,,,,1.31,-102,-27,
B2,TR,2040,PSEMEN,1,,,,,2.06,-119,-14,
B2,SA,,PSEMEN,1,D,147,1.28,1,,-152,.-31,
B2,TR,,PSEMEN,1,D,,,,1.25,-159,-40,
B2,TR,,PSEMEN,1,D,,,,3.53,-148,-163,
B2,TR,,PSEMEN,1,D,,,,1.67,-156,-135,
B2,SA,,PSEMEN,1,D,200,1.34,1,,-144,-123,
B2,TR,,PSEMEN,1,D,,,,1.46,-243,-118,
B2,SA,,PSEMEN,1,D,135,0.81,1,,-224,-111,
B2,SA,,PSEMEN,1,D,188,1.3,1,,-207,-72,
B2,SA,,PSEMEN,1,D,179,1.32,1,,-229,-75,
B2,SA,,PSEMEN,1,D,185,1.14,1,,-213,-53,
B2,SA,,PSEMEN,1,D,200,1.56,1,,-210,-46,
B2,TR,,PSEMEN,1,D,,,,1.29,-209,-43,
B2,TR,2042,PSEMEN,1,,,,,8.25,-246,-68,
B2,TR,2045,PSEMEN,1,,,,,3.53,184,-141,
B2,TR,,PSEMEN,1,D,200,,,1.01,218,-172,
B2,SA,,PSEMEN,1,D,200,1.43.,1,,251,-166,
B1,TR,2059,PSEMEN,1,,,,,4.62,88,-22,
B1,SA,2057,PSEMEN,1,,73,0.48,1,,198,-85,
B1,TR,2058,QUEKEL,0,,,,,21.8,242,-33,
B1,TR,,PSEMEN,1,D,,,,2.11,-119,-119,
B1,TR,,PSEMEN,1,D,,,,1.11,-94,-27,
B1,TR,,PSEMEN,1,D,,,,1.14,-20,-13,
B1,SA,,PSEMEN,1,D,194,1.5,1,,-3,-51,
B1,TR,2066,PSEMEN,1,,,,,10,42,328,
B1,TR,2065,PSEMEN,1,,,,,6.8,121,326,
B1,TR,2064,PSEMEN,1,,,,,5.95,129,344,
B1,SA,,PSEMEN,1,D,81,0.82,1,,-11,-98,
B1,TR,2060,PSEMEN,1,,,,,10.6,-34,-140,
B1,SA,2062,PSEMEN,1,,162,1.64,1,,-13,-178,
B1,TR,2076,PSEMEN,1,,,,,9.2,-71,-235,
B1,TR,,PSEMEN,1,D,,,,4.32,36,237,
B1,TR,2069,PSEMEN,1,,,,,1.02,94,241,
B1,TR,,PSEMEN,1,D,,,,2.01,126,242,
B1,SA,2068,PSEMEN,1,,111,0.89,1,,98,284,
B1,SA,2063,ARBMEN,1,,200,2,3,,-163,-321,
B1,TR,,PSEMEN,1,D,,,,1.54,-217,-234,
B1,SA,2072,UMBCAL,1,,110,0.9,1,,45,225,
B1,SA,2071,PSEMEN,1,,140,0.95,1,,86,203,
B1,TR,2070,PSEMEN,1,,,,,1.51,90,164,
B1,SA,,CEOCUN,0,D,178,0.81,1,,-109,53,Ceonothus sp. 
B1,SA,,PSEMEN,1,D,137,1.14,1,,-233,81,
B1,TR,2074,PSEMEN,1,,,,,1.53,-236,71,
B1,SA,2067,PSEMEN,1,,194,1.43,1,,188,196,BARELY ALIVE
B1,SA,2171,PSEMEN,1,,96,0.76,1,,186,106,
B1,TR,2073,PSEMEN,1,,,,,3.54,170,20,
B1,SA,,CEOCUN,0,D,115,0.96,9,,70,6,Ceonothus sp.  HAIRY LEAVES
C1,SA,2075,PSEMEN,1,,102,0.98,1,,3,7,
C1,TR,2077,ARBMEN,1,,,,,1.11,125,14,2 dead branches
C1,SA,,PSEMEN,1,D,180,2.86,1,,146,97,
C1,SA,2078,ARBMEN,1,,93,1.25,2,,110,121,
C1,TR,2172,PSEMEN,1,,,,,9.1,100,125,
C1,SA,2079,PSEMEN,1,,189,1.47,1,,150,175,
C1,SA,2081,PSEMEN,1,,120,0.81,1,,-229,109,
C1,SA,2080,PSEMEN,1,,129,0.98,1,,-230,174,
C1,TR,2084,QUEKEL,0,,,,,24.2,240,-210,NAIL AT 132CM
C1,SA,2083,UMBCAL,1,,109,0.63,1,,218,-198,
C1,TR,2082,PSEMEN,1,,,,,2.8,187,-170,
C1,TR,,PSEMEN,1,D,,,,4.42,141,-184,
C1,SA,,PSEMEN,1,D,133,1.57,1,,-90,50,
C1,SA,2086,PSEMEN,1,,90,0.61,1,,-62,144,
C1,SA,2087,ARBMEN,1,,113,1.37,1,,-20,197,1 DEAD RANCH
C1,TR,2088,PSEMEN,1,,,,,7.7,-135,157,
C1,TR,,PSEMEN,1,D,,,,2.81,194,-52,
C1,TR,,PSEMEN,1,D,,,,1.58,197,-91,
C1,SA,,PSEMEN,1,D,125,1.16,1,,175,-86,
C1,TR,,PSEMEN,1,D,,,,1.44,149,-84,
C1,SA,,PSEMEN,1,D,152,1.09,1,,146,-123,
C1,SA,2085,PSEMEN,1,,56,0.28,1,,-140,190,
C1,TR,2089,UMBCAL,1,,,,,23.25,-185,-133,
C1,TS,2089.1,UMBCAL,1,,82,1.94,6,,-185,-133,
C1,SA,2090,UMBCAL,1,,61,0.45,1,,-87,-100,
C1,SA,,PSEMEN,1,D,171,1.54,1,,-51,-60,
C1,SA,,PSEMEN,1,D,200,2.1,1,,-80,-61,
C1,TR,,PSEMEN,1,D,,,,1.26,-106,-66,
C1,TR,2061,PSEMEN,1,,,,,121.35,7,-143,
C1,TR,,PSEMEN,1,D,,,,1.2,76,-112,
C1,SA,2184,UMBCAL,1,,73,0.45,2,,6,-45,
C1,TR,,PSEMEN,1,D,,,,1.67,107,-33,
C2,TR,2091,PSEMEN,1,,,,,4.54,-166,3,
C2,TR,,PSEMEN,1,D,,,,2.02,-215,50,
C1,TR,,PSEMEN,1,D,,,,1.38,29,-7,
C2,TR,,PSEMEN,1,D,,,,1.54,2,23,
C2,SA,,PSEMEN,1,D,128,1.57,1,,60,10,BROKEN OFF AT TIP
C2,TR,,PSEMEN,1,D,,,,2,70,11,
C2,SA,2101,UMBCAL,1,,59,0.33,1,,74,6,
C2,SA,,PSEMEN,1,D,167,1.3,1,,81,14,
C2,TR,,PSEMEN,1,D,,,,2.79,120,16,
C2,SA,,PSEMEN,1,D,200,2.13,1,,120,5,
C2,SA,2094,UMBCAL,1,,59,0.4,1,,-135,88,
C2,SA,2093,HETARB,1,,67,0.35,1,,-77,120,WAS PSEMEN
C2,SA,,PSEMEN,1,S,,6.32,1,,-92,55,BROKEN OFF
C2,TR,,PSEMEN,1,D,,,,2.53,-50,55,
C2,TR,2092,PSEMEN,1,,,,,5.39,-110,236,
C2,SA,,PSEMEN,1,D,208,1.5,1,,-20,-127,
C2,SA,,PSEMEN,1,D,188,2.32,1,,-40,-191,
C2,TR,,PSEMEN,1,D,,,,1.62,-62,-132,
C2,TR,2108,PSEMEN,1,,,,,1.66,-64,-153,
C2,SA,,PSEMEN,1,D,119,1.32,1,,-95,-144,
C2,TR,,PSEMEN,1,D,,,,1.53,-102,-141,
C2,TR,,PSEMEN,1,D,,,,1.12,-123,-184,
C2,TR,,PSEMEN,1,D,,,,3.32,-133,-140,
C2,TR,2055,PSEMEN,1,,,,,2.11,11,60,
C2,TR,2056,PSEMEN,1,,,,,3.71,6,104,
C2,TR,2098,PSEMEN,1,,,,,2.37,22,105,
C2,TR,2097,PSEMEN,1,,,,,1.93,91,77,
C2,SA,,PSEMEN,1,D,200,1.38,1,,18,186,
C2,TR,,PSEMEN,1,D,,,,2.39,50,187,
C2,TR,,PSEMEN,1,D,,,,1.26,82,152,
C2,TR,,PSEMEN,1,D,,,,1.4,54,234,
C2,SA,2102,UMBCAL,1,,93,0.6,1,,58,239,
