C4,SA,3301,ARBMEN,1,,65,1.09,3,,36,-91
C4,SA,3302,ARBMEN,1,,108,1.04,2,,72,-60
C4,SA,3304,ARBMEN,1,,88,1.98,2,,-230,-20
C4,SA,3326,PSEMEN,1,,158,0.97,1,,197,-149
C4,SA,3303,ARBMEN,1,,67,1.33,1,,236,-62
D4,TR,3321,PSEMEN,1,,,,,21.1,271,-161
D4,SA,3338,QUEAGR,1,,65,0.69,3,,53,94
D3,SA,3319,ARBMEN,1,,58,0.94,2,,-55,274
D3,SA,3318,ARBMEN,1,,95,1.25,2,,-18,153
D3,SA,3320,QUEAGR,1,,55,0.59,1,,140,53
D3,SA,3317,ARBMEN,1,,105,1.65,2,,-141,127
D2,TR,,PSEMEN,0,D,,,,11.35,-159,-19
D2,TR,3315,PSEMEN,1,,,,,22.55,107,80
D2,SA,3314,QUEAGR,1,,197,1.68,3,,-85,-103
D2,SA,3311,QUEAGR,1,,85,0.98,1,,-32,-166
D1,TR,3312,PSEMEN,1,,,,,28.9,-53,-29
D1,TR,3316,QUEKEL,1,,,,,39.25,75,275
D1,TR,3229,PSEMEN,1,,,,,66.7,-314,-173
D1,TR,3313,PSEMEN,1,,,,,30.45,30,-185
D1,TR,3193,PSEMEN,1,,,,,41.14,242,135
