Plot ID,PPW1327,,Sampler(s),"MNB,MFO",,,,,Date ,20130424,,
,,,,,,,,,,,,
A3,TR,,PSEMEN,1,D,,,,2.95,-230,-233,CORRECTED 'TYPE'; 20130603 MFO
A3,SA,4378,UMBCAL,1,,94,1.18,1,,-103,-203,CORRECTED 'TYPE'; 20130603 MFO
A3,TR,,PSEMEN,1,D,,,,1.23,-36,-246,CORRECTED 'TYPE'; 20130603 MFO
A4,SA,,PSEMEN,1,D,109,1.3,1,,-42,114,CORRECTED 'TYPE'; 20130603 MFO
A4,TR,4385,PSEMEN,1,,,,,5.7,-223,103,CORRECTED 'TYPE'; 20130603 MFO
A4,TR,4384,PSEMEN,1,,,,,1.79,206,46,CORRECTED 'TYPE'; 20130603 MFO
A4,TR,4383,PSEMEN,1,,,,,1.73,76,25,CORRECTED 'TYPE'; 20130603 MFO
A4,SA,4386,UMBCAL,1,,91,0.76,1,,-136,-34,CORRECTED 'TYPE'; 20130603 MFO
B4,SA,4388,UMBCAL,1,,94,0.79,1,,59,-11,
B4,TR,4387,PSEMEN,1,,,,,1.57,95,-7,
B4,SA,4394,QUEBER,0,,68,0.62,1,,-226,-178,
B4,SA,4389,UMBCAL,1,,128,1.59,1,,161,-1,
B4,SA,4391,PSEMEN,1,,61,0.35,1,,51,-12,
B4,SA ,4395,QUEBEGA,0,,51,0.32,1,,-232,188,CHASE OAK?- xhanging to QUEBEGA after 2019 and 2020 surveys 
B4,SA,3292,UMBCAL,1,,185,1.51,1,,-210,49,
B4,TR,4393,HETARB,1,,,,,4.75,-212,20,DBH CHANGED FROM 52.9 AFTER AUG2013 RESURVEY 20130810 MFO
B4,TS,4393.1,HETARB,1,,219,1.33,10,,-212,20,
B3,SA ,4396,QUEAGR,1,,69,0.5,3,,198,-151,
B3,TR,4397,PSEMEN,1,,,,,53.2,-39,219,MISSING DBH; 20130603 MFO; INPUTED AFTER AUG2013 RESURVEY 20130810 MFO
B2,SA,4404,QUEBER,1,,92,0.81,1,,-141,-2,
B2,SA,4403,HETARB,1,,53,0.44,2,,-170,-83,
B2,SA,4402,HETARB,1,,80,0.59,2,,-200,-85,
B2,TR,4406,HETARB,1,,,,,1.78,39,-146,DBH at 135
B2,TR,4406.1,HETARB,1,,,,,1.04,39,-146,
B2,TR,4406.2,HETARB,1,,,,,1.08,39,-146,
B2,TS,4406.3,HETARB,1,,71,0.56,1,,39,-146,
B2,SA,4401,HETARB,1,,72,0.62,1,,210,230,
B2,SA,4409,QUEBER,0,,76,0.44,1,,217,157,
B2,SA ,4405,QUEBER,0,,89,0.79,1,,203,152,
,,,,,,,,,,,,
B2,SA,4407,HETARB,1,,123,0.65,2,,119,210,
B2,SA,4408,HETARB,1,,82,0.56,4,,103,157,
B2,SA,,PSEMEN,1,D,128,0.97,1,,-169,163,
B2,SA,4410,QUEAGR,1,,57,0.46,1,,-173,139,
B1,TR,4411,PSEMEN,1,,,,,7.4,111,-123,
B1,TR,4412,PSEMEN,1,,,,,10,208,-145,
B1,TR,,PSEMEN,1,D,,,5,,-141,-134,
B1,SA,4413,HETARB,1,,202,1.29,18,,253,282,
B1,TR,,PSEMEN,1,D,,,,3.5,217,289,
B1,TR,4414,PSEMEN,1,,,,,49.05,-39,49,
C1,SA,4415,HETARB,1,,51,0.48,4,,39,285,
C1,TR,4416,PSEMEN,1,,,,,17.3,-233,192,
C1,TR,4417,ARBMEN,1,,,,,23,-21,142,
C2,SA,4419,QUEBER,0,,73,0.5,5,,86,29,
C2,SA,4420,QUEBER,0,,79,0.49,2,,-5,126,
C2,SA,4421,HETARB,1,,183,1.3,3,,-86,179,
C2,TR,4423,PSEMEN,1,,,,,10.8,-117,219,
C2,TR,4422,QUEAGR,1,,,,,26.3,236,178,
C2,TR,4424,QUEAGR,1,,,,,12.3,208,129,
C2,TR,4426,HETARB,1,,,,,1.43,249,212,
C2,TS,4426.1,HETARB,1,,239,1.92,2,,249,212,
C2,TR,4425,QUEAGR,1,,,,,8.5,112,118,
C2,TR,4400,PSEMEN,1,,,,,60.1,71,-52,
C2,TR,4427,PSEMEN,1,,,,,34.7,-127,-155,
C3,TR,4429,HETARB,1,,,,,1.45,-91,10,
C3,TS,4429.1,HETARB,1,,94,0.77,3,,-91,10,
C3,SA,4428,QUEAGR,1,,72,0.56,1,,244,51,
C3,SA,4399,QUEAGR,1,,95,0.52,1,,71,34,
,,,,,,,,,,,,
,,,,,,,,,,,,
C3,SA,4432,UNKN27,0,,110,0.43,1,,-150,202,
C3,SA,4431,UMBCAL,1,,202,2.85,1,,262,191,
C3,SA,4433,HETARB,1,,144,1.31,2,,-156,253,CHANGED TREE NUM AFTER AUG2013 RESURVEY 20130810 MFO
C3,SA,4434,HETARB,1,,154,1.12,2,,-63,-188,
C3,SA,4435,HETARB,1,,156,0.98,5,,-111,-160,
C3,SA,4436,QUEBER,0,,173,1.8,1,,-75,-136,
C3,TR,4398,HETARB,1,,,,,5.44,24,230,
C3,TR,4398.1,HETARB,1,,,,,4.76,24,230,
C3,TR,4398.2,HETARB,1,,,,,3.35,24,230,
C3,TR,4398.3,HETARB,1,,,,,2.31,24,230,
C3,TR,4398.4,HETARB,1,,,,,1.1,24,230,
C3,TS,4398.5,HETARB,1,,212,1.78,7,,24,230,
C3,TR,4437,HETARB,1,,,,,1.1,-116,-105,
C3,TR,4437.1,HETARB,1,,,,,1.12,-116,-105,
C3,TR,4437.2,HETARB,1,,,,,1.01,-116,-105,
C3,TS,4437.3,HETARB,1,,187,1.8,6,,-116,105,
C4,TR,4184,PSEMEN,1,,,,,1.59,-56,144,CHANGED TREE NUM AFTER AUG2013 RESURVEY 20130810 MFO
C4,TR,4439,PSEMEN,1,,,,,9.8,159,59,
C4,SA,4438,PSEMEN,1,,62,0.39,1,,202,264,
C4,SA,4485,QUEBER,0,,81,0.51,1,,192,327,
C4,SA,4390,QUEAGR,1,,97,0.46,1,,16,-2,
C4,TR,4440,PSEMEN,1,,,,,1.34,-213,-94,
C4,SA,,PSEMEN,1,D,107,0.89,1,,-178,-96,
C4,TR,4441,QUEAGR,1,,,,,16,-98,-4,
C4,TR,4441.1,QUEAGR,1,,,,,11.8,-98,-4,
D4,SA,4443,HETARB,1,,200,1.72,9,,268,-84,
D4,TR,4442,QUEAGR,1,,,,,10.9,196,-77,
D4,SA,4446,QUEBEGA,0,,145,0.99,1,,120,247,CHASE OAK? CHANGED TO QUEBEGA FROM QUEAGKE MKQC2022
,,,,,,,,,,,,
,,,,,,,,,,,,
D4,SA,4447,QUEAGR,1,,200,1.21,1,,142,205,
D4,TR,4483,QUEAGR,1,,,,,1.35,95,231,
D4,TR,4445,QUEAGR,1,,,,,5.05,99,161,
D4,SA,4444,QUEBER,0,,155,1.62,1,,53,153,
D4,TR,4445.1,QUEAGR,1,,,,,2.48,99,161,
D4,TR,4445.2,QUEAGR,1,,,,,1.46,99,161,
D4,SA,4454,HETARB,1,,147,0.97,3,,-148,-68,
D4,SA,4450,QUEBER,0,,207,1.92,1,,-154,-224,
D4,SA,4449,QUEBER,0,,110,0.58,1,,-168,-231,
D4,SA,4451,HETARB,1,,210,1.87,1,,-172,-237,
D4,SA,4452,QUEBEGA,0,,130,0.61,1,,-206,-187,CHASE OAK? CHANGED TO QUEBEGA FROM QUEAGKE MKQC2022
D4,SA,4453,QUEBER,0,,198,1.33,1,,-209,-189,
D4,TR,,ARCMAN,1,D,,43,,,-208,-27,10 BRANCHES WITH A DBH OF 7-15 CM'S
D3,TR,4458,QUEAGR,1,,,,,2.8,73,-68,
D3,TR,4458.1,QUEAGR,1,,,,,1.68,73,-68,
D3,TS,4458.2,QUEAGR,1,,124,1.21,1,,73,-68,
D3,TR,4448,QUEBER,0,,,,,1.47,-6,-48,
D3,TR,4448.1,QUEBER,0,,,,,1.27,-6,-48,
D3,TS,4448.2,QUEBER,0,,156,1.15,9,,-6,-48,
D3,SA,4455,QUEBER,0,,213,1.73,15,,-199,-153,
D3,SA,4457,ADEFAS,0,,220,1.41,1,,232,-175,"CHAMISE, PREVIOSULY UNK27"
D3,SA,4456,HETARB,1,,185,1.88,5,,209,-195,"TYPE CHANGED TO 'SA""; 20130603 MFO"
D3,SA,4482,QUEBER,0,,142,2.02,1,,178,-189,
D3,SA,4461,HETARB,1,,106,1.05,4,,157,-205,
D3,SA,4460,QUEBER,0,,126,1.44,1,,162,-231,
D3,TR,4459,QUEBEGA,0,,,,,1.14,99,-245, CHANGED from queber to match future years- MKQC2022
D3,TR,4462,QUEBER,0,,,,,1.7,73,99,
D3,SA,4484,QUEBER,0,,148,1.34,1,,-243,125,
,,,,,,,,,,,,
D3,TR,4465,QUEAGR,1,,,,,1.75,-156,156,
D3,TR,4465.1,QUEAGR,1,,,,,1.63,-156,156,
D3,SA,4464,QUEBEGA,0,,114,0.69,2,,-112,-239,CHASE OAK?- CHANGED TO QUEBEGA FROM QUEAGKE MKQC2022
D3,SA,4463,QUEBER,0,,189,1.58,1,,-40,71,
D2,SA,4467,QUEBER,0,,147,1.12,1,,-80,-26,
D2,TR,4466,QUEBER,0,,,,,1.38,-117,-20,
D2,SA,4468,QUEBER,0,,127,0.86,1,,-140,-74,
D2,SA,4469,FRACAL,1,,212,1.4,2,,-132,-94,
D2,SA,4470,QUEBER,0,,87,0.62,2,,280,-102,CHASE OAK?- CHANGED TO QUEBER FROM QUEAGKE MKQC2022- should all be QUEBEGA?
D2,SA,4471,QUEBER,0,,163,1.41,2,,239,-119,
D2,TR,,PSEMEN,1,D,,,,2.39,163,199,
D2,SA,4477,HETARB,1,,74,0.75,3,,23,150,
D2,SA,,PSEMEN,1,D,135,2.09,1,,95,107,
D2,SA,4478,QUEBER,0,,107,0.59,6,,90,67,
D2,TR,4479,QUEBER,0,,,,,2.27,-127,7,
D2,TR,4479.1,QUEBER,0,,,,,2.08,-127,7,
D2,TR,4479.2,QUEBER,0,,,,,1.85,-127,7,
D2,TS,4479.3,QUEBER,0,,221,1.24,1,,-127,7,"INPUTED 1, MISSING BRANCH NUMBER"
D2,TR,4472,QUEBER,0,,,,,2.08,-145,230,
D2,SA,4473,QUEBER,0,,115,0.84,1,,-139,286,
D2,SA,4474,QUEBER,0,,155,1.21,1,,-99,288,
D2,SA,4475,HETARB,1,,84,0.83,1,,-108,-151,
D2,TR,4476,QUEBEGA,0,,,,,3.51,-45,-154,CHANGED TO QUEBEGA FROM QUEAGKE MKQC2022
D2,TR,4476.1,QUEBEGA,0,,,,,1.76,-45,-154,CHANGED TO QUEBEGA FROM QUEAGKE MKQC2023
D1,SA,4418,QUEBER,0,,116,0.93,1,,7,-69,
D1,SA,4489,PSEMEN,1,,122,1.22,1,,77,-189,
D1,SA,4490,PSEMEN,1,,99,0.86,1,,107,-206,
D1,TR,4487,PSEMEN,1,,,,,1.41,115,-241,
,,,,,,,,,,,,
,,,,,,,,,,,,
D1,TR,,ARCMAN,1,D,,,,1.6,65,155,
D1,SA,4481,PSEMEN,1,,58,0.49,1,,74,153,
D1,SA,4480,ADEFAS,0,,95,0.91,1,,173,-10,PREVIOUSLY UNK27
D1,TR,,ARCMAN,1,D,,,,2.9,162,-179,
D1,SA,4499,ADEFAS,0,,220,4.06,1,,222,-138,PREVIOUSLY UNK27; CHANGED TREE NUM AFTER AUG2013 RESURVEY 20130810 MFO
D1,SA,4495,UNKN27,0,,147,0.53,4,,262,-123,RIBES?
D1,SA,4494,QUEBER,,,143,1.04,1,,219,-177,
D1,SA,4491,BACPIL,1,,212,1.63,1,,-152,-133,
D1,SA,4492,QUEBER,0,,198,2.13,2,,-52,-85,
D1,SA,4493,QUEBER,0,,76,0.78,1,,-74,261,
D1,SA,,ARCMAN,0,D,,13,3,,-106,235,
D1,SA,4498,ADEFAS,0,,125,1.9,1,,-161,191,PREVIOUSLY UNK27
D1,SA,4497,ADEFAS,0,,126,0.74,2,,-176,129,PREVIOUSLY UNK27
D1,SA,4488,QUEBER,0,,58,0.57,4,,-213,184,
D1,TR,4496,QUEAGR,1,,,,,4.85,-86,58,
D1,TR,4496.1,QUEAGR,1,,,,,3.83,-86,58,
D1,TR,,ARCMAN,1,D,,,,1.9,-30,63,
D1,SA,4486,UNKN27,0,,107,0.52,6,,167,119,RIBES?
,,,,,,,,,,,,
A2,TR,4369,PSEMEN,1,,,,,4.5,NA,NA,INPUTED AFTER AUG2013 RESURVEY 20130810 MFO
