Plot ID,PW1346,,Sampler(s),"MFO, MNB, PP, JAR,APW,PP, MAP",,,,,Date ,20130503,,
C4,TS,5128.4,AMOCAL,1,,200,1.55,13,,-85,-85,
D4,SA,5139,AMOCAL,1,,153,1.4,4,,80,252,"CHANGED TREE NUM FROM 5129, INPUTED AFTER AUG2013 RESURVEY 20130810 MFO"
D4,SA,5138,ARCMAN,1,,135,1.39,2,,-66,-116,
D4,SA,5137,AMOCAL,1,,184,1.84,12,,176,104,
C4,TR,5140,QUEGAR,1,,,,,18.85,-70,-300,
D4,TR,5141,QUEGAR,1,,,,,23.8,-25,-285,
D4,TR,5143,UMBCAL,1,,,,,9.8,-192,28,CHANGED TYPE TO TR; 20130603 MFO
,,,,,,,,,,,,
D4,TR,,QUEGAR,0,S,,,,11.3,-111,163,DBH AT 110
D4,TR,,QUEGAR,1,D,,,,26.6,-61,118,INPUTED D IN 'DEAD/STUMP' COLUMN; 20130604 MFO
D4,TR,5143.1,UMBCAL,1,,,,,5.33,-192,28,
D4,TR,5143.2,UMBCAL,1,,,,,3.44,-192,28,
D4,TR,5143.3,UMBCAL,1,,,,,1.95,-192,28,
D4,TS,5143.4,UMBCAL,1,,145,2.28,1,,-192,28,
D3,TR,5144,UMBCAL,1,,,,,5.61,-157,-40,
D3,TS,5144.1,UMBCAL,1,,89,0.72,2,,-157,-40,
D2,TR,5131,QUEGAR,1,,,,,16,42,-60,
D2,TR,5132,QUEGAR,1,,,,,41.5,31,-136,
D2,TR,5133,UMBCAL,1,,,,,14.05,142,194,
D2,TR,5133.1,UMBCAL,1,,,,,1.02,142,194,CHANGED TYPE TO TR; 21030604 MFO
D2,TS,5133.2,UMBCAL,1,,96,1.54,1,,142,194,CHANGED TYPE TO TS; 21030604 MFO
D2,TR,5134,UMBCAL,1,,,,,16.7,230,143,
D2,TR,5134.1,UMBCAL,1,,,,,1.82,230,143,
D2,TS,5134.2,UMBCAL,1,,61,1.04,3,,230,143,
D2,TR,5135,UMBCAL,1,,,,,19.4,128,130,ASSUMED ID- MISSING
D2,TS,5125.1,UMBCAL,1,,80,1.56,1,,128,130,ASSUMED ID- MISSING
,,,,,,,,,,,,
D1,SA,5147,CEOCUN,1,,79,0.6,5,,90,191,
D1,SA,5148,CEOCUN,1,,62,0.25,2,,32,195,
D1,SA,5149,CEOCUN,1,,119,0.78,2,,22,-169,"CHANGED TREE NUM FROM 5149, INPUTED AFTER AUG2013 RESURVEY 20130810 MFO"
D1,SA,5150,CEOCUN,1,,84,0.85,2,,101,324,
D1,TR,5152,HETARB,1,,,,,2.35,230,-170,MOVED FROM BD TO DBH
D1,TR,5152.1,HETARB,1,,,,,1.76,230,-170,MOVED FROM BD TO DBH
D1,SA,5153,HETARB,1,,93,1.09,3,,-226,263,
D1,TR,5146,HETARB,1,,,,,4.73,-320,-70,
D1,TR,5146.1,HETARB,1,,,,,2.26,-320,-70,
D1,TR,5146.2,HETARB,1,,,,,1.85,-320,-70,
D1,TR,5146.3,HETARB,1,,,,,1.83,-320,-70,
D1,TR,5146.4,HETARB,1,,,,,1.12,-320,-70,
D1,TS,5146.5,HETARB,1,,89,0.68,2,,-320,-70,
D1,TR,,HETARB,0,D,,,,4.5,278,266,
D1,SA,5151,CEOCUN,1,,71,0.6,2,,-115,25,
D1,TR,5136,QUEAGR,1,,,,,1.65,-87,143,
D1,TR,5136.1,QUEAGR,1,,,,,1.05,-87,143,
D2,TR,5145,HETARB,1,,,,,6.69,-80,90,
D2,TR,5145.1,HETARB,1,,,,,3.82,-80,90,
D2,TR,5145.2,HETARB,1,,,,,3.34,-80,90,
D2,TR,5145.3,HETARB,1,,,,,1.43,-80,90,
D2,TR,5145.4,HETARB,1,,,,,2.06,-80,90,
D2,TR,5145.5,HETARB,1,,,,,1.74,-80,90,
D2,TR,5145.6,HETARB,1,,,,,0.88,-80,90,
D2,TS,5145.7,HETARB,1,,178,1.21,1,,-80,90,INPUT 1 - MISSING SA BRANCH NUMBER
