SORT,Plot ID,PPW1330,,Sampler(s),"MFO, MNB, MAP, PP, JAR",,,,,Date ,20130329,,
53,A2,SA,3476,AMOCAL,0,,200,1.37,4,,-259,149,
54,A2,SA,3480,QUEAGR,1,,146,0.81,3,,231,210,
55,A2,SA,3432,AMOCAL,0,,170,1.35,5,,21,233,
56,A2,TR,3433,UMBCAL,1,,,,,1.45,7,237,
57,A2,SA,3477,AMOCAL,0,,159,1.17,4,,-142,-178,
58,A2,SA,3434,AMOCAL,0,,233,1.43,8,,70,-163,
59,A2,SA,3486,UMBCAL,1,,200,1.56,2,,-134,-178,
60,A2,SA,3435,UMBCAL,1,,115,0.68,2,,85,-128,
61,,,,,,,,,,,,,
62,A2,SA,3488,UMBCAL,1,,158,0.98,1,,-50,-177,changed from 3485 - qc2022mk
63,A2,SA,3436,UMBCAL,1,,204,1.34,2,,61,-56,
64,A2,SA,3483,UMBCAL,1,,173,1.05,1,,-57,-164,
65,A2,TR,3490,HETARB,1,,,,,7,200,500,
66,A2,TR,3490.1,HETARB,1,,,,,1.42,200,500,
67,A2,TR,3490.2,HETARB,1,,,,,2.21,200,500,
68,A2,TR,3490.3,HETARB,1,,,,,3.13,200,500,
69,A2,TR,3490.4,HETARB,1,,,,,1.28,200,500,
70,A2,TR,3420,UMBCAL,1,,,,,4.45,-255,194,
71,A2,TR,3437,UMBCAL,1,,,,,1.62,234,-104,
72,A2,SA,3425,UMBCAL,1,,200,1.59,1,,90,175,
73,A2,TR,3438,HETARB,1,,,,,2.77,-128,-55,
74,A2,TR,3438.1,HETARB,1,,,,,2.73,-128,-55,
75,A2,TR,3438.2,HETARB,1,,,,,1.01,-128,-55,
76,A2,TR,3438.3,HETARB,1,,,,,1.25,-128,-55,
77,A2,SA,3485,AMOCAL,0,,200,1.86,2,,-101,-122,
78,A3,TR,3489,HETARB,1,,,,,7.5,193,11,INPUTED TAG NUMBER AFTER AUG2013 RESURVEY 20130810 MFO ; fFIXED TAG NUMBER 20141023 MFO AW
79,A3,TR,3489.1,HETARB,1,,,,,1.52,193,11,
80,A3,TR,3489.2,HETARB,1,,,,,2.07,193,11,
81,A3,TR,3489.3,HETARB,1,,,,,4.3,193,11,
82,A3,TR,3489.4,HETARB,1,,,,,1.37,193,11,
83,A3,TR,3451,HETARB,1,,,,,4.7,168,33,
84,A3,TR,3452,HETARB,1,,,,,1.19,140,35,
85,A3,TS,3452.1,HETARB,1,,112,0.49,2,,140,35,
86,A3,TR,3487,UMBCAL,1,,,,,5.3,134,5,
87,A3,TR,3487.1,UMBCAL,1,,,,,2.99,134,5,
88,A3,TR,3487.2,UMBCAL,1,,,,,2.41,134,5,
89,A3,TR,3487.3,UMBCAL,1,,,,,1.93,134,5,
90,,,,,,,,,,,,,
91,A3,TR,3719,PSEMEN,1,,,,,4.15,112,98,
92,A3,SA,3492,UMBCAL,1,,123,0.67,1,,124,91,
93,A3,SA,3439,UMBCAL,1,,200,1.7,1,,-176,60,
94,A3,TR,3445,FRACAL,1,,,,,1.58,-141,58,changed species from umbcal mkqc2022
95,A3,SA,3440,UMBCAL,1,,200,1.4,1,,-116,94,
96,A3,SA,3450,UMBCAL,1,,141,0.92,1,,-212,96,
97,A3,SA,3441,UMBCAL,1,,79,0.79,1,,-67,91,
98,A3,SA,3442,UMBCAL,1,,54,0.44,3,,-46,57,
99,A3,SA,3443,AMOCAL,0,,136,0.63,2,,-13,48,
100,A3,TR,3701,QUEAGR,1,,,,,36.8,-75,290,
101,A3,SA,3448,HETARB,1,,200,1.88,6,,294,151,
102,A3,SA,3718,FRACAL,1,,200,1.85,1,,42,-313,
103,A3,SA,3714,UMBCAL,1,,70,0.47,2,,38,-104,
104,A3,SA,3715,UMBCAL,1,,117,0.76,1,,12,-31,
105,A3,SA,3710,FRACAL,1,,111,1.46,1,,141,-164,
106,A3,SA,3711,UMBCAL,1,,54,0.44,1,,222,-136,
107,A3,SA,3708,PSEMEN,1,,83,0.69,1,,261,-103,
108,A3,TR,3716,HETARB,1,,,,,1.72,231,-65,was 3116- fixed in 2022qc-mk
109,A3,SA,3716.1,HETARB,1,,190,0.63,1,,231,-65,
110,A3,TR,3717,HETARB,1,,,,,2.45,218,-37,
111,A3,TR,3717.1,HETARB,1,,,,,1.51,218,-37,
112,A3,SA,3709,UMBCAL,1,,99,0.81,3,,198,-32,
113,A3,SA,3713,UMBCAL,1,,90,0.86,1,,189,-198,
114,A3,SA,3500,FRACAL,1,,84,0.7,1,,241,-160,
115,A3,SA,3712,FRACAL,1,,200,1.73,4,,272,-192,
116,A3,SA,3702,UMBCAL,1,,114,0.63,1,,354,-123,
117,A3,SA,3706,UMBCAL,1,,92,0.77,1,,-146,-12,
118,,,,,,,,,,,,,
119,A3,TR,,QUEXXX,0,D,,29.3,,,-105,-15,BD AT 40 CM
120,A4,SA,3704,AMOCAL,0,,128,0.78,1,,500,28,
121,A4,SA,3768,UMBCAL,1,,182,1.53,1,,-129,38,
122,A4,SA,3707,FRACAL,1,,91,0.69,1,,-133,15,
123,A4,SA,3765,UMBCAL,1,,57,0.65,2,,-163,54,
124,A4,SA,3728,PSEMEN,1,,92,0.88,1,,-199,84,
125,A4,SA,3493,QUEAGR,1,,115,0.45,2,,-153,104,
126,A4,SA,3494,UMBCAL,1,,200,1.3,2,,-267,122,
127,A4,SA,3764,PSEMEN,1,,96,0.65,1,,-217,158,
128,A4,SA,3763,UMBCAL,1,,97,0.93,1,,-220,160,
129,A4,TR,3723,PSEMEN,1,,,,,6.4,93,175,
130,A4,TR,3722,PSEMEN,1,,,,,5.6,134,155,
131,A4,SA,3720,FRACAL,1,,204,1.38,1,,130,14,
132,A4,SA,3867,UMBCAL,1,,177,1.45,1,,-88,148,"CHANGED TREE NUM, INPUTED AFTER AUG2013 RESURVEY 20130810 MFO"
133,A4,SA,3766,UMBCAL,1,,121,0.79,1,,-89,-268,
134,A4,SA,3496,PSEMEN,1,,136,0.85,1,,-118,-149,
135,A4,SA,3770,AMOCAL,0,,200,1.61,1,,-128,-168,
136,A4,SA,3498,UMBCAL,1,,136,1.15,1,,-180,-185,
137,A4,SA,3726,UMBCAL,1,,210,1.75,1,,-247,-108,
138,A4,TR,3497,PSEMEN,1,,,,,8.8,151,-153,
139,A4,SA,3726,UMBCAL,1,,227,1.82,1,,179,-218,
140,A4,TR,3761,AMOCAL,0,,,,,1.57,110,-147,
141,A4,TS,3761.1,AMOCAL,0,,200,1.23,10,,110,-147,
142,A4,SA,3762,UMBCAL,1,,104,0.65,1,,102,-66,
143,A4,TR,3721,PSEMEN,1,,,,,2.8,58,-14,
144,A4,SA,3725,FRACAL,1,,66,0.23,1,,39,-84,
145,A4,SA,3724,UMBCAL,1,,154,1.13,1,,40,-89,
146,A4,SA,3729,QUEAGR,1,,108,0.53,1,,-104,-49,
147,,,,,,,,,,,,,
148,A4,SA,3781,UMBCAL,1,,88,1.01,1,,-101,-19,
149,A4,SA,3731,UMBCAL,1,,88,0.83,1,,-78,500,
150,A4,TR,3732,AMOCAL,0,,,,,1.46,-41,-10,
151,A4,SA,3730,FRACAL,1,,57,0.54,1,,-72,-43,
152,A4,SA,3732.1,AMOCAL,0,,200,1.85,2,,-41,-10,
153,A4,TR,,PSEMEN,1,D,,,,5.3,-22,-49,
154,B4,TR,3788,HETARB,1,,,,,2.31,40,-40,there is no .5- used to be but it was a bay and got a new tag in 2018 5706 mkqc2022
155,B4,TR,3788.1,HETARB,1,,,,,1.63,40,-40,
156,B4,TR,3788.2,HETARB,1,,,,,2.67,40,-40,
157,B4,TR,3788.3,HETARB,1,,,,,1.43,40,-40,
158,B4,TR,3788.4,HETARB,1,,,,,1.2,40,-40,
159,B4,TR,5706,UMBCAL,1,,,,,1.83,40,-40,this is actually a bay tree- used to be 3788.5 but in 2018 got a new tag in field 5706- mkqc2022
160,B4,TR,3788.6,HETARB,1,,,,,2.21,40,-40,
161,B4,TR,3788.7,HETARB,1,,,,,2.55,40,-40,
162,B4,TR,3788.8,HETARB,1,,,,,1.3,40,-40,
163,B4,TS,3788.9,HETARB,1,,200,0.97,2,,40,-40,
164,B4,SA,3472,UMBCAL,1,,57,0.55,1,,38,-73,
165,B4,SA,3790,UMBCAL,1,,175,1.13,1,,175,-57,
166,B4,TR,3782,UMBCAL,1,,,,,1.05,-285,-176,
167,B4,SA,3783,UMBCAL,1,,108,0.72,1,,-254,-191,
168,B4,SA,3780,UMBCAL,1,,94,0.84,2,,-213,-196,
169,B4,SA,3777,UMBCAL,1,,86,0.58,1,,-174,-224,
170,B4,SA,3778,AMOCAL,1,,137,0.99,7,,-176,-121,
171,B4,TR,3774,QUEGAR,0,,,,,18.6,-102,-112,
172,B4,TR,3773,QUEGAR,0,,,,,27,-88,-163,
173,B4,TS,3773.1,QUEGAR,0,,59,0.17,8,,-88,-163,
174,B4,TR,3779,PSEMEN,1,,,,,15.2,-164,108,
175,B4,TR,3772,PSEMEN,1,,,,,6.5,-145,203,
176,,,,,,,,,,,,,
177,B4,TR,3771,PSEMEN,1,,,,,5.3,-78,271,"CHANGED TREE NUM FROM 3731, INPUTED AFTER AUG2013 RESURVEY 20130810 MFO"
178,B4,TR,3775,PSEMEN,1,,,,,11.2,-12,234,
179,B4,SA,3845,UMBCAL,1,,194,1.46,1,,-64,282,
180,B4,TR,3466,UMBCAL,1,,,,,1.04,238,130,
181,B4,TR,3776,HETARB,1,,,,,6.15,177,65,
182,B4,TR,3776.1,HETARB,1,,,,,7.5,177,65,
183,B4,TR,3776.2,HETARB,1,,,,,7.5,177,65,
184,B4,TR,3776.3,HETARB,1,,,,,1.28,177,65,
185,B4,SA,3784,UMBCAL,1,,72,0.46,1,,271,66,
186,B4,TS,3776.4,HETARB,1,,183,0.81,2,,177,65,
187,B4,TR,3791,HETARB,1,,,,,2.11,94,260,
188,B4,TS,3791.1,HETARB,1,,200,2.55,1,,94,260,DEAD TIP
189,B4,TR,3733,HETARB,1,,,,,2.62,71,220,
190,B4,TR,3733.1,HETARB,1,,,,,1.37,71,220,
191,B4,TS,3733.2,HETARB,1,,166,0.86,3,,71,220,
192,B4,SA,3734,UMBCAL,1,,154,0.91,2,,74,108,SMALLER STEM TAGGED
193,B4,TR,3794,PSEMEN,1,,,,,1.18,-88,-19,CHANGED TYPE TO TR; 20130605
194,B4,SA,3786,UMBCAL,1,,134,0.72,1,,-32,-22,
195,B3,TR,3795,UMBCAL,1,,,,,3.73,-20,-53,
196,B3,SA,3787,UMBCAL,1,,97,0.79,2,,-43,-45,
197,B3,TR,,ARBMEN,1,D,,,,1.09,-6,197,INPUTED D IN D/S; 20130605 MFO
198,B3,SA,3797,PSEMEN,1,,200,1.59,1,,-41,-286,"INPUTED 200, INCORRECTLY ON PREVIOUS LINE"
199,B3,TR,3798,UMBCAL,1,,,,,3.05,-48,-295,
200,B3,SA,3796,UMBCAL,1,,56,0.84,1,,-72,-256,
201,B3,SA,3738,AMOCAL,1,,200,1.71,11,,-161,299,
202,B3,TR,3803,UMBCAL,1,,,,,2.38,-146,172,"CHANGED TREE NUM FROM 3883, INPUTED AFTER AUG2013 RESURVEY 20130810 MFO"
203,B3,SA,3741,FRACAL,1,,200,0.93,1,,-193,135,
204,B3,SA,3740,UMBCAL,1,,200,1.45,1,,-207,134,
205,,,,,,,,,,,,,
206,B3,SA,3737,UMBCAL,1,,155,1.37,1,,-190,299,
207,B3,TR,3804,HETARB,1,,,,,8.5,-241,-204,
208,B3,TR,3804.1,HETARB,1,,,,,4.2,185,280,
209,B3,TR,3804.2,HETARB,1,,,,,2.9,185,280,
210,B3,TR,3804.3,HETARB,1,,,,,3.06,185,280,
211,B3,TR,3804.4,HETARB,1,,,,,2.24,185,280,
212,B3,TR,3804.5,HETARB,1,,,,,7.1,185,280,
213,B3,TR,3804.6,HETARB,1,,,,,2.55,185,280,
214,B3,TR,3804.7,HETARB,1,,,,,2.88,185,280,
215,B3,TR,3804.8,HETARB,1,,,,,3.08,185,280,
216,B3,TR,3804.9,HETARB,1,,,,,2.24,185,280,
217,B3,TR,3804.01,HETARB,1,,,,,1.29,185,280,PROBLEM WITH '.10' = '.1' / changed to .01 to reflect .10 tag- qc2022mk
218,B3,TR,3804.11,HETARB,1,,,,,1.63,185,280,
219,B3,TR,3804.12,HETARB,1,,,,,1.09,185,280,
220,B3,TR,3804.13,HETARB,1,,,,,2.74,185,280,
221,B3,TS,3804.14,HETARB,1,,200,0.87,5,,185,280,
222,B3,SA,3806,AMOCAL,1,,200,1.1,3,,160,240,
223,B3,TR,3805,UMBCAL,1,,,,,1.92,114,243,
224,B3,TS,3805.1,UMBCAL,1,,200,1.29,1,,114,243,
225,B3,TR,3805.2,UMBCAL,1,,,,,1.35,114,243,
226,B3,TR,3802,AMOCAL,1,,,,,1.81,95,157,
227,B3,SA,3444,PSEMEN,1,,115,1.21,1,,12,140,
228,B3,TR,3802.1,AMOCAL,1,,,,,1.18,95,157,
229,B3,TS,3802.2,AMOCAL,1,,200,1.2,2,,95,157,
230,B3,SA,3743,UMBCAL,1,,173,0.67,2,,194,21,
231,B3,SA,3801,UMBCAL,1,,51,0.54,1,,156,22,
232,B3,SA,3800,UMBCAL,1,,77,0.82,1,,130,63,
233,B3,SA,3470,UMBCAL,1,,51,0.69,2,,105,57,
234,,,,,,,,,,,,,
235,B3,TR,3808,HETARB,1,,,,,2.96,-159,10,
236,B3,TR,3808.1,HETARB,1,,,,,1.51,-159,10,
237,B3,TS,3808.3,HETARB,1,,95,0.46,2,,-159,10,"TREE NUM CHANGED, INPUTED AFTER AUG2013 RESURVEY 20130810 MFO"
238,B3,SA,3745,UMBCAL,1,,200,1.42,1,,203,115,"TREE NUM CHANGED, INPUTED AFTER AUG2013 RESURVEY 20130810 MFO"
239,B3,SA,3744,FRACAL,1,,57,0.27,1,,232,87,
240,B3,TR,3812,PSEMEN,1,,,,,8.6,-202,92,
241,B3,TR,3746,HETARB,1,,,,,3.32,-138,74,
242,B3,TR,3746.1,HETARB,1,,,,,1.25,-138,74,
243,B3,TR,3764.2,HETARB,1,,,,,1.42,-138,74,
244,B3,SA,,UMBCAL,1,D,200,1.22,1,,-90,74,
245,B3,TR,3747,UMBCAL,1,,,,,3.51,-79,109,
246,B3,TR,3748,AMOCAL,1,,,,,1.35,-76,139,
247,B3,SA,3749,UMBCAL,1,,200,1.22,1,,-56,58,
248,B3,TR,3813,UMBCAL,1,,,,,1.21,-92,41,was 3818- changed to match 2018 field notes qc2022mk
249,B3,TR,3754,HETARB,1,,,,,1.26,-42,20,
250,B3,S,3754.1,HETARB,1,,200,1.57,1,,-42,20,
251,B3,TR,3792,AMOCAL,1,,,,,1.73,-220,-30,
252,B3,TS,3792.1,AMOCAL,1,,200,1.31,3,,-220,-30,
253,B3,SA,3785,UMBCAL,1,,55,0.36,1,,170,35,
254,B3,SA,3736,HETARB,1,,200,1.2,1,,200,-54,TYPE CHANGED TO SA; 20130603 MFO
255,B3,TR,3735,HETARB,1,,,,,2.02,195,-60,
256,B3,SA,3703,UMBCAL,1,,127,0.69,3,,56,-104,
257,B3,SA,3807,UMBCAL,1,,100,0.76,2,,71,-138,
258,B2,TR,5712,PSEMEN,1,,,,,2.54,90,-22,"was dup 3742, but that's a hetarb in future years too - determined in 2018 this was not tagged in 2013, but recorded as 3742- that tag went onto a hetarb, tagged in 2018- mkqc2022"
259,B2,TR,3760,ARBMEN,1,,,,,8.1,136,-33,
260,B2,TR,3760.1,ARBMEN,1,,,,,3.5,136,-33,
261,B2,SA,3809,AMOCAL,1,,200,1.44,8,,220,-120,
262,B2,TR,3816,PSEMEN,1,,,,,1.85,-203,-150,
263,,,,,,,,,,,,,
264,B2,TR,,QUEDEC,0,D,,,,12.9,277,-130,
265,B2,TR,3758,QUEGAR,0,,,,,16.95,-104,-127,
266,B2,TR,3756,FRACAL,1,,,,,1.07,-23,-170,
267,B2,TR,3755,PSEMEN,1,,,,,1.47,-34,-127,
268,B2,TR,3810,FRACAL,1,,,,,1.18,-82,-20,was umbcal- changing to fracal to match future yrs- mkqc22
269,B2,TR,3811,HETARB,1,,,,,6.35,-160,-57,
270,B2,TR,3811.1,HETARB,1,,,,,4.1,-160,-57,
271,B2,TR,3811.2,HETARB,1,,,,,3.85,-160,-57,
272,B2,TR,3811.3,HETARB,1,,,,,1.05,-160,-57,
273,B2,TS,3811.4,HETARB,1,,160,1.02,2,,-160,-57,
274,B2,SA,3819,UMBCAL,1,,73,0.51,1,,186,-199,
275,B2,SA,3820,UMBCAL,1,,65,0.35,1,,155,-239,
276,B2,SA,3815,AMOCAL,0,,180,0.92,13,,105,-150,
277,B2,SA,3818,AMOCAL,0,,125,0.59,4,,-242,214,
278,B2,SA,3817,UMBCAL,1,,116,0.74,1,,-176,187,
279,B2,SA,3757,AMOCAL,0,,200,1.5,6,,-90,-290,
280,B2,TR,,QUEDEC,0,D,,,,11.1,-42,215,
281,B2,SA,3767,UMBCAL,1,,55,0.57,1,,-18,68,
282,B2,SA,,PSEMEN,1,D,56,0.47,1,,-39,60,
283,B2,TR,3875,ARBMEN,1,,,,,12,-24,39,
284,B2,TR,3876,QUEGAR,0,,,,,15,-110,130,
285,B2,SA,3874,UMBCAL,1,,86,0.64,3,,-160,60,
286,B2,TR,3825,QUEGAR,0,,,,,15.6,-208,103,
287,B2,SA,3824,UMBCAL,1,,110,0.84,2,,229,43,
288,B2,TR,3821,PSEMEN,1,,,,,2.81,225,139,
289,B2,TR,3822,UMBCAL,1,,,,,1.17,110,130,
290,,,,,,,,,,,,,
291,B2,TR,3826,HETARB,1,,,,,2.68,140,70,NO 3826.2
292,B2,TR,3826.1,HETARB,1,,,,,1.4,140,70,
293,B2,TR,3826.3,HETARB,1,,,,,1.13,140,70,
294,B2,TS,3826.4,HETARB,1,,91,0.57,1,,140,70,
295,B2,TR,3827,HETARB,1,,,,,2.06,80,58,
296,B2,TR,3827.1,HETARB,1,,,,,2.13,80,58,
297,B2,TR,3828,HETARB,1,,,,,1.29,65,39,
298,B2,TR,3828.1,HETARB,1,,,,,1.29,65,39,
299,B2,TS,3828.2,HETARB,1,,200,1.31,6,,65,39,
300,B2,TR,3742,HETARB,1,,,,,4.1,82,-34,DBH AT 130 CM
301,B2,TR,3742.1,HETARB,1,,,,,1.35,82,-34,
302,B2,TR,3742.2,HETARB,1,,,,,1.23,82,-34,
303,B1,TR,3742.3,HETARB,1,,,,,5.2,82,-34,
304,B1,TR,3742.4,HETARB,1,,,,,1.99,82,-34,
305,B1,TS,3742.5,HETARB,1,,200,1.5,4,,82,-34,
306,B2,TR,3823,UMBCAL,1,,,,,1.45,130,17,IN B2
307,B1,TR,3881,PSEMEN,1,,,,,15.05,190,-98,
308,B1,TR,3833,UMBCAL,1,,,,,1.35,35,-107,
309,B1,SA,3834,PSEMEN,1,,163,1.31,1,,41,-130,
310,B1,SA,3832,UMBCAL,1,,177,1.36,1,,74,-104,
311,B1,SA,3835,AMOCAL,0,,200,0.79,1,,20,-108,
312,B1,SA,3839,QUEAGR,1,,78,0.43,1,,49,-188,
313,B1,SA,3837,UMBCAL,1,,59,0.3,1,,53,-233,
314,B1,SA,3838,UMBCAL,1,,98,0.68,2,,170,193,
315,B1,TR,3840,PSEMEN,1,,,,,3.33,170,176,
316,B1,SA,3836,UMBCAL,1,,97,0.83,2,,12,21,
317,B1,SA,3993,PSEMEN,1,,125,1.09,1,,195,14,
318,,,,,,,,,,,,,
319,B1,SA,3841,AMOCAL,0,,68,0.46,3,,-225,14,
320,B1,SA,3842,UMBCAL,1,,173,2.19,1,,-184,54,
321,B1,SA,3882,UMBCAL,1,,168,1.09,1,,-267,182,
322,B1,SA,3880,UMBCAL,1,,86,1.1,1,,-153,199,
323,B1,SA,3484,AMOCAL,0,,72,0.3,3,,-221,-180,
324,B1,TR,3879,ARBMEN,1,,,,,11,-180,-170,
325,B1,TS,3879.1,ARBMEN,1,,124,0.99,1,,-180,-170,
326,B1,TR,3829,UMBCAL,1,,,,,6.08,-260,-40,
327,B1,SA,3830,AMOCAL,0,,200,1.25,7,,-236,-48,
328,B1,SA,3831,UMBCAL,1,,70,0.49,1,,-201,-35,
329,B1,SA,3877,UMBCAL,1,,90,0.88,1,,-127,-30,"CHANGED TREE NUM, INPUTED AFTER AUG2013 RESURVEY 20130810 MFO"
330,B1,SA,3878,FRACAL,1,,200,2.02,1,,-49,-73,
331,B1,SA,,PSEMEN,1,D,70,0.45,1,,-38,-200,
332,C1,TR,3883,ARBMEN,1,,,,,24.4,70,125,
333,C1,TR,3883.1,ARBMEN,1,,,,,10.75,70,125,
334,C1,SA,3884,HETARB,1,,53,1.07,1,,140,78,
335,C1,SA,3945,UMBCAL,1,,59,0.66,1,,152,100,
336,C1,SA,3866,HETARB,1,,119,0.55,4,,204,126,
337,C1,SA,3851,QUEAGR,1,,51,0.23,1,,-191,-230,
338,C1,SA,3850,UMBCAL,1,,59,0.49,1,,-180,-277,
339,C1,TR,3856,PSEMEN,1,,,,,10.15,-190,60,
340,C1,TR,3855,QUEAGR,1,,,,,13,-80,55,DBH AT 150 CM
341,C1,TS,3855.1,QUEAGR,1,,53,1.54,1,,-80,55,
342,C1,SA,3853,QUEAGR,1,,114,0.54,1,,-100,72,
343,C1,SA,3852,HETARB,1,,143,0.56,1,,-98,120,
344,C1,TR,3854,PSEMEN,1,,,,,15.8,-13,95,
345,C1,SA,3948,HETARB,1,,61,0.51,3,,-28,122,
346,C1,SA,3843,HETARB,1,,180,1.08,1,,-82,180,
347,,,,,,,,,,,,,
348,C1,SA,3949,HETARB,1,,58,0.4,1,,-78,164,
349,C1,SA,3844,HETARB,1,,95,0.56,1,,-70,-230,
350,C1,SA,3847,FRACAL,1,,119,0.53,4,,-80,-48,
351,C1,SA,,FRACAL,0,D,120,1.17,1,,-87,-28,
352,C1,SA,,FRACAL,0,D,200,2.15,1,,-103,-44,
353,C1,TR,3846,UMBCAL,1,,,,,1.15,-171,-120,
354,C1,SA,3857,HETARB,1,,200,0.99,7,,-77,-67,
355,C1,TR,3887,PSEMEN,1,,,,,2.75,208,-71,
356,C1,TR,3849,PSEMEN,1,,,,,6.5,225,-137,
357,C1,TR,3873,AMOCAL,0,,,,,1.21,34,269,
358,C1,TS,3873.1,AMOCAL,0,,176,1.25,5,,34,269,
359,C1,SA,3868,HETARB,1,,200,1.98,6,,115,-116,"CHANGED TREE NUM FROM 3863, INPUTED AFTER AUG2013 RESURVEY 20130810 MFO"
360,C1,TR,3869,PSEMEN,1,,,,,4.71,43,-89,
361,C1,SA,3886,UMBCAL,1,,219,1.23,1,,47,-62,
362,C1,SA,3865,UMBCAL,1,,180,0.98,1,,52,-39,
363,C1,SA,3885,UMBCAL,1,,180,1.29,1,,27,-11,
364,C2,TR,3913,UMBCAL,1,,,,,1.64,-99,58,
365,C2,TR,3895,PSEMEN,1,,,,,1.29,102,86,
366,C2,TR,3896,UMBCAL,1,,,,,1.91,158,182,
367,C2,SA,3906,QUEGAR,1,,55,0.23,1,,-144,66,
368,C2,SA,3897,UMBCAL,1,,52,0.41,1,,93,174,
369,C2,SA,3898,HETARB,1,,145,2.15,3,,163,147,
370,C2,TR,3914,HETARB,1,,,,,3.54,-110,138,
371,C2,TR,,HETARB,1,D,,,,1.31,154,168,
372,C2,TR,3914.1,HETARB,1,,,,,1.19,-110,138,
373,C2,TR,3914.2,HETARB,1,,,,,1.4,-110,138,
374,C2,TR,3914.3,HETARB,1,,,,,1.73,-110,138,
375,C2,TS,3914.4,HETARB,1,,200,1.77,3,,-110,138,
376,,,,,,,,,,,,,
377,C2,SA,4104,HETARB,1,,185,1.57,2,,110,20,
378,C2,SA,3902,UMBCAL,1,,137,0.95,1,,175,125,
379,C2,TR,3893,HETARB,1,,,,,3.7,196,121,
