Plot ID,PPw1350,,Sampler(s),"MFO, MJP, MNB",,,,,Date ,20130416,,
C1,SA,4234,PSEMEN,1,,75,0.51,1,,-70,-92
C1,SA,4239,PSEMEN,1,,142,1.28,1,,-130,-236
C1,SA,4238,PSEMEN,1,,143,1.48,1,,-126,-240
C1,SA,4229,PSEMEN,1,,64,0.58,1,,216,251
C1,SA,4228,PSEMEN,1,,52,0.34,1,,204,250
C1,SA,4233,PSEMEN,1,,63,0.51,1,,209,222
C1,SA,4230,AMOCAL,1,,77,0.37,3,,208,237
C1,TR,4240,PSEMEN,1,,,,,2.39,-82,133
C1,SA,4242,PSEMEN,1,,62,0.54,1,,-142,42
C2,TR,4254,PSEMEN,1,,,,,21.4,23,57
C2,SA,4250,AMOCAL,1,,101,0.73,6,,136,97
C2,SA,4252,AMOCAL,1,,200,1.23,16,,142,170
C2,TR,4256,PSEMEN,1,,,,,3.13,82,147
C2,SA,4255,AMOCAL,1,,122,0.55,1,,27,177
C2,SA,4257,AMOCAL,1,,89,0.64,1,,67,-211
C2,TR,4258,PSEMEN,1,,,,,4.32,88,-129,
C2,SA,4259,UMBCAL,1,,74,0.68,1,,112,-130,
C2,TR,4260,HETARB,1,,,,,4.32,120,-55,WITH LARGE DEAD BRANCH ; NO ASSOCIATED TS
C2,TR,4260.1,HETARB,1,,,,,1.87,120,-55,
C2,SA,4262,AMOCAL,1,,115,1.03,12,,-198,-140,
C2,SA,4277,AMOCAL,1,,119,0.72,4,,-148,-13,
C2,SA,4264,AMOCAL,1,,133,0.68,7,,-60,-65,
C2,SA,4265,AMOCAL,1,,69,0.64,3,,-36,-152,
C2,TR,4266,PSEMEN,1,,,,,3.34,-74,-217,
C2,TR,,HETARB,0,D,105,3.68,,,-39,-274,VERY DEAD
C2,SA,4334,AMOCAL,1,,62,0.41,3,,-72,205,
C2,SA,4245,AMOCAL,1,,112,0.64,7,,-17,88,
C2,SA,4246,UMBCAL,1,,110,0.88,2,,499,94,

C2,SA,4243,FRACAL,1,,67,0.34,1,,-110,22,"CHANGED TREE NUM FROM 4242,  AFTER AUG2013 RESURVEY 20130810 MFO"
C2,SA,,PSEMEN,1,D,144,1.12,1,,-111,51,
C2,SA,4248,PSEMEN,1,,157,1.68,1,,-61,23,
C2,SA,,PSEMEN,1,D,120,1.49,1,,-71,46,
C2,SA,4244,PSEMEN,1,,95,0.68,1,,-73,96,
C2,SA,4247,AMOCAL,1,,133,0.79,5,,-26,34,
C2,SA,,PSEMEN,1,D,96,0.68,1,,-46,28,
C2,SA,4249,AMOCAL,1,,188,0.91,5,,220,102,
C2,SA,4270,AMOCAL,1,,147,0.94,7,,-155,145,
C2,SA,4268,UMBCAL,1,,150,1.44,1,,-156,168,
C2,SA,4269,AMOCAL,1,,128,0.59,2,,-153,-274,
C2,SA,4267,AMOCAL,1,,145,0.73,2,,-180,-243,
C2,SA,4253,AMOCAL,1,,158,0.71,4,,-247,-320,
C2,SA,4251,AMOCAL,1,,195,0.91,6,,-255,-255,
C3,SA,4341,UMBCAL,1,,180,1.44,1,,-254,-258,
C3,SA,4382,HETARB,1,,113,0.93,4,,117,14,STARTED RECORDING ON 20130417
C3,SA,4283,UMBCAL,1,,151,1.12,1,,104,49,
C3,SA,4281,AMOCAL,1,,81,0.69,6,,222,53,
C3,SA,4097,HETARB,1,,206,1.49,4,,38,102,
C3,TR,4272,PSEMEN,1,,,,,46.15,186,211,"INPUTED 46.15 IN DBH FROM SCAN, MISSED; 21030604 MFO"
C3,SA,4276,AMOCAL,1,,157,1.02,5,,192,123,
C3,SA,4275,AMOCAL,1,,139,0.95,7,,-130,151,
C3,SA,4274,AMOCAL,1,,89,0.59,1,,-110,236,
C3,SA,4278,AMOCAL,1,,99,0.74,6,,-10,16,
C3,SA,4273,UMBCAL,1,,63,0.8,1,,-42,277,
C3,TR,4271,PSEMEN,1,,,,,30.6,-115,-153,"INPUTED 40.6 IN DBH FROM SCAN, MISSED; 21030604 MFO"
C3,SA,,PSEMEN,1,D,109,0.66,1,,211,-184,
C3,TR,4098,HETARB,1,,,,,2.16,19,-144,"INPUTED 2.16 IN DBH FROM SCAN, MISSED; 21030604 MFO"

C3,TR,4098.1,HETARB,1,,,,,1.01,19,-144,
C3,TR,4098.2,HETARB,1,,,,,1.45,19,-144,
C3,TS,4098.3,HETARB,1,,112,3.45,7,,19,-144,
C4,TR,,QUEGAR,0,D,,,,11,233,46,
C4,TR,,QUEGAR,0,D,,,,13.3,171,52,
C4,TR,,QUEGAR,0,D,,,,12.9,179,86,
C4,SA,4288,UMBCAL,1,,58,0.83,1,,201,-66,
D4,TR,4289,HETARB,1,,,,,1.5,96,-67,
D4,TR,4289.1,HETARB,1,,,,,1.29,96,-67,
D4,TR,4289.2,HETARB,1,,,,,2.26,96,-67,
D4,TR,4289.3,HETARB,1,,,,,1.6,96,-67,
D4,TR,4289.4,HETARB,1,,,,,1.14,96,-67,
D4,TR,4289.5,HETARB,1,,,,,1.02,96,-67,
D4,TR,4289.6,HETARB,1,,,,,1.74,96,-67,
D4,TR,4289.7,HETARB,1,,,,,1.03,96,-67,
D4,TR,4289.8,HETARB,1,,,,,1.58,96,-67,
D4,TR,4289.9,HETARB,1,,,,,1.56,96,-67,
D4,TS,4289.11,HETARB,1,,230,0.97,8,,96,-67,TREE TAG IS BRANCH 10 - CHANGED TO 11 BECAUSE OF REVERSION TO POINT 1
D4,TR,4290,PSEMEN,1,,,,,28.3,-151,-22,
D4,TR,4291,HETARB,1,,,,,2.07,-126,163,
D4,TR,4291.1,HETARB,1,,,,,1.07,-126,163,
D4,TR,4291.2,HETARB,1,,,,,1.73,-126,163
D4,TR,4291.3,HETARB,1,,,,,1.35,-126,163
D4,TS,4291.4,HETARB,1,,200,1.51,7,,-126,163
D4,SA,4292,UMBCAL,1,,68,0.77,1,,-13,67
D4,TR,4297,QUEGAR,1,,,,,20,-265,26
D4,TR,4299,HETARB,1,,,,,6.7,-279,28
D4,TR,4299.1,HETARB,1,,,,,1.31,-279,28

D4,TR,4299.2,HETARB,1,,,,,1.11,-279,28
D4,TR,4299.3,HETARB,1,,,,,3.63,-279,28
D4,TR,4299.4,HETARB,1,,,,,2.89,-279,28
D4,TR,4299.5,HETARB,1,,,,,2.19,-279,28
D4,TS,4299.6,HETARB,1,,200,1.46,14,,-279,28
D4,SA,4285,AMOCAL,1,,208,1.53,4,,241,27
D3,SA,4284,UMBCAL,1,,97,0.77,1,,69,58
D3,SA,4286,AMOCAL,1,,157,0.83,11,,205,-92
D3,SA,4287,FRACAL,1,,154,0.69,1,,254,-105
D3,SA,4295,AMOCAL,1,,173,0.87,1,,371,-130
D3,SA,4296,UMBCAL,1,,56,0.49,1,,-214,-101
D3,SA,4293,UMBCAL,1,,108,0.84,2,,-121,-85
D3,SA,4294,AMOCAL,1,,134,0.62,1,,-70,-136
D3,TR,4301,HETARB,1,,,,,1.04,-120,-233
D3,TS,4301.1,HETARB,1,,130,0.65,12,,-120,-233
D3,SA,4303,AMOCAL,1,,201,1.72,2,,-21,-261
D3,SA,4302,AMOCAL,1,,155,0.63,1,,-45,117
D3,SA,4305,AMOCAL,1,,73,0.92,1,,-63,58
D3,TR,4304,PSEMEN,1,,,,,37.6,-32,45
D3,SA,4306,AMOCAL,1,,135,1.14,11,,-186,209
D3,SA,4311,AMOCAL,1,,120,0.73,8,,226,65
D3,SA,4310,AMOCAL,1,,126,0.97,1,,193,152
D3,SA,4313,AMOCAL,1,,167,1.16,6,,122,239
D3,SA,4312,AMOCAL,1,,187,1.04,9,,101,144
D3,SA,4280,AMOCAL,1,,133,1.15,3,,9,116,
D3,SA,4307,UMBCAL,1,,232,2.24,1,,136,83,
D3,SA,4308,UMBCAL,1,,114,0.8,1,,137,63,
D3,SA,4309,AMOCAL,1,,82,0.51,6,,99,15,
D3,SA,4279,AMOCAL,1,,114,0.67,4,,33,29,

D2,TR,4314,PSEMEN,1,,,,,9.35,113,-20,
D2,SA,,PSEMEN,1,D,13.5,1.3,1,,81,-85,
D2,TR,4315,HETARB,1,,,,,1.43,-254,-128,BROKEN
D2,TS,4315.1,HETARB,1,,200,1.77,3,,-254,-128,1.7 IN BDH COLUMN ???
D2,SA,4316,AMOCAL,1,,119,0.7,8,,-263,-167,
D2,TR,4318,PSEMEN,1,,,,,3.6,-301,-339,
D2,SA,4317,UMBCAL,1,,157,1.3,1,,159,-249,
D2,SA,4327,AMOCAL,1,,174,1.06,15,,-162,150,
D2,SA,,PSEMEN,1,D,95,0.61,1,,-199,105,
D2,SA,,PSEMEN,1,D,90,1.51,1,,-110,93,BROKEN
D2,SA,4324,FRACAL,1,,72,0.4,1,,-134,48
D2,TR,4328,UMBCAL,1,,,,,1.2,-151,89
D2,SA,4326,PSEMEN,1,,176,1.43,1,,-175,11
D2,SA,4319,AMOCAL,1,,130,0.66,9,,-202,63
D2,SA,4321,UMBCAL,1,,199,1.66,1,,-59,116
D2,SA,4323,PSEMEN,1,,122,0.88,1,,-29,19
D2,SA,4320,PSEMEN,1,,107,0.58,1,,-39,14
D2,SA,4329,AMOCAL,1,,138,0.78,5,,-257,156
D2,SA,4330,FRACAL,1,,98,0.43,1,,98,66
D2,SA,4332,AMOCAL,1,,89,0.71,7,,146,47
D2,SA,4331,FRACAL,1,,101,0.46,1,,148,49
D2,TR,4333,HETARB,1,,,,,3.12,148,133
D2,TR,4333.1,HETARB,1,,,,,2.52,148,133
D2,TS,4333.2,HETARB,1,,145,0.94,6,,148,133
D2,TR,4333.3,HETARB,1,,,,,2.57,148,133
D2,TR,4333.4,HETARB,1,,,,,1.15,148,133
D2,TR,4333.5,HETARB,1,,,,,1.17,148,133,
D1,SA,4263,AMOCAL,1,,140,0.93,6,,48,-17,

D1,TR,4336,HETARB,1,,,,,3.7,177,-116,
D1,SA,4335,PSEMEN,1,,86,0.72,1,,100,-47,
D1,TR,4336.1,HETARB,1,,,,,2.57,77,-116,
D1,TR,4336.2,HETARB,1,,,,,1.36,77,-116,
D1,TS,4336.3,HETARB,1,,195,1.01,6,,77,-116,
D1,SA,4236,PSEMEN,1,,112,1.23,1,,1,-124,
D1,SA,4339,PSEMEN,1,,71,0.64,1,,6,-183,
D1,TR,4338,PSEMEN,1,,,,,1.2,-234,-50,
D1,TR,4337,PSEMEN,1,,,,,2.8,-218,-87,
D1,SA,,PSEMEN,1,D,210,1.67,1,,-202,-86,INPUTED D IN 'DEAD/STUMP' ; 20130603
D1,TR,4325,PSEMEN,1,,,,,1.98,-159,-1,
D1,SA,4322,PSEMEN,1,,141,1.21,1,,-39,-17,
D1,SA,4342,HETARB,1,,99,0.85,6,,-56,59,
D1,TR,4343,QUEAGR,1,,,,,18.9,238,59,
D1,TR,4340,HETARB,1,,,,,4.47,272,145,
D1,TR,4340.1,HETARB,1,,,,,1.72,272,145,
D1,TR,4340.2,HETARB,1,,,,,2.33,272,145,
D1,TR,4330.3,HETARB,1,,,,,1.62,272,145,
D1,TR,4340.4,HETARB,1,,,,,1.93,272,145,
D1,TR,4340.5,HETARB,1,,,,,2.76,272,145,
D1,TR,4340.6,HETARB,1,,,,,1.25,272,145,
D1,TR,4340.7,HETARB,1,,,,,1.43,272,145,
D1,TR,4340.8,HETARB,1,,,,,6,272,145,DYING
D1,TS,4340.9,HETARB,1,,187,0.69,4,,272,145,
D1,TR,4344,HETARB,1,,,,,1.59,66,74,
D1,TR,4344.1,HETARB,1,,,,,1.94,66,74,
D1,TR,4344.2,HETARB,1,,,,,1.21,66,74,
D1,TS,4344.3,HETARB,1,,230,1.25,5,,66,74,

D3,TR,4298,QUEGAR,1,,,,,18.1,220,-5
