Plot ID,PPW1345,,Sampler(s),"MFO, JSF",,,,,Date ,20130228,,
B3,SA,2249,QUEAGR,1,,79,0.77,1,,12,61,
B3,SA,2237,HETARB,1,,63,0.67,3,,43,37,
B3,TR,2254,QUEGAR,0,,,,,33.6,62,25,WAS QUEAGR
B3,TR,2236,HETARB,1,,,,,2.51,121,15,
B3,TS,2236.1,HETARB,1,,109,0.62,3,,121,15,
B3,TR,2255,HETARB,1,,,,,2.24,157,0,
B3,TS,2255.1,HETARB,1,,200,1.27,1,,157,0,
B1,TR,2257,QUEGAR,0,,,,,40.5,68,204,"CHANGED TREE NUM FROM 5577, INPUTED AFTER AUG2013 RESURVEY 20130810 MFO"
B1,TR,2257.1,QUEGAR,0,,,,,26.8,68,204,"CHANGED TREE NUM FROM 5577, INPUTED AFTER AUG2013 RESURVEY 20130810 MFO"
B1,TR,2257.2,QUEGAR,0,,,,,38.2,68,204,"CHANGED TREE NUM FROM 5577, INPUTED AFTER AUG2013 RESURVEY 20130810 MFO"
B1,TR,2240,HETARB,1,,,,,3.56,37,-223,
B1,TR,2240.1,HETARB,1,,,,,1.84,37,-223,
B1,TR,2240.2,HETARB,1,,,,,2.51,37,-223,
B1,TR,2240.3,HETARB,1,,,,,4.41,37,-223,
B1,TR,2240.4,HETARB,1,,,,,1.9,37,-223,
B1,TR,2240.5,HETARB,1,,,,,5.1,37,-223,
B1,TR,2241,HETARB,1,,,,,2.92,145,-237,
B1,TR,2241.1,HETARB,1,,,,,1.18,145,-237,
B1,TR,2241.2,HETARB,1,,,,,1.18,145,-237,
B1,TR,2241.3,HETARB,1,,,,,2.44,145,-237,
B1,TS,2241.4,HETARB,1,,200,1.33,4,,145,-237,
B1,TR,2239,HETARB,1,,,,,1.37,65,79,
B1,TR,2239.1,HETARB,1,,,,,1.13,65,79,
B1,TS,2239.2,HETARB,1,,184,1.66,3,,65,79,
C1,SA,1932,UMBCAL,1,,84,0.89,2,,-145,118,
C1,SA,1933,HETARB,1,,66,0.79,3,,-58,-225,
C1,SA,1915,HETARB,1,,49,0.67,2,,204,-136,
C1,SA,1906,UMBCAL,1,,46,0.59,1,,155,-84,
C1,TR,1934,ARCMAN,0,,,,,20.1,-172,-77,
C1,TR,1934.1,ARCMAN,0,,,,,16.2,-172,-77,
C1,TR,1934.2,ARCMAN,0,,,,,14.2,-172,-77,
C1,TR,1934.3,ARCMAN,0,,,,,8.6,-172,-77,
C2,SA,1916,HETARB,1,,68,0.72,1,,-68,98,
C3,TR,1936,QUEDOU,0,,,,,24.4,267,-37,WAS QUEGAR BEFORE AUG NAME CHANGES 
C3,SA,1937,QUEAGR,1,,110,1.16,2,,-127,-57,
C4,TR,1938,QUEDOU,0,,,,,18.8,232,71,WAS QUEGAR BEFORE AUG NAME CHANGES 
C4,TR,1940,QUEGAR,0,,,,,28.9,117,-73,
C4,TR,1939,QUEDOU,0,,,,,21.4,236,-140,WAS QUEGAR BEFORE AUG NAME CHANGES 
C4,TR,1941,ARCMAN,1,,,,,3.1,-58,182,
C4,TR,1942,ARCMAN,1,,,,,4.97,-23,165,
D4,SA,1935,HETARB,1,,59,0.65,2,,8,108,
D4,SA,1943,HETARB,1,,63,0.62,3,,66,190,
D4,SA,1917,HETARB,1,,82,0.83,1,,189,-244,
D4,SA,1918,HETARB,1,,84,0.85,1,,42,-161,
D4,TR,1944,ARCMAN,1,,,,,10.5,30,-143,
D4,TR,1944.1,ARCMAN,1,,,,,6.2,30,-143,
D4,TR,1944.2,ARCMAN,1,,,,,5.7,30,-143,
D4,TR,1944.3,ARCMAN,1,,,,,6.3,30,-143,
D4,TR,1944.4,ARCMAN,1,,,,,5.76,30,-143,
D4,TR,1944.5,ARCMAN,1,,,,,8.6,30,-143,
D3,TR,1942.1,ARCMAN,1,,,,,4.68,-23,165,1942 ON PREVIOUS PAGE 
D4,SA,1920,QUEAGR,1,,42,0.67,1,,-320,110,
D4,SA,1919,PSEMEN,1,,146,1.78,1,,-332,58,
B2,TR,2285,HETARB,1,,,,,4.08,225,-130,
B2,TR,2285.1,HETARB,1,,,,,4.44,225,-130,
B2,TR,2285.2,HETARB,1,,,,,2.69,225,-130,
B2,TR,2285.3,HETARB,1,,,,,2.63,225,-130,
B2,TR,2285.4,HETARB,1,,,,,1.2,225,-130,
B2,TR,2285.5,HETARB,1,,,,,3.72,225,-130,
B2,TR,2285.6,HETARB,1,,,,,3.04,225,-130,
B2,TR,2285.7,HETARB,1,,,,,1.88,225,-130,
B2,TR,2285.8,HETARB,1,,,,,2.33,225,-130,
B2,TR,2286,HETARB,1,,,,,3.59,47,-5,
B2,TR,2286.1,HETARB,1,,,,,2.73,47,-5,
B2,TR,1901,HETARB,1,,,,,2.69,130,-44,
B2,TR,1901.1,HETARB,1,,,,,1.29,130,-44,
B2,SA,2287,QUEAGR,1,,198,1.5,2,,-96,-191,
B2,SA,2288,QUEAGR,1,,84,0.81,4,,110,-63,
B2,TR,2290,HETARB,1,,,,,3.55,209,-201,
B2,TR,2290.1,HETARB,1,,,,,2.61,209,-201,
B2,TR,2290.2,HETARB,1,,,,,2.61,209,-201,
B2,TR,2290.3,HETARB,1,,,,,2.45,209,-201,
B2,TR,2290.4,HETARB,1,,,,,1.97,209,-201,
B2,TR,2290.5,HETARB,1,,,,,1.81,209,-201,
B2,TR,2290.6,HETARB,1,,,,,2.1,209,-201,
B2,TR,2290.7,HETARB,1,,,,,1.33,209,-201,
B2,SA,2289,QUEAGR,1,,87,0.74,1,,25,201,
B2,TR,2291,HETARB,1,,,,,2.6,-250,-179,
B2,TR,2291.1,HETARB,1,,,,,1.87,-250,-179,
B2,TR,2291.2,HETARB,1,,,,,1.37,-250,-179,
B2,TR,2291.3,HETARB,1,,,,,1.52,-250,-179,
B2,TR,2293,QUEGAR,0,,,,,18.9,35,-174,
B2,TR,2294,HETARB,1,,,,,2.05,62,-198,
B2,TR,2294.1,HETARB,1,,,,,1.84,62,-198,
B2,SA,2292,HETARB,1,,193,2,4,,110,-227,
B2,TR,2295,QUEGAR,0,,,,,26,302,130,
B2,TR,2296,HETARB,1,,,,,3.43,250,103,
B2,TR,2296.1,HETARB,1,,,,,1.69,250,103,
B2,TR,2296.2,HETARB,1,,,,,1.46,250,103,
B2,SA,2297,PSEMEN,1,,127,1.1,1,,245,20,
B2,TR,2298,HETARB,1,,,,,5.78,116,110,
B2,TR,2298.1,HETARB,1,,,,,4.38,116,110,
B2,TR,2298.2,HETARB,1,,,,,3.4,116,110,
B2,TR,2298.3,HETARB,1,,,,,2.71,116,110,
B2,TR,2299,HETARB,1,,,,,2.91,-200,87,
B2,TR,2299.1,HETARB,1,,,,,1.15,-200,87,
B2,TR,2300,HETARB,1,,,,,2.09,-97,110,
B2,TR,2300.1,HETARB,1,,,,,1.64,-97,110,
B2,TR,2300.2,HETARB,1,,,,,1.46,-97,110,
B2,TR,,HETARB,0,D,,,,3.57,-169,195,
B2,TR,1908,HETARB,1,,,,,3.45,-235,180,
B2,TR,1908.1,HETARB,1,,,,,2.47,-235,180,
B2,TR,1908.2,HETARB,1,,,,,2.3,-235,180,
B2,TR,1908.3,HETARB,1,,,,,2.51,-235,180,
B2,TR,1908.4,HETARB,1,,,,,1.79,-235,180,
B2,TR,1908.5,HETARB,1,,,,,2.37,-235,180,
B2,TR,1908.6,HETARB,1,,,,,2.04,-235,180,
B2,TR,1908.7,HETARB,1,,,,,1.78,-235,180,
B2,TR,1908.8,HETARB,1,,,,,1.44,-235,180,
B2,TR,1908.9,HETARB,1,,,,,2.46,-235,180,
B2,TR,1908.11,HETARB,1,,,,,2.36,-235,180,
D1,TR,1945,QUEGAR,0,,,,,16.05,-43,-119,
D1,SA,1948,HETARB,0,,82,1.13,3,,21,-170,
D1,TR,1947,QUEAGR,1,,,,,5.06,186,-270,
D1,TR,1946,QUEAGR,1,,,,,21.85,210,185,
D1,SA,,PSEMEN,1,D,,2.51,1,,-69,7,
D1,SA,1950,HETARB,1,,260,2.36,7,,196,151,
D1,TR,1951,HETARB,1,,,,,2.04,-246,103,
D2,TS,1951.1,HETARB,1,,,,,2.1,-246,103,
D1,TS,1951.2,HETARB,1,,,,,2.51,-246,103,
D1,TS,1951.3,HETARB,1,,,,,1.34,-246,103,
D1,TS,1951.4,HETARB,1,,,,,1.26,-246,103,
D1,SA,1953,QUEAGR,1,,171,1.3,1,,176,-167,
D1,TR,1954,HETARB,1,,,,,3.78,-237,160,
D1,TR,1954.1,HETARB,1,,,,,2.89,-237,160,
D1,TR,1954.2,HETARB,1,,,,,2.11,-237,160,
D2,TR,1952,QUEGAR,0,,,,,18.45,-23,27,
D2,SA,1949,QUEAGR,1,,67,0.58,1,,191,21,
D3,TR,1955,QUEGAR,0,,,,,27.75,203,-161,
D3,TR,1957,ARCMAN,1,,,,,2.57,195,-112,
D3,TR,1957.1,ARCMAN,1,,,,,1.67,195,310,
D3,SA,1956,BACPIL,1,,111,1.16,4,,274,310,
B2,TR,5594,QUEDOU,1,,,,,15.4,,,"UNTAGGED INDIVIDUAL, INPUTED AFTER AUG2013 RESURVEY 20130810 MFO/ 22cq mk changinf tbis tag to 5594 to match tag installed in 2018 survey "
