Plot ID,PPW1347,,Sampler(s),"MMJ, MNB, MFO, KMG, MJK",,,,,Date ,20130320,,
C3,SA,3003,UMBCAL,1,,82,1.21,1,,62,31,
C3,SA,3004,UMBCAL,1,,53,0.62,1,,-165,267,
C3,SA,3001,UMBCAL,1,,83,0.53,1,,-117,-202,
C4,SA,3032,UNKN47,0,,230,2.19,2,,-64,46,PRUNUS SP?
C4,SA,3005,UNKN47,0,,275,2.03,1,,144,79,PRUNUS SP?
C4,SA,3033,AMOCAL,0,,193,1.22,5,,-53,170,
C4,SA,3031,UMBCAL,1,,51,1.27,1,,-10,109,
C3,SA,3006,UMBCAL,1,,240,2.25,1,,39,-33,
C4,TR,3007,UMBCAL,1,,,,,4.9,202,204,
C4,SA,3045,UNKN47,0,,85,0.72,1,,244,152,
C4,SA,3046,UNKN47,0,,121,0.85,1,,233,154,
C4,SA,3044,UNKN47,0,,93,0.92,1,,82,44,
C4,SA,3008,AMOCAL,0,,216,1.21,5,,67,201,
C4,SA,2959,UMBCAL,1,,93,1.17,1,,19,202,
C4,SA,3009,UMBCAL,1,,110,1.35,1,,247,-112,
D4,SA,3011,UMBCAL,1,,58,1.28,1,,8,138,
D4,TR,3010,AMOCAL,0,,,,,1.18,38,-199,
D4,SA,3057,AMOCAL,0,,135,1.15,3,,144,104,
,,,,,,,,,,,,
D4,SA,3055,AMOCAL,0,,174,1.4,5,,195,102,
D4,SA,3059,AMOCAL,0,,160,1.09,2,,170,166,
D4,SA,3058,AMOCAL,0,,225,1.53,1,,186,149,
D4,SA,3056,AMOCAL,0,,190,1.52,1,,231,105,
D4,SA,3054,AMOCAL,0,,200,2.35,2,,-187,-310,
D3,SA,3018,UMBCAL,1,,194,2.2,1,,46,-61,
D3,SA,3019,UMBCAL,1,,65,0.44,1,,61,-88,
D3,TR,3016,PSEMEN,1,,,,,50.1,132,-191,
D3,TR,3017,UMBCAL,1,,,,,3.5,188,-171,
D3,SA,3053,UMBCAL,1,,121,0.91,1,,113,163,
D3,SA,3034,UMBCAL,1,,64,0.68,1,,230,136,
D3,TR,,QUEDEC,0,D,,,,20,172,119,
D2,SA,3022,AMOCAL,0,,200,1.89,2,,204,-12,
D3,SA,3035,UMBCAL,1,,217,1.75,1,,-50,92,
D3,TR,3029,UMBCAL,1,,,,,4.25,36,8,
D3,TS,3029.1,UMBCAL,1,,113,1.4,1,,36,8,
D2,SA,3021,AMOCAL,0,,200,1.3,2,,170,-170,
D2,SA,3012,UMBCAL,1,,50,0.49,1,,35,-46,
D2,SA,3028,UMBCAL,1,,109,0.59,2,,48,-12,
D2,SA,3023,UMBCAL,1,,104,1.16,1,,147,-6,
D2,SA,3020,UMBCAL,1,,72,0.93,1,,144,213,
D2,SA,3024,UMBCAL,1,,111,0.8,1,,-285,85,
D2,SA,3036,UMBCAL,1,,60,1.19,1,,-58,218,
D1,SA,3051,AMOCAL,0,,200,2.14,1,,195,-186,
D1,SA,3039,AMOCAL,0,,156,2,2,,181,-229,
D1,SA,3050,AMOCAL,0,,148,1.08,2,,189,-261,
D1,TR,3038,AMOCAL,0,,,,,1.22,192,-322,
,,,,,,,,,,,,
D1,SA,3037,UMBCAL,1,,200,1.92,1,,-173,-257,
D1,SA,3052,AMOCAL,0,,191,2.3,1,,210,-242,
D1,SA,3060,AMOCAL,0,,176,1.32,1,,-122,206,
D1,SA,3061,AMOCAL,0,,163,1.04,1,,-99,206,
D1,TR,,QUEDEC,0,D,,,,17,43,165,
D1,SA,3049,UMBCAL,1,,200,2.15,1,,-135,30,
D1,TR,3048,UMBCAL,1,,,,,2.28,-104,70,
D1,TS,3048.1,UMBCAL,1,,52,0.68,2,,-104,70,
D1,TR,3025,QUEAGR,1,,,,,3.2,96,245,
D1,TR,3026,UMBCAL,1,,,,,1.08,95,21,
D1,TR,3027,QUEAGR,1,,,,,2.85,203,4,
D1,TS,3027.1,QUEAGR,1,,115,0.49,3,,203,4,OUTSIDE OF THE PLOT
D1,TS,3026.1,UMBCAL,1,,111,0.59,4,,95,21,
,,,,,,,,,,,,
,TR,2970,QUEGAR,1,,,,,25.25,,,
