Plot ID,PPW1348,,Sampler(s),"MFO, JEC, MNB, MMJ, MJK, TKM",,,,,Date ,20130321,,
A3,TR,3109,QUEGAR,0,,,,,9.95,-244,204,
A3,TR,3114,PSEMEN,1,,,,,10.1,-254,-210,
A3,SA,3113,AMOCAL,1,,130,1.16,2,,-290,210,
A3,SA,3075,UMBCAL,1,,80,1.73,1,,-26,-64,
A3,SA,3074,UMBCAL,1,,180,1.22,2,,-237,-223,
A3,SA,3117,AMOCAL,1,,200,1.59,4,,-70,-10,
A3,SA,3116,AMOCAL,1,,152,1.98,1,,-100,-46,
A4,SA,3079,AMOCAL,1,,150,1.24,4,,73,33,
A4,SA,3080,AMOCAL,1,,130,1.08,8,,183,43,
,,,,,,,,,,,,
A4,SA,3123,UMBCAL,1,,200,1.66,1,,-241,144,
A4,SA,3121,AMOCAL,1,,170,1.25,4,,-166,77,
A4,SA,3120,AMOCAL,1,,200,1.54,3,,-137,110,
A4,TR,3118,UMBCAL,1,,,,,2.32,-58,23,
A4,TR,3118.1,UMBCAL,1,,,,,2.35,-58,23,
A4,SA,3119,AMOCAL,1,,185,1.22,6,,-84,164,
A4,SA,3081,AMOCAL,1,,180,1.27,2,,47,171,
A4,SA,3122,AMOCAL,1,,165,1.36,7,,-178,170,
A4,SA,3082,AMOCAL,1,,200,1.95,8,,56,227,
A4,SA,,PSEMEN,1,D,195,2.67,1,,-250,223,
A4,TR,,PSEMEN,1,D,,,,3.15,-248,-200,
A4,SA,3083,AMOCAL,1,,186,1.59,7,,72,-192,
A4,TR,3128,UMBCAL,1,,,,,4.18,200,-145,
A4,SA,3129,AMOCAL,1,,210,2.05,10,,96,-206,
A4,SA,3127,AMOCAL,1,,196,1.61,1,,177,-110,
A4,SA,3125,UMBCAL,1,,92,0.93,1,,-15,-55,
A4,SA,3126,AMOCAL,1,,135,1.01,7,,192,-33,
A4,TR,3124,AMOCAL,1,,,,,1.89,-147,-59,
A4,TS,3124.1,AMOCAL,1,,,,,1.14,-147,-59,
A4,TS,3124.2,AMOCAL,1,,200,1.57,14,,-147,-59,
B4,SA,3130,AMOCAL,1,,155,1.04,10,,147,-84,
B4,SA,3131,AMOCAL,1,,200,1.85,4,,220,-45,
B4,TR,3132,QUEGAR,0,,,,,15.3,-180,-170,
B4,TR,3087,PSEMEN,1,,,,,5.24,119,-304,
B4,SA,3085,AMOCAL,1,,200,1.76,4,,23,193,
B4,TR,,QUEDEC,0,D,,,,16.6,-11,-182,DBH at 70cm
B4,SA,3086,AMOCAL,1,,200,1.08,8,,140,150,
B4,TR,,QUEDEC,0,D,,,,7.2,-84,220,"DBH at 80cm, Decayed"
,,,,,,,,,,,,
B4,TR,3135,QUEGAR,0,,,,,12.4,-242,107,was queagri- mkqc2022
B4,TR,3136,QUEGAR,0,,,,,16.7,-200,160,was queagri- mkqc2023
B4,TR,3137,QUEGAR,0,,,,,15.1,-165,140,was queagri- mkqc2024
B4,SA,3088,AMOCAL,1,,175,1.73,4,,80,25,
B4,SA,3139,AMOCAL,1,,180,1.5,3,,-54,11,
B4,SA,3134,AMOCAL,1,,150,1.1,2,,-54,81,
B4,SA,3133,AMOCAL,1,,160,1.88,2,,-160,90,
B3,TR,3144,QUEGAR,0,,,,,15.5,-240,-74,was agri- mkqc2022
B3,TR,3144.1,QUEGAR,0,,,,,17.2,-240,-74,was agri- mkqc2023
B3,SA,3143,AMOCAL,1,,200,1.58,9,,-115,-102,
B3,SA,3089,AMOCAL,1,,147,1.27,8,,112,-60,
B3,SA,3142,AMOCAL,1,,200,1.54,1,,-58,-42,
B3,SA,3183,AMOCAL,1,,168,1.33,1,,165,-40,
B3,SA,3182,AMOCAL,1,,175,1.17,2,,-96,-66,
B3,SA,3145,AMOCAL,1,,180,1.36,9,,172,-170,
B3,SA,3146,AMOCAL,1,,153,1.23,6,,-158,160,
B3,SA,3140,AMOCAL,1,,175,1.36,4,,104,78,
B3,TR,3078,PSEMEN,1,,,,,12,-100,185,
B2,SA,3147,AMOCAL,1,,120,1.08,10,,-84,86,
B2,TR,3150,PSEMEN,1,,,,,41.1,258,-240,
B2,SA,3148,AMOCAL,1,,173,1.43,6,,-32,17,
B2,TR,3090,QUEGAR,0,,,,,16.2,30,130,
B2,TR,3090.1,QUEGAR,0,,,,,15.1,30,130,
B2,TR,3090.2,QUEGAR,0,,,,,15.7,30,130,
B2,TR,3090.3,QUEGAR,0,,,,,14.4,30,130,
B2,TR,3090.4,QUEGAR,0,,,,,15.25,30,130,
B2,SA,3141,AMOCAL,1,,115,0.97,4,,126,500,
,,,,,,,,,,,,
B1,TR,3091,PSEMEN,1,,,,,1.06,170,200,
B1,TR,3152,HETARB,1,,,,,7.1,214,-118,
B1,TR,3152.1,HETARB,1,,,,,3.7,214,-118,
B1,TR,3152.2,HETARB,1,,,,,2.47,214,-118,
B1,TR,3152.3,HETARB,1,,,,,1.4,214,-118,
B1,TR,3152.4,HETARB,1,,,,,2.76,214,-118,
B1,TR,3152.5,HETARB,1,,,,,2.83,214,-118,
B1,TS,3152.6,HETARB,1,,200,1.14,9,,214,-118,
B1,SA,3149,AMOCAL,1,,139,1.32,14,,-76,-10,
B1,TR,3154,QUEGAR,0,,,,,12.75,-66,-106,
B1,TR,3155,QUEGAR,0,,,,,16.2,-15,-127,
B1,TR,3156,QUEGAR,0,,,,,17,-15,-165,
B1,SA,3092,HETARB,1,,176,1.1,16,,-23,104,Goes into C1
C1,SA,3157,AMOCAL,1,,200,1.61,2,,68,3,
C1,TR,3094,PSEMEN,1,,,,,4.55,120,120,
C1,TR,3162,QUEGAR,0,,,,,21.85,60,-210,
C1,TR,3163,QUEGAR,0,,,,,13.1,84,-126,
C1,TR,3164,QUEGAR,0,,,,,7.85,120,-132,
C1,SA,3096,AMOCAL,1,,142,1.09,19,,-222,15,
C1,SA,3166,UMBCAL,1,,77,0.79,1,,188,-97,
C1,TR,,QUEDEC,0,D,,9.8,,,157,-104,DBH at 10cm
C1,TR,3165,QUEGAR,0,,,,,17.8,-230,-104,
C1,SA,3167,PSEMEN,1,,139,1.22,1,,-120,-125,
C1,TR,3097,QUEGAR,0,,,,,11.6,-150,186,
C1,SA,3169,AMOCAL,1,,163,1.11,10,,-115,-66,
C1,TR,3098,PSEMEN,1,,,,,2.39,-17,-18,
C1,SA,3095,AMOCAL,1,,200,1.86,16,,-260,120,
C1,SA,3168,AMOCAL,1,,100,1.18,7,,-136,-260,
,,,,,,,,,,,,
C1,TR,,QUEDEC,0,S,,12.8,,,198,-63,DBH at 10cm
C2,TR,3192,QUEGAR,0,,,,,25.5,-190,107,was quekel- fixed mkqc2022
C2,TR,3099,QUEGAR,0,,,,,14.2,37,42,changed based on 2018 field note- mkqc2022
C2,TR,3201,QUEGAR,0,,,,,13.8,-120,39,was quekel- fixed mkqc2022
C2,TR,3204,PSEMEN,1,,,,,3.09,-173,163,
C2,TR,3203,PSEMEN,1,,,,,1.46,245,136,
C2,TR,3202,PSEMEN,1,,,,,4.33,232,121,
C2,TR,3206,QUEGAR,0,,,,,11.5,94,117,
C2,TR,3205,QUEGAR,0,,,,,10.2,166,93,
C2,SA,3042,PSEMEN,1,,107,1.41,1,,70,104,
C2,TR,3207,QUEGAR,0,,,,,17.3,213,155,was quekel- fixed mkqc2022
C2,SA,3043,AMOCAL,1,,200,1.78,18,,-294,-134,
C2,SA,3209,UMBCAL,1,,68,1.05,1,,-29,-31,
C3,TR,3100,QUEGAR,0,,,,,22.3,26,20,
C3,SA,3170,UMBCAL,1,,67,0.51,1,,61,102,
C3,SA,,PSEMEN,1,D,70,0.88,1,,49,-181,
C3,TR,,QUEDEC,0,D,,,,9.8,13,-136,
C3,TR,3172,QUEGAR,0,,,,,14.7,13,74,
C3,TR,3173,QUEGAR,0,,,,,18.8,180,-110,
C3,SA,3171,AMOCAL,1,,153,1.11,55,,174,-236,Included all Neighbouring AMOCAL with Basal diameter < 1.0cm
C3,SA,3216,AMOCAL,1,,168,1.31,6,,-178,-161,
C3,TR,,QUEDEC,0,D,,,,15.6,-86,-84,
C3,TR,3217,PSEMEN,1,,,,,11.6,-65,-30,
C3,SA,3194,QUEKEL,0,,83,0.46,1,,-124,-125,
C3,SA,3213,AMOCAL,1,,147,1,2,,-108,-180,
C3,SA,3218,AMOCAL,1,,197,1.01,3,,-4,-102,
C3,SA,3214,AMOCAL,1,,191,1.27,13,,-92,-236,
C3,SA,3215,AMOCAL,1,,200,1.32,9,,-16,-224,
,,,,,,,,,,,,
C3,SA,3210,AMOCAL,1,,200,1.58,18,,-130,131,
C3,SA,3211,AMOCAL,1,,192,1.49,15,,-67,59,
C3,SA,3212,AMOCAL,1,,156,1.11,16,,-28,87,
C4,TR,3220,PSEMEN,1,,,,,1.31,-40,69,Dying
C4,TR,3219,QUEGAR,0,,,,,21.5,-180,17,
C4,SA,3221,PSEMEN,1,,113,1.69,1,,-234,158,
C4,TR,,QUEDEC,0,D,,,,12.3,60,155,
C4,TR,3174,QUEGAR,0,,,,,12,25,154,
C4,SA,3178,UMBCAL,1,,55,1.17,2,,59,-254,
C4,SA,3176,HETARB,1,,51,0.55,5,,134,216,
C4,SA,3175,AMOCAL,1,,172,1.39,23,,187,125,
C4,SA,3222,AMOCAL,1,,120,0.91,7,,-54,-255,
C4,TR,3223,HETARB,1,,,,,4.3,-54,-140,
C4,TR,3223.1,HETARB,1,,,,,1.49,-54,-140,
C4,TS,3223.2,HETARB,1,,150,0.96,4,,-54,-140,
C4,SA,3177,AMOCAL,1,,166,1.3,10,,-288,-196,
C4,TR,3225,HETARB,1,,,,,1.36,-230,-170,ROOTING ALONG STEM AT 2 POINTS TO FOR TWO ADDITIONAL BUSHES
C4,TR,3225.1,HETARB,1,,,,,3.6,-230,-170,"Along ground DBH at 155cm, mostly buried"
C4,TS,3225.2,HETARB,1,,210,1.57,10,,-230,-170,
C4,SA,3196,AMOCAL,1,,113,0.7,1,,150,-28,
D4,TR,3226,QUEKEL,0,,,,,13.7,94,-295,
D4,TR,,QUEDEC,0,S,,10,,,92,-196,
D4,SA,3227,UMBCAL,1,,94,1.26,1,,33,87,
D4,SA,3228,AMOCAL,1,,180,1.55,28,,157,45,
D4,TR,,QUEDEC,0,D,,,,14,-286,17,
D4,TR,3179,PSEMEN,1,,,,,1.86,-170,-110,
,,,,,,,,,,,,
D1,SA,3257,AMOCAL,1,,168,1.37,9,,63,98,
D1,TR,,HETARB,0,S,,,,1.35,-244,3,
D1,TR,3261,PSEMEN,1,,,,,5.9,-76,40,
D1,SA,3262,AMOCAL,1,,153,1.06,2,,-7,110,
D1,TR,3259,PSEMEN,1,,,,,13,-98,193,
D1,TR,3258,AMOCAL,1,,,,,1.09,-191,183,
D1,TR,3263,HETARB,1,,,,,2.16,-223,236,
D1,TR,3263.1,HETARB,1,,,,,1.64,-223,236,3263.3 was removed
D1,TR,3263.2,HETARB,1,,,,,1.5,-223,236,
D1,TS,3263.4,HETARB,1,,200,1.21,1,,-223,236,
D1,TR,3263.5,HETARB,1,,,,,1.42,-223,236,
D1,TR,3263.6,HETARB,1,,,,,1.07,-223,236,
D1,TR,3256,QUEKEL,1,,,,,8.6,126,-189,
D1,TR,3260,PSEMEN,1,,,,,5.2,158,-201,
D1,TR,3255,PSEMEN,1,,,,,6.27,79,-112,
D1,SA,3093,HETARB,1,,86,0.37,1,,138,-17,
D1,SA,3187,AMOCAL,1,,134,1.17,2,,257,-125,was 3087- changed in 2022 qc- mk
D1,SA,3191,AMOCAL,1,,195,1.03,4,,-179,-169,
D1,TR,3195,HETARB,1,,,,,2.4,-70,-55,
D1,TR,3195.1,HETARB,1,,,,,1.8,-70,-55,
D1,TR,3195.2,HETARB,1,,,,,1.18,-70,-55,
D1,TS,3195.3,HETARB,1,,200,2.13,12,,-70,-55,
D2,TR,3189,AMOCAL,1,,,,,1.09,188,18,
D2,TR,3253,QUEGAR,0,,,,,17.1,121,40,
D2,TR,3254,QUEGAR,0,,,,,17.4,164,68,
D2,TR,3188,QUEGAR,0,,,,,23.8,228,133,
D2,TR,3190,PSEMEN,1,,,,,8.8,-26,13,
,,,,,,,,,,,,
D2,SA,,HETARB,0,D,140,1.38,1,,-65,0,
D2,TS,3189.1,AMOCAL,1,,111,0.79,6,,188,18,
D2,TR,3252,HETARB,1,,,,,3.94,53,125,
D2,TR,3252.1,HETARB,1,,,,,1.05,53,125,
D2,TR,3252.2,HETARB,1,,,,,3.37,53,125,
D2,TR,3252.3,HETARB,1,,,,,2,53,125,
D2,TR,3252.4,HETARB,1,,,,,1.16,53,125,
D2,TS,3252.5,HETARB,1,,142,0.64,3,,53,125,
D2,SA,3208,PSEMEN,1,,179,2,1,,39,-232,
D2,SA,3247,UMBCAL,1,,53,0.78,1,,239,-56,
D2,SA,3248,UMBCAL,1,,81,1.39,1,,-170,-205,
D2,TR,3251,AMOCAL,1,,,,,1.02,-213,140,
D2,SA,3250,AMOCAL,1,,193,1.46,1,,-200,161,
D2,TR,3186,HETARB,1,,,,,3.93,-86,-145,
D2,TR,3186.1,HETARB,1,,,,,3.06,-86,-145,
D2,TR,3186.2,HETARB,1,,,,,1.16,-86,-145,
D2,SA,3249,AMOCAL,1,,232,1.53,1,,-118,-141,WAS PSEMEN BEFORE AUG NAMES 
D3,SA,3246,PSEMEN,1,,216,2.09,1,,-150,-101,
D3,SA,3185,PSEMEN,1,,198,1.96,1,,-155,139,
D3,SA,3245,PSEMEN,1,,71,1.19,1,,-207,171,
D3,SA,3181,PSEMEN,1,,56,0.64,1,,-158,229,
D3,SA,3180,PSEMEN,1,,71,1.13,1,,-99,-223,
D3,SA,3184,PSEMEN,1,,67,0.66,1,,-17,154,
D3,SA,3244,UMBCAL,1,,56,0.86,1,,248,106,
D3,SA,3243,UMBCAL,1,,84,1.82,2,,157,87,
D3,SA,3242,UMBCAL,1,,57,0.84,1,,61,116,
D3,SA,3239,AMOCAL,1,,203,1.68,6,,39,238,
D3,SA,3238,AMOCAL,1,,228,1.09,2,,87,292,
D3,SA,3240,AMOCAL,1,,241,1.58,4,,85,239,
,,,,,,,,,,,,
D3,SA,3241,AMOCAL,1,,103,1.14,8,,191,205,
D3,SA,3236,AMOCAL,1,,165,1.06,7,,67,-180,
D3,SA,3237,UMBCAL,1,,188,2.15,2,,154,-210,
D3,SA,3231,PSEMEN,1,,151,1.22,1,,60,-71,Almost dead
D3,TR,3235,QUEGAR,0,,,,,13.7,39,-119,WAS QUEKEL BEFORE AUG NAME CHANGES
D3,TR,3234,QUEGAR,0,,,,,19.7,206,-123,WAS QUEKEL BEFORE AUG NAME CHANGES
D3,TR,3233,QUEGAR,0,,,,,16.2,263,-116,WAS QUEKEL BEFORE AUG NAME CHANGES
D3,TR,3232,QUEGAR,0,,,,,18,291,-157,WAS QUEKEL BEFORE AUG NAME CHANGES
D3,TR,3230,QUEGAR,0,,,,,18.6,-299,-38,WAS QUEKEL BEFORE AUG NAME CHANGES
