Plot ID,PPW1313,,Sampler(s),"MMJ, MFO, MNB",,,,,Date ,20130221/20130222,,
C3,TS,1769.4,HETARB,1,,80,0.34,1,,69,-120,CHANGING TO TS FROM SA TO MATCH FUTURE METHODS WHEN POINTS ARE TS NOT SA -MKQC2026
C3,TR,1762,HETARB,1,,,,,1.49,79,269,
C3,TS,1762.1,HETARB,1,,269,1.48,1,,79,269,CHANGING TO TS FROM SA TO MATCH FUTURE METHODS WHEN POINTS ARE TS NOT SA -MKQC2023
C3,TS,1762.2,HETARB,1,,118,1.39,1,,79,269,CHANGING TO TS FROM SA TO MATCH FUTURE METHODS WHEN POINTS ARE TS NOT SA -MKQC2023
C2,TR,1759,UMBCAL,1,,,,,1.11,-47,-183,IN C2
C3,SA,1761,ARBMEN,1,,96,1.11,2,,90,219,
B3,SA,1742,HETARB,1,,93,0.97,2,,-90,143,In B3 BD at 9cm
C2,SA,1760,HETARB,1,,58,0.62,1,,83,-286,
C2,TR,1748,ARBMEN,1,,,,,63,-30,98,rotten trunk
C2,TR,1748.1,ARBMEN,1,,,,,33.8,-30,98,
C2,TR,1751,QUEKEL,0,,,,,22.2,116,97,
C2,TR,1748.2,ARBMEN,1,,,,,10.15,-30,98,
C1,TR,1757,ARBMEN,1,,,,,1.55,-166,-84,main trunk dead db at 12.25cm
C1,TR,1757.1,ARBMEN,1,,,,,1.36,-166,-84,
C1,SA,1755,HETARB,1,,100,1.05,2,,188,6,
C1,TR,1756,HETARB,1,,,,,1.39,-87,58,
C1,TS,1756.1,HETARB,1,,174,1.45,1,,-87,58,
C1,TS,1756.2,HETARB,1,,196,2.1,1,,-87,58,
C1,TS,1756.3,HETARB,1,,171,1.29,2,,-87,58,
C1,TS,1756.4,HETARB,1,,,,,1.13,-87,58,
C1,TS,1756.5,HETARB,1,,128,0.65,1,,-87,58,
C1,TS,1756.6,HETARB,1,,88,0.57,2,,-87,58,
D1,TR,1768,QUEAGR,1,,,,,16.5,-47,-150,
D1,SA,1776,UMBCAL,1,,136,1.32,1,,-51,1,
D2,SA,1758,HETARB,1,,75,0.74,1,,1,188,
D3,TR,1766,QUEKEL,0,,,,,38.3,201,25,
D3,TR,1765,ARBMEN,1,,,,,13.5,-53,-146,
D3,TR,1765.1,ARBMEN,1,,,,,5.4,-53,-146,
D3,TR,1775,ARBMEN,1,,,,,1.77,-200,192,
D3,SA,1750,ARBMEN,1,,93,1.61,1,,98,-69,
D3,SA,1774,HETARB,1,,87,0.96,1,,-117,182,
D3,SA,1773,ARBMEN,1,,70,0.93,1,,70,-120,
D4,SA,1763,ARBMEN,1,,80,1.05,1,,-47,183,
D4,SA,1772,ARBMEN,1,,116,0.99,1,,234,217,
D4,TR,1752,QUEKEL,0,,,,,20,17,46,was quedec in aug-sp
D4,TS,1767,ARBMEN,1,,74,0.77,2,,-160,-156,Main branch dead
D4,SA,1771,HETARB,1,,201,2.09,3,,110,-176,
D4,SA,1764,ARBMEN,1,,148,1.66,1,,-160,-53,
,,,,,,,,,,,,
C4,TR,1753,ARBMEN,1,,,,,NA,-225,140,INPUTED AFTER AUG2013 RESURVEY 20130810 MFO
