"","Plot.ID","Species","Number","Type"
"215","PPW1331","QUEAGR",8,"TR"
"216","PPW1331","QUEGAR",3,"TR"
"217","PPW1331","UMBCAL",25,"SA"
"218","PPW1331","PSEMEN",6,"SA"
"219","PPW1331","QUEAGR",2,"SA"
"220","PPW1332","AESCAL",1,"SA"
"221","PPW1332","QUEGAR",16,"TR"
"222","PPW1332","UMBCAL",15,"TR"
"223","PPW1332","AESCAL",8,"TR"
"224","PPW1332","UMBCAL",12,"SA"
"225","PPW1332","QUEDEC",1,"TR"
"226","PPW1333","PSEMEN",3,"SA"
"227","PPW1333","QUEAGR",12,"TR"
"228","PPW1333","QUEGAR",5,"TR"
"229","PPW1333","UMBCAL",65,"SA"
"230","PPW1333","UMBCAL",7,"TR"
"231","PPW1333","QUEKEL",4,"TR"
"232","PPW1334","QUEGAR",29,"TR"
"233","PPW1334","AESCAL",4,"TR"
"234","PPW1334","UMBCAL",2,"SA"
"235","PPW1335","QUEGAR",13,"TR"
"236","PPW1335","PSEMEN",1,"SA"
"237","PPW1335","AESCAL",4,"TR"
"238","PPW1335","UMBCAL",15,"SA"
"239","PPW1335","QUEDOU",1,"TR"
"240","PPW1336","QUEAGR",20,"TR"
"241","PPW1336","QUEGAR",8,"TR"
"242","PPW1336","PSEMEN",3,"SA"
"243","PPW1336","UMBCAL",4,"SA"
"244","PPW1337","QUEAGR",17,"SA"
"245","PPW1337","UMBCAL",12,"SA"
"246","PPW1337","BACPIL",2,"SA"
"247","PPW1337","PSEMEN",2,"SA"
"248","PPW1337","PSEMEN",20,"TR"
"249","PPW1337","AESCAL",2,"SA"
"250","PPW1337","ARBMEN",54,"SA"
"251","PPW1337","QUEAGR",1,"TR"
"252","PPW1337","QUEKEL",1,"TR"
"253","PPW1337","UMBCAL",2,"TR"
"254","PPW1337","ARBMEN",18,"TR"
"255","PPW1338","UMBCAL",5,"SA"
"256","PPW1338","QUEAGR",13,"TR"
"257","PPW1338","PSEMEN",8,"SA"
"258","PPW1338","PSEMEN",1,"TR"
"259","PPW1339","QUEAGR",3,"SA"
"260","PPW1339","UMBCAL",40,"SA"
"261","PPW1339","QUEAGR",15,"TR"
"262","PPW1339","QUEDOU",6,"TR"
"263","PPW1339","UMBCAL",1,"TR"
"264","PPW1339","PSEMEN",3,"SA"
"265","PPW1340","BACPIL",12,"SA"
"266","PPW1340","ARCMAN",1,"SA"
"267","PPW1340","PSEMEN",4,"TR"
"268","PPW1340","QUEAGR",5,"TR"
"269","PPW1340","ARBMEN",5,"TR"
"270","PPW1340","NOTDEN",1,"TR"
"271","PPW1340","PSEMEN",49,"SA"
"272","PPW1340","QUEAGR",1,"SA"
"273","PPW1340","UMBCAL",36,"TR"
"274","PPW1340","UMBCAL",35,"SA"
"275","PPW1341","UMBCAL",10,"SA"
"276","PPW1341","NOTDEN",3,"SA"
"277","PPW1341","QUEAGR",4,"SA"
"278","PPW1341","TORCAL",3,"SA"
"279","PPW1341","PSEMEN",3,"TR"
"280","PPW1341","PSEMEN",14,"SA"
"281","PPW1341","QUEAGR",10,"TR"
"282","PPW1341","UMBCAL",2,"TR"
"283","PPW1342","UMBCAL",1,"TR"
"284","PPW1342","QUEAGR",3,"TR"
"285","PPW1342","PSEMEN",15,"SA"
"286","PPW1342","TORCAL",4,"SA"
"287","PPW1342","UMBCAL",5,"SA"
"288","PPW1342","NOTDEN",3,"SA"
"289","PPW1342","NOTDEN",4,"TR"
"290","PPW1342","PSEMEN",22,"TR"
"291","PPW1343","UMBCAL",3,"TR"
"292","PPW1343","ARBMEN",1,"TR"
"293","PPW1343","ARBMEN",29,"SA"
"294","PPW1343","CEOCUN",3,"SA"
"295","PPW1343","PSEMEN",198,"TR"
"296","PPW1343","QUEKEL",9,"TR"
"297","PPW1343","QUEAGR",3,"SA"
"298","PPW1343","UMBCAL",70,"SA"
"299","PPW1343","HETARB",1,"SA"
"300","PPW1343","PSEMEN",61,"SA"
"301","PPW1344","QUEKEL",1,"TR"
"302","PPW1344","QUEDOU",5,"TR"
"303","PPW1345","BACPIL",4,"SA"
"304","PPW1345","QUEAGR",19,"SA"
"305","PPW1345","UMBCAL",13,"SA"
"306","PPW1345","HETARB",71,"SA"
"307","PPW1345","PSEMEN",2,"SA"
"308","PPW1345","ARBMEN",3,"TR"
"309","PPW1345","ARCMAN",16,"TR"
"310","PPW1345","UMBCAL",1,"TR"
"311","PPW1345","PSEMEN",1,"TR"
"312","PPW1345","QUEAGR",4,"TR"
"313","PPW1345","QUEDOU",6,"TR"
"314","PPW1345","HETARB",133,"TR"
"315","PPW1345","QUEGAR",12,"TR"
"316","PPW1346","ARCMAN",2,"SA"
"317","PPW1346","CEOCUN",42,"SA"
"318","PPW1346","HETARB",14,"SA"
"319","PPW1346","AMOCAL",144,"SA"
"320","PPW1346","ADEFAS",7,"TR"
"321","PPW1346","AMOCAL",14,"TR"
"322","PPW1346","HETARB",14,"TR"
"323","PPW1346","QUEGAR",5,"SA"
"324","PPW1346","UMBCAL",2,"SA"
"325","PPW1346","QUEKEL",1,"TR"
"326","PPW1346","UMBCAL",16,"TR"
"327","PPW1346","QUEAGR",2,"TR"
"328","PPW1346","QUEGAR",16,"TR"
"329","PPW1347","UMBCAL",63,"SA"
"330","PPW1347","QUEGAR",3,"TR"
"331","PPW1347","QUEKEL",1,"TR"
"332","PPW1347","UNKN47",6,"SA"
"333","PPW1347","QUEAGR",4,"TR"
"334","PPW1347","AMOCAL",38,"SA"
"335","PPW1347","QUEAGR",7,"SA"
"336","PPW1347","UMBCAL",32,"TR"
"337","PPW1347","PSEMEN",4,"TR"
"338","PPW1347","AMOCAL",6,"TR"
"339","PPW1348","UMBCAL",19,"SA"
"340","PPW1348","PSEMEN",19,"TR"
"341","PPW1348","QUEKEL",1,"SA"
"342","PPW1348","AMOCAL",583,"SA"
"343","PPW1348","HETARB",30,"SA"
"344","PPW1348","PSEMEN",11,"SA"
"345","PPW1348","QUEAGR",4,"SA"
"346","PPW1348","AMOCAL",6,"TR"
"347","PPW1348","HETARB",31,"TR"
"348","PPW1348","UMBCAL",3,"TR"
"349","PPW1348","QUEAGR",3,"TR"
"350","PPW1348","QUEGAR",36,"TR"
"351","PPW1348","QUEKEL",6,"TR"
"352","PPW1349","NOTDEN",11,"SA"
"353","PPW1349","NOTDEN",2,"TR"
"354","PPW1349","PSEMEN",3,"TR"
"355","PPW1349","QUEAGR",3,"TR"
"356","PPW1349","QUEKEL",2,"TR"
"357","PPW1349","PSEMEN",4,"SA"
"358","PPW1349","UMBCAL",15,"SA"
"359","PPW1350","HETARB",62,"TR"
"360","PPW1350","PSEMEN",29,"TR"
"361","PPW1350","QUEKEL",5,"TR"
"362","PPW1350","UMBCAL",2,"TR"
"363","PPW1350","QUEAGR",4,"TR"
"364","PPW1350","QUEGAR",2,"TR"
"365","PPW1350","AMOCAL",325,"SA"
"366","PPW1350","FRACAL",5,"SA"
"367","PPW1350","HETARB",22,"SA"
"368","PPW1350","PSEMEN",33,"SA"
"369","PPW1350","QUEAGR",4,"SA"
"370","PPW1350","UMBCAL",27,"SA"
