Plot ID,1327,,Sampler(s),"MO, AC, KO, MK",,,,,Date ,20180803,,,,,,,,
B2,TR,4406,,,HETARB,1,0,0,1,1,,,,1.57,,,0,
B2,TR,4406.1,,,HETARB,0,0,0,0,0,,,,1.11,,,0,
B2,TR,4406.2,,,HETARB,0,0,0,0,0,,,,1.07,,,0,
B2,TS,4406.3,,,HETARB,1,0,,,,163.3,1.02,0,,,,0,
B2,TS,4406.4,,,HETARB,1,0,,,,260,1.54,0,,,,0,New tag
B2,SA,4403,,,HETARB,1,0,,,,55.3,0.47,0,,,,0,
B2,SA,4407,,,HETARB,1,0,,,,77.2,0.77,1,,,,0,
B2,SA,4408,,,HETARB,1,0,,,,60.1,0.49,0,,,,0,
B2,SA,4401,,,HETARB,1,0,,,,33.5,0.71,2,,,,0,
D1,TR,4487,,,PSEMEN,1,0,1,1,4,,,,2.97,,,0,
D1,SA,4489,,,PSEMEN,1,0,,,,153.1,1.41,0,,,,0,
D1,SA,4490,,,PSEMEN,1,0,,,,120.5,0.97,0,,,,0,
D1,SA,6150,98,120,RHACRO,1,0,,,,82.8,0.4,2,,,,0,
D1,SA,4486,,,RHACRO,1,0,,,,95.6,0.61,5,,,,0,
D1,SA,4497,,,RHACRO,1,0,,,,174.8,1.04,5,,,,0,
D1,TR,4496,,,QUEAGR,1,0,0,1,3,,,,5.3,,,0,
D1,TR,4496.1,,,QUEAGR,1,0,0,1,4,,,,5.3,,,0,
D1,SA,4498,,,RHACRO,1,0,,,,132.1,1.22,4,,,,0,
D1,SA,6151,250,157,RHACRO,1,0,,,,145.2,0.59,1,,,,0,
D1,SA,6152,225,169,RHACRO,1,0,,,,78.7,0.57,0,,,,0,
D1,SA,4493,,,QUEBER,0,1,,,,39.3,0.82,0,,,,0,OG dead
D1,SA,6153,333,243,QUEBER,0,1,,,,47.4,0.97,1,,,,0,OG dead
D1,SA,4491,,,BACPIL,0,0,,,,,1.99,0,,,,0,
D1,SA,4499,,,ADEFAS,1,0,,,,202,3.65,0,,,,0,
D1,SA,4494,,,QUEBER,1,0,,,,154.7,1.26,0,,,,0,
D1,SA,4495,,,RHACRO,1,0,,,,169.4,1.01,5,,,,0,
D2,TR,4479,,,QUEBER,1,1,0,1,3,,,,3.14,,,0,
D2,TR,4479.1,,,QUEBER,1,0,0,1,3,,,,2.81,,,0,
D2,TR,4479.2,,,QUEBER,1,1,0,1,2,,,,2,,,0,
D1,SA,4481,,,PSEMEN,1,0,,,,64.7,0.55,0,,,,0,
D1,SA,4480,,,ADEFAS,1,0,,,,100.1,1.9,2,,,,0,
D1,SA,4418,,,QUEBER,1,0,,,,50.3,0.81,3,,,,0,
D1,SA,4488,,,QUEBER,1,0,,,,76.6,0.71,7,,,,0,
D1,TR,4492,,,QUEBER,1,0,0,1,4,,3.05,0,1.23,,,0,now a TR
D2,SA,4478,,,QUEBER,1,1,,,,118.5,0.94,5,,,,0,
D2,TR,4472,,,QUEBER,1,1,0,1,4,,,,2.74,,,0,
D2,SA,4477,,,HETARB,1,0,,,,116.2,0.69,2,,,,0,
B1,TR,4412,,,PSEMEN,1,0,0,1,2,,,,12.1,,,0,
B1,TR,4411,,,PSEMEN,1,0,0,1,2,,,,7.64,,,0,
B1,TR,4414,,,PSEMEN,1,0,0,1,3,,,,50.8,,,0,
B1,TR,4413,,,HETARB,1,0,0,1,5,,2.16,0,1.35,,,0,
B1,TS,4413.1,,,HETARB,1,0,,,,193.5,1.56,0,,,,0,New tag
A1,TR,6129,460,455,PSEMEN,1,0,0,1,2,,,,18,,,0,
C1,TR,4416,,,PSEMEN,1,0,0,1,4,,,,18.9,,,0,
C1,TR,4417,,,ARBMEN,1,0,0,1,4,,,,24.6,,,0,
C1,SA,4415,,,HETARB,1,0,,,,48.1,0.53,4,,,,0,
C1,SA,6130,267,119,HETARB,1,0,,,,63.5,0.53,3,,,,0,
C2,SA,4421,,,HETARB,1,0,,,,210.6,1.65,,0.82,,,0,
C2,TR,4426,,,HETARB,1,0,0,1,5,,,,1.71,,,0,
C2,TS,4426.1,,,HETARB,1,0,,,,,1.75,0,,,,0,
C2,TR,4422,,,QUEAGR,1,0,0,1,3,,,,27.5,,,0,
C2,TR,4424,,,QUEAGR,1,0,0,1,4,,,,13,,,0,
C2,TR,4425,,,QUEAGR,0,0,1,0,1,,,,8.5,,,0,
C2,SA,6131,112,118,QUEAGR,1,0,,,,71.5,0.44,0,,,,0,
C2,TR,4427,,,PSEMEN,1,0,0,1,4,,,,38.6,,,0,
C2,TR,4400,,,PSEMEN,1,0,0,1,3,,,,64.3,,,0,
C2,TR,4423,,,PSEMEN,1,0,0,1,2,,,,11.6,,,0,
C2,SA,4419,,,QUEBER,1,0,,,,86.7,0.6,2,,,,0,
C2,SA,4420,,,QUEBER,1,0,,,,93.3,0.62,0,,,,0,
C2,SA,6132,325,93,HETARB,1,0,,,,152.6,0.77,1,,,,0,
C2,SA,4428,,,QUEAGR,1,0,,,,97.1,0.61,0,,,,0,
C2,SA,6133,190,51,HETARB,1,0,,,,71.5,0.6,0,,,,0,
C3,TR,4431,,,UMBCAL,1,0,0,1,5,,4.17,0,1.77,,,0,now a TR
C3,SA,4432,,,RHACRO,1,0,,,,125.8,0.48,0,,,,0,
C3,SA,4433,,,HETARB,1,0,,,,183.5,1.34,4,,,,0,
C3,SA,4434,,,HETARB,1,0,,,,178,1.62,1,,,,0,
C3,SA,4435,,,HETARB,1,0,,,,130.2,1.16,0,,,,0,
C3,SA,4436,,,QUEBER,1,0,,,,198.4,1.82,2,,,,0,
C3,TR,4429,,,HETARB,1,0,0,1,4,,,,1.45,,,0,
C3,TS,4429.1,,,HETARB,1,0,,,,141.1,0.92,0,,,,0,
C3,SA,4399,,,QUEAGR,1,0,,,,111.3,0.55,2,,,,0,
C3,TR,4398,,,HETARB,0,0,0,0,0,,,,5.08,,,0,
C3,TR,4398.1,,,HETARB,0,0,0,0,0,,,,4.44,,,0,
C3,TR,4398.2,,,HETARB,0,0,0,0,0,,,,3.09,,,0,
C3,TR,4398.4,,,HETARB,0,0,0,0,0,,,,1,,,0,
C3,TR,4398.3,,,HETARB,1,0,,,2,,,,2.5,,,0,
C3,TS,4398.5,,,HETARB,0,0,,,,,2.35,0,,,,0,
C3,TR,4398.6,,,HETARB,1,0,0,,5,,,,2.91,,,0,New TR
D2,SA,4474,,,QUEBER,1,0,,,,156.5,1.16,1,,,,0,
D2,TR,4476,,,QUEBEGA,1,0,0,1,3,,,,3.53,,,0,Was QUEAGKE
D2,SA,4473,,,QUEBER,0,1,,,,,,,,42,0,0,OG dead/gone
D2,SA,6154,318,330,QUEBER,1,0,,,,57.7,0.46,0,,,,0,
C3,TR,4437,,,HETARB,1,0,0,0,2,,,,1.13,,,0,
C3,TR,4437.1,,,HETARB,1,0,0,0,3,,,,1.75,,,0,
C3,TR,4437.2,,,HETARB,0,0,0,0,0,,,,0.85,,,0,
C3,TS,4437.3,,,HETARB,0,0,,,,,1.55,0,,,,0,
C3,SA,6134,85,165,QUEAGR,1,0,,,,79.1,0.68,0,,,,0,
D2,TR,4469,,,FRACAL,1,0,0,1,4,,21.5,0,1.35,,,0,
D2,SA,4468,,,QUEBER,1,0,,,,84.1,0.97,1,,,,0,
D2,SA,4470,,,QUEBER,1,0,,,,104.8,0.71,1,,,,0,
B4,SA,6135,380,30,QUEBER,1,0,,,,56.5,0.43,1,,,,0,
D2,TR,4466,,,QUEBER,1,1,0,1,3,,,,1.43,,,0,
D2,SA,4467,,,QUEBER,1,1,,,,217,1.53,0,0.82,101.2,1,0,
C4,TR,4439,,,PSEMEN,1,0,0,1,2,,,,10.6,,,0,
C4,SA,4438,,,PSEMEN,1,0,,,,64.3,0.45,0,,,,0,
D2,TS,4479.3,,,QUEBER,1,0,,,,205.2,1.76,0,,,,0,
D2,TR,4479.4,,,QUEBER,1,0,0,1,2,,1.93,0,1.27,,,0,
C4,TR,4440,,,PSEMEN,1,0,0,1,3,,,,2.28,,,0,
C4,TR,4441,,,QUEAGR,1,0,0,1,3,,,,18.7,,,0,
C4,TR,4441.1,,,QUEAGR,1,0,0,1,2,,,,14.1,,,0,
C4,TR,4184,,,PSEMEN,1,0,0,1,3,,,,2.1,,,0,
D2,SA,4471,,,QUEBER,1,0,,,,139.6,1.47,0,,,,0,
C4,SA,4485,,,QUEBER,1,0,,,,35.5,0.52,2,,,,0,
C4,SA,4390,,,QUEAGR,1,0,,,,34.1,0.55,0,,,,0,Top killed
D4,SA,6136,105,118,PSEMEN,1,0,,,,62.6,0.52,0,,,,0,
D2,TR,4476.1,,,QUEBEGA,1,0,0,0,2,,,,1.71,,,0,Was QUEAGKE
D2,SA,4475,,,HETARB,1,0,,,,144.5,0.91,0,,,,0,
D3,SA,4463,,,QUEBER,1,1,,,,194.2,1.73,0,,70.1,1,0,
D3,TR,4465,,,QUEAGR,1,0,0,1,4,,,,2.5,,,0,
D3,TR,4465.1,,,QUEAGR,1,0,0,1,4,,,,2.63,,,0,
D4,SA,4450,,,QUEBER,0,1,,,,,2,0,,68.3,1,0,og dead
D3,SA,4464,,,QUEBER,0,1,,,,,,,,65.1,1,0,og dead/gone
D4,SA,4451,,,HETARB,1,0,,,,202.5,3.21,1,,,,0,
D3,SA,4455,,,QUEBER,0,1,,,,,,,,69.9,1,0,og dead/gone
D4,SA,4449,,,QUEBER,0,1,,,,,0.63,0,,68.4,1,0,og dead
D4,SA,6137,90,245,QUEBER,1,0,,,,76.2,0.47,2,,,,0,
D4,SA,6138,17,245,QUEBER,1,0,,,,60.1,0.56,0,,,,0,
D3,SA,6155,500,232,UMBCAL,1,0,,,,64,0.54,0,,,,0,
D4,SA,4452,,,QUEBEGA,1,0,,,,207,1.1,0,,,,0,
D3,SA,4457,,,ADEFAS,0,0,,,,,1.71,2,,,,0,BD at 12 cm
D4,SA,4443,,,HETARB,1,0,,,,205.6,1.91,6,,,,0,
D3,SA,4456,,,HETARB,0,1,,,,,1.95,0,,194.7,4,0,Og dead
D4,SA,4454,,,HETARB,1,0,,,,136.4,1.3,1,,,,0,
D3,SA,4482,,,QUEBER,1,0,,,,162.8,2.45,0,,,,0,
D3,SA,4461,,,HETARB,1,1,,,,122,1.2,2,,,1,0,
D3,TR,4459,,,QUEBEGA,1,1,0,1,2,,,,1.35,,,0,was QUEBER
D3,TR,4462,,,QUEBER,1,1,0,1,3,,,,2.14,115.9,1,0,
D3,SA,4484,,,QUEBER,1,1,,,,177.3,1.58,2,,,,0,
D4,TR,4442,,,QUEAGR,1,0,0,1,3,,,,13.2,,,0,
D4,TR,4445,,,QUEAGR,1,0,0,1,3,,,,6.86,,,0,
D4,TR,4445.1,,,QUEAGR,1,0,0,1,2,,,,2.56,,,0,
D4,TR,4445.2,,,QUEAGR,1,0,0,1,1,,,,1.68,,,0,
D4,SA,4444,,,QUEBER,0,1,,,,,1.7,0,,49.3,0,0,
D3,SA,4434,,,HETARB,1,0,,,,172.4,1.18,2,,,,0,
D4,TR,4483,,,QUEBER,1,1,0,1,1,,,,1.36,91.2,2,0,
D4,SA,4447,,,QUEAGR,0,0,,,,,1.12,0,,,,0,Queagri or Quebe?
D4,SA,4446,,,QUEBEGA,0,0,,,,,0.89,1,,,,0,Quebega? Was QUEAGKE
D3,TR,4458,,,QUEAGR,1,0,0,1,3,,,,3.47,,,0,
D3,TR,4458.1,,,QUEAGR,1,0,0,1,4,,,,2.43,,,0,
D3,TS,4458.2,,,QUEAGR,0,0,,,,,1.51,0,,,,0,
D4,SA,6139,43,140,PSEMEN,1,0,,,,70.8,0.58,0,,,,0,
D3,TR,4448,,,QUEBER,1,1,0,1,3,,,,1.9,88.3,6,0,
D3,TR,4448.1,,,QUEBER,1,0,0,1,4,,,,1.7,,,0,
D3,TS,4448.2,,,QUEBER,0,1,,,,,1.17,0,,62.7,1,0,
D3,SA,4460,,,QUEBER,1,1,,,,148.4,0.97,0,,55.8,2,0,
D4,SA,4453,,,QUEBER,1,0,,,,195.7,1.46,0,,,,0,
