Plot ID,1326,,Sampler(s),"MK, MF, BM, RF",,,,,Date ,20201116,,,,,,,,,
B2,SA,6409,,,UMBCAL,1,0,,,,74.9,0.55,0,,,,,,
B2,TR,3605,,,PSEMEN,1,0,0,1,3,,,,,,,,,
B2,SA,3564,,,UMBCAL,0,1,,,,35.8,0.39,3,,,,,,
B2,SA,3568,,,UMBCAL,0,1,,,,41.9,0.28,2,,,,,,
B2,SA,3571,,,UMBCAL,0,1,,,,40.2,0.29,3,,,,,,
B1,TR,3592,,,PSEMEN,1,0,0,1,3,,,,,,,,,
B1,SA,3595,,,UMBCAL,0,1,,,,25.5,0.24,0,,,,,,BSPROUT TOP KILLED
B1,TR,3593,,,PSEMEN,1,0,0,1,3,,,,,,,,,
B1,SA,3590,,,UMBCAL,0,1,,,,28.2,0.25,1,,,,,,
B1,SA,3577,,,UMBCAL,0,1,,,,34.2,0.28,1,,,,,,
B1,SA,3575,,,UMBCAL,0,0,,,,,,,,,,,,
B1,SA,3578,,,UMBCAL,0,0,,,,,,,,,,,,NOT FOUND IN '19 OR '20
B1,SA,3579,,,UMBCAL,0,0,,,,,,,,,,,,NOT FOUND IN '19 OR '20
B1,SA,3581,,,UMBCAL,0,0,,,,,,,,,,,,NOT FOUND IN '19 OR '20
C3,TR,3656,,,PSEMEN,1,0,1,1,3,,,,,,,,,
C3,SA,3658,,,UMBCAL,0,0,,,,,,,,,,1,,
C4,SA,5655,,,UMBCAL,0,1,,,,67.1,0.45,1,,,,,,
C4,TR,3664,,,PSEMEN,0,0,0,0,0,,,,,,,,,
C4,TR,3665,,,QUEGAR,1,0,0,1,99,,,,,,,,,
C4,TR,3666,,,PSEMEN,1,0,0,1,3,,,,,,,,,
C4,SA,5654,,,UMBCAL,0,1,,,,63.5,0.64,2,,,,,,
C4,SA,3646,,,UMBCAL,0,0,,,,,,,,,,1,,
C4,SA,3659,,,UMBCAL,0,0,,,,,,,,,,,,TAG NOT FOUND
D4,TR,3667,,,PSEMEN,1,0,0,1,3,,,,,,,,,
D4,TR,3670,,,PSEMEN,0,0,0,0,0,,,,,,,,,
D4,TR,3669,,,PSEMEN,0,0,0,0,0,,,,,,,,,
D4,TR,3672,,,PSEMEN,0,0,0,0,0,,,,,,,,,
D4,SA,3673,,,UMBCAL,0,1,,,,90,0.66,6,,,,,,
D4,SA,3674,,,UMBCAL,0,0,,,,,,,,,,1,,
D4,SA,3648,,,UMBCAL,0,0,,,,,,,,,,1,,
D3,TR,3696,,,ARBMEN,0,1,0,0,0,,1.13,,,88.9,4,,,SAME TREE 3694
D3,TR,3694,,,ARBMEN,1,1,0,1,3,,,,,97.6,1,,,SAME TREE 3696
D3,TR,3695,,,PSEMEN,0,0,0,0,0,,,,,,,,,
D3,TR,3693,,,PSEMEN,0,0,0,0,0,,,,,,,,,
D3,TR,3692,,,PSEMEN,0,0,0,0,0,,,,,,,,,
D3,SA,3675,,,UMBCAL,0,0,,,,,,,,,,,,TAG NOT FOUND
D2,SA,3682,,,UMBCAL,0,0,,,,,,,,,,1,,
D2,SA,3690,,,UMBCAL,0,1,,,,124.5,0.81,6,,,,,,
D2,TR,3699,,,PSEMEN,1,0,0,1,3,,,,,,,,,
D2,TR,3698,,,QUEGAR,1,0,0,1,99,,,,,,,,,
D2,SA,3687,,,UMBCAL,0,0,,,,,,,,,,1,,
D2,SA,3681,,,UMBCAL,0,1,,,,92.6,0.69,3,,,,,,
D2,SA,5653,,,UMBCAL,0,0,,,,,,,,,,,,BLUE FLAGGED
D2,SA,3689,,,UMBCAL,0,0,,,,,,,,,,1,,
D1,SA,6468,,,BACPIL,1,0,,,,36.7,0.2,1,,,,,,
D1,TR,3405,,,UMBCAL,0,1,0,0,0,89.3,0.81,3,,,,,,TR BUT WITH SA MEASUREMENGTS…WHY? SAYS OG DEAD IN 2018
D1,SA,3403,,,UMBCAL,0,0,,,,,,,,,,1,,
D1,TR,3401,,,UMBCAL,0,0,0,0,0,,,,,,,1,,
D1,SA,3404,,,UMBCAL,0,0,,,,,,,,,,1,,
B1,SA,3594,,,UMBCAL,0,0,,,,,,,,,,1,,
D1,SA,3661,,,UMBCAL,0,0,,,,,,,,,,,,
D1,SA,3662,,,UMBCAL,0,0,,,,,,,,,,1,,
D1,SA,3663,,,UMBCAL,0,0,,,,,,,,,,1,,
D1,TR,3700,,,PSEMEN,0,0,0,0,0,,,,,,,,,NOT FOUND
