Plot ID,1350,,Sampler(s),"MO, MK, MF, CM",,,,,Date ,20210113,,,,,,,,,
A3,TR,4197,,,PSEMEN,1,0,0,1,2,,,,,,,,,
A3,SA,4187,,,UMBCAL,0,1,,,,44.2,0.63,2,,,,,,
A3,TR,4168,,,QUEKEL,0,0,0,0,0,,,,,,,,,MAYBE ALIVE
A3,TR,4178,,,PSEMEN,1,0,0,1,3,,,,,,,,,
A3,TR,4181,,,HETARB,0,1,0,0,0,,0.7,,,53.8,1,,,
B4,TR,4088,,,HETARB,0,1,0,0,0,,1.75,,,215.9,36,,,CHECK '19 DB LINES OFF?
B4,TR,4088.2,,,HETARB,0,1,0,0,0,,1.34,,,160.6,3,,,
A4,TR,4155,,,PSEMEN,1,0,0,1,4,,,,,,,,,
A4,TR,4179,,,PSEMEN,1,0,0,1,3,,,,,,,,,
A4,TR,4192,,,PSEMEN,1,0,0,1,4,,,,,,,,,
A4,TR,4193,,,PSEMEN,1,0,0,1,3,,,,,,,,,
A4,TR,4199,,,HETARB,0,1,0,0,0,,1.87,,,210.5,23,,,
A4,SA,4198,,,HETARB,0,1,,,,123.4,1.34,11,,,,,,
B3,TR,4089,,,QUEKEL,1,1,1,1,99,,,,,,0,,,
B3,TR,4090,,,QUEKEL,1,1,1,1,99,,,,,,0,,,
A4,TR,4086,499,5,PSEMEN,0,0,0,0,0,,,,,,,1,,
B3,TR,4092,,,PSEMEN,1,0,0,1,2,,,,,,,,,
B3,TR,4093,,,PSEMEN,1,0,0,1,2,,,,,,,,,
B3,SA,4091,,,AMOCAL,0,1,,,,142.7,0.8,6,,,,,,NOT ON LIST
B2,TR,4094,,,HETARB,0,0,0,0,0,,,,,,,1,,
B3,TR,4096,,,HETARB,0,1,0,0,0,,1.16,,,150.4,17,,,TAG MOVED TO BSPROUT
B3,TR,4096.1,,,HETARB,0,0,0,0,0,,,,,,,1,,
B2,SA,4100,,,AMOCAL,0,1,,,,162.4,1.04,7,,,,,,
B2,TR,4202,,,PSEMEN,1,0,0,1,3,,,,,,,,,
B2,SA,4205,,,AMOCAL,0,1,,,,202.6,1.05,12,,,,,,
B2,SA,6024,,,AMOCAL,0,1,,,,116.3,0.58,5,,,,,,
B2,TR,4201,,,HETARB,0,1,0,0,0,,1.09,,,134.3,11,,,
B2,TR,4201.1,,,HETARB,0,1,0,0,0,,1.05,,,145.2,8,,,
B2,TR,4095,,,HETARB,0,1,0,0,0,,0.93,,,145.7,1,,,TAG MOVED TO BSPROUT
B2,SA,6934,,,AMOCAL,0,1,,,,120.8,0.67,7,,,,,,
B2,SA,4203,,,UMBCAL,0,1,,,,58.6,0.68,4,,,,,,
B2,SA,4205,,,AMOCAL,0,1,,,,198.4,1.08,14,,,,,,
B2,SA,4206,,,AMOCAL,0,1,,,,158.8,1.11,23,,,,,,
C2,SA,4249,,,AMOCAL,0,1,,,,166.2,0.9,14,,,,,,
C2,SA,4250,,,AMOCAL,0,1,,,,104.5,0.62,4,,,,,,
C2,SA,4252,,,AMOCAL,0,1,,,,202.5,0.9,21,,,,,,
C2,SA,4253,,,AMOCAL,0,1,,,,129.1,0.72,8,,,,,,
C2,SA,6937,,,AMOCAL,0,1,,,,86.2,0.43,6,,,,,,
C2,SA,4251,,,AMOCAL,0,1,,,,160.6,0.95,8,,,,,,
C2,SA,4269,,,AMOCAL,0,1,,,,72.4,0.52,5,,,,,,
C2,SA,4270,,,AMOCAL,0,1,,,,150.2,0.91,3,,,,,,
D2,SA,6913,,,AMOCAL,0,1,,,,49.4,0.42,9,,,,,,
D2,SA,4332,,,AMOCAL,0,1,,,,103.5,0.59,6,,,,,,
D2,SA,4324,,,FRACAL,0,1,,,,59,0.51,1,,,,,,
D2,SA,4319,,,AMOCAL,0,0,,,,,,,,,,,,TAG NOT FOUND
D2,SA,6915,,,AMOCAL,0,0,,,,,,,,,,,,TAG NOT FOUND- 1029 typo 6195- really 6915 so this wasn't on list in right quad- may still be alive.- mkqc2022
D3,TR,4304,,,PSEMEN,1,0,0,1,2,,,,,,,,,
D3,SA,4302,,,AMOCAL,0,1,,,,111,0.55,1,,,,,,
D3,SA,4306,,,AMOCAL,0,1,,,,166.3,1.17,8,,,,,,
D3,SA,4311,,,AMOCAL,0,1,,,,111.5,0.65,11,,,,,,
D3,SA,6912,,,AMOCAL,0,1,,,,72.6,0.42,2,,,,,,
D3,TR,4307,,,UMBCAL,0,1,0,0,0,,1.02,,,160.7,8,,,
D3,SA,4305,,,AMOCAL,0,1,,,,162.8,0.91,2,,,,,,
D3,SA,4312,,,AMOCAL,0,1,,,,165.8,0.95,14,,,,,,
D3,SA,6054,,,AMOCAL,0,1,,,,111.5,0.76,7,,,,,,
D3,SA,6911,,,AMOCAL,0,1,,,,50.2,0.35,7,,,,,,
D3,SA,6909,,,AMOCAL,0,1,,,,55.6,0.52,9,,,,,,
D3,SA,6052,,,AMOCAL,0,1,,,,108.6,0.7,9,,,,,,
D4,SA,4285,,,AMOCAL,0,1,,,,180.6,0.85,9,,,,,,MAY BE IN D3
D3,TR,4298,,,QUEGAR,1,1,1,1,99,,,,,82.4,6,,,
D3,SA,4286,,,AMOCAL,0,1,,,,132.2,0.65,15,,,,,,
D3,SA,4295,,,AMOCAL,0,1,,,,140,0.79,3,,,,,,
D3,SA,6051,,,AMOCAL,0,1,,,,138,0.81,2,,,,,,
D3,SA,6055,,,AMOCAL,0,1,,,,191.4,0.95,15,,,,,,
D3,SA,6056,,,AMOCAL,0,1,,,,153.6,0.85,12,,,,,,
D3,TR,4301,,,HETARB,0,1,0,0,0,,0.89,,,121.2,8,,,
D3,TS,4301.1,,,HETARB,0,0,,,,,,,,,,,,NOT FOUND
D3,SA,4294,,,AMOCAL,0,1,,,,140.5,0.73,3,,,,,,
D3,SA,4279,,,AMOCAL,0,1,,,,207.5,0.92,11,,,,,,
C2,SA,6938,,,AMOCAL,0,1,,,,162.3,0.87,6,,,,,,
C2,SA,6945,,,AMOCAL,0,1,,,,93.2,0.6,9,,,,,,
C2,SA,6939,,,AMOCAL,0,1,,,,91.7,0.56,5,,,,,,
C2,SA,4334,,,AMOCAL,0,1,,,,82.5,0.61,5,,,,,,
C2,SA,6944,,,AMOCAL,0,1,,,,157,0.69,4,,,,,,
C2,SA,4267,,,AMOCAL,0,1,,,,112.1,0.59,9,,,,,,
C2,SA,6937,,,AMOCAL,0,1,,,,87.2,0.43,5,,,,,,
C2,SA,4341,,,UMBCAL,0,1,,,,88.6,0.68,5,,,,,,
C2,SA,6941,,,AMOCAL,0,1,,,,63,0.46,2,,,,,,
C2,SA,6942,,,AMOCAL,0,1,,,,130.3,0.73,1,,,,,,
C2,SA,4262,,,AMOCAL,0,1,,,,183.1,1.01,19,,,,,,
C2,SA,6030,,,AMOCAL,0,1,,,,69,0.47,0,,,,,,
C2,SA,6936,,,AMOCAL,0,1,,,,90.9,0.58,2,,,,,,
C2,SA,4257,,,AMOCAL,0,1,,,,99.5,0.73,1,,,,,,
C2,TR,4260,,,HETARB,0,1,0,0,0,,1.11,,,148.5,2,,,
C2,SA,4259,,,UMBCAL,0,1,,,,53.2,0.69,1,,,,,1,
C2,SA,4277,,,AMOCAL,0,1,,,,167.3,0.86,12,,,,,,
C2,TR,4254,,,PSEMEN,1,0,0,1,4,,,,,,,,,
C2,SA,6031,,,AMOCAL,0,1,,,,86.9,0.61,7,,,,,,
C3,SA,6032,,,AMOCAL,0,1,,,,125.4,0.78,4,,,,,,
C2,SA,4264,,,AMOCAL,0,1,,,,84.8,0.61,7,,,,,,
C2,SA,6033,,,AMOCAL,0,1,,,,151.4,0.96,3,,,,,,
C2,SA,6943,,,AMOCAL,0,1,,,,108.7,0.66,5,,,,,,
C2,SA,6940,,,AMOCAL,0,1,,,,101.2,0.73,2,,,,,,
C2,SA,4246,,,UMBCAL,0,1,,,,45,0.32,4,,,,,,
C2,SA,4245,,,AMOCAL,0,1,,,,51.2,0.44,1,,,,,,
C2,SA,4265,,,AMOCAL,0,1,,,,108,0.69,9,,,,,,
C3,SA,4276,,,AMOCAL,0,1,,,,163.8,0.82,6,,,,,,
D3,SA,4303,,,AMOCAL,0,1,,,,176.7,1.03,10,,,,,,
D3,SA,4313,,,AMOCAL,0,1,,,,129.3,0.85,7,,,,,,
D3,SA,6050,,,AMOCAL,0,1,,,,83.5,0.54,2,,,,,,
D3,SA,6053,,,AMOCAL,0,1,,,,164.5,1.12,9,,,,,,
D3,SA,6057,,,AMOCAL,0,1,,,,139.4,0.82,11,,,,,,
D3,SA,6910,,,AMOCAL,0,1,,,,60.5,0.41,5,,,,,,
D4,TR,4297,,,QUEGAR,1,1,1,1,99,,,,,84.2,15,,,
D4,TR,4291,,,HETARB,0,1,0,0,0,,0.49,,,99.4,14,,,
D4,TR,4291.2,,,HETARB,0,1,0,0,0,,1.62,,,188.6,13,,,
D4,TS,4291.4,,,HETARB,0,1,0,0,0,142.1,0.88,12,,,,,,
D4,TR,4290,,,PSEMEN,1,0,1,1,3,,,,,,,,,
D4,TR,4289,,,HETARB,0,1,0,0,0,,0.92,,,166,11,,,was typo 4298- mkqc2022
D4,TR,4289.1,,,HETARB,0,1,0,0,0,,0.54,,,106.5,4,,,TAG SAYS 10
D4,TR,4289.3,,,HETARB,0,1,0,0,0,,0.87,,,103.8,2,,,
D4,TR,4289.6,,,HETARB,0,1,0,0,0,,1.59,,,194.1,6,,,
D4,TR,4289.9,,,HETARB,0,1,0,0,0,,1.33,,,129.3,2,,,
D4,TR,4299,,,HETARB,0,1,0,0,0,,0.7,,,130.8,26,,,
D4,TR,4299.3,,,HETARB,0,1,0,0,0,,1.01,,,153.5,21,,,
D4,TS,4299.6,,,HETARB,0,0,,,,,,,,,,,,
C3,SA,4281,,,AMOCAL,0,1,,,,75.2,0.5,8,,,,,,
C3,SA,4275,,,AMOCAL,0,1,,,,119.6,0.71,6,,,,,,
C3,SA,6924,,,AMOCAL,0,1,,,,136.2,0.87,7,,,,,,
C3,SA,4097,,,HETARB,0,1,,,,79.5,0.69,6,,,,,,
C3,TR,4098,,,HETARB,0,1,0,0,0,,1.15,,,161,6,,,
C3,TR,4098.3,,,HETARB,0,1,0,0,0,,1.39,,,147,7,,,
C3,TR,4271,,,PSEMEN,1,0,0,1,3,,,,,,,,,
C3,TR,4272,,,PSEMEN,1,0,0,1,3,,,,,,,,,
C3,SA,6917,,,AMOCAL,0,1,,,,91.6,0.59,0,,,,,,
