Plot ID,PPW1347,,Sampler(s),"RF, MF, CM, BM",,,,,Date ,"20201201, 20201130",,,,,,,,,
B3,TR,2960.1,,,UMBCAL,0,1,0,0,0,,0.46,,,79.2,4,0,,
B3,SA,6848,,,AMOCAL,0,1,,,,52,0.25,0,,,,0,,
B3,SA,6845,,,AMOCAL,0,0,,,,,,,,,,0,,BF
B3,SA,6847,,,AMOCAL,0,0,,,,,,,,,,0,,BF
B4,SA,2954,,,UMBCAL,1,1,,,,47.7,0.42,2,,,,0,,
B4,SA,2952,,,UMBCAL,0,1,,,,36.7,0.3,6,,,,0,,
B4,SA,2953,,,UMBCAL,0,1,,,,50.8,0.41,1,,,,0,,
B4,SA,6844,,,UMBCAL,1,0,,,,55.5,1.81,0,,,,0,,
B4,TR,2955,,,UMBCAL,0,1,0,0,0,121.4,0.63,5,,,,0,,
B4,TR,2964,,,AMOCAL,0,1,0,0,0,,0.49,,,49.1,1,0,,
B4,TR,2964.1,,,AMOCAL,0,1,0,0,0,,0.58,,,85.7,1,0,,
B4,SA,2959,,,UMBCAL,0,1,,,,124.9,1.15,3,,,,0,,NOT ON LIST
B4,SA,2958,,,UMBCAL,1,1,,,,108.9,0.85,1,,,,0,,
B4,SA,2957,,,UMBCAL,1,1,,,,83.7,1.46,1,,,,0,,
B4,SA,6146,,,UMBCAL,1,0,,,,42.8,0.79,0,,,,0,,
B4,SA,2956,,,UMBCAL,0,1,,,,34.5,0.24,2,,,,0,,
B4,SA,6145,,,UMBCAL,0,1,,,,47.6,0.41,0,,,,0,,
B4,SA,3002,,,AMOCAL,0,1,,,,63,0.33,3,,,,0,,
C4,TR,3009,,,UMBCAL,0,1,0,0,0,,0.63,,,71,2,0,,
C4,TR,3007,,,UMBCAL,1,1,1,1,4,,,,,119,14,0,,
C4,TR,3007.1,,,UMBCAL,1,0,0,1,1,,,,,,,0,,
C4,TR,3005,,,PRUCER,1,1,1,1,3,,,,,68.5,3,0,,99% CANOPY?
C4,SA,3044,,,PRUCER,0,0,,,,,,,,,,0,,
C4,SA,3046,,,PRUCER,0,0,,,,,,,,,,0,,
C4,SA,6161,,,UMBCAL,1,0,,,,47.8,1.26,2,,,,0,,
C4,SA,3031,,,UMBCAL,0,1,,,,13.2,0.16,3,,,,0,,
C4,SA,6167,,,AMOCAL,0,0,,,,,,,,,,0,,BF
C4,TR,3032,,,PRUCER,0,1,,,,,0.45,,,65.1,5,0,,
C4,SA,3033,,,AMOCAL,0,1,,,,86.1,0.54,19,,,,0,,
C4,SA,3008,,,AMOCAL,0,1,,,,36.2,0.2,1,,,,0,,
C4,SA,6162,,,UMBCAL,0,0,,,,,,,,,,0,,BF
C4,SA,2995,,,UMBCAL,0,0,,,,,,,,,,0,,TAG NOT FOUND
C3,SA,6160,,,AMOCAL,0,0,,,,,,,,,,0,,TAG FLOATING OG NOT FOUND 
C3,SA,3001,,,UMBCAL,0,0,,,,,,,,,,0,,BF
C3,SA,6158,,,AMOCAL,0,0,,,,,,,,,,0,,BF
C3,SA,2999,,,UMBCAL,0,0,,,,,,,,,,0,,BF
C3,SA,6156,,,AMOCAL,0,0,,,,,,,,,,0,,BF
C3,SA,3006,,,UMBCAL,0,0,,,,,,,,,,0,,
C3,SA,3003,,,UMBCAL,0,0,,,,,,,,,,0,,NOT FOUND
D4,SA,3011,,,UMBCAL,0,0,,,,,,,,,,0,,
D4,SA,6170,,,AMOCAL,0,1,,,,67.3,0.52,10,,,,0,,
D4,TR,3010,,,AMOCAL,0,1,0,0,0,,0.99,,,173.9,5,0,,
D4,SA,3059,,,AMOCAL,0,1,,,,74.3,0.56,7,,,,0,,
D4,SA,6171,,,AMOCAL,0,1,,,,71.1,0.46,5,,,,0,,
D4,SA,3055,,,AMOCAL,0,1,,,,89,0.78,14,,,,0,,ENTERED AS 2055 IN 19 DB
D4,SA,3054,,,AMOCAL,0,1,,,,95.9,0.58,14,,,,0,,
D4,SA,6169,,,AMOCAL,0,0,,,,,,,,,,0,,
D4,SA,3057,232,104,AMOCAL,0,1,,,,64,0.37,2,,,,0,,LISTED IN D1 AND D4 IN 19 DB
D4,SA,3056,,,AMOCAL,0,1,,,,87.2,0.61,3,,,,0,,
D4,SA,3058,,,AMOCAL,0,1,,,,97.2,0.63,5,,,,0,,
D3,TR,3017,,,UMBCAL,0,1,0,0,0,,0.8,,,49.2,0,0,,
D3,TR,3016,,,PSEMEN,1,0,0,1,3,,,,,,,0,,
D3,SA,3034,,,UMBCAL,0,0,,,,,,,,,,0,,BF
D3,TR,3029,,,UMBCAL,1,1,1,1,3,,,,,86.3,11,0,,
D3,SA,3028,,,UMBCAL,0,1,,,,79.4,0.68,10,,,,0,,
D3,TS,3029.1,,,UMBCAL,0,0,,,,,,,,,,0,,
D2,SA,3023,,,UMBCAL,0,0,,,,,,,,,,0,,BF
D2,TR,3022,,,UMBCAL,0,1,0,0,0,,0.59,,,112.8,14,0,,
D3,TR,3035,,,UMBCAL,0,1,0,0,0,,0.42,,,45.7,0,0,,
D3,SA,6172,,,AMOCAL,0,1,,,,80.1,0.61,11,,,,0,,
D3,SA,3019,,,UMBCAL,0,1,,,,24.2,0.24,0,,,,0,,
D3,TR,3018,,,UMBCAL,0,1,0,0,0,,0.57,,,71.3,3,0,,
D3,SA,3053,,,UMBCAL,0,0,,,,,,,,,,0,,BF
D2,SA,3036,,,UMBCAL,0,1,,,,31.4,0.33,3,,,,0,,
D2,SA,6174,,,AMOCAL,0,1,,,,93.4,0.58,26,,,,0,,
D2,SA,3024,,,UMBCAL,0,1,,,,40.4,0.26,2,,,,0,,
D2,SA,6173,,,AMOCAL,0,1,,,,124.7,0.71,6,,,,0,,
C3,SA,6855,67,442,AMOCAL,0,1,,,,88,0.55,2,,,,0,,
C3,SA,3004,,,UMBCAL,0,0,,,,,,,,,,0,,NOT FOUND
C2,TR,3030,,,UMBCAL,0,1,0,0,0,,0.95,,,94.3,15,0,,
C2,TR,3030.1,,,UMBCAL,0,0,0,0,0,,,,,,,0,,
C2,TR,3000,,,UMBCAL,0,1,0,0,0,,0.35,,,50,1,0,,
C2,TR,2994,,,PSEMEN,1,0,1,1,3,,,,,,,0,,
C1,SA,2989,,,UMBCAL,0,0,,,,,,,,,,0,,
C2,TR,2992,,,UMBCAL,0,1,0,0,0,,0.4,,,55.1,14,0,,
C2,TR,3013,,,UMBCAL,1,1,1,1,3,,,,,147.3,14,0,,
C2,TR,3041,,,AMOCAL,0,1,0,0,0,,0.66,,,87,7,0,,
C2,TR,3041.1,,,AMOCAL,0,1,0,0,0,,0.65,,,90.8,2,0,,
C2,SA,3040,,,UMBCAL,0,0,,,,,,,,,,0,,BF
C2,SA,6157,,,AMOCAL,0,1,,,,95.2,0.69,19,,,,0,,
C2,SA,2993,,,UMBCAL,0,0,,,,,,,,,,0,,BF 
C1,SA,2990,,,UMBCAL,0,1,,,,20.2,0.17,1,,,,0,,
C1,SA,6854,,,AMOCAL,0,0,,,,,,,,,,0,,BF
C1,SA,6168,,,AMOCAL,0,0,,,,,,,,,,0,,
C1,TR,2995,,,UMBCAL,0,1,0,0,0,,0.45,,,74.4,7,0,,IN C1 NOT C4
C1,TR,2996,,,QUEAGR,0,0,0,0,0,,,,,,,1,,DEAD/GONE
C1,SA,2987,,,UMBCAL,0,1,,,,42.9,0.3,1,,,,0,,
C1,TR,2997,,,QUEAGR,0,0,0,0,0,,,,,,,0,,DEAD/GONE
C1,TR,2998,,,QUEAGR,0,0,0,0,0,,,,,,,0,,DEAD/GONE
C1,TR,2998.1,,,QUEAGR,0,0,0,0,0,,,,,,,1,,DEAD/GONE
C1,SA,2991,,,UMBCAL,0,0,,,,,,,,,,1,,FLOATING
C1,SA,3047,,,UMBCAL,0,1,,,,45,0.5,1,,,,0,,
C1,SA,6853,,,UMBCAL,0,0,,,,,,,,,,0,,BF
C1,SA,2988,,,UMBCAL,0,0,,,,,,,,,,0,,DEAD/GONE
D2,SA,3021,,,AMOCAL,0,1,,,,127.3,0.63,19,,,,0,,
D2,SA,3020,,,UMBCAL,0,1,,,,37,0.32,0,,,,0,,
D2,SA,3012,,,UMBCAL,0,0,,,,,,,,,,0,,BF was typo 2021- mkqc2022
D1,SA,6835,,,AMOCAL,0,0,,,,,,,,,,0,,
D1,SA,6834,,,AMOCAL,0,1,,,,89.9,0.61,6,,,,0,,WRITTEN AS 6843 19 DB
D1,SA,6176,,,AMOCAL,0,1,,,,34.2,0.54,5,,,,0,,
D1,SA,6174,,,AMOCAL,0,1,,,,92.8,0.58,24,,,,0,,
D1,SA,6175,,,UMBCAL,0,1,,,,21,0.15,0,,,,0,,
D1,SA,3061,,,AMOCAL,0,1,,,,37.5,0.26,3,,,,0,,
D1,SA,3060,,,AMOCAL,0,1,,,,41.2,0.26,5,,,,0,,
D1,TR,3048,,,UMBCAL,0,1,0,0,0,,0.63,,,88.4,5,0,,
D1,TS,3048.1,,,UMBCAL,0,1,,,,52.2,0.47,,,68.9,3,0,,
D1,TR,3026,,,UMBCAL,0,1,0,0,0,,0.25,,,87.2,1,0,,
D1,SA,3026.1,,,UMBCAL,0,1,,,,102,0.61,5,,,,0,,
D1,TR,3027,,,QUEAGR,0,1,0,0,0,,0.42,,,117,4,0,,MISLABELED IN 19 DB
D1,SA,3027.1,,,QUEAGR,0,1,,,,76.4,0.44,8,,,,0,,MISLABELED IN 19 DB
D1,TR,3025,,,QUEAGR,0,1,0,0,0,,0.68,,,69.8,1,0,,
D1,TR,3038,,,AMOCAL,0,1,0,0,0,,0.38,,,61.4,5,0,,BF
D1,SA,3037,,,UMBCAL,0,0,,,,,,,,,,0,,
D1,TR,3049,,,UMBCAL,0,1,0,0,0,,0.53,,,85.3,3,0,,
D1,SA,6177,,,UMBCAL,0,0,,,,,,,,,,0,,BF
D1,SA,6833,,,FRACAL,0,0,,,,,,,,,,0,,BF
D1,SA,3050,,,AMOCAL,0,1,,,,55.3,0.3,11,,,,0,,
D1,SA,3052,,,AMOCAL,0,0,,,,,,,,,,1,,"TAG FLOATING, NOT IN 19 DB"
D1,SA,3051,,,AMOCAL,0,0,,,,,,,,,,1,,TAG FLOATING
D1,SA,3039,,,AMOCAL,0,1,,,,29.1,0.46,9,,,,0,,
A4,SA,6953,210,465,HOLDIS,0,1,,,,113.4,0.52,11,,,,0,,"NEW SA, OG BD=0.98"
A4,SA,6952,131,440,HOLDIS,0,1,,,,55.7,0.22,1,,,,0,,"NEW SA, OG BD=0.95"
A4,SA,6954,410,476,HOLDIS,0,1,,,,80,0.36,4,,,,0,,"NEW SA, OG BD=0.69"
C4,SA,6955,357,488,HOLDIS,0,1,,,,91.1,0.4,15,,,,0,,"NEW SA, OG BD= 1.2"
C4,SA,6956,397,458,HOLDIS,0,1,,,,99.4,0.81,7,,,,0,,"NEW SA, OG BD=1.13"
C4,SA,6957,438,427,HOLDIS,0,1,,,,97,0.64,13,,,,0,,"NEW SA, OG BD= 0.99"
C4,SA,6958,478,422,HOLDIS,0,1,,,,95.4,0.63,13,,,,0,,"NEW SA, OG BD= 1.02"
D4,SA,6959,0,484,AMOCAL,1,1,,,,101.2,0.64,1,,,,0,,NEW SA
D4,SA,6960,38,500,HOLDIS,0,1,,,,81.2,0.59,5,,,,0,,"NEW SA, OG BD= 1.91 "
C4,SA,6961,440,242,AMOCAL,0,1,,,,66.2,0.44,1,,,,0,,"NEW SA, OG BD@ 5CM= .8"
A4,SA,6962,479,229,HOLDIS,0,1,,,,75.7,0.38,7,,,,0,,"NEW SA, OG BD= 1.68"
C2,SA,6965,358,362,HOLDIS,0,1,,,,64.1,0.27,6,,,,0,,"NEW SA, NO OG BD"
C2,SA,6966,446,298,HOLDIS,0,1,,,,78.5,0.35,21,,,,0,,"NEW SA, OG BD @ 5CM= 1.42"
D2,SA,6967,135,77,HOLDIS,0,1,,,,76.8,0.35,15,,,,0,,"NEW SA, OG BD= 1.37"
D1,SA,6968,329,483,HOLDIS,0,1,,,,65.8,0.34,7,,,,0,,"NEW SA, NO OG BD"
D1,SA,6969,365,424,AMOCAL,0,1,,,,34.5,0.49,12,,,,0,,"NEW SA, OG BD @ 5CM= 0.82"
D1,SA,6970,309,457,HOLDIS,0,1,,,,73.4,0.58,9,,,,0,,"NEW SA, OG BD= 0.58"
