Plot ID,1345,,Sampler(s),MK/BM/CM/RF,,,,,Date ,11/9/20,,,,,,,,,
C1,TR,1934.1,,,ARCMAN,0,0,0,0,0,,,,,,,,,was data entery typo 1951- mkqc2023
C1,TR,1934.2,,,ARCMAN,1,0,0,1,3,,,,,,,,,was data entery typo 1951- mkqc2024
C1,TR,1934.3,,,ARCMAN,0,0,0,0,0,,,,,,,,,was data entery typo 1951- mkqc2025
C1,TR,1934.4,,,ARCMAN,1,0,0,1,2,,,,,,,,,was data entery typo 1951- mkqc2026
C1,SA,1906,,,UMBCAL,0,1,,,,43.1,0.6,2,,,,,,
C1,SA,1932,,,UMBCAL,0,1,,,,42.1,0.44,5,,,,,,
C1,TR,5594,,,QUEDOU,1,1,1,1,99,,,,,,,,,NO BASAL MEASUREMENTS RECORDED
C1,SA,1915,,,HETARB,0,1,,,,17.2,0.14,0,,,,,,
C1,SA,1933,,,HETARB,0,0,,,,,,,,,,1,,TAG PULLED
C2,SA,1916,,,HETARB,0,1,,,,19.3,0.14,0,,,,,,
C3,TR,1936,,,QUEDOU,1,0,0,1,99,,,,,,,,,
C3,SA,1937,,,QUEAGRI,0,1,,,,64.9,0.43,7,,,,,,misentered in 2019- typo carried over was Qgar-mkqc22
C3,TR,1938,,,QUEDOU,1,0,1,1,99,,,,,,,,,
C3,TR,1940,,,QUEGAR,1,0,1,1,99,,,,,,,,,
C3,TR,1939,,,QUEDOU,0,0,,,,,,,,,,1,,TAG PULLED
B2,SA,2288,,,QUEAGRI,0,1,,,,12.1,0.21,1,,,,,,BD @ 5CM
B2,SA,2287,,,QUEAGRI,0,1,,,,72,0.47,2,,,,,,was typo 2289- mkqc2022
B2,SA,5593,,,HETARB,0,1,,,,67,0.39,6,,,,,,
B2,TR,2286,,,HETARB,0,1,0,0,0,,0.48,,,87.3,10,,,
B2,TR,2250,,,HETARB,0,1,0,0,0,,0.59,,,72,6,,,
B2,TR,2251,,,UMBAL,0,1,0,0,0,,0.39,,,,,,,NO SOD
B3,TR,2236,,,HETARB,0,1,0,0,0,,0.57,,,96.1,6,,,
B3,TR,2236.1,,,HETARB,0,0,0,0,0,,,,,,,1,,
B3,TR,2238,,,QUEGAR,0,1,0,1,99,,,,,,,,,SAYS QUEAGRI IN '19
B3,SA,2249,,,QUEAGRI,0,1,,,,22,0.18,0,,,,,,SAYS 2248 IN '19 DATABASE- fixed it- mkqc2022
A3,TR,2277,,,ARCMAN,0,0,0,0,0,,,,,,,,,BLUE FLAG
A3,TR,2259,,,ARCMAN,0,0,0,0,0,,,,,,,,,BLUE FLAG
A4,TR,2259.1,,,ARCMAN,0,0,0,0,0,,,,,,,,,
A5,TR,2259.2,,,ARCMAN,0,0,0,0,0,,,,,,,,,
A6,TR,2259.3,,,ARCMAN,0,0,0,0,0,,,,,,,,,
A3,TR,2258,,,PSEMEN,1,0,1,1,3,,,,,,,,,
A3,TR,2274,,,UMBCAL,0,1,0,0,0,,0.3,,,58.5,2,,,
A3,SA,2276,,,UMBCAL,0,1,,,,61.5,0.41,3,,,,,,
A3,SA,2278,,,UMBCAL,0,1,,,,123.5,1.08,6,,,,,,NO SOD
A4,TR,2280,,,HETARB,0,1,0,0,0,,1.18,,,208,13,,,
A4,TR,2279,,,HETARB,0,1,0,0,0,,2.25,,,256,14,,,
A4,TR,2279.3,,,HETARB,0,1,0,0,0,,1.52,,,290,26,,,
A4,TR,2279.5,,,HETARB,0,0,0,0,0,,,,,,,,,
A4,TR,2279.7,,,HETARB,0,1,0,0,0,,1.4,,,233.5,18,,,
A4,TR,2279.8,,,HETARB,0,1,0,0,0,,0.7,,,124.5,11,,,
A4,TR,2279.9,,,HETARB,0,1,0,0,0,,1.51,,,281.5,24,,,
A4,TR,2279.17,,,HETARB,0,0,0,0,0,,,,,,,,,NOT FOUND
B2,TR,2294,,,HETARB,0,1,0,0,0,,0.43,,,79.1,2,,,
B2,TR,2294.1,,,HETARB,0,0,0,0,0,,,,,,,1,,TAG PULLED
B2,TR,2293,,,QUEGAR,1,0,1,1,99,,,,,,,,,
B2,TR,2295,,,QUEGAR,1,1,1,1,99,,,,,,,,,Q LOBATA? NO BASAL INFO RECORDED
B2,TR,1901,,,HETARB,0,1,0,0,0,,0.98,,,130.2,3,,,
B2,TR,1901.1,,,HETARB,0,0,0,0,0,,,,,,,1,,TAG PULLED
A1,SA,2266,,,QUEAGRI,0,1,,,,16.7,0.26,0,,,,,,
A1,SA,2267,,,HETARB,0,1,,,,63.2,0.36,10,,,,,,
A2,SA,2261,,,HETARB,0,1,,,,67.2,0.45,10,,,,,,
A2,TR,2264,,,HETARB,0,1,0,0,0,,0.31,,,,0,,,
A2,TR,2264.1,,,HETARB,0,1,0,0,0,,0.39,,,85.1,8,,,
A2,TR,2264.2,,,HETARB,0,1,0,0,0,,0.87,,,210.2,3,,,
A2,TR,2264.3,,,HETARB,0,1,0,0,0,,0.28,,,,0,,,
A2,SA,2268,,,UMBCAL,0,1,,,,149.8,1.15,5,,,,,,
A2,SA,2269,,,UMBCAL,0,1,,,,69.7,0.41,4,,,,,,
A2,TR,2263,,,HETARB,1,1,1,1,2,,0.16,,,,0,,,misrecorded as umbcal -mkqc2022
A2,TR,2263.1,,,HETARB,0,1,1,0,0,,0.1,,,,0,,,misrecorded as umbcal -mkqc2022
A2,TR,2263.2,,,HETARB,0,1,0,0,0,,0.51,,,63.3,2,,,misrecorded as umbcal -mkqc2022
A2,TR,2263.3,,,HETARB,0,1,0,0,0,,0.31,,,65.1,1,,,misrecorded as umbcal -mkqc2022
A2,TR,2263.4,,,HETARB,0,1,1,0,0,,0.26,,,50.2,1,,,misrecorded as umbcal -mkqc2022
A2,TR,2263.5,,,HETARB,0,1,0,0,0,,0.32,,,,0,,,misrecorded as umbcal -mkqc2022
A2,TR,2263.6,,,HETARB,0,1,0,0,0,,0.38,,,65.5,1,,,misrecorded as umbcal -mkqc2022
A2,TR,2263.7,,,HETARB,0,1,0,0,0,,0.43,,,62,1,,,misrecorded as umbcal -mkqc2022
A2,SA,2270,,,QUEAGRI,0,1,,,,82,0.57,2,,,,,,
A2,TR,2262,,,UMBCAL,0,1,1,0,0,,0.39,,,62.2,1,,,
A2,TR,2275,,,HETARB,0,1,0,0,,,0.53,,,100.2,6,,,
A2,TR,2256,,,HETARB,0,1,0,0,0,,0.74,,,89.5,5,,,
A2,SA,2235,,,UMBCAL,0,1,,,,43.3,0.24,5,,,,,,
A2,TR,2273,,,HETARB,0,1,0,0,0,,0.46,,,98.4,3,,,
A2,TR,2273.1,,,HETARB,0,1,0,0,0,,0.37,,,94.9,3,,,
A2,TR,2273.2,,,HETARB,0,0,0,0,0,,,,,,,1,,TAG PULLED
A2,TR,2273.4,,,HETARB,0,0,0,0,0,,,,,,,1,,TAG PULLED
A2,TR,2273.6,,,HETARB,0,1,0,0,0,,0.52,,,69.6,1,,,
A2,TR,2273.11,,,HETARB,0,0,0,0,0,,,,,,,1,,TAG PULLED- was .10 on tag in field - changed to .11 in DB
B2,TR,2285,,,HETARB,0,0,0,0,0,,,,,,,,,
B2,TR,2285.1,,,HETARB,0,1,0,0,0,,0.47,,,85,6,,,
B2,TR,2285.2,,,HETARB,0,0,0,0,0,,,,,,,,,FLOATING TAG
B2,TR,2285.3,,,HETARB,0,1,0,0,0,,0.51,,,86,4,,,
B2,TR,2285.4,,,HETARB,0,1,0,0,0,,0.43,,,77.4,5,,,
B2,TR,2285.5,,,HETARB,0,0,0,0,0,,0.41,,,81,3,,,
B2,TR,2285.6,,,HETARB,0,0,0,0,0,,,,,,,,,
B2,TR,2285.7,,,HETARB,0,0,0,0,0,,,,,,,,,LIKELY REMOVED IN '19
B2,TR,2285.8,,,HETARB,0,1,0,0,0,,0.53,,,79.2,5,,,
B2,SA,2289,,,QUEAGRI,0,1,,,,18,0.23,0,,,,,,
B2,TR,2291,,,HETARB,0,1,0,0,0,,0.67,,,115.7,15,,,
B2,TR,2291.1,,,HETARB,0,0,0,0,0,,,,,,,1,,TAG PULLED
B2,TR,2291.2,,,HETARB,0,0,0,0,0,,,,,,,1,,TAG PULLED
B2,TR,2291.3,,,HETARB,0,0,0,0,0,,,,,,,1,,TAG PULLED
B2,TR,2290,,,HETARB,0,1,0,0,0,,0.21,,,61.4,3,,,
B2,TR,2290.1,,,HETARB,0,0,0,0,0,,,,,,,1,,TAG PULLED
B2,TR,2290.2,,,HETARB,0,1,0,0,0,,0.36,,,73,4,,,
B2,TR,2290.3,,,HETARB,0,1,0,0,0,,0.46,,,81.5,11,,,
B2,TR,2290.4,,,HETARB,0,0,0,0,0,,,,,,,1,,TAG PULLED
B2,TR,2290.5,,,HETARB,0,0,0,0,0,,,,,,,1,,TAG PULLED
B2,TR,2290.6,,,HETARB,0,1,0,0,0,,0.56,,,122,3,,,
B2,TR,2290.7,,,HETARB,0,0,0,0,0,,,,,,,1,,TAG PULLED
B2,TR,2292,,,HETARB,0,1,0,0,0,,0.56,,,79.5,5,,,"SAYS REMOVED IN '19, BUT WE FOUND IT. IT WAS 2285 THAT WAS PULLED IN '19"
B2,SA,5589,,,HETARB,0,1,,,,95.3,0.51,10,,,,,,
B2,SA,5590,,,HETARB,0,1,,,,63.4,0.31,5,,,,,,
B2,TR,1908,,,HETARB,0,0,0,0,0,,,,,,,,,TAG FOUND ON GROUND/REMOVED
B2,TR,1908.1,,,HETARB,0,0,0,0,0,,,,,,,1,,TAG PULLED
B2,TR,1908.2,,,HETARB,0,0,0,0,0,,,,,,,1,,TAG PULLED
B2,TR,1908.3,,,HETARB,0,1,0,0,0,,0.58,,,81,2,,,
B2,TR,1908.4,,,HETARB,0,1,0,0,0,,0.53,,,86,4,,,
B2,TR,1908.5,,,HETARB,0,1,0,0,0,,0.58,,,84.6,10,,,
B2,TR,1908.6,,,HETARB,0,0,0,0,0,,,,,,,1,,TAG FOUND ON GROUND/REMOVED
B2,TR,1908.7,,,HETARB,0,0,0,0,0,,,,,,,1,,TAG FOUND ON GROUND/REMOVED
B2,TR,1908.8,,,HETARB,0,0,0,0,0,,,,,,,1,,TAG FOUND ON GROUND/REMOVED
B2,TR,1908.9,,,HETARB,0,0,0,0,0,,,,,,,1,,TAG FOUND ON GROUND/REMOVED
B2,TR,1908.11,,,HETARB,0,1,0,0,0,,0.48,,,66.5,2,,,MOVED TAG .11/AUTOCORRECTED TO .1
A2,TR,2265,,,HETARB,0,1,0,0,0,,0.53,,,70.5,8,,,
A2,TR,2265.1,,,HETARB,0,0,0,0,0,,,,,,,,,NO TAG IN '19/'20
A2,SA,2271,,,QUEAGRI,0,0,,,,,,,,,,1,,TAG PULLED 
A2,SA,2260,20,160,HETARB,0,1,,,,39.3,0.35,2,,,,,,
B1,TR,2241,,,HETARB,0,1,0,0,0,,0.62,,,86.1,5,,,
B1,TR,2241.1,,,HETARB,0,0,0,0,0,,,,,,,,,NOT FOUND
B1,TR,2241.2,,,HETARB,0,1,0,0,0,,0.35,,,68,2,,,
B1,TR,2241.3,,,HETARB,0,0,0,0,0,,,,,,,1,,TAG PULLED
B1,TR,5595,,,UMBCAL,0,1,0,0,0,,0.43,,,86.5,3,,,
B1,TR,2239,,,HETARB,0,1,0,0,0,,0.54,,,79,3,,,
B1,TR,2239.1,,,HETARB,0,0,0,0,0,,,,,,,1,,TAG PULLED
B1,TS,2239.2,,,HETARB,0,1,,,,53.3,0.29,10,,,,,,
B1,TR,2257,,,QUEGAR,1,0,1,1,4,,,,,,,,,QUELOB? (misenetered ad agri-mkqc22
B1,TR,2257.1,,,QUEGAR,1,0,1,1,4,,,,,,,,,QUELOB? (misenetered ad agri-mkqc23
B1,TR,2257.2,,,QUEGAR,1,0,1,1,4,,,,,,,,,QUELOB? (misenetered ad agri-mkqc24
B1,TR,2240,,,HETARB,0,1,0,0,0,,0.6,,,67.5,1,,,
B1,TR,2240.1,,,HETARB,0,0,0,0,0,,,,,,,1,,TAG PULLED
B1,TR,2240.2,,,HETARB,0,1,0,0,0,,0.58,,,89.5,5,,,
B1,TR,2240.3,,,HETARB,0,1,0,0,0,,0.6,,,106.8,4,,,
B1,TR,2240.4,,,HETARB,0,1,0,0,0,,0.5,,,83,4,,,
B1,TR,2240.5,,,HETARB,0,1,1,0,0,,0.56,,,73,2,,,
B2,TR,2299,,,HETARB,0,1,0,0,0,,0.51,,,92.9,5,,,no .1 for 2299
B2,TR,2299.2,,,HETARB,0,1,0,0,0,,0.58,,,112.9,10,,,
B2,TR,2298,,,HETARB,0,1,0,0,0,,0.49,,,77.9,9,,,
B2,TR,2298.1,,,HETARB,0,1,0,0,0,,0.56,,,106.4,10,,,
B2,TR,2298.2,,,HETARB,0,0,0,0,0,,,,,,,1,,
B2,TR,2298.3,,,HETARB,0,0,0,0,0,,,,,,,,,
B2,TR,2296,,,HETARB,0,0,0,0,0,,0.51,,,100,12,,,
B2,TR,2296.1,,,HETARB,0,0,0,0,0,,,,,,,1,,
B2,TR,2296.2,,,HETARB,0,0,0,0,0,,,,,,,1,,not found
