Plot ID,1327,,Sampler(s),"MK, MF, CM, TT",,,,,Date ,11/19/20,TO 2020/11/20,,,,,,,,
D1,SA,6152,230,150,RHACRO,0,1,,,,22.5,0.2,7,,,,,,
D1,SA,4486,,,RHACRO,0,1,,,,45.5,0.27,24,,,,,,
D1,SA,6151,,,RHACRO,0,1,,,,30.5,125,13,,,,,,
D1,TR,4487,,,PSEMEN,0,0,0,0,0,,,,,,,1,,TAG PULLED
D1,SA,4490,,,PSEMEN,0,0,,,,,,,,,,1,,TAG PULLED
D1,SA,4497,,,RHACRO,0,1,,,,54.4,0.33,29,,,,,,
D1,SA,4489,,,PSEMEN,0,0,,,,,,,,,,1,,TAG PULLED
D1,TR,4499,,,ADEFAS,0,0,0,0,0,,,,,,,1,,"FLOATING TAG, TAG PULLED"
D1,SA,4498,,,RHACRO,0,1,,,,51.5,0.28,23,,,,,,
D1,SA,4494,,,QUEBER,0,0,,,,,,,,,,,,BLUE FLAG/ changed from bergar to match other years 
D1,SA,4495,,,RHACRO,0,1,,,,44.6,0.33,21,,,,,,
D1,TR,4492,,,QUEBER,0,1,0,0,0,,0.68,,,48.8,0,,,
D1,SA,4493,,,QUEBER,0,1,,,,57.7,0.38,5,,,,,,changed from bergar to match other years 
D1,SA,6153,330,240,QUEBER,0,0,,,,,,,,,,,,BLUE FLAG- changed from bergar to match other years 
D1,SA,4418,,,QUEBEGA,0,1,,,,55.9,0.57,7,,,,,,
D1,SA,6856,,,FRACAL,0,1,,,,18,0.13,2,,,,,,CHANGE IN '19 DB FROM RHACRO TO FRACAL
D1,SA,6862,,,QUEBEGA,0,0,,,,,,,,,,,,BLUE FLAG
D1,SA,6863,,,QUEBEGA,0,0,,,,,,,,,,,,BLUE FLAG
D1,SA,4480,,,ADEFAS,0,0,,,,,,,,,,,,BLUE FLAG
D1,SA,6839,,,RHACRO,0,0,,,,,,,,,,,,BLUE FLAG
D1,SA,6840,,,RHACRO,0,0,,,,,,,,,,,,BLUE FLAG
D1,SA,6841,,,QUEBEGA,0,1,,,,22.5,0.31,5,,,,,,
D1,SA,6861,,,QUEBEGA,0,0,,,,,,,,,,,,BLUE FLAG
D2,TR,4479,,,QUEBER,0,1,0,0,0,,0.31,,,70.6,4,,,
D2,TR,4479.1,,,QUEBER,0,0,0,0,0,,,,,,,,,LEFT TAG
D2,TR,4479.2,,,QUEBER,0,0,0,0,0,,,,,,,1,,TAG PULLED
D2,TR,4479.3,,,QUEBER,0,0,0,0,0,,,,,,,1,,TAG PULLED
D2,TR,4479.4,,,QUEBER,0,0,0,0,0,,,,,,,1,,TAG PULLED
D2,SA,4478,,,QUEBER,1,0,,,,129.5,0.89,3,,,,,,ONE OF 3 OG STEMS LIVED
D2,TR,4472,,,QUEBER,0,1,0,0,0,,0.67,,,57.9,5,,,
D2,SA,4477,,,HETARB,0,1,,,,52,0.39,6,,,,,,
D2,SA,6154,,,QUEBER,0,0,,,,,,,,,,,,BLUE FLAG
D2,SA,4473,,,QUEBER,0,1,,,,39.9,0.38,2,,,,,,
D2,SA,4471,,,QUEBER,0,1,,,,59.5,0.4,7,,,,,,
D2,SA,4474,,,QUEBER,0,1,,,,53.7,0.54,7,,,,,,
D2,SA,4470,,,QUEBER,0,1,,,,44,0.41,10,,,,,,
D2,SA,4475,,,HETARB,0,0,,,,,,,,,,,,BLUE FLAG
D2,TR,4469,,,FRACAL,0,1,0,0,0,,0.78,,,124.5,14,,,
D2,TR,4469.1,,,FRACAL,0,0,0,0,0,,,,,,,1,,TAG PULLED
D2,SA,4468,,,QUEBER,0,1,,,,38,0.25,4,,,,,,NOT ON LISTS...4465 IN D2 IS REALLY 4468 WHICH WASN'T ON LIST-CHANGE IN '19 DATABASE
D2,TR,4466,,,QUEBER,0,1,0,0,0,,0.63,,,59.9,2,,,
D2,SA,4467,,,QUEBER,0,1,,,,56,0.38,7,,,,,,
D2,TR,4476,,,QUEBEGA,0,1,0,0,0,,0.85,,,85.8,9,,,LOOKS VERY QUEAGRI/ CHANGED FROM QUEAGKE MKQC2022
D2,TR,4476.1,,,QUEBEGA,0,0,0,0,0,,,,,,,,,LOOKS VERY QUEAGRI/ CHANGED FROM QUEAGKE MKQC2023
D2,SA,6842,,,HETARB,0,1,,,,37,0.47,8,,,,,,
B2,SA,4405,,,QUEBER,0,0,,,,,,,,,,,,BLUE FLAG
C2,TR,4422,,,QUEAGRI,1,0,1,1,3,,,,,,,,,
B2,SA,4409,,,QUEBER,0,0,,,,,,,,,,,,BLUE FLAG
C2,TR,4424,,,QUEAGRI,0,1,0,0,0,,,,,,,,,
B2,SA,4408,,,HETARB,0,1,,,,16.5,0.2,3,,,,,,
C2,TR,4426,,,HETARB,0,1,0,0,0,,0.48,,,57.7,1,,,
C2,TR,4426.1,,,HETARB,0,0,0,0,0,,,,,,,1,,TAG PULLED
C2,TR,4427,,,PSEMEN,1,0,0,1,1,,,,,,,,,
C2,TR,4423,,,PSEMEN,0,0,0,0,0,,,,,,,,,
C2,SA,4421,,,HETARB,0,1,,,,59.5,0.48,9,,,,,,
C2,SA,6133,,,HETARB,0,0,,,,,,,,,,,,BLUE FLAG
C2,TR,4400,,,PSEMEN,1,0,0,1,,,,,,,,,,CC NOT NOTED
C2,SA,4420,,,QUEBEGA,0,1,,,,36.9,0.4,0.3,,,,,,
C2,SA,4419,,,QUEBER,0,1,,,,58.5,0.33,10,,,,,,changed from bega to match other years- mkqc2022
C2,TR,4425,,,QUEAGRI,0,0,0,0,0,,,,,,,,,BURNED AND GONE
C2,SA,6131,,,QUEAGRI,0,0,,,,,,,,,,,,BLUE FLAG
C2,SA,6132,,,HETARB,0,0,,,,,,,,,,,,BLUE FLAG
C2,SA,6857,,,HETARB,0,0,,,,,,,,,,,,NOT FOUND
B3,TR,4397,,,PSEMEN,1,0,0,1,3,,,,,,,,,
B3,SA,4396,,,QUEAGRI,0,1,,,,25,0.28,7,,,,,,QUESTIONABLE ID
B3,SA,6127,,,HETARB,0,0,,,,,,,,,,,,BLUE FLAG
B2,SA,4402,,,HETARB,0,1,,,,33.9,0.28,3,,,,,,
B2,SA,4403,,,HETARB,0,0,,,,,,,,,,,,BLUE FLAG
B2,SA,6869,,,QUEBEGA,0,1,,,,23.5,0.31,2,,,,,,
B2,TR,4406,,,HETARB,0,1,,,,,0.98,,,75.2,11,,,.1 AND .2 PULLED IN '19
B2,TR,4406.3,,,HETARB,0,0,,,,,,,,,,1,,TAG PULLED
B2,TR,4406.4,,,HETARB,0,0,,,,,,,,,,,,NOT FOUND
B2,TR,4406.5,,,HETARB,0,0,,,,,,,,,,1,,TAG PULLED
B2,TR,4401,,,HETARB,0,0,,,,,,,,,,,,BLUE FLAG
B2,SA,4404,,,QUEBER,0,1,,,,51.4,0.37,4,,,,,,
B2,SA,4407,,,HETARB,0,0,,,,,,,,,,,,
B2,SA,4410,,,QUEAGRI,0,1,,,,28.7,0.28,2,,,,,,
B2,SA,6859,,,HETARB,0,1,,,,18.1,0.13,1,,,,,,
B2,SA,6128,,,QUEBER,0,0,,,,,,,,,,,,BLUE FLAG
A3,TR,4377,,,PSEMEN,0,0,,,,,,,,,,,,"NOT ON LIST, TWO 4373"
A3,TR,4379,,,HETARB,0,1,,,,,1.34,,,117.2,19,,,".1, .2, .3 PULLED IN '19"
A3,TR,4379.4,,,HETARB,0,0,,,,,,,,,,1,,TAG PULLED
A3,TR,4372,,,PSEMEN,0,0,,,,,,,,,,,,
A3,SA,4381,,,QUEAGRI,0,1,,,,37.8,0.49,1,,,,,,
A3,SA,6870,,,UMBCAL,0,0,,,,,,,,,,,,BLUE FLAG
A3,TR,4380,,,PSEMEN,0,0,,,,,,,,,,,,
A3,SA,4378,,,UMBCAL,0,1,,,,39.1,0.38,16,,,,,,
A3,SA,6871,,,QUEBAR,0,1,,,,32.5,0.38,0,,,,,,
A3,TR,4382,,,HETARB,0,1,0,0,0,,0.46,,,76,11,,,
A3,TR,4382.1,,,HETARB,0,0,0,0,0,,,,,,,1,,TAG PULLED
A3,TR,4382.2,,,HETARB,0,0,0,0,0,,,,,,,1,,TAG PULLED
A3,TR,4382.3,,,HETARB,0,0,0,0,0,,,,,,,1,,TAG PULLED
A3,TR,4382.4,,,HETARB,0,0,0,0,0,,,,,,,1,,TAG PULLED
A3,SA,6872,,,UMBCAL,0,0,,,,,,,,,,,,BLUE FLAG
A3,SA,4375,,,PSEMEN,0,0,,,,,,,,,,1,,TAG PULLED
A3,SA,6860,,,HETARB,0,0,,,,,,,,,,,,
A3,TR,4373,,,PSEMEN,0,0,0,0,0,,,,,,,1,,TAG BURNED
A3,TR,4376,,,QUEAGRI,0,0,,,,,,,,,,,,TAG BURNED
A4,TR,4383,,,PSEMEN,0,0,0,0,0,,,,,,,1,,TAG PULLED
A4,TR,4384,,,PSEMEN,0,0,0,0,0,,,,,,,1,,TAG PULLED
A4,TR,4385,,,PSEMEN,0,0,0,0,0,,,,,,,,,
A4,SA,4386,,,UMBCAL,0,0,,,,,,,,,,,,BLUE FLAG
A4,SA,6126,,,QUEBER,0,1,,,,20.1,0.18,2,,,,,,
B4,TR,4387,,,PSEMEN,0,0,0,0,0,,,,,,,,,
B4,SA,4388,,,UMBCAL,0,1,,,,66,0.68,0,,,,,,BROWSED
B4,TR,4389,,,UMCAL,0,1,0,0,0,,0.62,,,114.5,5,,,
B4,SA,4394,,,QUEBER,0,1,,,,23.1,0.16,5,,,,,,
B4,SA,4395,,,QUEBEGA,0,1,,,,14.8,0.18,0,,,,,,
B4,TR,4392,,,UMBCAL,0,1,0,0,0,,0.83,,,109.1,3,,,
B4,TR,4393,,,HETARB,0,1,0,0,0,,0.85,,,101.5,16,,,.1 PULLED IN '19
B4,TR,4393.2,,,HETARB,0,0,0,0,0,,,,,,,,,TAG PULLED
B4,SA,6135,,,QUEBER,0,1,,,,29.5,0.33,3,,,,,,changed from bergar to match other years - mkqc2022
B4,,4391,,,PSEMEN,0,0,,,,,,,,,,1,,NOT FOUND IN '19 OR '20
C3,TR,4398,,,HETARB,0,1,0,0,0,,1.2,,,163.3,31,,,.4 AND .5 PULLED IN '19
C3,TR,4398.1,,,HETARB,0,0,0,0,0,,,,,,,1,,TAG PULLED
C3,TR,4398.2,,,HETARB,0,0,0,0,0,,,,,,,1,,TAG PULLED
C3,TR,4398.3,,,HETARB,0,0,0,0,0,,,,,,,1,,TAG PULLED
C3,TR,4398.6,,,HETARB,0,0,0,0,0,,,,,,,1,,TAG PULLED
C3,SA,4399,,,QUEAGRI,0,0,,,,,,,,,,,,BLUE FLAG
C3,SA,6134,,,QUEAGRI,0,0,,,,,,,,,,,,BLUE FLAG
C3,TR,4431,,,UMBCAL,0,1,0,0,0,,0.98,,,77.2,13,,,BROWSED
C3,SA,4428,,,QUEAGRI,0,1,,,,31.1,0.35,3,,,,,,
C3,SA,4433,,,HETARB,0,1,,,,35.4,0.35,3,,,,,,
C3,SA,4434,,,HETARB,0,1,,,,74.5,0.71,3,,,,,,BROWSED
C3,SA,4436,,,QUEBER,0,0,,,,,,,,,,,,BLUE FLAG
C3,SA,4435,,,HETARB,0,1,,,,52.3,0.32,1,,,2,,,
C3,TR,4437,,,HETARB,0,1,,,,,0.97,,,106.4,20,,,BROWSED
C3,TR,4437.1,,,HETARB,0,0,,,,,,,,,,,,
C3,TR,4439,,,PSEMEN,0,0,,,,,,,,,,,,
C3,TR,4429,,,HETARB,0,1,,,,,0.84,,,115.6,5,,,
C3,TR,4429.1,,,HETARB,0,0,,,,,,,,,,1,,TAG PULLED
C3,TR,4429.2,,,HETARB,0,0,,,,,,,,,,1,,TAG PULLED
C3,SA,4432,,,RHACRO,0,1,,,,29.5,0.19,7,,,,,,
C4,TR,4184,,,PSEMEN,0,0,,,,,,,,,,1,,TAG PULLED
C4,SA,4438,,,PSEMEN,0,0,,,,,,,,,,1,,TAG PULLED
C4,SA,6858,,,QUEBEGA,0,1,,,,17.2,0.12,3,,,,,,
C4,TR,4440,,,PSEMEN,0,0,,,,,,,,,,1,,TAG PULLED
C4,TR,4441,,,QUEAGRI,1,0,1,1,2,,,,,,,,,
C4,TR,4441.1,,,QUEAGRI,1,0,1,1,3,,,,,,,,,
C4,SA,4485,,,QUEBER,0,1,,,,36,0.35,0,,,,,,changed from bergar to match other years -mkqc2022
C4,SA,4390,,,QUEBEGA,0,1,,,,6.5,,0,,,,,,"NOT QUEAGRI, BF'ED B/C MIGHT NOT LIVE...SO TINY..."
D3,TR,4462,,,QUEBER,0,1,0,0,0,,0.79,,,100.5,6,,,changed from bergar to match other years -mkqc2022
D3,TR,4462.1,,,QUEBEGA,0,0,0,0,0,,,,,,,,,
D3,TR,4459,,,QUEBEGA,0,1,0,0,0,,0.75,,,60,2,,,
D3,TR,4458,,,QUEAGRI,0,1,0,0,0,,0.47,,,75.7,11,,,
D3,TR,4458.1,,,QUEAGRI,0,1,0,0,0,,0.79,,,72,6,,,
D3,TR,4458.2,,,QUEAGRI,0,0,0,0,0,,,,,,,1,,TAG PULLED
D3,TR,4465,,,QUEAGRI,0,1,0,0,0,,0.8,,,101.8,11,,,
D3,TR,4465.1,,,QUEAGRI,0,0,0,0,0,,,,,,,,,
D4,TR,4442,,,QUEAGRI,1,1,0,1,1,,,,,,0,,,
D4,TR,4445,,,QUEAGRI,1,0,1,1,2,,,,,,,,,
D4,TR,4445.1,,,QUEAGRI,0,0,0,0,0,,,,,,,,,
D4,TR,4445.2,,,QUEAGRI,0,0,0,0,0,,,,,,,,,
D4,SA,4444,,,QUEBER,0,1,,,,30.5,0.29,12,,,,,,
D4,TR,4483,,,QUEBEGA,0,1,0,0,0,,0.46,,,50.4,1,,,
D3,SA,4464,,,QUEBEGA,0,1,,,,39.9,0.39,3,,,,,,changed from queber bc was queagke in 2013db
D4,SA,4447,,,QUEAGRI,0,1,,,,58.6,0.3,2,,,,,,
D3,SA,4455,,,QUEBER,0,1,,,,45,0.29,16,,,,,,
D3,TR,4448,,,QUEBER,0,1,0,0,0,,0.35,,,,0,,,
D3,TR,4448.1,,,QUEBER,0,0,0,0,0,,,,,,,1,,TAG PULLED
D3,SA,4457,,,ADEFAS,0,0,,,,,,,,,,,,BLUE FLAG
D4,SA,4456,,,HETARB,0,1,,,,77.4,0.73,7,,,,,,
D3,SA,4461,,,HETARB,0,1,,,,55.5,0.31,5,,,,,,
D3,SA,4482,,,QUEBER,0,1,,,,56.6,0.36,23,,,,,,
D3,SA,4460,,,QUEBER,0,1,,,,48.5,0.41,13,,,,,,NOT AN UMBCAL/ chnaged form bergar to ber to match past years- mkqc2022
D3,SA,4484,,,QUEBER,0,1,,,,57,0.5,8,,,,,,
D3,SA,4463,,,QUEBER,0,1,,,,40,0.48,27,,,,,,changed from bega to match other years 
D3,SA,6155,,,UMBCAL,0,0,,,,,,,,,,,,BLUE FLAG
D3,SA,6873,,,QUEAGRI,0,0,,,,,,,,,,,,BLUE FLAG
D4,SA,6137,,,QUEBER,0,0,,,,,,,,,,1,,"TAG PULLED, COMBINE W/ 6138 CONNECTED AT BASE"
D4,SA,6138,,,QUEBER,0,1,,,,51,0.31,10,,,,,,
D4,SA,4449,,,QUEBER,0,0,,,,,,,,,,,,COMBINE DATA WITH 4450 CONNECTED AT BASE
D4,SA,4450,,,QUEBER,0,1,,,,59.5,0.39,2,,,,,,
D4,SA,4451,,,HETARB,0,1,,,,80.7,0.36,6,,,,,,
D4,SA,4452,,,QUEBEGA,0,0,,,,,,,,,,,,BLUE FLAG
D4,SA,4454,,,HETARB,0,1,,,,54.6,0.37,4,,,,,,
D4,SA,4443,,,HETARB,0,0,,,,,,,,,,,,BLUE FLAG
D4,SA,4453,,,QUEBER,0,0,,,,,,,,,,,,NOT FOUND IN '19 OR '20
