Plot ID,1321,,Sampler(s),"MK, MO",,,,,Date ,20210119,,,,,,,,,
C3,SA,5975,,,UMBCAL,1,0,,,,98.7,0.84,1,,,,,,
D2,SA,5946,,,AMOCAL,0,1,,,,40.4,0.41,10,,,,,,
D2,SA,6987,37,4,AMOCAL,0,1,,,,90,0.63,12,,,,,,"NEW TAG, XY OFF OF 2465"
D2,SA,2461,,,AMOCAL,1,0,,,,106.5,1.24,14,,,,,,BASAL NOT NOTED
D2,TR,2457,,,AMOCAL,0,0,0,0,0,,,,,,,,,NOT FOUND 
D2,SA,2459,,,AMOCAL,1,0,,,,103,0.74,16,,,,,,BASAL NOT NOTED
D3,TR,2439,,,QUEGAR,0,0,0,0,0,,,,,,,1,,"DK, TAG PULLED"
D2,TR,2462,,,QUEKEL,0,0,0,0,0,,,,,,,,,DEAD ON GROUND
D2,SA,2468,,,AMOCAL,0,1,,,,52.5,0.33,9,,,,,,
D2,SA,2467,,,AMOCAL,0,1,,,,21.6,0.21,4,,,,,,RIGHT NEXT TO 2463
D2,SA,2472,,,AMOCAL,0,0,,,,,,,,,,,,"LISTED TWICE IN 19, NOT OFUND IN 21"
D2,SA,2473,,,AMOCAL,0,1,,,,105,0.68,15,,,,,,
D3,SA,2441,,,UMBCAL,0,1,,,,42.7,0.63,3,,,,,,
D3,SA,5958,,,UMBCAL,0,1,,,,27,0.35,1,,,,,,
D3,SA,2486,,,UMBCAL,1,0,,,,38.5,0.53,3,,,,,1,SOD 
D3,TR,2442,,,QUEGAR,0,1,0,0,0,,,,,,0,,,DEAD ON GROUND
D3,SA,2436,,,UMBCAL,0,0,,,,,,,,,,,,DK
D3,SA,2437,,,UMBCAL,0,0,,,,,,,,,,,,DK
D3,SA,2438,,,FRACAL,0,0,,,,,,,,,,,,DK
D3,SA,2440,,,AMOCAL,0,0,,,,,,,,,,,,DK
D3,SA,2485,,,UMBCAL,0,0,,,,,,,,,,,,"DK, XY IS BAD"
D3,SA,5950,,,UMBCAL,0,0,,,,,,,,,,,,DK
D3,SA,5951,,,UMBCAL,0,0,,,,,,,,,,,,DK
D3,SA,6470,,,FRACAL,0,0,,,,,,,,,,1,,"DK, TAG PULLED"
D3,SA,5952,,,UMBCAL,0,0,,,,,,,,,,,,DK 
D4,SA,2433,,,UMBCAL,0,1,,,,73.9,1.19,2,,,,,,
D4,SA,2434,,,UMBCAL,0,1,,,,100,1,4,,,,,,
D4,SA,5953,,,UMBCAL,0,1,,,,64.9,0.68,0,,,,,,
D4,SA,5955,,,UMBCAL,0,1,,,,95.9,0.7,1,,,,,,
D4,SA,2435,,,UMBCAL,0,0,,,,,,,,,,,,DK
C3,SA,2422,,,UMBCAL,1,0,,,,98.6,0.95,2,,,,,1,SOD
C3,SA,2421,,,UMBCAL,1,0,,,,153.2,1.08,1,,,,,,
C3,SA,5956,,,UMBCAL,0,0,,,,,,,,,,,,DK TAG LOST
C3,SA,5973,,,UMBCAL,0,0,,,,,,,,,,,,DK TAG LOST
C3,SA,6471,,,FRACAL,1,0,,,,48.2,0.34,0,,,,,,
C3,SA,6480,,,FRACAL,1,0,,,,64.7,0.62,0,,,,,,
C3,SA,6482,,,FRACAL,1,0,,,,85.3,0.55,0,,,,,,
C3,SA,6994,60,260,QUEAGRI,1,0,,,,68.8,0.41,0,,,,,,NEW SA
C4,SA,5970,,,UMBCAL,1,0,,,,71.3,0.75,2,,,,,,NO SOD
C4,SA,2427,,,UMBCAL,1,0,,,,152.4,1.35,4,,,,,,SO SOD
C4,SA,5899,,,UMBCAL,1,0,,,,78.7,0.85,2,,,,,1,SOD
C4,SA,2428,,,UMBCAL,1,0,,,,92.2,1,1,,,,,1,SOD
C4,SA,6472,,,UMBCAL,1,0,,,,51.5,0.78,3,,,,,1,SAME AS 5972 DOUBLE TAGGED but 5972 was pulled- changed in past DB;s from 5972 to 6472
C4,SA,2432,,,UMBCAL,1,0,,,,76.8,1.33,7,,,,,,
C4,SA,5971,,,FRACAL,1,0,,,,42.8,0.41,6,,,,,,BROWSED 
C4,SA,6473,,,FRACAL,1,0,,,,71.8,0.58,1,,,,,,
C4,SA,6995,130,180,FRACAL,1,0,,,,62.7,0.53,1,,,,,,NEW SA 
B4,SA,2389,,,FRACAL,1,1,,,,64.3,0.52,4,,,,,,
B4,TR,2390,,,QUEGAR,1,1,0,1,99,,,,,58,1,,,
B4,SA,2388,,,UMBCAL,1,0,,,,78.3,1.08,7,,,,,,
B4,SA,6475,,,FRACAL,1,0,,,,67.5,0.57,4,,,,,,
B4,SA,2379,,,UMBCAL,1,0,,,,91.1,1,0,,,,,,NO SOD 
B4,SA,2378,,,UMBCAL,1,0,,,,139,1.36,5,,,,,,NO SOD 
B4,SA,2385,,,UMBCAL,1,0,,,,120.6,1.19,2,,,,,1,SOD
B4,SA,2382,,,UMBCAL,1,0,,,,73.1,0.64,3,,,,,,NO SOD 
B4,SA,5862,,,UMBCAL,1,0,,,,79.5,0.71,3,,,,,1,SOD
B4,SA,2381,,,UMBCAL,1,0,,,,101.3,1.07,4,,,,,,
B4,SA,6476,,,FRACAL,1,0,,,,71.3,0.6,3,,,,,,
B4,SA,2377,,,UMBCAL,1,0,,,,122,1.24,5,,,,,,NO SOD
B4,SA,2380,,,UMBCAL,1,0,,,,70.4,0.6,3,,,,,,NEW SA
B4,SA,6996,120,430,FRACAL,1,0,,,,50.7,0.48,4,,,,,,
B4,TR,2384,,,QUEKEL,1,0,0,1,99,,,,,,,,,
B4,TR,2387,,,QUEAGRI,1,0,1,1,3,,,,,,,,,
B4,TR,2387.1,,,QUEAGRI,1,0,1,1,2,,,,,,,,,
A4,TR,2374,,,QUEGAR,1,1,0,1,99,,,,,,0,,,SOD
A4,SA,2372,,,UMBCAL,1,0,,,,133.1,0.9,4,,,,,,SOD
A4,SA,5853,,,UMBCAL,1,0,,,,52.2,0.71,1,,,,,,
A4,SA,2371,,,FRACAL,1,0,,,,82,0.94,2,,,,,,
A4,SA,6478,,,UMBCAL,0,1,,,,52,0.55,0,,,,,,NO SOD 
A4,SA,5854,,,UMBCAL,1,0,,,,78.9,0.94,2,,,,,1,SOD
A4,SA,2369,,,UMBCAL,0,0,,,,,,,,,,,,NOT FOUND IN 19 0R 21
A4,SA,2375,,,UMBCAL,1,0,,,,77.5,0.91,1,,,,,,NO SOD 
A4,SA,2376,,,UMBCAL,1,0,,,,91.7,0.85,4,,,,,,SOD 
C2,SA,5976,,,UMBCAL,0,0,,,,,,,,,,1,,DK
C2,SA,5977,,,UMBCAL,0,0,,,,,,,,,,1,,DK
C2,SA,2411,,,FRACAL,0,0,,,,,,,,,,,,NOT FOUND 
C2,SA,2409,,,UMBCAL,0,0,,,,,,,,,,,,NOT FOUND
C2,SA,2410,,,UMBCAL,0,0,,,,,,,,,,,,NOT FOUND
C2,SA,2412,,,UMBCAL,0,0,,,,,,,,,,,,NOT FOUND
C2,SA,2413,,,UMBCAL,0,0,,,,,,,,,,,,NOT FOUND
C2,SA,2417,,,UMBCAL,0,0,,,,,,,,,,,,NOT FOUND 
C2,SA,2414,,,UMBCAL,0,0,,,,,,,,,,,,NOT FOUND 
C3,SA,2395,,,AMOCAL,0,0,,,,,,,,,,,,NOT FOUND IN 19 0R 21
C3,SA,2423,,,UMBCAL,0,0,,,,,,,,,,,,NOT FOUND
C3,SA,2424,,,UMBCAL,0,0,,,,,,,,,,,,NOT FOUND 
C3,SA,2426,,,UMBCAL,0,0,,,,,,,,,,1,,DK
C3,SA,2484,,,UMBCAL ,0,0,,,,,,,,,,,,NOT FOUND 
