Plot ID,1348,,Sampler(s),MK MF MO CM,,,,,Date ,20210112,,,,,,,,,
B2,TR,3090.1,,,QUEGAR,0,0,0,0,0,,,,,,,,,
B2,TR,3090.2,,,QUEGAR,1,0,1,1,99,,,,,,,,,
D4,SA,3228,,,AMOCAL,0,1,,,,194.7,1.52,15,,,,,,SENESCED
D4,TR,3179,,,PSEMEN,0,0,0,0,0,,,,,,,1,,
D4,SA,3227,,,UMBCAL,0,1,,,,26.5,0.24,1,,,,,1,
D4,SA,6975,,,AMOCAL,0,1,,,,72.2,0.55,3,,,,,,NEW; SENESCED
D3,TR,3230,,,QUEGAR,1,1,1,1,99,,,,,,,,,SENESCED; PSEMEN FELL ON CANOPY/NO BASAL DATA RECORDED
D3,TS,6907,,,QUEGAR,1,0,,,,36.1,0.47,8,,,,,,
D3,TR,3234,,,QUEGAR,1,0,0,1,99,,,,,,,,,
D3,TR,3233,,,QUEGAR,1,0,1,1,99,,,,,,,,,PSEMEN FELL ON CANOPY
D3,TR,3232,,,QUEGAR,1,1,0,1,99,,,,,,,,,NO BASAL DATA RECORDED
D3,TR,3237,,,UMBCAL,0,1,0,0,0,,0.78,,,91.6,6,,,
D3,TR,3237.1,,,UMBCAL,0,0,0,0,0,,,,,,,1,,
D3,SA,6918,,,AMOCAL,0,1,,,,72.5,0.42,2,,,,,,
D3,TS,6908,,,QUEGAR,1,0,,,,23.6,0.28,2,,,,,,
D3,SA,3241,,,AMOCAL,0,1,,,,137.5,0.79,11,,,,,,
D3,SA,3240,,,AMOCAL,0,1,,,,172.2,0.94,19,,,,,,
D3,SA,6906,,,AMOCAL,0,1,,,,61,0.42,4,,,,,,
D3,SA,3242,,,UMBCAL,1,0,,,,69.1,0.88,2,,,,,1,NOT ON LIST
D3,SA,3244,,,UMBCAL,1,0,,,,71,1.02,0,,,,,1,
D3,TR,3185,,,PSEMEN,0,0,0,0,0,,,,,,,1,,
D3,SA,6196,,,UMBCAL,1,0,,,,25.2,0.66,2,,,,,,TOPKILLED
D3,SA,6197,,,UMBCAL,1,0,,,,81.2,0.7,1,,,,,1,
D3,TR,3246,,,PSEMEN,0,0,0,0,0,,,,,,,1,,
D3,SA,3180,,,PSEMEN,1,0,,,,57.5,1.14,0,,,,,,
D3,SA,3238,,,AMOCAL,0,1,,,,53.8,0.33,2,,,,,,
D3,SA,3236,,,AMOCAL,0,1,,,,102.1,0.6,6,,,,,,
D3,TR,3235,,,QUEGAR,1,1,1,1,99,,,,,,,,,
D3,SA,3239,,,AMOCAL,1,0,,,,102.2,0.56,0,,,,,,DUPLICATED ON LIST
D3,SA,6919,,,AMOCAL,0,1,,,,55.1,0.52,0,,,,,,
D3,SA,6920,,,AMOCAL,0,1,,,,53.3,0.43,4,,,,,,
D3,SA,3231,,,PSEMEN,0,0,,,,,,,,,,,,DEAD AND GONE; NOT FOUND
D2,SA,3247,,,UMBCAL,1,0,,,,112.9,1.06,0,,,,,1,
D2,TR,3186,,,HETARB,0,0,0,0,0,,,,,,,,,
D2,TR,3186.1,,,HETARB,1,1,1,1,3,,0.74,,,79.5,1,,,
D2,SA,3248,,,UMBCAL,1,0,,,,130.6,1.7,1,,,,,1,
D2,SA,3250,,,AMOCAL,0,1,,,,158.7,1.06,13,,,,,,
D2,TR,3188,,,QUEGAR,1,1,1,1,99,,,,,59.5,1,,,
D2,TR,3254,,,QUEGAR,1,0,1,1,99,,,,,,,,,
D2,TR,3253,,,QUEGAR,1,0,1,1,99,,,,,,,,,
D2,SA,3189,,,AMOCAL,0,1,,,,82,0.57,8,,,,,,
D2,TR,3190,,,PSEMEN,1,0,0,1,2,,,,,,,,,
D2,TR,3252,,,HETARB,1,1,0,1,2,,,,,193.5,18,,,
D2,TR,3252.1,,,HETARB,0,0,0,0,0,,,,,,,1,,
D2,TR,3252.4,,,HETARB,0,0,0,0,0,,,,,,,1,,19 DB SAYS 3252.5
D2,SA,6198,,,UMBCAL,1,0,,,,54,0.5,0,,,,,,
D2,SA,3249,,,AMOCAL,0,1,,,,42.4,0.23,6,,,,,,
D1,TR,3259,,,PSEMEN,1,0,0,1,3,,,,,,,,,
D1,TR,3260,,,PSEMEN,0,0,0,0,0,,,,,,,,,
D1,TR,3255,,,PSEMEN,1,0,0,1,2,,,,,,,,,
D1,TR,3263,,,HETARB,0,1,0,0,0,,0.98,,,17.4,16,,,LIST SAYS SA
D1,TR,3263.2,,,HETARB,0,0,0,0,0,,,,,,,1,,LIST SAYS SA
D1,TR,3263.3,,,HETARB,0,0,0,0,0,,,,,,,,,LIST SAYS SA
D1,TR,3263.4,,,HETARB,0,0,0,0,0,,,,,,,1,,LIST SAYS SA
D1,TR,3263.5,,,HETARB,0,0,0,0,0,,,,,,,1,,LIST SAYS SA
D1,TR,3261,,,PSEMEN,1,0,0,1,2,,,,,,,,,
D1,TR,3195,,,HETARB,0,1,0,0,0,,0.96,,,140.6,22,,,LIST SAYS SA
D1,TR,3195.3,,,HETARB,0,1,0,0,0,,1.21,,,161.7,8,,,LIST SAYS SA
B2,TR,3090.3,,,QUEGAR,0,0,0,0,0,,,,,,,,,MIGHT BE ALIVE BARELY
B2,TR,3090.4,,,QUEGAR,1,0,1,1,99,,,,,,,,,
B2,SA,6005,,,AMOCAL,0,1,,,,86.5,0.56,27,,,,,,
B2,SA,6006,,,AMOCAL,0,1,,,,91,0.69,8,,,,,,
B2,SA,6007,,,AMOCAL,0,1,,,,98.6,0.75,3,,,,,,
B2,SA,6004,,,AMOCAL,0,1,,,,70.9,0.59,13,,,,,,
B2,SA,3147,,,AMOCAL,0,1,,,,104.8,0.75,12,,,,,,
B2,SA,3148,,,AMOCAL,0,1,,,,93.5,0.61,12,,,,,,
B2,TR,3150,,,PSEMEN,1,0,0,1,3,,,,,,,,,
B2,SA,6001,,,AMOCAL,0,1,,,,115.2,0.79,8,,,,,,
B2,SA,6866,,,AMOCAL,0,1,,,,48,0.57,1,,,,,,
B2,SA,3141,,,AMOCAL,0,1,,,,65.9,0.69,7,,,,,,
B2,SA,6883,230,392,AMOCAL,0,1,,,,46.5,0.34,2,,,,,,
B2,SA,6977,325,195,AMOCAL,0,1,,,,66.8,0.57,15,,,,,,NEW SA
B3,SA,6002,,,AMOCAL,0,0,,,,56.6,0.43,3,,,,,,
B3,SA,3145,,,AMOCAL,0,1,,,,85.9,0.63,12,,,,,,
B3,SA,6187,,,AMOCAL,0,1,,,,108.9,0.9,9,,,,,,
B3,SA,6186,,,AMOCAL,0,1,,,,98,0.68,15,,,,,,
B3,TR,3144,,,QUEGAR,1,0,1,1,99,,,,,,,,,
B3,TR,3144.1,,,QUEGAR,1,0,1,1,99,,,,,,,,,
B3,SA,3182,,,AMOCAL,0,1,,,,67.7,0.59,12,,,,,,
B3,SA,6868,,,AMOCAL,0,1,,,,61.4,0.41,14,,,,,,
B3,SA,3183,,,AMOCAL,0,1,,,,59.4,0.44,11,,,,,,
B3,SA,3089,,,AMOCAL,0,1,,,,54.2,0.55,22,,,,,,
B3,TR,3078,,,PSEMEN,1,0,0,1,2,,,,,,,,,
B3,TR,3138,,,QUEGAR,1,0,1,1,99,,,,,,,,,
B3,SA,3140,,,AMOCAL,0,1,,,,72.2,0.78,2,,,,,,
B3,SA,3142,,,AMOCAL,0,1,,,,105.3,0.65,10,,,,,,
D1,SA,6008,,,AMOCAL,0,1,,,,77.1,0.54,2,,,,,,
D1,SA,6009,,,AMOCAL,0,1,,,,66.5,0.53,10,,,,,,
D1,SA,3257,,,AMOCAL,0,1,,,,98.6,0.74,9,,,,,,
D1,SA,3191,,,AMOCAL,0,1,,,,50.6,0.42,0,,,,,,
D1,SA,3262,,,AMOCAL,0,1,,,,110.4,0.8,16,,,,,,
C1,TR,3097,,,QUEGAR,1,1,1,1,99,,,,,,,,,NO BASAL DATA RECORDED
C1,SA,3096,,,AMOCAL,0,1,,,,116.3,0.75,21,,,,,,
C1,SA,3095,,,AMOCAL,0,1,,,,148,0.97,30,,,,,,
C1,TR,3162,,,QUEGAR,1,1,1,1,99,,,,,,0,,,
C1,TR,3163,,,QUEGAR,1,1,1,1,99,,,,,,0,,,
C1,TR,3164,,,QUEGAR,0,1,0,0,0,,,,,,0,,,TOP BROKEN OFF
C1,SA,3166,,,UMBCAL,0,1,,,,40.1,0.51,3,,,,,,
C1,TR,3165,,,QUEGAR,1,1,1,1,99,,,,,,0,,,
C1,SA,3169,,,AMOCAL,0,1,,,,148.2,0.88,27,,,,,,
C1,TS,6905,,,QUEGAR,1,0,,,,31.6,0.54,8,,,,,,
C1,SA,6876,,,AMOCAL,0,1,,,,105.1,0.72,6,,,,,,
C1,TR,3201,,,QUEGAR,1,0,1,1,99,,,,,,,,,
C2,TR,3099,,,QUEGAR,1,1,1,1,99,,,,,50.4,1,,,
C2,TR,3206,,,QUEGAR,1,1,1,1,99,,,,,,0,,,
C2,TR,3205,,,QUEGAR,1,1,1,1,99,,,,,,0,,,
C2,TR,3202,,,PSEMEN,0,0,0,0,0,,,,,,,1,,
C2,TR,3192,,,QUEGAR,1,1,1,1,99,,,,,,0,,,
C2,TR,3207,,,QUEGAR,1,1,1,1,99,,,,,,0,,,
C2,SA,3043,,,AMOCAL,0,1,,,,112.4,0.86,24,,,,,,
C2,SA,6894,,,AMOCAL,0,1,,,,56.6,0.36,11,,,,,,
C2,SA,6879,,,AMOCAL,0,1,,,,56.4,0.41,5,,,,,,
C2,SA,6892,,,AMOCAL,0,1,,,,54.2,0.45,13,,,,,,
C2,SA,6877,,,AMOCAL,0,1,,,,77.3,0.42,19,,,,,,
B3,SA,6185,,,AMOCAL,0,1,,,,107.6,0.66,19,,,,,,
B3,SA,6184,,,AMOCAL,0,1,,,,89,0.65,11,,,,,,
B3,SA,3146,,,AMOCAL,0,1,,,,57.6,0.53,7,,,,,,
B3,SA,6884,,,AMOCAL,0,0,,,,,,,,,,,,NOT FOUND
B3,SA,6885,,,AMOCAL,0,1,,,,53.8,0.4,10,,,,,,
A4,TR,3118,,,UMBCAL,0,0,0,0,0,,,,,,,,,DEAD BASAL
A4,TR,3118.1,,,UMBCAL,0,0,0,0,0,,,,,,,,,DEAD BASAL
A3,SA,3075,,,UMBCAL,0,1,,,,42,0.42,12,,,,,,
A3,TR,3109,,,QUEGAR,0,1,0,0,0,,,,,,0,,,
A3,TR,3110,,,QUEGAR,1,1,1,1,99,,,,,56.2,6,,,
A3,SA,6921,,,AMOCAL,0,1,,,,69.1,0.54,3,,,,,,
A3,TR,3108,,,QUEGAR,1,1,0,1,99,,,,,,0,,,
A3,TR,3114,,,PSEMEN,0,0,0,0,0,,,,,,,,,
A3,SA,3076,,,AMOCAL,0,1,,,,135,1.13,28,,,,,,
A3,SA,3077,,,AMOCAL,0,1,,,,117,0.89,11,,,,,,
A4,SA,3121,,,AMOCAL,0,1,,,,114.6,0.77,8,,,,,,
A3,TS,6867,,,QUEGAR,0,1,,,,49.5,0.32,5,,,,,,
A3,SA,3161,,,AMOCAL,0,1,,,,99.4,0.63,5,,,,,,
A3,TR,3111,,,AMOCAL,0,1,0,0,0,,0.84,,,162,22,,,
A3,SA,3074,,,UMBCAL,0,1,,,,44,0.44,10,,,,,,
A3,SA,3073,,,AMOCAL,0,1,,,,100.6,0.74,9,,,,,,
A3,SA,3115,,,HETARB,0,0,,,,,,,,,,,,NOT FOUND
A3,SA,3117,,,AMOCAL,0,1,,,,116.7,0.14,13,,,,,,
A3,TR,3158,,,QUEGAR,0,1,0,0,0,37.2,0.43,,,,0,,,STUMP SPROUTS
A3,TR,3160,,,QUEGAR,0,1,0,0,0,33.2,0.37,,,,0,,,STUMP SPROUTS
A4,TR,3123,,,UMBCAL,0,1,0,0,0,,0.83,,,79.8,3,,,
A4,SA,3122,,,AMOCAL,0,1,,,,134.6,0.93,9,,,,,,
C2,SA,6893,,,AMOCAL,0,1,,,,55.2,0.37,0,,,,,,
C2,SA,6878,,,AMOCAL,0,1,,,,63.8,0.4,2,,,,,,
C2,SA,6895,,,AMOCAL,0,1,,,,53.6,0.42,14,,,,,,
C2,SA,6896,,,AMOCAL,0,1,,,,57.3,0.39,5,,,,,,
C2,SA,3209,,,UMBCAL,0,0,,,,,,,,,,1,,
C2,SA,6021,,,AMOCAL,0,1,,,,41.6,0.41,14,,,,,,
C3,SA,6015,,,AMOCAL,0,1,,,,74.9,0.5,14,,,,,,IN C3 NOT C4
C3,SA,6017,,,AMOCAL,0,1,,,,73.4,0.53,8,,,,,,IN C3 NOT C4
C3,SA,6016,,,AMOCAL,0,1,,,,69.6,0.41,8,,,,,,IN C3 NOT C4
C3,SA,6010,,,AMOCAL,0,1,,,,74.1,0.48,16,,,,,,IN C3 NOT C4
C3,SA,3171,,,AMOCAL,0,1,,,,90.9,0.61,8,,,,,,IN C3 NOT C4
C3,SA,6011,,,AMOCAL,0,1,,,,114.8,0.56,19,was typo 6111- mkqc2022,,,,,IN C3 NOT C4
C3,TS,6898,,,QUEGAR,1,0,,,,30.4,0.38,1,,,,,,
C4,SA,6901,,,AMOCAL,0,1,,,,57.2,0.4,6,,,,,,
C3,SA,6019,,,AMOCAL,0,1,,,,74.6,0.49,6,,,,,,IN C3 NOT C4
C3,SA,6899,,,AMOCAL,0,1,,,,53.5,0.34,4,,,,,,
C3,SA,6903,,,AMOCAL,0,1,,,,100.4,0.58,6,,,,,,
C4,SA,3218,,,AMOCAL,0,1,,,,113,0.78,5,,,,,,
C3,SA,3213,,,AMOCAL,0,1,,,,89.2,0.63,12,,,,,,
C3,SA,3214,,,AMOCAL,0,1,,,,125.6,0.82,12,,,,,,
C3,SA,3215,,,AMOCAL,0,1,,,,138.2,0.74,13,,,,,,
C3,SA,3210,,,AMOCAL,0,1,,,,122.9,0.68,19,,,,,,
C3,SA,3212,,,AMOCAL,0,1,,,,105.3,0.72,7,,,,,,
C3,SA,3211,,,AMOCAL,0,1,,,,149.8,0.87,14,,,,,,
C3,SA,6023,,,AMOCAL,0,1,,,,114.2,0.81,7,,,,,,AMOCAL NOT UMBCAL
C3,SA,6022,,,AMOCAL,0,1,,,,91.6,0.74,11,,,,,,IN C3 NOT C4
C3,SA,6018,,,AMOCAL,0,1,,,,98.4,0.49,3,,,,,,
C3,TR,3173,,,QUEGAR,1,0,1,1,99,,,,,,,,,
A4,SA,3119,,,AMOCAL,0,1,,,,123,0.85,8,,,,,,
A4,SA,3120,,,AMOCAL,0,1,,,,100.4,0.7,6,,,,,,
A4,SA,6179,,,AMOCAL,0,1,,,,113.7,0.96,2,,,,,,
A4,SA,3129,,,AMOCAL,0,1,,,,133.3,0.69,7,,,,,,
A4,SA,6881,,,AMOCAL,0,1,,,,120.8,0.63,6,,,,,,
A4,TR,3128,,,UMBCAL,0,1,0,0,0,,0.85,,,144.8,21,,,
A4,SA,3081,,,AMOCAL,0,1,,,,154.1,1.07,14,,,,,,
A4,SA,3083,,,AMOCAL,0,1,,,,131,0.88,10,,,,,,
A4,SA,3126,,,AMOCAL,0,1,,,,108.6,0.74,7,,,,,,
A4,SA,6865,,,AMOCAL,0,1,,,,175.5,1.35,12,,,,,,
A4,SA,6882,,,AMOCAL,0,1,,,,135,0.85,21,,,,,,
A4,TR,3124,,,AMOCAL,0,1,0,0,0,,1.53,,,184.5,18,,,
A4,SA,3079,,,AMOCAL,0,1,,,,95,0.74,7,,,,,,
A4,SA,3082,,,AMOCAL,0,1,,,,139.5,0.9,2,,,,,,
A4,SA,6880,,,AMOCAL,0,1,,,,95.5,0.64,3,,,,,,
A4,SA,3125,,,AMOCAL,0,0,,,,,,,,,,1,,UMBCAL(2018) OR AMOCAL(2020)?
A4,SA,3127,,,AMOCAL,0,1,,,,111.9,0.87,5,,,,,,
B4,SA,6181,,,AMOCAL,0,1,,,,127.4,0.78,3,,,,,,
B4,SA,3130,,,AMOCAL,0,1,,,,106.4,0.79,18,,,,,,
B4,SA,6875,,,AMOCAL,0,1,,,,129.1,0.57,5,,,,,,
B4,SA,3086,,,AMOCAL,0,1,,,,109.9,0.73,4,,,,,,
B4,SA,6183,,,AMOCAL,0,1,,,,58.1,0.44,8,,,,,,
B4,TR,3135,,,QUEGAR,1,0,0,1,99,,,,,,,,,
B4,TR,3136,,,QUEGAR,1,0,1,1,99,,,,,,,,,
B4,TR,3137,,,QUEGAR,1,0,1,1,99,,,,,,,,,
B4,TR,3132,,,QUEGAR,1,1,1,1,99,,,,,,0,,,
B4,TR,3087,120,195,PSEMEN,0,0,0,0,0,,,,,,,1,,WRONG SP IN '19 DB
B4,SA,6886,,,AMOCAL,0,1,,,,89.5,0.6,7,,,,,,
C3,TR,3172,,,QUEGAR,1,0,1,1,99,,,,,,,,,CHANGE SPECIES IN '19 DB
C3,SA,6013,,,AMOCAL,0,1,,,,59.1,0.44,10,,,,,,IN C3 NOT C4
C3,SA,6904,,,AMOCAL,0,1,,,,65,0.43,1,,,,,,
C4,SA,6020,,,AMOCAL,0,1,,,,79.7,0.48,3,,,,,,
C4,SA,6194,,,AMOCAL,0,1,,,,113.2,0.73,13,,,,,,
C4,SA,6193,,,AMOCAL,0,1,,,,75.6,0.62,3,,,,,,
C4,SA,3175,,,AMOCAL,0,1,,,,108.1,0.68,11,,,,,,
C4,SA,3178,,,UMBCAL,0,1,,,,25.2,0.41,1,,,,,1,
C4,SA,6192,,,AMOCAL,0,1,,,,90.2,0.55,5,,,,,,
C4,SA,6891,,,AMOCAL,0,1,,,,68.2,0.42,5,,,,,,
C4,SA,6189,,,AMOCAL,0,1,,,,77,0.56,2,,,,,,
C4,SA,6890,,,AMOCAL,0,1,,,,103.1,0.61,4,,,,,,
C4,SA,3222,,,AMOCAL,0,1,,,,83.3,0.64,12,,,,,,
C4,TR,3223,,,HETARB,0,1,0,0,0,,0.96,,,105.9,16,,,
C4,TR,3225,,,HETARB,0,0,0,0,0,,,,,,,,,
C4,TR,3174,,,QUEGAR,1,1,1,1,99,,,,,,0,,,
C4,SA,3177,,,AMOCAL,0,1,,,,106.1,0.73,10,,,,,,
C4,SA,6195,,,AMOCAL,0,1,,,,92.7,0.74,1,,,,,,
C4,SA,6191,,,AMOCAL,0,1,,,,98.8,0.67,4,,,,,,
C4,SA,3196,,,AMOCAL,0,1,,,,74.2,0.54,1,,,,,,
C4,SA,6190,,,AMOCAL,0,1,,,,84.3,0.56,6,,,,,,
C3,TR,3217,,,PSEMEN,1,0,0,1,4,,,,,,,,,
C3,SA,6900,,,AMOCAL,0,1,,,,82.3,0.47,4,,,,,,IN C3 NOT C4
C3,TR,3100,,,QUEGAR,1,0,1,1,99,,,,,,,,,
C3,SA,3216,,,AMOCAL,0,1,,,,89.4,0.65,4,,,,,,
C4,TR,3219,,,QUEGAR,1,1,1,1,99,,,,,,0,,,
C3,SA,6014,,,AMOCAL,0,1,,,,90.7,0.66,14,,,,,,
C4,SA,6188,,,UMBCAL,0,1,,,,21.3,0.33,0,,,,,1,SICKLY LOOKING
B4,SA,6889,160,175,AMOCAL,0,1,,,,76,0.65,2,,,,,,
B4,SA,6182,,,AMOCAL,0,1,,,,113.6,0.73,7,,,,,,
B4,SA,6180,,,AMOCAL,0,1,,,,74,0.6,2,,,,,,WRONG SP IN '19 DB
B4,SA,6874,,,AMOCAL,0,1,,,,109.4,0.85,4,,,,,,
B4,SA,6887,,,AMOCAL,0,1,,,,70.5,0.49,0,,,,,,
B4,SA,6888,,,AMOCAL,0,1,,,,65,0.5,5,,,,,,
B4,SA,3134,,,AMOCAL,0,1,,,,68.6,0.45,13,,,,,,WRONG SP IN '19 DB
B4,SA,3088,,,AMOCAL,0,0,,,,,,,,,,1,,
B4,SA,3139,,,AMOCAL,0,0,,,,,,,,,,,,NOT FOUND
B4,SA,3131,,,AMOCAL,0,1,,,,115.9,0.13,18,,,,,,
A1,SA,3062,,,HETARB,0,0,,,,,,,,,,1,,FOUND TAG; NOT ON LIST
C3,SA,6012,,,AMOCAL,0,1,,,,74,0.49,11,,,,,,
C3,SA,6922,10,360,AMOCAL,0,1,,,,45.2,0.35,0,,,,,,
C3,SA,6923,10,290,AMOCAL,0,1,,,,48.7,0.39,1,,,,,,
C3,TS,6897,,,QUEGAR,1,0,,,,44.4,0.41,6,,,,,,
C4,SA,5242,,,AMOCAL,0,0,,,,,,,,,,,,NOT FOUND
C4,SA,6902,,,AMOCAL,0,0,,,,,,,,,,,,NOT FOUND
