Plot ID,1335,,Sampler(s),"MK, RF, CM",,,,,Date ,20201202,,,,,,,,,
D3,SA,5749,,,UMBCAL,0,1,,,,22.7,0.17,0,,,,,,
D2,SA,5755,,,UMBCAL,0,1,,,,70.7,0.55,1,,,,,,
D2,SA,5754,,,UMBCAL,0,1,,,,42.5,0.37,2,,,,,,
D2,SA,5753,,,UMBCAL,0,1,,,,107.6,0.81,2,,,,,,
D2,SA,2588,,,UMBCAL,1,0,,,,68.2,0.98,0,,,,,,
D2,TR,2589,,,AESCAL,1,1,0,1,99,,,,,,0,,,
D2,TR,2589.1,,,AESCAL,1,1,0,1,99,,,,,,0,,,
D2,SA,5756,,,UMBCAL,0,1,,,,44.5,0.46,0,,,,,,
D2,TR,2590,,,AESCAL,1,1,0,1,99,,,,,,0,,,
D2,TR,2590.1,,,AESCAL,1,1,0,1,99,,,,,,0,,,
D2,SA,5765,,,UMBCAL,0,1,,,,29.4,0.37,1,,,,,,was typo aescal- mkqc2022
D1,SA,5771,,,UMBCAL,0,1,,,,33.6,0.43,1,,,,,,
D1,SA,5770,,,UMBCAL,0,1,,,,30.1,0.35,0,,,,,,
D1,SA,5769,,,UMBCAL,0,1,,,,48.9,0.54,0,,,,,,
D1,SA,5766,,,UMBCAL,0,1,,,,40.7,0.3,1,,,,,,
D1,SA,5767,,,UMBCAL,0,1,,,,57.5,0.5,0,,,,,,
D1,SA,5768,,,UMBCAL,0,1,,,,86.5,0.67,3,,,,,,
D1,TR,2592,,,QUEGAR,1,1,1,1,99,,,,,,0,,,
D1,TR,2591,,,QUEGAR,1,0,1,1,99,,,,,,,,,
D2,SA,6971,80,90,UMBCAL,0,1,,,,52.1,0.46,2,,,,,,BD OF OG=NA
C2,SA,6972,420,100,UMBCAL,0,1,,,,52.3,0.45,0,,,,,,BD OF OG=0.43
C1,SA,6973,390,425,UMBCAL,0,1,,,,52,0.45,0,,,,,,BD OF OG=NA
C1,SA,6974,190,140,UMBCAL,0,1,,,,55,0.51,0,,,,,,BD OF OG=0.46
