Plot ID,1347,,Sampler(s),"MO,AC,MK,DK",,,,,Date ,20180806,,,,,,,,,
D3,SA,3034,,,UMBCAL,1,0,,,,68.2,0.84,3,,,,0,,
D3,SA,3053,,,UMBCAL,1,0,,,,187.5,1.49,1,,,,0,,
D3,TR,3029,,,UMBCAL,1,1,0,1,5,,,,8.8,241,3,0,,
D3,TS,3029.1,,,UMBCAL,1,0,,,,141.7,1.43,0,,,,0,,
D2,SA,3028,,,UMBCAL,1,0,,,,128.9,0.84,5,,,,0,,TS OF 3029 really- but leaving as SA to match 2013- mkqc2023
D2,SA,3012,,,UMBCAL,1,0,,,,63.2,0.89,1,,,,0,,
D3,TR,3035,,,UMBCAL,1,1,1,1,5,,,,2.6,53.7,1,0,,
D3,SA,6172,495,330,AMOCAL,1,0,,,,229,1.34,3,0.78,,,0,,
D3,TR,3018,,,UMBCAL,1,1,1,1,5,,3.2,0,1.7,,0,0,,
D3,SA,3019,,,UMBCAL,1,0,,,,72.7,0.44,0,,,,0,,
D2,TR,3022,,,UMBCAL,1,0,0,1,3,,2,0,1.2,,,0,,changing to umbcal to match future years- mkqc2022
D2,SA,3021,,,AMOCAL,1,0,,,,277.9,1.5,8,,,,0,,
D2,SA,3020,,,UMBCAL,1,0,,,,108.2,1.41,0,,,,0,,
D2,SA,3024,,,UMBCAL,1,0,,,,113,1.03,1,,,,0,,
D2,SA,3036,,,UMBCAL,1,0,,,,75.2,1.28,0,,,,0,,
B3,TR,2963,,,UMBCAL,1,0,0,1,5,,,,2.85,,,0,,
B3,TR,2963.3,,,UMBCAL,1,0,0,1,3,,,,3.03,,,0,,
B3,TR,2963.4,,,UMBCAL,1,0,0,1,2,,,,1.58,,,0,,
B3,TR,2963.5,,,UMBCAL,1,0,0,1,5,,,,3.72,,,0,,
B3,TR,2963.6,,,UMBCAL,1,0,0,1,4,,,,2.29,,,0,,
B3,TR,2963.1,,,UMBCAL,1,0,0,1,5,,,,7.04,,,0,,
B3,TR,2963.2,,,UMBCAL,1,0,0,1,4,,,,4.92,,,0,,
B2,SA,2971,,,UMBCAL,1,0,0,1,5,245.3,2.03,0,0.87,,,0,,
B2,SA,2972,,,UMBCAL,1,0,,,,171,1.31,0,,,,0,,
B2,SA,2973,,,UMBCAL,1,0,,,,126.1,1.05,3,,,,0,,
B2,TR,2975,,,UMBCAL,1,0,0,1,5,,,,2.39,,,0,,
B2,SA,2974,,,QUEAGR,0,1,,,,,0.65,0,,59.5,1,0,,OG DEAD
B2,TR,2978,,,UMBCAL,1,0,0,1,5,,,,4.59,,,0,,
B2,TR,2978.1,,,UMBCAL,0,0,0,0,0,,,,1.94,,,0,,
B2,TS,2975.1,,,UMBCAL,1,0,,,,118,0.59,0,,,,0,,
B2,TR,2976,,,UMBCAL,1,1,0,1,4,,,,2.9,107.1,3,0,,
B2,SA,2977,,,QUEWIS,1,0,,,,24,0.57,0,,,,0,,changed from queagr- mkqc 2022
B2,TR,2970,,,QUEGAR,0,0,0,0,0,,,,,,,0,,DBH TOO MUCH P.O.
B2,SA,2969,,,UMBCAL,1,0,,,,70.3,1.01,0,,,,0,,
B1,SA,6159,269,419,UMBCAL,1,0,,,,59.2,0.73,0,,,,0,,NEW SA
B1,TR,2980,,,PSEMEN,1,0,0,1,3,,,,60,,,0,,
B1,TR,2981,,,UMBCAL,1,0,0,1,5,,,,6.13,,,0,,
B1,TR,2982,,,UMBCAL,1,0,0,1,3,,,,1.22,,,0,,
B1,TR,2983,,,UMBCAL,1,0,0,1,5,,,,1.8,,,0,,
B1,TR,2984,,,UMBCAL,1,0,0,1,5,,,,2.87,,,0,,
B1,TR,2985,,,UMBCAL,1,1,0,1,5,,,,8.51,126.2,1,0,,
B1,TS,2985.1,,,UMBCAL,1,0,,,,119.5,1.25,0,,,,0,,
B1,SA,2986,,,UMBCAL,1,0,,,,48,0.8,0,,,,0,,
C1,TR,2997,,,QUEAGR,0,0,0,0,0,,,,8.86,,,0,,DOWNED
C1,TR,2996,,,QUEAGR,0,0,0,0,0,,,,7.7,,,0,,DOWNED
C1,TR,2995,,,UMBCAL,1,0,0,1,4,,,,2.1,,,0,,
C1,SA,6168,340,115,AMOCAL,1,0,,,,123.5,0.77,2,,,,0,,NEW SA
C1,SA,2987,,,UMBCAL,1,0,,,,69.9,0.8,0,,,,0,,
C1,SA,2991,,,UMBCAL,1,0,,,,118.2,1.16,1,,,,0,,
C1,SA,2990,,,UMBCAL,1,0,,,,102.5,1.4,0,,,,0,,
C2,TR,2992,,,UMBCAL,1,0,0,1,5,,,,3.58,,,0,,
C2,TR,2994,,,PSEMEN,1,0,0,1,3,,,,47,,,0,,
C1,SA,2989,,,UMBCAL,1,0,,,,63.8,0.68,0,,,,0,,
C1,SA,2988,,,UMBCAL,1,0,,,,95.3,1.13,0,,,,0,,
C1,SA,3047,,,UMBCAL,1,0,,,,64.1,1.41,1,,,,0,,
C1,TR,2998,,,QUEAGR,0,0,0,0,0,,,,,,,0,,DOWNED
C1,TS,2998.1,,,QUEAGR,0,0,,,,,,,,,,0,,DOWNED
C2,TR,3013,,,UMBCAL,1,0,0,1,5,,,,2.12,,,0,,
C2,TR,3000,,,UMBCAL,1,0,0,1,5,,3.02,0,1.05,,,0,,
C2,TR,3030,,,UMBCAL,1,0,0,1,5,,,,4.1,,,0,,
C2,TR,3030.1,,,UMBCAL,1,0,0,1,4,,,,3.29,,,0,,
C2,TR,3041,,,AMOCAL,0,1,0,0,0,,,,1.23,,,0,,OG DEAD
C2,TR,3041.1,,,AMOCAL,1,1,0,1,4,,1.45,0,1.01,,,0,,
C2,SA,2993,,,UMBCAL,1,0,,,,179.1,1.25,0,,,,0,,
C2,SA,3040,,,UMBCAL,1,0,,,,65,0.66,0,,,,0,,
C2,SA,6157,48,169,AMOCAL,1,0,,,,202.8,1.01,6,,,,0,,NEW SA
C3,SA,3003,,,UMBCAL,1,0,,,,94.3,1.23,0,,,,0,,
C3,SA,2999,,,UMBCAL,1,0,,,,70.5,0.69,0,,,,0,,
C3,SA,6158,300,195,AMOCAL,1,0,,,,179.5,0.96,0,,,,0,,
C3,SA,3004,,,UMBCAL,1,0,,,,60.6,0.96,0,,,,0,,
C3,SA,3001,,,UMBCAL,1,1,,,,101.5,0.73,0,,,,0,,
D2,SA,3023,,,UMBCAL,1,0,,,,181.5,1.53,1,,,,0,,
D2,SA,6173,260,65,AMOCAL,1,0,,,,229.6,1.73,2,,,,0,,
D2,SA,6174,445,10,AMOCAL,1,0,,,,224.7,1.54,15,,,,0,,
D1,SA,6175,470,430,UMBCAL,1,0,,,,52.4,0.59,1,,,,0,,
D1,SA,6176,240,495,AMOCAL,1,0,,,,214.8,1.42,3,,,,0,,
D1,SA,3051,,,AMOCAL,0,1,,,,131,2.14,0,,,2,0,,
D1,SA,6177,,,UMBCAL,1,0,,,,66.7,1.24,0,,,,0,,
D1,SA,3039,,,AMOCAL,1,0,,,,196.8,1.04,4,,,,0,,
D1,TR,3025,,,QUEAGR,1,1,0,1,3,,,,3.5,,,0,,
D1,TR,3026,,,UMBCAL,1,1,0,1,4,,,,1.24,75.6,3,0,,
D1,TS,3026.1,,,UMBCAL,1,0,,,,133.6,1.07,3,,,,0,,
D1,TR,3027,,,QUEAGR,1,0,0,1,4,,,,3.7,,,0,,
D1,TS,3027.1,,,QUEAGR,1,0,,,,72.5,0.73,2,,,,0,,
D1,TR,3049,,,UMBCAL,1,1,0,1,4,,3,0,1.7,,0,0,,
D1,TR,3048,,,UMBCAL,1,0,0,1,5,,,,3.7,,,0,,
D1,TS,3048.1,,,UMBCAL,1,0,,,,102.7,1.32,1,,,,0,,
D1,SA,3060,,,AMOCAL,0,1,,,,,,,,131.1,7,0,,OG DEAD
D1,SA,3037,,,UMBCAL,1,0,,,,200.1,2.26,1,,,,0,,
D1,TR,3038,,,AMOCAL,1,1,0,1,3,,,,1.3,123.8,3,0,,
D1,SA,3050,,,AMOCAL,1,0,,,,138.8,1.33,3,,,,0,,
D1,SA,3052,,,AMOCAL,0,0,,,,,,,,,,0,,"DEAD/GONE, TAG NOT FOUUND"
D1,SA,3061,,,AMOCAL,0,0,,,,,,,,,,0,,"DEAD/GONE, TAG NOT FOUUND"
C3,SA,6156,325,237,AMOCAL,1,0,,,,218,1.14,4,,,,0,,
C3,SA,6160,295,339,AMOCAL,1,0,,,,222.5,1.64,1,,,,0,,
C4,SA,3009,,,UMBCAL,1,0,0,1,5,244,2.03,0,0.76,,,0,,
C4,SA,3008,,,AMOCAL,0,0,,,,,0.9,0,,,,0,,
C4,SA,2959,,,UMBCAL,1,0,,,,131.5,1.29,0,,,,0,,
C4,TR,3007,,,UMBCAL,1,1,0,1,4,,,,6.5,20.2,0,0,,
C4,TS,3007.1,,,UMBCAL,1,0,,,,164.3,1.69,0,,,,0,,
C4,SA,6161,182,63,UMBCAL,1,0,,,,55.5,1.62,0,,,,0,,
C4,TR,3005,,,PRUCER,1,0,0,1,5,,,,3.34,,,0,,PRUNUS CERASISERA
C4,SA,3046,,,PRUCER,1,0,,,,115.6,0.98,0,,,,0,,PRUNUS CERASISERA
C4,SA,3045,,,PRUCER,0,0,,,,,0.82,0,,,,0,,PRUNUS CERASISERA
C4,SA,6162,269,187,UMBCAL,1,0,,,,84.2,0.87,0,,,,0,,
C4,SA,3044,,,PRUCER,1,0,,,,121.1,1.06,0,,,,0,,PRUNUS CERASISERA
C3,TR,3006,,,UMBCAL,1,0,0,1,4,,2.8,0,1.46,,,0,,
C4,TR,3032,,,PRUCER,1,0,0,1,5,,,,2.7,,,0,,
C4,SA,3031,,,UMBCAL,1,0,,,,53.1,1.21,0,,,,0,,
C4,SA,3033,,,AMOCAL,1,0,,,,182.5,0.96,7,,,,0,,
C4,SA,6167,400,212,AMOCAL,1,0,,,,187.3,1.04,3,,,,0,,
C4,SA,6163,287,312,AMOCAL,1,0,,,,186.1,1.09,3,,,,0,, incorrecty labeled 1165- deleted from 2019 and 2020 bc this tag is actually in 1348 so who is this?? I am changing it from 6165 to 6163- although it wasnt found in 2019 or 2020- Mkqc2022
