Plot ID,1340,,Sampler(s),AC MO MK KO,,,,,Date ,20180720,,,,,,,,,
A3,TR,1633.2,,,UMBCAL,0,1,0,0,0,,,,1.2,149.6,3,0,,
A3,TR,1633.6,,,UMBCAL,0,0,0,0,0,,,,1.05,,,0,,TAG NOT FOUND BASED ON ORDER
A3,TR,1633.7,,,UMBCAL,0,1,0,0,0,,,,2.5,162.6,3,0,,
A3,TR,1633.8,,,UMBCAL,0,0,0,0,0,,2.2,0,,,,0,,TAG NOT FOUND BASED ON ORDER
A3,TR,1633.9,,,UMBCAL,0,0,0,0,0,,,,1,,,0,,
A3,TS,1633.01,,,UMBCAL,0,1,,,,,2.3,0,,77,1,0,,
A3,SA,1627,,,PSEMEN,0,0,,,,,0.53,0,,,,1,,TAG REC
A3,SA,1626,,,PSEMEN,0,0,,,,,,,,,,1,,TAG REC
B4,SA,1638,,,UMBCAL,0,1,,,,,0.75,0,,43.8,0,0,,OG DEAD
A3,TR,1630,,,UMBCAL,0,1,0,0,0,,,,24.4,221,86,0,,
A3,TR,1630.4,,,UMBCAL,0,0,0,0,0,,,,2.4,,,0,,
A3,TR,1630.24,,,UMBCAL,0,1,0,0,0,,,,1.28,141.5,2,0,,
A3,TR,1630.22,,,UMBCAL,0,1,0,0,0,,,,1.61,107.6,1,0,,
A3,TR,1630.21,,,UMBCAL,0,0,0,0,0,,,,1.41,,,0,,
A3,TS,1630.23,,,UMBCAL,0,0,,,,,1.57,0,,,,0,,
A3,TR,1630.02,,,UMBCAL,0,1,0,0,0,,,,4.5,179.2,5,0,,"changed .2 with smaller dbh to .02, in field TAG says .20-changing here to match other years -2022 qc MK"
A3,TR,1630.18,,,UMBCAL,0,0,0,0,0,,,,3.4,,,0,,
A3,TR,1630.17,,,UMBCAL,0,1,0,0,0,,,,2.5,147.3,4,0,,
A3,TR,1630.11,,,UMBCAL,0,1,0,0,0,,,,1.28,133.6,2,0,,
A3,TR,1630.12,,,UMBCAL,0,0,0,0,0,,,,1.3,,,0,,
A3,TR,1630.14,,,UMBCAL,0,1,0,0,0,,,,9.4,227,10,0,,
A3,TR,1630.15,,,UMBCAL,0,0,0,0,0,,,,7.6,,,0,,
A3,TR,1630.16,,,UMBCAL,0,1,0,0,0,,,,9,212,17,0,,
A3,TR,1630.9,,,UMBCAL,0,1,0,0,0,,,,3.8,207,2,0,,
A3,TR,1630.01,,,UMBCAL,0,1,0,0,0,,,,1.3,136.9,4,0,,"changed .1 with smaller dbh to .01, in field TAG says .10-changing here to match other years -2022 qc MK"
A3,TR,1630.1,,,UMBCAL,0,0,0,0,0,,,,8.5,,1,0,,
A3,TR,1630.2,,,UMBCAL,0,1,0,0,0,,,,10.4,209,21,0,,
A3,TR,1630.3,,,UMBCAL,0,1,0,0,0,,,,14.8,251,13,0,,
C4,SA,1676,,,PSEMEN,0,0,,,,,0.91,0,,,,0,,
C4,SA,99442,,,PSEMEN,0,0,,,,,0.67,0,,,,0,,
C4,SA,99443,,,PSEMEN,0,0,,,,,0.73,0,,,,0,,
C4,SA,99444,,,PSEMEN,0,0,,,,,0.88,0,,,,0,,
C4,SA,1682,,,PSEMEN,0,0,,,,,0.76,0,,,,0,,
C4,SA,1683,,,PSEMEN,0,0,,,,,0.83,0,,,,0,,
C4,SA,1684,,,PSEMEN,0,0,,,,,1.19,0,,,,0,,
C4,SA,99445,,,PSEMEN,0,0,,,,,0.73,0,,,,0,,
C4,SA,1680,,,UMBCAL,0,0,,,,,0.95,0,,,,0,,
C4,SA,1679,,,PSEMEN,0,0,,,,,,,,,,0,,DEAD AND GONE TAG NOT FOUND
C4,SA,5870,33,246,QUEAGR,0,1,,,,,1.13,0,,53.5,2,0,,NEW SA OG DEAD
C4,SA,99446,,,PSEMEN,0,0,,,,,0.83,0,,,,0,,
C4,SA,99447,,,PSEMEN,0,0,,,,,1.27,0,,,,0,,
C4,SA,99448,,,PSEMEN,0,0,,,,,0.65,0,,,,0,,
C4,SA,5871,82,286,QUEAGR,0,1,,,,,0.87,1,,36.7,0,0,,
B1,TR,1659,,,PSEMEN,1,0,0,1,2,,,,89.4,,,0,,
B1,SA,1652,,,PSEMEN,0,0,,,,,,,,,,1,,DEAD AND GONE TAC REC
B1,SA,1656,,,UMBCAL,0,0,,,,,,,,,,1,,DEAD AND GONE TAC REC
B1,SA,1657,,,PSEMEN,0,0,,,,,,,,,,1,,DEAD AND GONE TAC REC
B2,TR,1645,,,ARBMEN,0,1,0,0,0,,,,6.4,96,7,0,,
B2,TR,1642,,,UMBCAL,0,1,0,0,0,,,,3.88,145.1,7,0,,
B2,TR,1642.1,,,UMBCAL,0,0,0,0,0,,,,3.7,,,0,,
B2,TS,1642.2,,,UMBCAL,0,1,,,,,3.08,0,,103.1,4,0,,
B2,SA,99449,,,UNK,0,0,,,,,0.97,0,,,,0,,
B2,TR,1651,,,ARBMEN,0,1,0,0,0,,,,9.6,96.6,6,0,,
B2,TR,1649,,,ARBMEN,0,0,,,,,,,,,,0,,DEAD AND GONE TAG NOT FOUND
B2,SA,1654,,,UMBCAL,0,0,,,,,,,,,,1,,DEAD AND GONE TAC REC
B2,SA,1655,,,UMBCAL,0,0,,,,,,,,,,1,,DEAD AND GONE TAC REC
A3,TR,1630.5,,,UMBCAL,0,1,0,0,0,,,,4,180.5,12,0,,
A3,TR,1630.6,,,UMBCAL,0,0,0,0,0,,2.2,0,,,,0,,NO DBH
A3,TS,1630.7,,,UMBCAL,0,0,,,,,2.4,0,,,,0,,
A3,TR,1630.19,,,UMBCAL,0,0,0,0,0,,,,,,,0,,GONE NOT FOUND
A4,SA,1634,,,PSEMEN,0,0,,,,,,,,,,1,,GONE TAG REC
A4,SA,1687,,,PSEMEN,0,0,,,,,,,,,,1,,GONE TAG REC
A4,SA,1629,,,PSEMEN,0,0,,,,,0.84,0,,,,0,,BD@6
B4,SA,5827,,,QUEAGR,0,1,,,,,,,,37.8,0,0,,OG  DEAD
B2,SA,1648,,,UMBCAL,0,0,,,,,,,,,,1,,GONE TAG REC
B2,SA,1647,,,PSEMEN,0,0,,,,,,,,,,0,,"GONE, TAG NOT FOUND"
B3,SA,1693,,,PSEMEN,0,0,,,,,0.67,0,,,,0,,
B3,SA,1692,,,PSEMEN,0,0,,,,,,,,,,0,,"GONE, TAG NOT FOUND"
B3,SA,1694,,,UMBCAL,0,0,,,,,0.73,0,,,,0,,"DEAD, BD@ 6"
B3,SA,1639,,,QUEAGR,0,0,,,,,,,,,,0,,"GONE, TAG NOT FOUND"
B4,SA,99450,,,UNK,0,0,,,,,0.83,0,,,,0,,
B4,SA,99451,,,UNK,0,0,,,,,2.4,0,,,,0,,
B4,SA,99452,,,UMBCAL,0,0,,,,,0.61,0,,,,0,,
B4,SA,99453,,,PSEMEN,0,0,,,,,0.85,0,,,,0,,
B4,SA,1636,,,PSEMEN,0,0,,,,,0.95,0,,,,0,,
A4,SA,1635,,,PSEMEN,0,0,,,,,1.18,0,,,,0,,deleted a dup tag with BD 3.68 bc bd in 2019 is 1.14
A4,SA,1653,,,PSEMEN,0,0,,,,,,,,,,1,,GONE
B4,SA,1688,,,PSEMEN,0,0,,,,,,,,,,1,,GONE
B4,SA,1637,,,UMBCAL,0,0,,,,,,,,,,0,,"GONE, TAG NOT FOUND"
A4,SA,99454,,,PSEMEN,0,0,,,,,0.7,0,,,,0,,
A4,SA,5872,55,495,UMBCAL,0,1,,,,,0.52,0,,32.4,0,0,,
C4,SA,1671,,,UMBCAL,0,0,,,,,,,,,,,,not found- but alive in 2019-mkadded qc2023
D3,SA,1698,,,PSEMEN,0,0,,,,,,,,,,,,not found - but adding to match 2013 and fix problem in R coe-mkqc2023
