Plot ID,1854,,Sampler(s),"MK,M,DK,AC",,,,,Date ,20180810,,,,,,,,,
D2,TR,6045,225,115,NOTDEN,0,1,0,0,0,,,,5.18,143.6,31,,,
C2,TS,6046,499,495,NOTDEN,0,1,,,,,,,,125.1,9,,,STUMP-BURNED TO GROUND
C2,TR,6047,365,410,UMBCAL,0,1,0,0,0,,2.4,0,,146.9,15,,,
C2,SA,6048,25,215,BACPIL,1,0,,,,67,4.1,4,,,,,,
B2,TR,6049,135,200,QUEAGR,0,1,0,0,0,,,,15.3,178.8,12,,,DBH BELOW NAIL
A2,TR,6080,31,248,QUEAGR,0,1,0,0,0,,,,19.7,77.5,1,,,
A2,TR,6080.1,31,248,QUEAGR,0,1,0,0,0,,,,9.7,135,9,,,
A2,TR,6080.2,31,248,QUEAGR,0,1,0,0,0,,,,9.1,80.6,3,,,
A2,SA,6081,15,100,QUEAGR,0,1,,,,,7.07,0,,68.8,6,,,TOO SHORT FOR DBH-STUMP
A2,TR,6082,231,335,QUEAGR,0,1,0,0,0,,,,20.6,129.2,7,,,
A2,TR,6083,326,375,UMBCAL,0,1,0,0,0,,,,9.8,225.2,49,,,
A3,TR,6084,10,95,QUEAGR,0,1,0,0,0,,,,24.3,74.8,5,,,
A3,TR,6085,280,125,QUEAGR,0,0,0,0,0,,,,16.1,,,,,
A4,TR,6060,370,-465,ARBMEN,0,1,0,0,0,,,,22.5,138.1,36,,,
A4,TR,6061,130,-300,QUEAGR,1,0,1,0,1,,,,37.1,,,,,
A4,TR,6062,115,-270,QUEAGR,1,0,1,0,1,,,,29.5,58.6,3,,,DBH ABOVE NAIL
A4,TR,6063,240,-40,UMBCAL,0,1,0,0,0,,2.85,0,,192.8,12,,,
A4,TR,6064,450,-5,QUEAGR,0,1,0,0,0,,,,17.4,94,20,,,
B4,SA,6065,360,-25,TORCAL,0,1,,,,,0.78,1,,40,0,,,
B4,SA,6066,360,-45,TORCAL,0,1,,,,,0.54,0,,119,0,,,
B4,TR,6067,20,-410,UMBCAL,0,1,0,0,0,,,,7.5,176.6,34,,,
B4,TR,6068,245,-480,QUEAGR,0,1,0,0,0,,,,20.7,74,16,,,
B4,SA,6069,120,-460,QUEAGR,0,1,,,,,,,,40.7,0,,,
B4,TR,6070,255,-450,QUEAGR,0,1,0,0,0,,,,10.9,115.4,5,,,
B4,TR,6070.1,255,-450,QUEAGR,0,0,0,0,0,,,,15.3,,,,,
C4,TR,6071,195,-300,UMBCAL,0,1,0,0,0,,,,8,181.5,15,,,
D3,SA,6072,405,-85,UMBCAL,0,1,,,,,1.51,0,,69.2,1,,,
D3,TR,6073,310,-90,UMBCAL,0,1,0,0,0,,,,18.6,234.9,56,,,
D3,TR,6074,170,-110,UMBCAL,0,1,0,0,0,,,,9.7,212,22,,,
D3,SA,6075,60,-60,CORCOR,0,1,,,,,1.62,5,,151.8,29,,,TR?
A3,TR,6085.1,280,125,QUEAGR,0,1,0,0,0,,8.5,0,,55.1,1,,,TOO SHORT FOR DBH-STUMP
A3,SA,6086,464,119,BACPIL,1,0,,,,65.1,0.61,3,,,,,,
B3,SA,6087,31,3,BACPIL,1,0,,,,65.1,0.64,6,,,,,,
B3,SA,6088,205,425,SAMNIG,1,0,,,,63.5,0.69,0,,,,,,
C3,TR,6089,155,322,UMBCAL,0,1,0,0,0,,,,15.3,311.1,24,,,
C3,TR,6089.1,155,322,UMBCAL,0,1,0,0,0,,,,13.4,282.1,14,,,
C3,TR,6089.2,155,322,UMBCAL,0,0,0,0,0,,,,7.2,,,,,
C3,TR,6091,385,190,UMBCAL,0,1,0,0,0,,,,,97.3,3,,,STUMP-TOO SHORT FOR BD
C3,SA,6090,317,327,BACPIL,1,0,,,,91.1,0.76,0,,,,,,
B3,SA,6076,70,135,UMBCAL,0,1,,,,,1.08,2,,46.4,0,,,BD AT 5CM
