Plot ID,1852,,Sampler(s),"AC,MO,MK,KO",,,,,Date ,20180813,,,,,,,,,
B3,TR,6221,295,487,UMBCAL,0,1,0,0,0,,3.15,0,,159.6,13,,,STUMP
B3,TR,6233,475,40,QUEKEL,0,1,0,0,0,,,,3.6,73,3,,,OG DEAD
B3,SA,6222,440,432,BACPIL,1,0,,,,51.2,0.51,3,,,,,,
A3,TR,99070,,,PSEMEN,0,0,0,0,0,,,,4.58,,,,,
A3,TR,99071,,,PSEMEN,0,0,0,0,0,,,,14.4,,,,,
A3,TR,99072,,,PSEMEN,0,0,0,0,0,,,,20.2,,,,,
A3,TR,99073,,,PSEMEN,0,0,0,0,0,,,,31.6,,,,,
A3,SA,6234,472,160,AMOCAL,0,1,,,,,,,,176.5,9,,,OG DEAD/ NO BD
A3,TR,6235,372,266,UMBCAL,0,1,0,0,0,,0.56,0,,188.5,10,,,"OG DEAD, BD @ 8CM"
A2,TR,99074,,,PSEMEN,0,0,0,0,0,,,,17.7,,,,,
A2,TR,99075,,,PSEMEN,0,0,0,0,0,,,,12.6,,,,,
A2,TR,99076,,,PSEMEN,0,0,0,0,0,,,,4.1,,,,,
A2,TR,99077,,,PSEMEN,0,0,0,0,0,,,,4.6,,,,,
A2,TR,99078,,,PSEMEN,0,0,0,0,0,,,,2.2,,,,,
B2,TR,99079,,,PSEMEN,0,0,0,0,0,,,,11.8,,,,,
C1,SA,6208,135,70,UMBCAL,0,1,,,,,0.83,0,,71.5,1,,,OG DEAD
C1,SA,6209,210,50,UMBCAL,0,1,,,,,0.86,0,,71.7,1,,,OG DEAD
C1,SA,6210,360,225,UMBCAL,0,1,,,,,,3,,68.6,5,,,"OG DEAD, GONE"
C1,SA,6211,470,275,UMBCAL,0,1,,,,,0.95,1,,72,3,,,"OG DEAD, BD @ 5CM"
C1,TR,6212,300,430,UMBCAL,0,1,0,0,0,,1.9,0,,123.5,9,,,"OG DEAD, GONE"
C1,SA,6213,340,455,BACPIL,1,0,,,,63,0.71,4,,,,,,NEW SA
C1,SA,6214,80,315,UMBCAL,0,1,,,,,0.96,2,,51.6,1,,,OG DEAD
C1,SA,6215,60,375,UMBCAL,0,1,,,,,1.06,2,,75.2,2,,,"OG DEAD, BD @ 5CM"
D1,TR,99080,,,PSEMEN,0,0,0,0,0,,,,36.3,,,,,
D1,TR,99081,,,PSEMEN,0,0,0,0,0,,,,48.8,,,,,
D1,TR,6216,140,165,QUEAGR,0,1,0,0,0,,,,11,63,3,,,
D1,TR,6217,60,195,QUEAGR,0,1,0,0,0,,,,7.5,54.1,2,,,
D1,SA,6218,105,20,UMBCAL,0,1,,,,,1.1,0,,75.9,1,,,"OG DEAD, BD @8CM"
D1,TR,6219,270,210,UMBCAL,0,1,0,0,0,,2.3,0,,116.7,8,,,
D2,TR,99082,,,PSEMEN,0,0,0,0,0,,,,42,,,,,
D2,TR,6224,45,200,UMBCAL,0,1,0,0,0,,3.9,0,,145.5,15,,,OG DEAD
D2,SA,6225,370,300,UMBCAL,0,1,,,,,1.38,2,,85.2,1,,,"OG DEAD, BD @ 5CM"
B2,TR,99083,,,PSEMEN,0,0,0,0,0,,,,18.3,,,,,
B2,TR,99084,,,PSEMEN,0,0,0,0,0,,,,3.61,,,,,
B2,TR,99085,,,PSEMEN,0,0,0,0,0,,,,7.6,,,,,
B2,TR,99086,,,PSEMEN,0,0,0,0,0,,,,5,,,,,
B2,TR,99087,,,PSEMEN,0,0,0,0,0,,,,3.46,,,,,
B2,TR,99088,,,PSEMEN,0,0,0,0,0,,,,7.8,,,,,
B2,SA,6230,300,495,UMBCAL,0,1,,,,,,,,64.9,1,,,"OG DEAD, NO BD"
B2,SA,6232,448,260,BACPIL,1,0,,,,53.8,0.56,6,,,,,,
C2,TR,99089,,,PSEMEN,0,0,0,0,0,,,,9.5,,,,,
C2,TR,99090,,,PSEMEN,0,0,0,0,0,,,,4.68,,,,,
C2,TR,99091,,,PSEMEN,0,0,0,0,0,,,,8.5,,,,,
C2,TR,99092,,,PSEMEN,0,0,0,0,0,,,,2.8,,,,,
C2,TR,6227,300,265,QUEKEL,0,0,0,0,0,,,,16.3,,,,,
C2,TR,99093,,,PSEMEN,0,0,0,0,0,,,,13.1,,,,,
C2,TR,6231,178,65,UMBCAL,0,0,0,0,0,,5.03,0,,129.6,10,,,"OG DEAD, TOO SHORT FOR DBH"
C2,SA,6223,360,75,BACPIL,1,1,,,,51.3,0.51,4,,,,,,
C2,TR,6229,320,270,UMBCAL,0,0,0,0,0,,5.33,0,,98.3,8,,,"OG DEAD, TOO SHORT FOR DBH"
C2,SA,6226,433,225,UMBCAL,1,0,,,,91.5,0.83,1,,,,,,
C2,SA,6228,485,187,UMBCAL,1,0,,,,58.3,0.58,1,,,,,,
