Plot ID,1321,,Sampler(s),"MK, MO, KO, AC",,,,,Date ,20180726,,,,,,,,,
D2,SA,2465,,,UMBCAL,0,1,,,,,0.59,0,,28.5,0,0,,
D2,SA,2471,,,UMBCAL,0,1,,,,,1.1,0,,64.3,1,0,,
D2,SA,2456,,,AMOCAL,0,1,,,,,1.29,0,,66.2,6,0,,
D2,SA,2458,,,UMBCAL,0,0,,,,,1.39,0,,,,0,,
D2,SA,2472,,,AMOCAL,0,1,,,,,1.51,0,,78.5,4,0,,
D2,SA,2459,,,AMOCAL,0,1,,,,,1.65,0,,88.8,3,0,,
D2,SA,2468,,,AMOCAL,0,1,,,,,1.68,0,,61,2,0,,
D2,SA,2479,,,UMBCAL,0,1,,,,,1.08,0,,28.1,0,0,,
D2,SA,2469,,,AMOCAL,0,1,,,,,,,,68.3,6,0,,OG dead/gone
D2,TR,2463,,,UMBCAL,0,1,0,0,0,,,,2.48,93.5,2,0,,
D2,SA,5946,422,182,AMOCAL,0,1,,,,,2,0,,77,2,0,,OG dead. Maybe 2467?
D2,SA,2478,,,AMOCAL,0,1,,,,,1.5,0,,60.5,1,0,,
D2,SA,2454,,,AMOCAL,0,1,,,,,1.96,0,,71.5,8,0,,
D2,SA,5947,312,,UMBCAL,0,1,,,,,0.98,0,,40.3,0,0,,
D2,SA,2449,,,UMBCAL,0,1,,,,,1.52,0,,64.5,1,0,,OG dead
B4,SA,2382,,,UMBCAL,0,1,,,,,1.39,0,,71,3,0,,OG dead
B4,SA,2379,,,UMBCAL,0,1,,,,,1.58,1,,82.2,1,0,,OG dead
B4,SA,2378,,,UMBCAL,0,1,,,,,2.81,0,,96.4,4,0,,OG dead
B4,SA,2388,,,UMBCAL,0,1,,,,,2.35,1,,75.5,7,0,,OG dead
B4,SA,2381,,,UMBCAL,0,1,,,,,2.01,1,,86.7,2,0,,OG dead
B4,SA,5862,369,231,UMBCAL,0,1,,,,,2.22,0,,61,4,0,,OG dead
B4,SA,2380,,,UMBCAL,0,1,,,,,1.37,0,,58.1,1,0,,
B4,TR,2390,,,QUEGAR,1,1,0,1,2,,,,22.3,47,0,0,,
B4,TR,2384,,,QUEKEL,1,0,0,1,,,,,22.7,,,0,,
B4,SA,2377,,,UMBCAL,0,1,,,,,3.7,0,,92,3,0,,OG dead
B4,SA,2383,,,UMBCAL,0,0,,,,,,,,,,1,,Gone
B4,SA,2389,,,FRACAL,0,1,,,,,0.77,0,,40.8,0,0,,OG dead
C4,SA,5899,85,393,UMBCAL,0,1,,,,,1.63,0,,72.7,2,0,,OG dead
C4,SA,2427,,,UMBCAL,0,1,,,,,2.23,0,,94.1,4,0,,
C4,SA,5970,247,164,UMBCAL,0,1,,,,,0.85,0,,29.5,0,0,,OG dead
C3,SA,2421,,,UMBCAL,0,1,,,,,1.02,0,,72.9,1,0,,OG dead
C3,SA,2422,,,UMBCAL,0,1,,,,,1.8,1,,69.8,3,0,,
C4,SA,2429,,,FRACAL,0,0,,,,,,,,,,1,,Dead/gone
C4,SA,2428,,,UMBCAL,0,1,,,,,1.17,0,,74.4,1,0,,
C4,SA,99325,,,UMBCAL,0,0,,,,,0.67,0,,,,0,,
C4,SA,5971,409,195,FRACAL,0,1,,,,,0.66,0,,37.5,0,0,,OG dead
C4,SA,2423,,,UMBCAL,0,1,,,,,2.18,0,,65.6,1,0,,was typo 2432- mkqc2022
C4,SA,6472,35,402,UMBCAL,0,1,,,,,1.06,0,,45.2,0,0,,og dead- this tag (5972) got pulled in 2020- but is double tagged so changing 5972 to 6472 to match exsisitng tag in field. Mkqc2022
C4,SA,2430,,,FRACAL,0,0,,,,,,,,,,0,,"dead/gone, tag not found"
C4,SA,2431,,,FRACAL,0,0,,,,,,,,,,0,,"dead/gone, tag not found"
C3,SA,5973,476,,UMBCAL,0,1,,,,,0.84,0,,58.1,1,0,,og dead
C3,SA,2419,,,UMBCAL,0,1,,,,,1.38,1,,48.6,0,0,,
C3,TR,2420,,,QUEGAR,1,0,0,1,3,,,,26.6,,,0,,
D2,SA,2444,,,AMOCAL,0,1,,,,,1.91,0,,93,12,0,,
D2,SA,2447,,,AMOCAL,0,1,,,,,2.42,0,,88.9,6,0,,
D2,SA,5948,415,399,UMBCAL,0,1,,,,,0.99,0,,50.6,7,0,,og dead
D2,SA,2446,,,AMOCAL,0,1,,,,,1.38,0,,89.7,7,0,,
D2,SA,2443,,,UMBCAL,0,1,,,,,1.29,0,,91.2,1,0,,
D2,SA,2455,,,UMBCAL,0,0,,,,,0.97,0,,,,0,,(duplicate) as 2445 amocal in db- 2018qcmk
D2,TR,2450,,,UMBCAL,0,1,0,0,0,,2.43,0,1.04,73,2,0,,
D2,SA,2451,,,UMBCAL,0,1,,,,,,,,40.1,0,0,,og dead
D2,SA,2460,,,AMOCAL,0,1,,,,,1.1,0,,85.4,5,0,,
D2,SA,2464,,,AMOCAL,0,0,,,,,,,,,,1,,"dead, gone"
D2,SA,2470,,,AMOCAL,0,1,,,,,,,,67.4,5,0,,"og dead, gone"
D2,SA,2467,,,AMOCAL,0,0,,,,,,,,,,0,,"dead, gone"
D2,SA,5949,332,425,AMOCAL,0,1,,,,,1.81,0,,75.4,2,0,,
D2,TR,2452,,,AMOCAL,0,1,0,0,0,,1.79,1,1.05,113.7,7,0,,was dup 2432( changed during a dup qc in 2018mk?)
D2,TR,2445,,,AMOCAL,0,1,0,0,0,,2.4,2,1.86,104.6,8,0,,
D2,TR,2457,,,AMOCAL,0,1,0,0,0,,2.15,2,1.5,110.1,12,0,,needs new tag
D2,TR,2448,,,QUEKEL,0,0,0,0,0,,,,17.1,,,0,,
D3,TR,2439,,,QUEGAR,1,1,1,1,4,,,,19.8,,,0,,was quekel- mkqc2022
D3,SA,2437,,,UMBCAL,0,1,,,,,1.41,0,,52.8,1,0,,needs new tag
D3,SA,2438,,,FRACAL,0,1,,,,,1.13,0,,32.7,0,0,,
D3,SA,2436,,,UMBCAL,0,1,,,,,1.34,0,,89.5,1,0,,
D3,SA,2485,,,UMBCAL,0,1,,,,,1.01,1,,64.8,1,0,,
D3,SA,2441,,,UMBCAL,0,1,,,,,1.74,0,,42.6,0,0,,
D3,SA,2486,,,UMBCAL,0,1,,,,,0.97,0,,31.4,0,0,,
D3,TR,2442,,,QUEGAR,0,1,0,0,0,,,,11.5,,0,0,,snag
D3,SA,5950,346,62,UMBCAL,0,1,,,,,0.77,0,,45.2,0,0,,
D3,SA,2440,,,AMOCAL,0,1,,,,,2.33,0,,153.4,52,0,,
D3,SA,5951,120,328,UMBCAL,0,1,,,,,0.95,0,,33.2,0,0,,
C3,TR,2425,,,QUEKEL,1,0,0,1,3,,,,18,,,0,,
C3,SA,5974,58,283,UMBCAL,1,0,,,,109.8,0.75,0,,,,0,,
C3,SA,5975,35,349,UMBCAL,1,0,,,,71.2,0.57,0,,,,0,,
C2,SA,2417,,,UMBCAL,0,1,,,,,2.21,0,,73.7,1,0,,
C3,SA,2426,,,UMBCAL,0,0,,,,,,,,,,0,,"dead/gone, tag not found"
C3,SA,2484,,,UMBCAL,0,0,,,,,0.77,0,,,,0,,dead/gone
C3,SA,2424,,,UMBCAL,0,1,,,,,1.73,0,,,,0,,
C3,SA,2395,,,UMBCAL,0,1,,,,,1.34,0,,79.2,1,0,,og dead/gone
C2,SA,2416,,,UMBCAL,0,1,,,,,2.35,0,,77.9,1,0,,
C2,TR,2418,,,QUEGAR,1,0,1,1,3,,,,26.7,,,0,,
C2,SA,2415,,,UMBCAL,0,1,,,,,1.45,0,,81.4,2,0,,
C2,SA,2411,,,FRACAL,0,1,,,,,2.81,0,,56,2,0,,
C2,SA,2410,,,UMBCAL,0,1,,,,,1.29,2,,85.7,2,0,,
C2,SA,2413,,,UMBCAL,0,1,,,,,2.75,0,,92.5,1,0,,
C2,SA,5976,345,210,UMBCAL,0,1,,,,,1.05,0,,61.9,1,0,,og dead
C2,SA,5977,445,138,UMBCAL,0,1,,,,,,,,48.5,0,0,,og dead/gone
C2,SA,2409,,,UMBCAL,0,1,,,,,1.19,1,,64.1,1,0,,
C2,SA,2414,,,UMBCAL,0,0,,,,,,,,,,0,,"tag not found, could be newly tagged 5976"
C2,SA,2412,446,1,UMBCAL,0,1,,,,,0.82,0,,41.3,0,0,,
C2,SA,5978,,,UMBCAL,0,1,,,,,0.93,0,,37.3,0,0,,og dead
C1,TR,2407,,,QUEGAR,1,0,0,1,4,,,,30.9,,,0,,
C1,TR,2405,,,QUEGAR,1,1,1,1,4,,,,30.4,49,0,0,,
C1,SA,2406,,,UMBCAL,0,1,,,,,1.91,0,,58.5,4,0,,og dead
C1,SA,2408,,,FRACAL,0,1,,,,,,,,25.2,0,0,,og dead/gone
D3,SA,5952,139,405,UMBCAL,0,1,,,,,0.5,0,,41.1,0,0,,
D4,SA,99326,,,UMBCAL,0,1,,,,,0.21,0,,,,0,,
D4,SA,2432,,,UMBCAL,0,1,,,,,2.11,0,,66.8,4,,,check quad/location
D4,SA,2433,,,UMBCAL,0,1,,,,,1.16,3,,56.7,1,0,,
D4,SA,2434,,,UMBCAL,0,1,,,,,1.08,0,,70.6,3,0,,
D4,SA,5953,233,470,UMBCAL,1,0,,,,53,0.39,0,,,,0,,
D4,SA,2435,,,UMBCAL,0,1,,,,,1.38,1,,59.6,1,0,,
D4,SA,5954,410,35,UMBCAL,0,1,,,,,1.21,0,,36.8,0,0,,
D4,SA,5955,273,365,UMBCAL,0,1,,,,,1.76,1,,76.8,3,0,,
C3,SA,5956,428,388,UMBCAL,0,1,,,,,0.85,0,,52.4,1,0,,
A1,SA,5957,450,135,UMBCAL,0,1,,,,,1.02,0,,44.9,0,0,,BD at 8
D3,SA,5958,468,175,UMBCAL,0,1,,,,,0.53,0,,26.1,0,0,,
B3,SA,2394,,,ARBMEN,0,0,,,,,,,,,,,,MK ADDED / NOT ON OG DATASHEET
