Plot ID,1853,,Sampler(s),"MK,KO,AC,MO,DK",,,,,Date ,20180814,,,,,,,,,
D4,TR,6250,128,390,UMBCAL,0,1,0,0,0,,,,2.57,125.1,7,,,og dead
D4,TR,6250.1,,,UMBCAL,0,1,0,0,0,,,,2.21,110.5,5,,,og dead
D4,TR,6251,100,335,QUEAGR,1,1,1,0,1,,,,28.1,61.8,3,,,
B1,TR,99120,,,PSEMEN,0,0,0,0,0,,,,5.78,,,,,
B1,TR,99121,,,PSEMEN,0,0,0,0,0,,,,4.79,,,,,
B1,TR,99122,,,PSEMEN,0,0,0,0,0,,,,5.6,,,,,
B1,TR,99123,,,PSEMEN,0,0,0,0,0,,,,6.49,,,,,
B1,SA,6252,499,321,CORCOR,0,1,,,,,1.12,3,,98.1,10,,,bd at 6cm
B1,SA,6253,499,321,AMOCAL,0,1,,,,,,,,82.2,2,,,no bd /og dead
B1,TR,99124,,,PSEMEN,0,0,0,0,0,,,,7.04,,,,,
C4,TR,6266,127,165,QUEAGR,1,1,1,0,1,,,,17.2,82,9,,,
C4,TR,99125,,,PSEMEN,0,0,0,0,0,,,,6.08,,,,,
C4,TR,6267,500,440,QUEAGR,0,1,0,0,0,,,,5.63,,0,,,
C4,TR,99126,,,PSEMEN,0,0,0,0,0,,,,3.73,,,,,
C4,SA,6268,117,373,UMBCAL,0,1,,,,,,,,37.4,0,,,OG DEAD
B4,TR,99127,,,PSEMEN,0,0,0,0,0,,,,10.1,,,,,
B4,TR,99128,,,PSEMEN,0,0,0,0,0,,,,2.3,,,,,
B4,TR,99129,,,PSEMEN,0,0,0,0,0,,,,3.24,,,,,
B4,TR,99130,,,PSEMEN,0,0,0,0,0,,,,10,,,,,
B4,TR,99131,,,PSEMEN,0,0,0,0,0,,,,2.08,,,,,
B4,TR,99132,,,PSEMEN,0,0,0,0,0,,,,1.3,,,,,
B4,TR,99133,,,PSEMEN,0,0,0,0,0,,,,3.95,,,,,
B4,TR,99134,,,PSEMEN,0,0,0,0,0,,,,5.3,,,,,
B4,TR,99135,,,PSEMEN,0,0,0,0,0,,,,1.8,,,,,
B4,TR,6269,313,415,ARBMEN,0,1,0,0,0,,,,36.8,154.3,10,,,
B4,TR,6269.1,313,415,ARBMEN,0,1,0,0,0,,,,29.2,83.6,5,,,
B4,TR,6254,194,161,ARBMEN,0,1,0,0,0,,,,23.6,150.1,7,,,
B4,TR,6254.1,194,161,ARBMEN,0,1,0,0,0,,,,18,137.5,2,,,
B4,TR,6254.2,194,161,ARBMEN,0,1,0,0,0,,,,18.6,140.2,6,,,
B4,TR,6255,172,76,UMBCAL,0,1,0,0,0,,,,7.62,245.4,16,,,
B4,TR,6255.1,172,76,UMBCAL,0,1,0,0,0,,,,6.16,233,15,,,
A3,SA,6256,223,425,CEATHY,1,0,,,,53.2,0.19,2,,,,,,NEW SA 
A3,SA,6270,248,430,CEATHY,1,0,,,,76.5,0.31,7,,,,,,NEW SA 
A2,SA,6271,425,50,CEATHY,1,0,,,,51.6,0.24,0,,,,,,NEW SA 
