SORT,Plot ID,1330,,Sampler(s),"MO, MK, AC, KO",,,,,Date ,20180711,,,,,,,,
56,C4,TR,3935,,,PSEMEN,1,0,0,1,2,,,,13.1,,,0,
57,C4,TR,3934,,,UMBCAL,0,1,0,0,0,,,,1.4,80,7,0,OG DEAD
58,C4,TS,3934.1,,,UMBCAL,0,0,,,,,0.77,0,,,,0,
59,C4,TR,3936,,,PSEMEN,1,0,0,1,2,,,,11.8,,,0,
60,A1,SA,3417,,,AMOCAL,0,0,,,,,,,,,,1,GONE
61,A1,SA,3456,,,UMBCAL,0,0,,,,,,,,,,1,GONE
62,A1,SA,3457,,,AMOCAL,0,0,,,,,,,,,,1,GONE
63,A1,SA,3460,,,FRACAL,0,0,,,,,,,,,,1,GONE
64,A1,SA,3465,,,QUEAGR,0,0,,,,,,,,,,1,GONE
65,B1,SA,3839,,,QUEAGR,0,0,,,,,0.54,0,,,,0,
67,A1,SA,3463,,,UMBCAL,0,1,,,,,1.58,0,,68.3,1,0,OG DEAD
68,B1,SA,3836,,,UMBCAL,0,1,,,,,1.26,0,,67.7,1,0,OG DEAD
69,A1,TR,3468,,,UMBCAL,0,1,0,0,0,,,,2.66,122.1,9,0,OG DEAD
70,A1,SA,3473,,,UMBCAL,0,1,,,,,1.52,0,,59.5,1,0,OG DEAD
71,A1,SA,3471,,,UMBCAL,0,0,,,,,,,,,,1,
72,A1,TR,3467,,,AMOCAL,0,1,0,0,0,,,,,157.4,5,0,"OG DEAD, DBH UNAVAILABLE"
73,A1,TS,3467.1,,,AMOCAL,0,0,,,,,,,,,,0,GONE
74,B1,SA,3835,,,AMOCAL,0,1,,,,,1.08,0,,138.2,1,0,OG DEAD
75,A1,SA,3789,,,FRACAL,0,0,,,,,,,,,,0,GONE
76,A1,SA,5701,175,138,UMBCAL,0,1,,,,,0.6,0,,50.6,1,0,OG DEAD
77,A1,SA,5702,370,180,AMOCAL,0,1,,,,,,,,101.8,1,0,"OG DEAD, BD UNAVAILABLE"
78,A1,SA,3426,,,UMBCAL,0,0,,,,,,,,,,0,"GONE, NO TAG"
79,A1,SA,3427,,,PSEMEN,0,0,,,,,,,,,,0,"GONE, NO TAG"
80,A1,TR,3428,,,FRACAL,0,1,0,0,0,,,,1.94,100,8,0,OG DEAD
81,A2,SA,3430,,,UMBCAL,0,0,,,,,,,,,,1,GONE
82,A2,SA,3429,,,UMBCAL,0,1,,,,,1.1,0,,39.1,0,0,OG DEAD
83,A1,SA,5703,84,15,UMBCAL,0,1,,,,,0.81,0,,74.2,1,0,OG DEAD
84,A2,TR,3433,,,UMBCAL,0,0,0,0,0,,,,1.85,,,0,
85,A2,SA,3435,,,UMBCAL,0,1,,,,,1.74,0,,37,0,0,OG DEAD
86,A2,SA,3434,,,AMOCAL,0,1,,,,,,,,108.3,7,0,OG DEAD
87,A2,SA,3432,,,AMOCAL,0,1,,,,,,,,63,2,0,OG DEAD
88,C4,SA,3930,,,UMBCAL,0,1,,,,,,,,30.5,0,0,OG DEAD
89,C4,SA,3994,,,UMBCAL,0,0,,,,,,,,,,1,
90,C4,TR,3933,,,HETARB,0,1,0,0,0,,,,1.76,38.8,0,1,
91,C4,TR,3933.1,,,HETARB,0,0,0,0,0,,,,1.46,,,1,
92,C4,TS,3933.2,,,HETARB,0,0,,,,,,,,,,1,GONE
93,C4,SA,3932,,,HETARB,0,0,,,,,,,,,,1,GONE
94,C4,TR,3937,,,HETARB,0,0,0,0,0,,,,,,,1,GONE
95,C4,TS,3937.1,,,HETARB,0,0,,,,,,,,,,1,GONE
96,C4,SA,5685,6,200,AMOCAL,1,0,,,,61.3,0.6,7,,,,0,
97,C4,SA,5686,10,240,AMOCAL,1,0,,,,64,0.3,3,,,,0,
98,D4,TR,4191,,,PSEMEN,1,0,0,1,2,,,,6.8,,,0,
99,D4,TR,4161,,,UMBCAL,0,1,0,0,0,,,,1.4,74.6,3,0,OG DEAD
100,D4,TS,3946,,,QUEGAR,0,0,,,,,,,,,,1,GONE
101,D4,TR,4164,,,PSEMEN,0,0,0,0,0,,,,1.7,,,0,
102,D4,TR,4148,,,UMBCAL,0,1,0,0,0,,,,1.4,1.18,1,0,
103,D4,TR,4150,,,UMBCAL,0,1,0,0,0,,,,1.7,96.4,4,0,
104,D4,TR,3947,,,PSEMEN,1,1,0,1,3,,,,12.3,,,0,
105,D4,TR,4147,,,UMBCAL,0,0,0,0,0,,,,1.8,,,0,was 4157 typo qc2022mk
106,D4,TR,4163,,,QUEGAR,1,1,0,1,4,,,,20.4,NA,11,0,S
107,D4,TR,4146,,,UMBCAL,0,1,0,0,0,,,,3.1,149.4,4,0,
108,D4,TR,4141,,,HETARB,0,1,0,0,0,,,,2.1,58.6,4,0,GONE
109,D4,TR,4141.1,,,HETARB,0,0,0,0,0,,,,1.3,,,0,GONE
110,D4,TR,4141.2,,,HETARB,0,0,0,0,0,,,,1.2,,,0,GONE
111,D4,TR,4141.3,,,HETARB,0,0,0,0,0,,,,4.6,,,0,
112,D4,TR,4141.4,,,HETARB,0,1,0,0,0,,,,3.7,105.4,36,0,
113,D4,TR,4141.5,,,HETARB,0,0,0,0,0,,,,1.88,,,0,
114,D4,TS,4141.6,,,HETARB,0,1,,,,,1.2,0,,120.5,13,0,
115,D4,SA,4144,,,QUEAGR,0,1,,,,,0.5,0,,64.9,1,0,
116,A2,TR,3425,,,UMBCAL,0,1,0,0,0,,2.01,0,1.02,42.5,0,0,0G DEAD
117,A2,,3431,,,,0,0,,,,,,,,,,1,GONE
118,A2,SA,3480,,,QUEAGR,0,1,,,,,,,,70.5,1,0,
119,A2,TR,3420,,,UMBCAL,1,1,1,1,4,,,,6.19,141.5,14,0,
120,A2,SA,3476,,,AMOCAL,0,1,,,,,,,,103,4,0,
121,A2,TR,3474,,,QUEGAR,1,1,0,1,3,,,,21.4,,0,0,
122,A2,SA,3486,,,UMBCAL,0,1,,,,,,,,80.4,2,0,
123,A2,SA,3477,,,AMOCAL,0,1,,,,,,,,98.3,4,0,
124,A2,SA,3482,,,UMBCAL,0,1,,,,,,,,51.5,1,0,OG DEAD
125,A2,SA,3483,,,UMBCAL,0,1,,,,,,,,74,1,0,OG DEAD
126,A2,TR,3485,,,AMOCAL,0,1,0,0,0,,,,,141.1,5,0,OG DEAD
127,A2,TR,3438,,,HETARB,0,1,0,0,0,,,,2.63,103.5,7,0,OG DEAD
128,A2,TR,3438.2,,,HETARB,0,0,0,0,0,,,,1.57,,,0,
129,A2,TR,3438.1,,,HETARB,0,0,0,0,0,,,,2.28,,,0,
130,A2,TR,3438.3,,,HETARB,0,0,0,0,0,,,,,,,0,GONE
131,A2,TR,3490,,,HETARB,0,1,0,0,0,,,,6.5,159.5,18,0,
132,A2,TR,3490.1,,,HETARB,1,0,1,1,1,,,,2.7,,,0,
133,A2,TR,3490.2,,,HETARB,0,0,0,0,0,,,,2.26,,,0,
134,A2,TR,3490.3,,,HETARB,0,1,0,0,0,,,,3.24,123.5,5,0,
135,A2,TR,3490.4,,,UMBCAL,0,0,0,0,0,,,,1.29,,,0,OG DEAD
136,A2,TR,3437,,,UMBCAL,0,1,0,0,0,,,,1.99,82.9,2,0,OG DEAD
137,A2,SA,3491,,,AMOCAL,0,1,,,,,,,,43.5,0,0,
138,A3,TR,3487,,,UMBCAL,0,1,0,0,0,,,,3.98,,,0,
139,A3,TR,3487.1,,,UMBCAL,0,0,0,0,0,,,,2.74,,,0,
140,A3,TR,3487.2,,,UMBCAL,0,0,0,0,0,,,,2.46,,,0,
141,A3,TR,3487.3,,,UMBCAL,0,0,0,0,0,,,,1.9,,,0,
142,A3,TR,3452,,,HETARB,0,0,0,0,0,,,,1.04,,,0,
143,A3,TS,3452.1,,,HETARB,0,0,,,,,,,,,,1,GONE
144,D4,SA,4142,,,HETARB,0,0,,,,,,,,,,1,GONE
145,D4,TR,4145,,,ARCMAN,0,0,0,0,0,,,,2.3,,,0,
146,D4,TR,4143,,,HETARB,0,1,0,0,0,,,,1.2,87.2,6,0,
147,D4,TR,4143.1,,,HETARB,1,0,0,1,4,,,,1.1,,,0,
148,D4,TR,4189,,,HETARB,0,1,0,0,0,,,,1.1,65.4,1,0,OG DEAD
149,D4,TR,4195,,,UMBCAL,1,0,1,1,4,,,,2.5,,,0,SOD
150,D4,SA,5607,460,110,UMBCAL,0,1,,,,,0.53,1,,24,0,0,OG DEAD
151,D4,SA,5687,115,105,UMBCAL,0,1,,,,,0.58,0,,18,0,0,OG DEAD
152,D4,TR,4153,,,PSEMEN,0,0,0,0,0,,,,3.4,,,0,
153,D4,TS,4124,,,QUEGAR,0,0,,,,,,,,,,1,GONE
154,D4,TR,4152,,,PSEMEN,1,0,0,1,2,,,,6.3,,,0,
155,D4,SA,4162,,,UMBCAL,0,0,,,,,0.83,0,,,,0,
156,D4,SA,4154,,,QUEAGR,0,0,,,,,0.91,0,,,,0,
157,D4,SA,4174,,,QUEAGR,0,0,,,,,0.5,0,,,,0,
158,D4,TR,4145.1,,,ARCMAN,0,0,0,0,0,,,,,,,1,GONE
159,D4,TS,4163.1,,,QUEGAR,1,0,,,,115.4,,,,,,0,
160,D4,TR,4151,,,PSEMEN,1,0,0,1,3,,,,10.5,,,0,
161,D4,SA,4158,,,AMOCAL,0,0,,,,,,,,,,1,GONE
162,D4,SA,4173,,,QUEAGR,0,0,,,,,,,,,,1,GONE
163,D4,SA,4149,,,UMBCAL,0,1,,,,,1.2,1,,82.6,2,0,
164,C3,TR,3986,,,HETARB,0,0,0,0,0,,,,1.7,,,1,
165,C3,TR,3967,,,PSEMEN,0,0,0,0,0,,,,1.5,,,1,
166,C3,SA,3968,,,UMBCAL,0,0,,,,,1.42,0,,,,1,GONE
167,C3,TR,3966,,,PSEMEN,1,0,0,1,2,,,,4.6,,,0,
168,C3,TR,3969,,,PSEMEN,0,0,0,0,0,,,,5.7,,,0,
169,C3,TR,3970,,,PSEMEN,1,0,0,1,3,,,,12.4,,,0,
170,C3,SA,3977,,,UMBCAL,0,1,,,,,1.78,0,,71.7,3,0,OG DEAD
171,C3,SA,3978,,,UMBCAL,0,1,,,,,0.74,0,,59.8,1,0,OG DEAD
172,A3,TR,3489,,,HETARB,1,1,0,1,2,,,,6.08,110.7,15,0,
173,A3,TR,3489.1,,,HETARB,0,1,0,0,0,,0.98,0,0.47,108.6,5,0,
174,A3,TR,3489.2,,,HETARB,0,0,0,0,0,,,,,,,0,GONE
175,A2,TR,3489.3,,,HETARB,0,0,0,0,0,,,,,,,0,GONE
176,A3,TR,3489.4,,,HETARB,0,0,0,0,0,,,,,,,0,GONE
177,A2,SA,3436,,,UMBCAL,0,1,,,,,1.16,0,,91,2,0,
178,A2,SA,3488,,,UMBCAL,0,1,,,,,1.08,0,,54,1,0,OG DEAD
179,A2,SA,3479,,,UMBCAL,0,0,,,,,,,,,,0,GONE
181,A2,SA,3478,,,FRACAL,0,0,,,,,,,,,,0,GONE
182,A2,SA,3799,,,UMBCAL,0,0,,,,,,,,,,0,GONE- (ACTUALLY JUST NOT FOUND WAS TYPO 3789- MKCQ2022)
183,A3,SA,3443,,,AMOCAL,0,0,,,,,,,,,,0,GONE
184,A3,TR,3719,,,PSEMEN,1,0,0,1,1,,,,6.07,,,0,
185,A3,SA,3492,,,UMBCAL,0,1,,,,,0.69,0,,35.3,0,0,OG DEAD
186,A3,TR,3451,,,HETARB,0,1,0,0,0,,,,3.82,160.5,11,0,OG DEAD
187,A3,SA,3718,,,FRACAL,0,0,,,,,,,,,,1,GONE
188,A3,TR,3716,,,HETARB,0,1,0,0,0,,,,1.81,62.5,2,0,OG DEAD
189,A3,TS,3716.1,,,HETARB,0,0,,,,,0.61,0,,,,0,
190,A3,TR,3717,,,HETARB,0,1,0,0,0,,,,2.17,128.7,5,0,OG DEAD
191,A3,TR,3717.1,,,HETARB,0,0,0,0,0,,,,1.59,,,0,
192,A3,SA,3709,,,UMBCAL,0,1,,,,,0.89,0,,73.5,3,0,OG DEAD
193,A3,SA,3720,,,FRACAL,0,0,,,,,1.75,0,,,,0,
194,A3,SA,3714,,,UMBCAL,0,0,,,,,0.65,0,,,,0,
195,A3,SA,5704,60,350,UMBCAL,1,0,,,,65.2,0.75,0,,,,0,
196,A3,SA,3444,,,PSEMEN,0,0,,,,,0.91,0,,,,0,"was misentered as 3744, created a dup umbcal in 2019 that was not found (has been deleted)- real 3744 was dead fracal in 2018 w/ tag pulled. Changing this from umbcal 3744 to psemen 3444 which exsisits in 13 but wasn't found in 18 and then was dead in 19 and had tag pulled,( deleded dup 3444 with no data at like 462) - mkqc2022"
197,A3,TR,3802,,,AMOCAL,0,1,0,0,0,,,,1.9,125.3,3,0,
198,A3,TR,3802.1,,,AMOCAL,0,0,0,0,0,,,,,,,1,GONE
199,A3,TS,3802.2,,,AMOCAL,0,0,,,,,,,,,,0,
200,C3,SA,3976,,,UMBCAL,0,1,,,,,0.7,2,,63.7,1,0,OG DEAD
201,C3,SA,5688,195,65,UMBCAL,1,0,,,,28,0.41,1,,,,0,"EPICORMIC, OG DEAD"
202,C3,SA,3975,,,UMBCAL,0,0,,,,,1.3,0,,,,0,
203,C3,TR,3872,,,PSEMEN,1,0,0,1,2,,,,5.4,,,0,
204,C3,TR,3959,,,UMBCAL,0,1,0,0,0,,1.4,0,1.1,55.7,1,0,OG DEAD BUT NOW TR
205,C3,TR,3870,,,UMBCAL,0,1,0,0,0,,2.1,2,1.2,104.1,6,0,OG DEAD 
206,C3,SA,3925,,,UMBCAL,0,1,,,,,1.18,0,,47.2,0,0,OG DEAD 
207,C3,SA,3922,,-61,UMBCAL,0,0,,,,,1.24,0,,,,0,OG DEAD 
208,C3,SA,3923,,,UMBCAL,0,1,,,,,0.7,0,,37.2,0,0,OG DEAD 
209,C3,SA,3924,,,UMBCAL,0,1,,,,,0.79,0,,44.1,0,0,
210,C3,TR,3916,,,UMBCAL,0,0,0,0,0,,1.79,0,1.1,,,0,
211,C3,TR,3917,,,UMBCAL,1,1,1,0,2,,,,2.9,102,4,0,
212,C3,TR,3917.1,,,UMBCAL,0,0,0,0,0,,,,1.01,,,0,
213,C3,SA,4111,,,AMOCAL,0,0,,,,,,,,,,1,GONE
214,C3,TR,3927,,,UMBCAL,0,0,0,0,0,,1.8,0,1.12,,,0,
215,C3,TR,3915,,,UMBCAL,0,0,0,0,0,,,,1.3,,,0,
216,C3,TR,3926,,,HETARB,0,0,0,0,0,,,,1,,,0,
217,C3,TR,3926.1,,,HETARB,0,0,0,0,0,,,,1.2,,,0,"NEW .1 , NOT TAGGED"
218,C3,TR,3759,,,UMBCAL,0,1,0,0,0,,,,2,90.8,4,0,
219,C3,SA,4106,,,UMBCAL,0,0,,,,,,,,,,1,GONE
220,C3,SA,3863,,,AMOCAL,0,1,,,,,,,,54.1,1,0,OG DEAD ( was typo and dup 3865-mkqc22)
221,C3,SA,4112,,,FRACAL,0,0,,,,,,,,,,1,OG DEAD/GONE
222,C3,TR,3753,,,HETARB,0,0,0,0,0,,,,2.2,,,0,
223,C3,TR,3753.1,,,HETARB,0,0,0,0,0,,,,1.2,,,0,
224,C3,TR,3753.2,,,HETARB,0,0,0,0,0,,,,1.2,,,0,
225,C3,TR,3973,,,PSEMEN,1,0,1,1,2,,,,3.2,,,0,
226,C3,SA,3974,,,PSEMEN,0,0,,,,,1.21,0,0.9,,,0,
227,C3,TR,3963,,,PSEMEN,0,0,0,0,0,,,,1.7,,,0,
228,A3,TR,3445,,,FRACAL,0,1,0,0,0,,,,1.55,84.3,3,0,CHANGE SP FROM UMBCAL in 13DB- done
229,A3,TR,3441,,,UMBCAL,0,0,0,0,0,,,,1.54,,,0,
230,A3,TS,3441.1,,,UMBCAL,0,0,,,,,,,1.12,,,0,ADDED .1
231,A3,SA,3440,,,UMBCAL,0,0,,,,,1.83,0,0.92,84.6,3,0,
232,A3,SA,3442,,,UMBCAL,0,0,,,,,,,,,,1,GONE
233,A3,SA,3439,,,UMBCAL,0,0,,,,,1.49,0,,,,0,
234,A3,SA,3450,,,UMBCAL,1,0,,,,84.1,0.99,0,,,,0,
235,A3,SA,5705,290,37,FRACAL,1,0,,,,78.5,0.54,2,,,,0,
236,A3,SA,3708,,,PSEMEN,0,0,,,,,,,,,,1,GONE
237,A3,SA,3711,,,UMBCAL,0,0,,,,,0.56,0,,,,0,
238,A4,SA,3728,,,PSEMEN,0,0,,,,,0.87,0,,,,0,
239,A3,SA,3713,,,UMBCAL,0,0,,,,,0.59,0,,,,0,
240,A3,SA,3702,,,UMBCAL,0,0,,,,,0.8,0,,,,0,
241,A3,SA,3706,,,UMBCAL,0,0,,,,,,,,,,1,GONE
242,A3,TR,3701,,,QUEAGR,0,0,0,0,0,,,,,,,1,GONE
243,A3,SA,3715,,,UMBCAL,0,0,,,,,1.19,0,,,,0,
244,A3,SA,3710,,,FRACAL,0,0,,,,,,,,,,0,"GONE, NO TAG"
245,A3,SA,3500,,,FRACAL,1,1,,,,,0.88,0,,40.1,0,1,GONE
246,A3,SA,3712,,,FRACAL,0,0,,,,,1.83,0,,,,0,
247,A3,SA,3448,,,HETARB,0,0,,,,,,,,,,0,"GONE, NO TAG"
248,A3,TR,5706,290,150,HETARB,0,1,0,0,0,,,,,75,6,0,"OG DEAD, DBH UNAVAILABLE"
249,A4,TR,3497,,,PSEMEN,0,0,0,0,0,,,,13.3,,,0,
250,A4,SA,3726,,,UMBCAL,0,1,,,,,1.69,0,,71.5,3,0,OG DEAD
251,A4,TR,3723,,,PSEMEN,0,0,0,0,0,,,,8.5,,,0,
252,A4,SA,3498,,,UMBCAL,0,0,,,,,,,,,,1,GONE
253,A4,TR,3721,,,PSEMEN,0,0,0,0,0,,,,3.96,,,0,
254,A4,TR,3761,,,AMOCAL,0,1,0,0,0,,,,,113.5,5,0,OG GONE
255,A4,TS,3761.1,,,AMOCAL,0,0,,,,,,,,,,1,GONE
256,A4,TR,3722,,,PSEMEN,0,0,0,0,0,,,,6.05,,,0,
257,A4,SA,3494,,,UMBCAL,0,0,,,,,,,,,,1,GONE
258,A4,SA,3493,,,QUEAGR,0,0,,,,,0.66,1,,,,0,
259,A4,SA,3767,,,UMBCAL,0,0,,,,,,,,,,1,GONE- 3787 in old data
260,B4,TR,3733,,,HETARB,0,1,0,0,0,,,,2.18,76.5,9,0,
261,B4,TR,3733.1,,,HETARB,0,0,0,0,0,,,,1.28,,,0,
262,B4,TS,3733.2,,,HETARB,0,0,,,,,0.8,0,,,,0,
263,A4,SA,3762,,,UMBCAL,0,0,,,,,,,,,,1,GONE
264,A4,SA,3730,,,FRACAL,0,0,,,,,,,,,,1,GONE
265,A4,TR,3732,,,AMOCAL,0,1,0,0,0,,,,,166.5,6,0,OG DEAD
266,A4,TS,3732.1,,,AMOCAL,0,0,,,,,,,1.8,,,1,GONE
267,A4,SA,3781,,,UMBCAL,0,1,,,,,1.04,0,,51.5,1,0,
268,A4,SA,3731,,,UMBCAL,0,1,,,,,0.83,0,,9.5,0,0,
269,A4,SA,3729,,,QUEAGR,0,1,,,,,,,,,,0,OG DEAD
270,A4,SA,3766,,,UMBCAL,0,0,,,,,,,,,,1,GONE
271,A4,SA,3496,,,PSEMEN,0,0,,,,,,,,,,1,GONE
272,A4,SA,3770,,,AMOCAL,0,0,,,,,,,,,,1,GONE
273,A4,SA,3765,,,UMBCAL,0,0,,,,,0.71,0,,,,0,
274,A4,,3705,,,,0,0,,,,,,,,,,1,GONE
275,A4,SA,3704,,,AMOCAL,0,1,,,,,,,,59,1,0,
276,A4,SA,3707,,,FRACAL,0,0,,,,,,,,,,0,"GONE, NOT FOUND"
277,A4,SA,3768,,,UMBCAL,0,0,,,,,,,,,,0,"GONE, NOT FOUND"
278,A4,SA,3725,,,FRACAL,0,0,,,,,,,,,,0,"GONE, NOT FOUND"
279,A4,SA,3724,,,UMBCAL,0,0,,,,,,,,,,0,"GONE, NOT FOUND"
280,A4,SA,3763,,,UMBCAL,0,0,,,,,,,,,,0,"GONE, NOT FOUND WAS TYPO DUP 3765, MISENTERED-MKQC2022"
281,A4,SA,3764,,,PSEMEN,0,0,,,,,,,,,,0,"GONE, NOT FOUND"
282,B4,SA,3782,,,UMBCAL,0,0,,,,,,,,,,1,GONE
283,B4,TR,3788,,,HETARB,0,1,0,0,0,,,,2.87,122.5,6,0,
284,C3,TR,3962,,,PSEMEN,0,0,0,0,0,,,,1.9,,,0,
285,C3,SA,3961,,,FRACAL,0,0,,,,,,,,,,1,GONE
286,C3,SA,3971,,,UMBCAL,0,1,,,,,1.31,0,,57.9,2,0,OG DEAD
287,D3,SA,3964,,,UMBCAL,0,0,,,,,1.07,0,,,,0,OG DEAD
288,D3,TR,3965,,,UMBCAL,0,1,0,0,0,,,,2.1,109.1,7,0,OG DEAD
289,D3,SA,4171,,,QUEAGR,0,1,,,,,1.71,0,0.8,69.2,1,0,OG DEAD
290,C3,,4110,,,,0,0,,,,,,,,,,1,GONE
291,C3,TR,3984,,,UMBCAL,0,0,0,0,0,,1.45,0,0.94,,,0,
292,C3,SA,3982,,,AMOCAL,0,1,,,,,0.86,0,,22.5,0,0,OG DEAD
293,C3,TR,3981,,,UMBCAL,1,1,1,1,3,,,,5.2,168.1,5,0,
294,C3,TR,3985,,,UMBCAL,1,1,1,1,4,,,,7.3,144.6,11,0,
295,C3,TR,3983,,,HETARB,0,1,0,0,0,,,,3,104.1,12,0,
296,C3,TR,3983.1,,,HETARB,0,0,0,0,0,,,,1.5,,,0,
297,C3,SA,4109,,,UMBCAL,0,0,,,,,0.63,0,,,,1,GONE
298,C3,TS,4107,,,HETARB,0,0,,,,,,,,,,1,GONE
299,C3,SA,4108,,,UMBCAL,0,0,,,,,,,,,,1,GONE
300,C3,SA,3987,,,UMBCAL,0,0,,,,,1.63,0,,,,0,
301,C3,TR,3928,,,HETARB,0,1,0,0,0,,,,3.1,122.4,8,0,
302,C3,TR,3928.1,,,HETARB,0,1,0,0,0,,,,1.72,66,4,0,
303,C3,TS,3928.2,,,HETARB,0,0,,,,,,,,,,0,GONE
304,C3,TR,3752,,,HETARB,0,0,0,0,0,,,,1.8,,,1,GONE
305,C3,TR,3752.1,,,HETARB,0,0,0,0,0,,,,1.35,,,1,GONE
306,C3,SA,3751,,,UMBCAL,0,0,,,,,,,,,,1,GONE
