Plot ID,1312,,Sampler(s),"MO,MK,AC,KO",,,,,Date ,20180620,,,,,,,,,
A4,SA,5511,438,424,ARBMEN,1,0,,,,71,0.15,0,,,,0,,
A4,SA,5512,406,462,ARBMEN,1,0,,,,52.7,0.24,0,,,,0,,
A4,SA,5514,430,490,ARBMEN,1,0,,,,53.2,0.33,0,,,,0,,
A4,SA,1351,,,HETARB,1,0,,,,66.4,0.27,0,,,,0,,"IN A4, NOT A3"
A4,SA,5519,468,270,ARBMEN,1,0,,,,61.2,0.15,0,,,,0,,
A4,SA,5515,290,380,PSEMEN,1,0,,,,62.1,0.4,0,,,,0,,
A4,SA,5520,195,303,UMBCAL,1,0,,,,71.2,0.58,0,,,,0,,
A4,SA,5517,95,322,QUEAGR,1,0,,,,69.2,0.86,0,,,,0,,
A4,SA,1349,,,QUEAGR,1,0,,,,65.4,0.66,1,,,,0,,"IN A4, NOT A3"
A4,SA,5516,220,290,QUEAGR,1,0,,,,55.4,0.55,0,,,,0,,
B3,SA,1398,,,QUEAGR,1,0,,,,63.8,0.81,0,,,,0,,
B3,SA,1420,,,QUEAGR,1,0,,,,72.4,0.7,0,,,,0,,
C2,SA,1517,,,QUEAGR,1,0,,,,58,0.7,0,,,,0,,
C2,SA,1534,,,QUEAGR,1,0,,,,91,0.73,0,,,,0,,
C2,SA,1516,,,QUEAGR,1,0,,,,158,1.7,2,,,,0,,
C2,SA,1518,,,QUEAGR,1,0,,,,75,0.88,0,,,,0,,
C2,SA,1519,,,QUEAGR,1,0,,,,40,0.6,0,,,,0,,
C2,SA,1520,,,ARBMEN,1,0,,,,121.5,0.91,0,,,,0,,
C2,TR,1512,,,QUEAGR,1,0,0,1,2,,,,1.39,,,0,,"WAS SA, NOW TR"
C2,SA,1513,,,QUEAGR,1,0,,,,13.8,0.97,1,,,,0,,
C2,TR,1510,,,ARBMEN,1,0,0,1,5,,,,1.6,,,0,,"WAS SA, NOW TR"
C2,TR,1524,,,ARBMEN,1,0,0,1,5,,,,2.18,,,0,,
C2,SA,1511,,,ARBMEN,1,0,,,,154,1.58,0,,,,0,,
C2,SA,1509,,,ARBMEN,1,0,,,,125.6,1.75,0,,,,0,,
C2,SA,1525,,,HETARB,1,0,,,,114.5,0.36,0,,,,0,,
C2,SA,1533,,,HETARB,0,0,,,,,,,,,,0,,
C2,SA,1527,,,QUEAGR,1,0,,,,182.7,0.96,0,,,,0,,
C2,TR,1528,,,HETARB,1,0,0,1,4,,,,1.59,,,0,,
C2,TR,1528.1,,,HETARB,0,0,0,0,0,,,,,,,0,,GONE
C2,TR,1529,,,HETARB,1,0,0,1,5,,,,2.59,,,0,,
C2,SA,1526,,,HETARB,1,0,,,,102.5,0.26,0,,,,0,,
C2,TR,1569,,,QUEAGR,1,0,0,1,2,,,,3.12,,,0,,
C2,SA,1521,,,HETARB,0,0,,,,0,,,,,,0,,was typo queagri- mkqc2022
C2,SA,1532,,,UMBCAL,0,0,,,,0,,,,,,0,,
D2,SA,1567,,,QUEAGR,1,0,,,,43,0.67,0,,,,0,,
C1,SA,1504,,,UMBCAL,1,0,,,,118.3,0.89,2,,,,0,,"dups one with ht 115 and .73 bd, the other with 121.6 and 1,04 bd"
C1,SA,1503,,,QUEAGR,1,0,,,,115.9,0.93,2,,,,0,,"dups one with ht 109.4 and bd .96, the other ht 122.3 and .89 bd"
C2,SA,1531,,,QUEAGR,1,0,,,,47.6,0.4,0,,,,0,,
C2,SA,1523,,,ARBMEN,1,0,,,,199.8,1.44,1,,,,0,,
C2,SA,1530,,,ARBMEN,1,0,,,,221.2,2.33,0,,,,0,,
C2,SA,1508,,,ARBMEN,1,0,,,,161.2,2.14,0,,,,0,,
C2,SA,1514,,,UMBCAL,1,0,,,,92,0.84,0,,,,0,,
C2,SA,1515,,,QUEAGR,1,0,,,,160.8,0.99,0,,,,0,,
D2,TR,1558,,,QUEKEL,1,0,0,1,2,,,,20.1,,,0,,
D2,TR,1559,,,ARBMEN,1,0,0,1,4,,,,32.9,,,0,,
D2,TR,1564,,,ARBMEN,1,0,0,1,3,,,,14.8,,,0,,
D2,TR,1564.1,,,ARBMEN,1,0,0,1,1,,,,6.8,,,0,,
D2,SA,1562,,,UMBCAL,1,0,,,,97.2,0.81,1,,,,0,,
D2,SA,1566,,,HETARB,1,0,,,,159,1.75,1,,,,0,,
D2,TR,1563,,,ARBMEN,1,0,0,1,2,,,,4.28,,,0,,
D2,SA,1572,,,QUEAGR,1,0,,,,77.2,0.32,0,,,,0,,
D2,SA,1570,,,QUEAGR,1,0,,,,112,0.86,0,,,,0,,
D2,SA,1571,,,HETARB,1,0,,,,22.3,1.55,1,,,,0,,
D2,SA,1586,,,QUEAGR,1,0,,,,110.1,0.48,0,,,,0,,mkqc2022- based on size in 2019 assigned this dup 1567 to missing 1586- bit of a fudge- not confident its right but better than assumping a true dup and averaging bc data was so differnet 
D2,SA,1561,,,UMBCAL,1,0,,,,67,0.48,0,,,,0,,
D2,SA,1565,,,QUEAGR,1,0,,,,37,0.28,0,,,,0,,
D2,SA,5523,380,116,UMBCAL,1,0,,,,69.5,0.42,0,,,,0,,
D2,SA,5524,280,250,UMBCAL,1,0,,,,98,0.78,0,,,,0,,
D2,SA,5525,250,300,UMBCAL,1,0,,,,67,0.45,0,,,,0,,
D1,TR,1593,,,ARBMEN,1,0,0,1,4,,,,6.1,,,0,,
D1,TR,1593.1,,,ARBMEN,1,0,0,1,3,,,,4.66,,,0,,
D1,SA,1568,,,QUEAGR,1,0,,,,23,0.12,0,,,,0,,
D1,SA,1581,,,QUEAGR,1,0,,,,91,1.05,0,,,,0,,
D1,SA,1583,,,QUEAGR,1,0,,,,210,1.45,1,,,,0,,
D1,SA,1597,,,UMBCAL,1,0,,,,131.3,0.77,0,,,,0,,"dups - averaged one with ht 133.5 and bd .8, the other with ht 129 and bd.73"
D1,SA,1599,,,QUEAGR,1,0,,,,62.2,0.73,0,,,,0,,"dups- averaged one with ht 60 abd bd.75, the other with ht 64.4 and bd .71"
D1,SA,1595,,,QUEAGR,1,0,,,,34,0.65,0,,,,0,,
D1,SA,1598,,,QUEAGR,1,0,,,,96.5,0.95,1,,,,0,,
D1,SA,1600,,,QUEAGR,1,0,,,,65.5,0.51,0,,,,0,,
D1,SA,1607,,,QUEAGR,1,0,,,,72,0.62,0,,,,0,,
D1,SA,1604,,,QUEAGR,1,0,,,,67,0.47,0,,,,0,,
D1,SA,1601,,,UMBCAL,1,0,,,,92,0.71,0,,,,0,,
D1,SA,1560,,,QUEAGR,0,0,,,,0,,,,,,0,,
D1,SA,1603,,,QUEAGR,1,0,,,,68,0.78,0,,,,0,,
D1,SA,1585,,,QUEAGR,1,0,,,,85.5,1.49,0,,,,0,,
D1,SA,1589,,,QUEAGR,1,0,,,,98,0.45,0,,,,0,,
D1,SA,1578,,,HETARB,0,0,,,,0,,,,,,0,,WAS QUEAGRI- BUT DEAD AND ALIVE IN 1013 - MKQC2022
D1,TR,1576,,,HETARB,1,0,0,1,3,,,,2.03,,,0,,
D1,TS,1576.1,,,HETARB,1,0,,,,194,0.45,0,,,,0,,
D1,TS,1576.2,,,HETARB,1,0,,,,127,0.52,0,,,,0,,
D1,TS,1576.3,,,HETARB,0,0,,,,0,0.89,0,,,,0,,
D1,SA,1577,,,UMBCAL,0,0,,,,0,,,,,,0,,
D1,SA,1580,,,QUEAGR,1,0,,,,122.4,0.6,0,,,,0,,
D1,TR,1584,,,PSEMEN,1,0,0,1,4,,,,12.8,,,0,,
D1,SA,1588,,,UMBCAL,1,0,,,,188.5,0.68,2,,,,0,,
D1,SA,1606,,,UMBCAL,1,0,,,,101,0.24,0,,,,0,,
D1,SA,1591,,,HETARB,1,0,,,,146,0.42,1,,,,0,,
D1,SA,1582,,,QUEAGR,1,0,,,,36.7,0.53,0,,,,0,,
D1,SA,1587,,,QUEAGR,1,0,,,,106.8,0.84,0,,,,0,,
D1,SA,1605,,,QUEAGR,0,0,,,,0,,,,,,0,,
D1,SA,1596,,,QUEAGR,1,0,,,,156,1.74,0,,,,0,,
D1,SA,1575,,,QUEAGR,0,0,,,,0,,,,,,0,,
D1,SA,1609,,,QUEAGR,1,0,,,,77.5,0.58,0,,,,0,,
D1,SA,1608,,,UMBCAL,1,0,,,,93.5,0.66,0,,,,0,,
B3,TR,1399,,,QUEAGR,1,0,0,1,2,,,,1.13,,,0,,
B3,SA,1465,,,QUEAGR,1,0,,,,59.1,0.38,0,,,,0,,
B3,SA,1441,,,QUEAGR,1,0,,,,111.1,0.5,1,,,,0,,
B3,SA,5518,266,46,QUEAGR,1,0,,,,73,0.24,2,,,,0,,
B3,SA,1413,,,ARBMEN,1,0,,,,225.4,1.94,0,,,,0,,
B3,SA,1401,,,QUEAGR,1,0,,,,52.1,0.62,0,,,,0,,
B3,SA,1439,,,QUEAGR,1,0,,,,40.7,0.66,0,,,,0,,
B3,SA,1457,,,QUEAGR,1,0,,,,65.6,0.88,0,,,,0,,
B3,SA,1402,,,QUEAGR,1,0,,,,122.6,0.97,0,,,,0,,
B3,TR,1404,,,ARBMEN,1,0,0,1,4,,,,1.41,,,0,,TREE
B3,SA,1403,,,QUEAGR,1,0,,,,141.3,1.21,1,,,,0,,
B3,SA,1406,,,QUEAGR,1,0,,,,66.2,1.84,1,,,,0,,
B3,TR,1405,,,ARBMEN,1,0,0,1,4,,,,2.43,,,0,,"WAS SA, NOW TR"
B3,SA,1407,,,QUEAGR,1,0,,,,62.2,1.3,1,,,,0,,
B3,SA,1412,,,QUEAGR,1,0,,,,129.6,1.29,0,,,,0,,
B3,TR,1400,,,QUEAGR,1,0,0,1,2,,,,2.33,,,0,,
B3,SA,1397,,,HETARB,1,0,,,,214.6,1.14,5,,,,0,,
B3,SA,1396,,,QUEAGR,1,0,,,,122.9,1.14,0,,,,0,,
B3,SA,5527,28,190,UMBCAL,1,0,,,,58.4,0.51,1,,,,0,,
B3,SA,5529,133,198,QUEAGR,1,0,,,,68.7,0.39,0,,,,0,,
B3,SA,1415,,,QUEAGR,1,0,,,,26.8,0.38,0,,,,0,,
B3,SA,5528,68,307,QUEAGR,1,0,,,,55.6,0.56,0,,,,0,,POSSIBLY 5522
B3,SA,5522,165,433,UMBCAL,1,0,,,,68,0.44,1,,,,0,,POSIBLY 5528
B3,SA,1416,,,UMBCAL,1,0,,,,91.8,0.73,0,,,,0,,
B3,SA,5521,206,321,QUEAGRI,1,0,,,,155,1.41,2,,,,0,,
B3,SA,1411,,,QUEAGR,1,0,,,,96.8,0.57,0,,,,0,,
B3,SA,1409,,,QUEAGR,1,0,,,,94,0.55,1,,,,0,,
D1,SA,1573,,,UMBCAL,1,0,,,,183,0.57,0,,,,0,,
D1,SA,1602,,,UMBCAL,1,0,,,,85,0.49,0,,,,0,,
D1,SA,1574,,,QUEAGR,1,0,,,,73.4,0.56,0,,,,0,,
D1,SA,1594,,,QUEAGR,1,0,,,,45.7,0.35,0,,,,0,,
D1,SA,1579,,,UMBCAL,1,0,,,,149.6,1.19,1,,,,0,,WAS MISRECORDED AS QUEAGRI- MKQC22
D1,SA,1590,,,UMBCAL,0,0,,,,,,,,,,0,,CANNOT FIND
C1,SA,1486,,,UMBCAL,1,0,,,,183.6,1.19,0,,,,0,,
C1,SA,1483,,,QUEAGR,1,0,,,,173,0.75,0,,,,0,,
C1,SA,1484,,,QUEAGR,1,0,,,,112.4,0.94,0,,,,0,,
C1,SA,1485,,,UMBCAL,1,0,,,,179.3,1.44,0,,,,0,,
C1,SA,1477,,,UMBCAL,1,0,,,,150.6,1.44,0,,,,0,,
C1,SA,1478,,,ARBMEN,1,0,,,,118,1.31,0,,,,0,,
C1,TR,1480,,,HETARB,1,0,0,1,5,,,,2.47,,,0,,
C1,TR,1480.1,,,HETARB,1,0,0,1,4,,,,0.49,,,0,,
C1,TR,1480.2,,,HETARB,1,0,0,1,5,,,,1.33,,,0,,
C1,TS,1480.3,,,HETARB,1,0,,,,,1.32,0,,,,0,,
C1,TR,1481,,,QUEAGR,1,0,0,1,2,,,,9.8,,,0,,
C1,TR,1482,,,QUEAGR,1,0,0,1,4,,,,12.4,,,0,,
C1,SA,1479,,,PSEMEN,1,0,,,,96.1,0.81,0,,,,0,,
C1,SA,1471,,,UMBCAL,1,0,,,,113,0.78,0,,,,0,,
C1,SA,1473,,,ARBMEN,1,0,,,,128.7,1.3,0,,,,0,,
C1,SA,1493,,,QUEAGR,1,0,,,,205.4,1.98,0,,,,0,,
C1,SA,1506,,,ARBMEN,1,0,,,,133.5,1.97,0,,,,0,,
C1,SA,1495,,,ARBMEN,1,0,,,,117.7,1.68,0,,,,0,,
C1,SA,1505,,,QUEAGR,1,0,,,,116.2,1.72,0,,,,0,,
C1,SA,1492,,,ARBMEN,1,0,,,,116.9,1.73,0,,,,0,,
C1,SA,1491,,,ARBMEN,1,0,,,,145.5,1.26,0,,,,0,,
C1,SA,1496,,,ARBMEN,1,0,,,,58.4,0.71,0,,,,0,,
C1,SA,1502,,,UMBCAL,1,0,,,,126.6,0.91,0,,,,0,,
C1,SA,1555,,,QUEAGR,1,0,,,,195,2.03,0,,,,0,,
C1,SA,1497,,,UMBCAL,1,0,,,,216,1.67,0,,,,0,,
C1,SA,1498,,,QUEAGR,1,0,,,,124.7,0.72,0,,,,0,,
C1,SA,1488,,,HETARB,1,0,,,,110.6,0.63,0,,,,0,,
C1,SA,1499,,,QUEAGR,1,0,,,,148.5,1.43,0,,,,0,,
C1,SA,1500,,,QUEAGR,1,0,,,,196.2,1.15,0,,,,0,,
C1,SA,1501,,,QUEAGR,1,0,,,,134.1,0.88,0,,,,0,,
C1,SA,1507,,,ARBMEN,1,0,,,,221.4,2.37,0,,,,0,,
C1,SA,1490,,,QUEAGR,1,0,,,,129.5,1.06,0,,,,0,,
C1,SA,1489,,,QUEAGR,1,0,,,,45,0.46,0,,,,0,,
C1,SA,1476,,,QUEAGR,1,0,,,,57.5,0.4,0,,,,0,,
C1,SA,1494,,,QUEAGR,0,0,,,,,,,,,,0,,"COULD NOT FIND- misenetred as hetarb, also alive in 2020, not on list in 2019 so wasn't found bc wasn't looked for- mkqc2022"
C1,SA,1487,,,HETARB,1,0,,,,241,1.69,0,,,,0,,
D4,SA,5542,135,495,HETARB,1,0,,,,56.5,0.45,0,,,,0,,
D4,SA,5536,63,364,UMBCAL,1,0,,,,51,0.59,0,,,,0,,
D4,SA,5535,360,250,UMBCAL,1,0,,,,57.2,0.76,0,,,,0,,
D3,SA,5537,487,100,UMBCAL,1,0,,,,64,0.79,0,,,,0,,
C2,SA,5538,139,270,UMBCAL,1,0,,,,57.8,0.56,0,,,,0,,
D1,SA,5532,148,440,UMBCAL,1,0,,,,139.4,1.36,0,,,,0,,
D1,SA,5541,230,445,UMBCAL,1,0,,,,71.2,0.68,0,,,,0,,
D1,SA,5540,280,187,QUEAGR,1,0,,,,50.6,0.62,0,,,,0,,
D1,SA,5544,106,132,QUEAGR,1,0,,,,53,0.37,0,,,,0,,
B3,SA,1410,,,QUEAGR,1,0,,,,43.9,3.8,0,,,,0,,
B3,SA,1408,,,QUEAGR,1,0,,,,72.8,0.74,1,,,,0,,
B3,SA,1418,,,QUEAGR,1,0,,,,108.6,0.5,0,,,,0,,
B3,SA,1419,,,QUEAGR,1,0,,,,70.6,0.41,0,,,,0,,
B3,SA,1417,,,QUEAGR,0,0,,,,0,0.71,0,,,,0,,
B3,SA,5526,230,209,QUEAGR,1,0,,,,60.5,0.63,1,,,,0,,
A3,TR,1347,,,UMBCAL,1,0,0,1,4,,,,2.12,,,0,,
A3,SA,1364,,,QUEAGR,1,0,,,,63,0.61,0,,,,0,,
A3,SA,5530,97,370,QUEAGR,1,0,,,,51,0.55,0,,,,0,,
A3,SA,1344,,,UMBCAL,1,0,,,,56.2,0.74,0,,,,0,,
A3,SA,1368,,,QUEAGR,1,0,,,,75.5,0.77,0,,,,0,,
A3,TR,1361,,,PSEMEN,1,0,0,1,5,,,,1.68,,,0,,"WAS SA,NOW TR"
A3,SA,1367,,,QUEAGR,1,0,,,,48,0.55,0,,,,0,,
A3,SA,1362,,,QUEAGR,1,0,,,,58.6,0.79,0,,,,0,,
A3,SA,1345,,,HETARB,1,0,,,,194,1.33,5,,,,0,,
A3,SA,1357,,,HETARB,1,0,,,,199,1.78,1,,,,0,,
A3,SA,1369,,,HETARB,1,0,,,,88,0.64,1,,,,0,,
A3,SA,5531,277,308,HETARB,1,0,,,,50.1,0.33,1,,,,0,,
A3,SA,1356,,,QUEAGR,1,0,,,,118.4,1.59,0,,,,0,,
A3,SA,5551,292,140,QUEAGR,1,0,,,,52.6,0.57,0,,,,0,,
A3,SA,1338,,,QUEAGR,1,0,,,,95,0.89,1,,,,0,,
A3,SA,1337,,,QUEAGR,1,0,,,,123.8,1.06,1,,,,0,,
A3,SA,1359,,,HETARB,1,0,,,,142,1.07,1,,,,0,,
A3,SA,1358,,,QUEAGR,1,0,,,,64.4,1.19,2,,,,0,,
A3,SA,1352,,,UMBCAL,1,0,,,,81.7,0.76,0,,,,0,,SOD
A3,SA,1365,,,QUEAGR,1,0,,,,50,0.98,0,,,,0,,was typo 1356-- assigned to 1365 based on size in 2019- mkqc2022
A3,SA,1355,,,QUEAGR,1,0,,,,107.2,0.82,2,,,,0,,
C1,SA,5543,495,208,UMBCAL,1,0,,,,65.2,0.53,0,,,,0,,
C1,SA,5533,175,200,UMBCAL,1,0,,,,55.3,0.83,0,,,,0,,
C1,SA,5539,200,220,UMBCAL,1,0,,,,53,0.59,0,,,,0,,
C1,SA,5534,300,355,PSEMEN,1,0,,,,96.7,0.64,0,,,,0,,
C1,SA,5554,25,162,UMBCAL,1,0,,,,58.5,0.64,0,,,,0,,
B2,SA,5564,440,462,QUEAGR,1,0,,,,52.6,0.64,0,,,,0,,
B2,SA,1436,,,QUEAGR,0,0,,,,93,0.81,0,,,,0,,BROKEN AT BASE
B2,SA,1447,,,QUEAGR,1,0,,,,70.3,0.6,0,,,,0,,
B2,SA,1446,,,QUEAGR,1,0,,,,96,1.1,1,,,,0,,
B2,SA,1448,,,ARBMEN,1,0,,,,153,1.26,0,,,,0,,
B2,SA,5562,440,220,ARBMEN,1,0,,,,118,0.98,0,,,,0,,
B2,SA,1445,,,QUEAGR,1,0,,,,268,1.45,0,,,,0,,
B2,SA,5553,240,220,QUEAGR,1,0,,,,54,0.83,0,,,,0,,
B2,SA,1430,,,QUEAGR,1,0,,,,72,0.6,0,,,,0,,
B2,SA,1437,,,QUEAGR,1,0,,,,58,1.44,0,,,,0,,
B2,TR,1434,,,PSEMEN,1,0,0,1,5,,,,3.5,,,0,,
B2,SA,1432,,,QUEAGR,1,0,,,,20,1.1,0,,,,0,,
B2,SA,1433,,,QUEAGR,1,0,,,,154,1.67,0,,,,0,,
B2,SA,1431,,,UMBCAL,1,0,,,,96,0.68,0,,,,0,,
B2,TR,1429,,,QUEAGR,1,0,0,1,1,,,,1.56,,,0,,
B2,SA,1425,,,QUEAGR,1,0,,,,95,1.17,0,,,,0,,
B2,SA,1424,,,QUEAGR,1,0,,,,74,0.49,0,,,,0,,
B2,SA,1428,,,UMBCAL,1,0,,,,133,1.15,0,,,,0,,
B2,SA,1427,,,QUEAGR,1,0,,,,129,1.14,0,,,,0,,
B2,SA,5563,72,480,QUEAGR,1,0,,,,67,0.79,0,,,,0,,
B2,SA,1421,,,QUEAGR,1,0,,,,103,0.74,0,,,,0,,
B2,SA,1422,,,QUEAGR,1,0,,,,191.5,1.75,0,,,,0,,
B2,SA,1423,,,QUEAGR,1,0,,,,265,1.61,0,,,,0,,
A3,SA,1353,,,QUEAGR,1,0,,,,125.6,1.29,1,,,,0,,
A3,SA,1366,,,QUEAGR,1,0,,,,89.6,0.63,0,,,,0,,
A3,SA,1354,,,QUEAGR,1,0,,,,75.1,0.27,1,,,,0,,
A3,SA,1325,,,QUEAGR,1,0,,,,70.4,0.96,0,,,,0,,
A3,SA,1339,,,UMBCAL,1,0,,,,143.6,1.14,1,,,,0,,
A3,SA,5545,188,90,QUEAGR,1,0,,,,51.6,0.27,1,,,,0,,
A3,SA,5548,158,116,QUEAGR,1,0,,,,63.2,0.42,0,,,,0,,
A3,SA,1342,,,UMBCAL,1,0,,,,34.5,0.61,0,,,,0,,
A3,SA,1341,,,UMBCAL,1,0,,,,133.5,1.35,1,,,,0,,
A3,SA,5552,144,64,QUEAGR,1,0,,,,72.1,0.56,1,,,,0,,
A3,SA,5546,136,68,QUEAGR,1,0,,,,70,0.54,0,,,,0,,
A3,SA,5550,126,179,QUEAGR,1,0,,,,58,0.54,0,,,,0,,
A3,SA,5566,74,52,QUEAGR,1,0,,,,51,0.46,1,,,,0,,
A3,SA,1363,,,QUEAGR,1,0,,,,41,0.74,0,,,,0,,
A2,SA,1314,,,UMBCAL,1,0,,,,149.4,2.24,0,,,,0,,
A2,SA,1315,,,UMBCAL,1,0,,,,194.4,2.36,0,,,,0,,
A2,SA,1316,,,QUEAGR,1,0,,,,25,0.48,0,,,,0,,
A2,SA,1317,,,QUEAGR,1,0,,,,44,0.7,0,,,,0,,
A3,TR,1318,,,QUEAGR,1,0,0,1,4,,,,1.4,,,0,,"WAS SA, NOW TR- dup with dbh of 1.13 deleted"
A3,SA,1343,,,UMBCAL,1,0,,,,229,2.27,2,,,,0,,
