Plot ID,1305,,Sampler(s),AC/MK/MO/KO,,,,,Date ,20180723,,,,,,,,,
B3,SA,99300,,,QUEAGR,0,0,,,,,2.01,0,,,,0,,
B2,TR,1065,,,UMBCAL,1,1,1,1,2,,,,15.9,54.2,1,0,,
B2,TR,1065.1,,,UMBCAL,0,1,0,0,0,,,,12.3,,,0,,
B2,TR,1065.2,,,UMBCAL,0,0,0,0,0,,,,6.56,,,0,,
B2,TR,1065.3,,,UMBCAL,1,1,1,1,2,,,,13.1,,,0,,
B2,TR,1065.4,,,UMBCAL,0,1,0,0,0,,,,8.3,113.2,3,0,,
B2,TR,1067,,,UMBCAL,0,1,0,0,0,,,,15.3,,,0,,confirm tag number  in 2019. typo in DBH 115.3 should be 15.5 based on 14.4 dbh in 2013- mkqc2024
B2,TR,1067.1,,,UMBCAL,0,1,0,0,0,,,,9.6,,,0,,
B2,TR,1067.2,,,UMBCAL,0,0,0,0,0,,,,10.6,,,0,,
B2,TR,1067.3,,,UMBCAL,0,0,0,0,0,,,,4.81,,,0,,DEAD/GONE
B2,TR,1068,,,UMBCAL,1,1,1,1,2,,,,17.5,76.3,1,0,,
B2,TR,1068.1,,,UMBCAL,0,0,0,0,0,,,,16,,,0,,
B2,SA,1064,,,UMBCAL,0,0,,,,,,,,,,1,,DEAD/GONE TAG RECOVERED
B1,TR,1069,,,UMBCAL,0,1,0,0,0,,,,14.4,65.7,12,0,,
B1,TR,1069.1,,,UMBCAL,0,1,0,0,0,,,,4.09,,,0,,DEAD/GONE
B1,TR,1069.2,,,UMBCAL,0,1,0,0,0,,,,9.6,,,0,,
B1,TR,1069.3,,,UMBCAL,0,1,0,0,0,,,,7.59,64.1,2,0,,
B1,TR,1070,,,UMBCAL,0,1,0,0,0,,,,8.3,126.5,14,0,,
B1,SA,1072,,,UMBCAL,0,0,,,,,,,,,,0,,DEAD/GONE TAG NOT FOUND
B1,SA,99301,,,UNK,0,0,,,,,,,,,,0,,
C4,SA,1089,,,UMBCAL,0,1,,,,,2.81,0,0.91,122.5,1,0,,
C4,SA,1090,,,UMBCAL,0,1,,,,,2.09,0,,78.5,1,0,,
C4,SA,1091,,,UMBCAL,0,0,,,,,2.32,0,,,,0,,
C4,SA,1087,,,UMBCAL,0,0,,,,,2.43,0,,,,0,,
C4,TR,1093,,,QUEAGR,0,0,0,0,0,,,,5.29,,,0,,
D4,TR,1095,,,QUEAGR,0,1,0,0,0,,,,10.9,65.2,1,0,,
D4,TR,1100,,,QUEAGR,0,1,0,0,0,,,,5.77,76.9,1,0,,
D4,SA,1098,,,UMBCAL,0,0,,,,,1.82,0,,,,0,,
D4,SA,1099,,,UMBCAL,0,0,,,,,1.46,0,,,,0,,
D4,TR,1199,,,UMBCAL,0,1,0,0,0,,3.2,0,1.2,53.1,1,0,,
D4,SA,1198,,,QUEAGR,0,1,,,,,2.31,2,,39.8,,0,,was typo umbcal- mkqc2022
D4,TR,1197,,,QUEAGR,0,1,0,0,0,,,,4.1,60,3,0,,
D4,SA,5877,233,448,UMBCAL,0,1,,,,,1.16,0,,40.1,0,0,,OG DEAD 
D3,TR,1193,,,QUEAGR,1,0,1,1,4,,,,94.3,,,0,,
D3,SA,1191,,,UMBCAL,0,0,,,,,1.45,0,,,,0,,
D3,SA,5878,328,62,UMBCAL,0,1,,,,,0.94,0,,20.2,,0,,OG DEAD
D3,SA,1192,,,QUEAGR,0,0,,,,,,,,,,1,,"DEAD/GONE TAG RECOVERED- was typo umbcal but since it was ""gone"" going with 2013 id of queagri"
D3,SA,1194,,,QUEAGR,0,0,,,,,,,,,,1,,DEAD/GONE TAG RECOVERED
D3,SA,1195,,,UMBCAL,0,0,,,,,,,,,,0,,DEAD/GONE TAG NOT FOUND
D3,SA,1196,,,UMBCAL,0,0,,,,,,,,,,0,,DEAD/GONE TAG NOT FOUND
