Plot ID,1851,,Sampler(s),"MK,MO,AC,KO",,,,,Date ,20180815,,,,,,,,
C1,TR,6323,470,480,QUEAGR,1,1,1,0,1,,,0,35.9,120.7,8,,dbh at 1.5m
C1,TR,6324,405,25,UMBCAL,0,1,0,0,0,,3.89,0,1.4,72.1,7,,og dead
C1,TR,999.14,,,PSEMEN,0,0,0,0,0,,44.4,0,30.4,,,,
C2,SA,6311,300,165,BACPIL,1,0,,,,53.3,0.48,1,,,,,
C2,TR,6312,483,419,UMBCAL,0,1,0,0,0,,,,,196.1,9,,og dead/gone 
C3,SA,6309,324,155,QUEAGR,0,1,,,,,,,,64.4,1,,og dead/gone 
C3,SA,6310,31,75,QUEAGR,0,1,,,,,,,,48.5,0,,og dead/gone 
C3,SA,6313,15,205,QUEAGR,0,1,,,,,,,,78.3,2,,og too short for bd
C3,TR,6314,5,355,QUEAGR,0,1,0,0,0,,,,,39.5,0,,no bd
C3,SA,6315,420,425,QUEAGR,0,1,,,,,,,,82.1,7,,no bd 
C3,TR,6317,255,285,UMBCAL,0,1,0,0,0,,8.85,0,,203.5,21,,og dead
C4,SA,6316,90,55,QUEAGR,0,1,,,,,0.59,1,,60.1,2,,og dead
C4,TR,6318,140,20,UMBCAL,0,1,0,0,0,,62.8,0,5.08,154,13,,og dead
C4,TR,6319,110,245,ARBMEN,0,1,0,0,0,,11.9,0,7.97,164.1,15,,og dead
C4,TR,999.15,,,PSEMEN,0,0,0,0,0,,72.1,0,62.4,,,,
C4,TR,6325,210,385,ARBMEN,0,0,0,0,0,,6.55,0,6.52,,,,
