Plot ID,1302,,Sampler(s),"MK,MO,KO,AC",,,,,Date ,20180731,,,,,,,,,
D3,SA,99282,,,QUEAGR,0,0,,,,,1.18,0,,,,0,,
D3,SA,99283,,,QUEAGR,0,0,,,,,0.89,0,,,,0,,
D3,SA,99284,,,QUEAGR,0,0,,,,,0.46,0,,,,0,,
D3,SA,5995,235,439,QUEAGR,0,1,,,,,0.76,0,,30.9,0,0,,OG DEAD
D4,SA,1035,,,QUEAGR,0,0,,,,,,,,,,1,,GONE
D4,SA,5961,285,475,QUEAGR,0,1,,,,,0.75,2,,31.1,0,0,,OG DEAD
D3,SA,99285,,,QUEAGR,0,0,,,,,1.07,0,,,,0,,
D4,SA,5962,125,275,QUEAGR,0,1,,,,,0.52,4,,23.5,0,0,,OG DEAD
D4,SA,99286,,,QUEAGR,0,0,,,,,0.68,0,,,,0,,
D4,SA,99287,,,QUEAGR,0,0,,,,,0.42,0,,,,0,,
D4,SA,5996,355,273,QUEAGR,0,1,,,,,0.83,0,,27.5,0,0,,OG DEAD
D4,SA,99288,,,QUEAGR,0,0,,,,,0.46,3,,,,0,,
D4,SA,5963,155,275,QUEAGR,0,1,,,,,0.77,0,,51.8,1,0,,OG DEAD
D4,SA,5964,175,225,QUEAGR,0,1,,,,,0.55,2,,25.9,0,0,,OG DEAD
D4,SA,99289,,,QUEAGR,0,0,,,,,0.61,1,,,,0,,
D4,SA,5965,250,170,QUEAGR,0,1,,,,,1.05,3,,45.2,0,0,,OG DEAD
D4,SA,99290,,,QUEAGR,0,0,,,,,0.82,0,,,,0,,
D4,SA,99291,,,QUEAGR,0,0,,,,,0.91,2,,,,0,,
D4,SA,5997,382,352,QUEAGR,0,1,,,,,0.75,0,,18,0,0,,OG DEAD
D4,SA,5998,362,319,QUEAGR,0,1,,,,,0.61,2,,30.5,0,0,,OG DEAD
D4,SA,5966,445,35,QUEAGR,0,1,,,,,0.86,3,,44.6,0,0,,OG DEAD
D4,SA,5999,128,55,QUEAGR,0,1,,,,,1.05,1,,58.6,1,0,,OG DEAD
D4,SA,5967,320,125,QUEAGR,0,1,,,,,0.76,1,,22.7,0,0,,OG DEAD
D4,SA,5968,490,20,QUEAGR,0,1,,,,,1.1,1,,45.6,0,0,,OG DEAD
D4,SA,5969,490,185,QUEAGR,0,1,,,,,1.04,3,,32.7,0,0,,OG DEAD
