Plot ID,1345,,Sampler(s),"MK, KO, MO, AC",,,,,Date ,"20180628, 20180629",,,,,,,,
A3,TR,2259.3,,,ARCMAN,0,0,0,0,0,,,,2.1,,,0,
A3,TR,2274,,,UMBCAL,0,1,0,0,0,,,,1.01,92.5,4,0,og dead
A3,SA,2278,,,UMBCAL,0,1,,,,,2.22,0,,91.1,3,0,og dead
A3,SA,2276,,,UMBCAL,0,1,0,0,0,,1.52,0,,90.2,1,0,og dead (marked as HETARB)
A3,TR,2277,,,ARCMAN,0,0,0,0,0,,,,5.75,,,0,
A3,TR,2258,,,PSEMEN,1,0,0,1,4,,,,16.8,,,0,
A4,TR,2280,,,HETARB,0,1,0,0,0,,,,7.28,125.2,23,0,
A4,TR,2280.1,,,HETARB,0,0,0,0,0,,,,3.07,,,0,
A4,TR,2280.2,,,HETARB,0,0,0,0,0,,,,3.2,,,0,
A4,TR,2279,,,HETARB,0,1,0,0,0,,,,2.51,118,301,0,og dead
A4,TR,2279.16,,,HETARB,0,0,0,0,0,,,,3.87,,,0,og dead
A4,TR,2279.2,,,HETARB,0,0,0,0,0,,,,1.92,,,0,og dead
A4,TR,2279.1,,,HETARB,0,0,0,0,0,,,,1.51,,,0,og dead
A4,TR,2279.13,,,HETARB,0,0,0,0,0,,,,3.11,,,0,og dead
A4,TR,2279.12,,,HETARB,0,0,0,0,0,,,,1.91,,,0,
A4,TR,2279.6,,,HETARB,0,0,0,0,0,,,,2.23,,,0,
A4,TR,2279.3,,,HETARB,0,1,0,0,0,,,,3.68,,0,0,
A4,TR,2279.7,,,HETARB,0,1,0,0,0,,,,3.66,,0,0,
A4,TR,2279.14,,,HETARB,0,0,0,0,0,,,,2.42,,,0,
A4,TR,2279.5,,,HETARB,0,0,0,0,0,,,,2.87,,,0,
A4,TR,2279.4,,,HETARB,0,0,0,0,0,,,,3.88,,,0,
A4,TR,2279.8,,,HETARB,0,1,0,0,0,,,,2.16,,0,0,
A4,TR,2279.17,,,HETARB,0,0,0,0,0,,,,1.89,,,0,
A4,TR,2279.9,,,HETARB,0,0,0,0,0,,,,2.99,,,0,
A4,TR,2279.11,,,HETARB,0,0,0,0,0,,,,1.11,,,0,
A4,TR,2279.15,,,HETARB,0,0,0,0,0,,,,1.73,,,0,
B4,TR,2248,,,QUEDOU,1,0,0,1,3,,,,23.7,,,0,
B4,TR,2247,,,HETARB,0,1,0,0,0,,,,1.47,122,5,0,
B4,TR,2246,,,QUEDOU,1,0,0,1,2,,,,37.4,,,0,
B4,TR,2242,,,HETARB,0,1,0,0,0,,,,1.12,108.8,11,0,
B4,TR,2242.1,,,HETARB,0,0,0,0,0,,,,1.31,,,0,
B4,TR,2242.2,,,HETARB,0,1,0,0,0,,,,,,,0,og dead and gone
B4,TR,2242.3,,,HETARB,0,1,0,0,0,,,,,,,0,og dead and gone
B4,TR,2243,,,QUEAGR,0,1,0,0,0,,,,1.4,78,1,0,
B4,TR,2243.1,,,QUEAGR,0,0,0,0,0,,,,2.3,,,0,
B4,TR,2244,,,UMBCAL,0,1,0,0,0,,3.27,0,1.5,117.6,3,0,og dead
B4,TR,2245,,,UMBCAL,0,1,0,0,0,,1.08,0,,55,1,0,
B3,TR,2252,,,HETARB,0,1,0,0,0,,,,1.51,97.3,1,0,og dead
B3,TR,2252.1,,,HETARB,0,1,0,0,0,,,,1.39,62,6,0,og dead
B3,TR,2284,,,HETARB,0,0,0,0,0,,,,4.01,,,0,
B3,TR,2284.3,,,HETARB,0,1,0,0,0,,,,4.99,89.3,5,0,og dead
B3,TR,2284.1,,,HETARB,0,0,0,0,0,,,,,,,0,can't find
D4,TR,1944,,,ARCMAN,1,0,0,1,3,,,,11.1,,,0,
D4,TR,1944.1,,,ARCMAN,0,0,0,0,0,,,,6.1,,,0,
D4,TR,1944.2,,,ARCMAN,0,0,0,0,0,,,,5.3,,,0,
D4,TR,1944.3,,,ARCMAN,0,0,0,0,0,,,,6.6,,,0,
D4,TR,1944.4,,,ARCMAN,0,0,0,0,0,,,,6,,,0,
D4,TR,1944.5,,,ARCMAN,0,0,0,0,0,,,,8.9,,,0,
D4,SA,1935,,,HETARB,0,1,,,,,0.93,0,,40,0,0,og dead
D4,TR,1919,,,PSEMEN,0,0,0,0,0,,,,1.4,,,0,"became a tree, but dead"
D4,SA,1920,,,QUEAGR,0,1,,,,,0.98,0,,17.6,0,0,og dead
D4,SA,5587,,,HETARB,1,0,,,,78.6,0.43,0,,,,0,new SA
C4,TR,1940,,,QUEGAR,1,0,0,1,4,,,,29.4,,,0,
C4,TR,1938,,,QUEDOU,1,0,,1,2,,,,18.9,,,0,
C3,TR,1936,,,QUEDOU,1,0,0,1,2,,,,24.2,,,0,
C4,TR,1939,,,QUEDOU,0,0,0,0,0,,,,,,,0,"dead and snag, tag not found"
C3,SA,1937,,,QUEAGR,0,1,,,,,1.8,0,,61.8,5,0,og dead
C1,TR,1934,,,ARCMAN,1,0,0,1,3,,,,21.1,,,0,
C1,TR,1934.1,,,ARCMAN,0,0,0,0,0,,,,16.4,,,0,
C1,TR,1934.2,,,ARCMAN,1,0,0,1,2,,,,14.8,,,0,
C1,TR,1934.3,,,ARCMAN,1,0,0,1,2,,,,8.8,,,0,
C1,SA,1932,,,UMBCAL,0,1,,,,,1,0,,52.5,1,0,og dead
C1,SA,1915,,,HETARB,0,1,,,,,0.83,0,,44.6,0,0,og dead
C1,SA,1906,,,UMBCAL,0,1,,,,,0.66,0,,29,0,0,"og dead and out of ground, BD was an estimate"
B2,TR,2295,,,QUEGAR,1,0,0,1,4,,,,25.7,,,0,
B2,TR,2296,,,HETARB,0,1,0,0,0,,,,1.7,93.8,13,0,
B2,TR,2296.1,,,HETARB,0,0,0,0,0,,,,1,,0,0,
B2,TR,2296.2,,,HETARB,0,1,0,0,0,,,,1.7,95.1,3,0,
B2,SA,2297,,,PSEMEN,0,0,,,,,1.46,0,,,,0,
B2,TR,2298,,,HETARB,0,1,0,0,0,,,,5.3,108.4,8,0,
B3,TR,2284.2,,,HETARB,0,0,0,0,0,,,,,,,0,can't find
B3,TR,2284.4,,,HETARB,0,0,0,0,0,,,,,,,0,can't find
B3,TR,2281,,,QUEGAR,1,0,0,1,3,,,,23.7,,,0,
B3,TR,2253,,,HETARB,0,0,0,0,0,,,,,,,0,dead and gone
B3,TR,2253.1,,,HETARB,0,1,0,0,0,,,,7.7,98.4,12,0,
B3,TR,2253.2,,,HETARB,0,0,0,0,0,,,,,,,0,dead and gone
B3,TR,2253.3,,,HETARB,0,1,0,0,0,,,,10.2,99.3,9,0,
B3,TR,999,,,HETARB,0,0,0,0,0,,,,2.39,,,0,
B3,TR,2238,,,QUEGAR,1,0,0,1,4,,,,31.7,,,0,
B3,TR,2283,,,HETARB,0,1,0,0,0,,,,2.52,52,2,0,
B3,TR,2283.1,,,HETARB,0,0,0,0,0,,,,2.04,,,0,
B3,TR,2283.2,,,HETARB,0,0,0,0,0,,,,,,,0,dead and gone
B3,TR,2283.3,,,HETARB,0,0,0,0,0,,,,,,,0,dead and gone
B3,TR,2282,,,QUEAGR,0,1,0,0,0,,,,1.11,70,2,0,
B3,TR,2238,,,QUEAGR,0,0,0,0,0,,,,,,,0,dead and gone
B3,TR,2251,,,UMBCAL,0,1,0,0,0,,,,1.94,77,2,0,
B3,TR,2250,,,HETARB,0,1,0,0,0,,,,3.54,103.6,9,0,
B3,TR,2254,,,QUEGAR,1,0,0,1,5,,,,34.4,,,0,
B3,SA,2249,,,QUEAGR,0,1,,,,,0.83,0,,27.6,0,0,
B3,TR,2236,,,HETARB,0,1,0,0,0,,,,2.09,118,4,0,
B3,TR,2236.1,,,HETARB,0,0,0,0,0,,,,,,,0,dead and gone
B3,TR,2255,,,HETARB,0,1,0,0,0,,,,2.21,92.7,2,0,
B3,TR,2255.1,,,HETARB,0,1,0,0,0,,,,1.49,85.3,2,0,
B3,TR,2237,,,ARCMAN,0,0,0,0,0,,,,,,,0,dead and gone
B1,TR,2241.2,,,HETARB,0,0,0,0,0,,,,1.53,,,0,
B1,TR,2241,,,HETARB,0,1,0,0,0,,,,3.31,86,7,0,
B1,TR,2241.1,,,HETARB,0,1,0,0,0,,,,1.35,,0,0,
B1,TR,2241.3,,,HETARB,0,0,0,0,0,,,,2.62,,,0,
B2,TR,2298.1,,,HETARB,0,1,0,0,0,,,,4.7,95.9,8,0,
B2,TR,2298.2,,,HETARB,0,0,0,0,0,,,,5.1,,,0,
B2,TR,2298.3,,,HETARB,0,0,0,0,0,,,,3.6,,,0,
B2,TR,2299,,,HETARB,0,1,0,0,0,,,,2.6,112.4,7,0,
B2,TR,2299.1,,,HETARB,0,0,0,0,0,,,,,,,0,dead and gone
B2,TR,1908,,,HETARB,0,1,0,0,0,,,,5.1,111.5,12,0,
B2,TR,1908.1,,,HETARB,0,0,0,0,0,,,,3.2,,,0,
B2,TR,1908.2,,,HETARB,0,0,0,0,0,,,,2.3,,,0,
B2,TR,1908.3,,,HETARB,0,1,0,0,0,,,,3.2,93.6,7,0,
B2,TR,1908.4,,,HETARB,0,0,0,0,0,,,,1.9,,,0,
B2,TR,1908.5,,,HETARB,0,0,0,0,0,,,,2.8,,,0,
B2,TR,1908.6,,,HETARB,0,0,0,0,0,,,,1.6,,,0,
B2,TR,1908.7,,,HETARB,0,1,0,0,0,,,,1.9,99,18,0,
B2,TR,1908.8,,,HETARB,0,0,0,0,0,,,,1.5,,,0,
B2,TR,1908.9,,,HETARB,0,1,0,0,0,,,,2.3,98,4,0,
B2,SA,2289,,,QUEAGR,0,1,,,,,0.89,0,,44.7,0,0,og dead
B2,TR,2294,,,HETARB,0,1,0,0,0,,,,1.93,71.8,2,0,
B2,TR,2294.1,,,HETARB,0,1,0,0,0,,,,1.73,77.2,1,0,
B2,TR,1908.11,,,HETARB,0,0,0,0,0,,,,2.7,,,0,might be 1909.1 b/c no 1909.0 exists- yep its part of 1908 cluster 
B2,TR,2292,,,HETARB,0,1,0,0,0,,,,1.16,73,3,0,now a TR
B2,TR,2291,,,HETARB,0,1,0,0,0,,,,2.5,120,6,0,
B2,TR,2291.1,,,HETARB,0,1,0,0,0,,,,2.6,140.2,10,0,
B2,TR,2291.2,,,HETARB,0,0,0,0,0,,,,1.3,,,0,
B2,TR,2291.3,,,HETARB,0,0,0,0,0,,,,1.4,,,0,
B2,SA,5590,,,HETARB,0,1,,,,,1.5,0,,76.1,2,0,new SA
B2,SA,5589,,,HETARB,0,1,,,,,1.9,0,,69.7,3,0,new SA
C1,TR,5594,,,QUEDOU,1,0,0,1,2,,,,15.8,,,0,"new TR, might be -999, added tag number to 2013 csv qc2022mk"
B2,TR,2293,,,QUEGAR,1,0,0,1,4,,,,18.7,,,0,"new TR, TAGGED AS 5593- REPLACE WITH A NEW 2293 TAG IN 2019"
B1,TS,2241.4,,,HETARB,0,0,0,0,0,,,,1.16,,,0,
B1,TR,2257,,,QUEGAR,1,0,0,1,5,,,,42.2,,,0,
B1,TR,2257.2,,,QUEGAR,1,0,0,1,3,,,,32,,,0,
B1,TR,2257.1,,,QUEGAR,1,0,0,1,4,,,,41.2,,,0,
B1,TR,2240,,,HETARB,0,0,0,0,0,,,,4.36,,,0,
B1,TR,2240.1,,,HETARB,0,0,0,0,0,,,,2.06,,,0,
B1,TR,2240.2,,,HETARB,0,1,0,0,0,,,,2.39,87.9,5,0,OG dead
B1,TR,2240.3,,,HETARB,0,1,0,0,0,,,,5.16,91.1,3,0,OG dead
B1,TR,2240.4,,,HETARB,0,1,0,0,0,,,,4.01,103.8,4,0,OG dead
B1,TR,2240.5,,,HETARB,1,0,1,1,1,,,,5.69,,,0,
B1,TR,2239,,,HETARB,0,1,0,0,0,,,,2.06,91.6,3,0,og dead
B1,TR,2239.1,,,HETARB,0,1,0,0,0,,,,1.49,70.1,2,0,og dead
B1,TS,2239.2,,,HETARB,0,0,,,,,2.02,0,,,,0,
B1,TR,5595,,,UMBCAL,0,1,0,0,0,,,,1.12,137.8,3,0,needs xy in 2019
B2,TR,2290,,,HETARB,0,1,0,0,0,,,,4.5,86.5,8,0,
B2,TR,2290.1,,,HETARB,0,0,0,0,0,,,,2.6,,,0,
B2,TR,2290.2,,,HETARB,0,1,0,0,0,,,,2.6,91.1,6,0,
B2,TR,2290.3,,,HETARB,0,0,0,0,0,,,,2.2,,,0,
B2,TR,2290.4,,,HETARB,0,0,0,0,0,,,,2.1,,,0,
B2,TR,2290.5,,,HETARB,0,1,0,0,0,,,,2.2,104.9,15,0,
B2,TR,2290.6,,,HETARB,0,0,0,0,0,,,,1.9,,,0,
B2,TR,2290.7,,,HETARB,0,0,0,0,0,,,,1.9,,,0,
B2,TR,2285,,,HETARB,0,1,0,0,0,,,,4.8,93.5,5,0,
B2,TR,2285.1,,,HETARB,0,1,0,0,0,,,,4.1,122.3,7,0,
B2,TR,2285.2,,,HETARB,0,1,0,0,0,,,,2.3,135.3,13,0,
B2,TR,2285.3,,,HETARB,0,1,0,0,0,,,,2.5,101,4,0,
B2,TR,2285.4,,,HETARB,0,0,0,0,0,,,,1.4,,,0,
B2,TR,2285.5,,,HETARB,0,1,0,0,0,,,,3.7,90.5,5,0,
B2,TR,2285.6,,,HETARB,0,1,0,0,0,,,,3.2,133.4,4,0,
B2,TR,2285.7,,,HETARB,0,0,0,0,0,,,,1.6,,,0,
B2,TR,2285.8,,,HETARB,0,0,0,0,0,,,,2.3,,0,0,
B2,TR,1901,,,HETARB,0,1,0,0,0,,,,2.3,69.5,6,0,
B2,TR,1901.1,,,HETARB,0,0,0,0,0,,,,1.3,,,0,
B3,SA,5592,,,HETARB,0,1,,,,,0.79,0,,26.6,0,0,"OG dead, tagged as new SA"
B2,TR,2286,,,HETARB,0,1,0,0,0,,,,3.31,92.4,6,0,
B2,TR,2286.1,,,HETARB,0,0,0,0,0,,,,2,,,0,
B2,SA,2287,,,QUEAGR,0,1,,,,,1.36,0,,76.9,3,0,og dead
B2,SA,2288,,,QUEAGR,0,1,,,,,,,,23.6,0,0,"og dead and gone, no BD"
B2,TR,2300,,,HETARB,0,0,0,0,0,,,,,,,0,"dead and gone, tag not found"
B2,TR,2300.1,,,HETARB,0,0,0,0,0,,,,,,,0,"dead and gone, tag not found"
B2,TR,2300.2,,,HETARB,0,0,0,0,0,,,,,,,0,"dead and gone, tag not found"
