Plot ID,1313,,Sampler(s),"M0,MK,KO,DA",,,,,Date ,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
A1,TR,1723,,,HETARB,1,0,1,1,2,,,,6.4,,,0,,
A1,TR,1723.1,,,HETARB,0,1,0,0,0,,,,2.6,,0,0,,
A1,TR,1723.2,,,HETARB,0,1,0,0,0,,,,3.1,,0,0,,
A1,TR,1722,,,PSEMEN,0,0,0,0,0,,,,3.8,,,0,,
A1,SA,1721,,,QUEAGR,0,0,,,,,2.1,0,,,,0,,
A1,SA,1724,,,HETARB,0,1,,,,,2.6,0,,50,1,0,,
A1,TR,1719.1,,,ARBMEN,0,0,0,0,0,,,,0,,,1,,GONE
A1,SA,1720,,,HETARB,0,1,,,,,0.71,0,,,0,0,,
B2,SA,1744,,,HETARB,0,1,,,,,1.8,0,,87.3,11,0,,
A2,TR,1729,,,HETARB,0,1,0,0,0,,,,5.5,,0,0,,
A2,TR,1729.1,,,HETARB,0,1,0,0,0,,1.3,0,1.1,,0,0,,"Tags melted, ranked by size, 1=largest"
A2,TS,1729.2,,,HETARB,0,0,,,,,0.9,0,,,,0,,
A2,TS,1729.3,,,HETARB,0,0,,,,,0.6,0,,,,0,,
A2,TR,1726,,,HETARB,0,1,0,0,0,,,,2.8,100.4,2,0,,
A2,TR,1726.1,,,HETARB,0,0,0,0,0,,,,1.1,,,0,,
A2,TR,1727,,,HETARB,0,1,0,0,0,,3,0,2.4,89.9,3,0,,"x,y reversed"
A2,TS,1727.1,,,HETARB,0,0,,,,,,,,,,0,,gone
A2,TS,1727.2,,,HETARB,0,0,,,,,1.74,0,,,,0,,
A2,SA,1728,,,HETARB,0,0,,,,,0.93,0,,,,0,,
A2,SA,1730,,,UMBCAL,0,1,,,,,1.5,0,,102.1,3,0,,
A2,SA,1731,,,HETARB,0,1,,,,,3.1,0,,106.3,9,0,,
C2,TR,1751,,,QUEKEL,0,0,0,0,0,,,,20,,,0,,"stem burned, dbh compomised"
C2,TR,1748,,,ARBMEN,1,0,0,1,3,,,,64.1,,,0,,
C2,TR,1748.1,,,ARBMEN,1,0,0,1,4,,,,35.3,,,0,,
C2,TR,1748.2,,,ARBMEN,1,0,0,1,2,,,,10.1,,,0,,
C2,TR,1759,,,UMBCAL,0,1,0,0,0,,,,2.4,97,4,0,,
C2,SA,1760,,,HETARB,0,0,,,,,0.8,0,,,,0,,
C3,SA,1761,,,ARBMEN,0,0,,,,,1.3,0,,,,0,,was hetarb but was also dead- so changing to match sp ID in 2013 when it was alive- mkqc2022
C3,TR,1762,,,HETARB,0,1,0,0,0,,,,1.6,98,9,0,,tag not found
C3,TS,1762.1,,,HETARB,0,0,,,,,2,,,,,0,,tag not found
C3,TS,1762.2,,,HETARB,0,0,,,,,,,,,,0,,"tag not found, gone"
C3,TR,1769,,,HETARB,0,1,0,0,0,,,,0.7,74,6,0,,
C3,TS,1769.1,,,HETARB,0,0,,,,,1,0,,,,0,,
C3,TS,1769.2,,,HETARB,0,0,,,,,0.8,0,,,,0,,tag not found
C3,TS,1769.3,,,HETARB,0,0,,,,,,,,,,0,,tag not found
C3,TS,1769.4,,,HETARB,0,0,,,,,,,,,,0,,tag not found
C3,SA,1770,,,HETARB,0,1,,,,,1.1,0,,85,8,0,,
B3,SA,1742,,,HETARB,0,0,,,,,0.3,0,,,,0,,
C4,TR,1747,,,ARBMEN,1,1,0,1,3,,,,19.3,62,2,0,,
C4,TR,1747.1,,,ARBMEN,0,0,0,0,0,,,,5.9,,,0,,
C4,TR,1746,,,ARBMEN,0,1,0,0,0,,,,4,73,2,0,,
C4,TR,1749,,,ARBMEN,1,1,1,1,2,,,,20,80,5,0,,
A3,TR,1732,,,ARBMEN,1,0,0,1,4,,,,30.7,,,0,,
A3,TR,1732.1,,,ARBMEN,1,0,1,1,2,,,,17.6,,,0,,"TS IN DATABASE, SHOULD BE TR- FIXED IN 13 MKQC2022"
A3,TR,1732.4,,,ARBMEN,0,0,0,0,0,,,,9.2,,,0,,"TS IN DATABASE, SHOULD BE TR- FIXED IN 13 MKQC2023"
A3,TR,1732.2,,,ARBMEN,1,1,1,1,3,,,,22.3,57.4,2,0,,"TS IN DATABASE, SHOULD BE TR- FIXED IN 13 MKQC2024"
A3,TR,1732.3,,,ARBMEN,1,1,0,1,4,,,,39.6,,0,0,,"TS IN DATABASE, SHOULD BE TR- FIXED IN 13 MKQC2025"
A3,TR,1732.5,,,ARBMEN,1,1,1,1,3,,,,25,91.2,1,0,,"TS IN DATABASE, SHOULD BE TR- FIXED IN 13 MKQC2026"
A3,SA,1733,,,QUEAGR,0,0,,,,,0.94,0,,,,0,,TAG LOST
A4,SA,1734,,,HETARB,0,1,,,,,1.11,0,,34.4,0,0,,
A4,SA,1735,,,UMBCAL,0,1,,,,,2.34,0,,69.7,4,0,,
B3,TR,1741,,,QUEAGR,1,0,0,1,4,,,,73,,,0,,
B3,TR,1740,,,ARBMEN,1,1,1,1,2,,,,8.7,57.9,2,0,,
B3,SA,1743,,,HETARB,0,0,,,,,0.81,0,,,,0,,
B3,TR,1739,,,HETARB,0,1,0,0,0,,2.72,0,1.73,72.6,5,0,,
B4,SA,1737,,,HETARB,0,1,,,,,2.68,0,,66.7,1,0,,
B4,SA,1738,,,UMBCAL,0,0,,,,,1.03,0,,,,0,,
B4,SA,1736,,,HETARB,0,1,,,,,2.17,0,,75.4,5,0,,
A2,TR,1725,,,HETARB,0,1,0,0,0,,,,,,,,,"MK ADDED/ NOT ON OG DATASHEET- BUT FOUND IN 2019- SO JUST NOT LOCATED OR ENETERED, ENTERED AS 0/1 BASED ON 2019"
