Plot ID,1333,,Sampler(s),"MK,MO,AC",,,,,Date ,20180710,,,,,,,,
B3,SA,5671,15,440,UMBCAL,0,1,,,,,0.84,0,,56.6,0,0,"OG DEAD, NEW SA"
B4,SA,5672,25,125,UMBCAL,0,1,,,,,0.53,0,,27.3,0,0,"OG DEAD, NEW SA"
A3,SA,5673,249,379,UMBCAL,0,1,,,,,0.49,0,,22.8,0,0,"OG DEAD, NEW SA"
A4,SA,3349,,,UMBCAL,0,0,,,,,,,,,,0,"GONE, NOT FOUND"
A3,SA,5674,311,390,UMBCAL,0,1,,,,,,,,12.1,0,0,"OG DEAD, NEW SA"
A3,TR,3348,,,QUEKEL,1,0,0,1,4,,,,47.7,,,0,
A1,SA,3345,,,UMBCAL,0,1,,,,,1,0,,34,0,0,BD @ 8CM / OG DEAD
A2,SA,3341,,,UMBCAL,0,0,,,,,,,,,,1,GONE
A2,SA,5675,195,5,UMBCAL,0,1,,,,,0.54,0,,18,0,0,"OG DEAD, NEW SA"
A2,SA,3346,,,UMBCAL,0,0,,,,,,,,,,1,GONE
B1,TR,3364,,,UMBCAL,1,1,1,1,3,,,,31.6,118.6,7,0,
A2,SA,5676,0,5,UMBCAL,0,1,,,,,0.45,1,,16.9,0,0,OG DEAD NEW SA
A1,TR,3344,,,QUEKEL,1,1,0,1,2,,,,28.4,123,1,0,
A2,SA,999.4,,,UMBCAL,0,0,,,,,0.65,1,,,,0,
A1,TR,3343,,,QUEKEL,1,0,0,1,1,,,,22.5,,,0,
A2,SA,5677,195,280,UMBCAL,0,1,,,,,0.52,0,,27.1,0,0,"OG DEAD, NEW SA"
A2,SA,5678,25,440,UMBCAL,0,1,,,,,0.51,0,,40.4,0,0,"OG DEAD, NEW SA"
A2,SA,5679,180,440,UMBCAL,0,1,,,,,0.7,0,,53.4,1,0,"OG DEAD, NEW SA"
A2,SA,5680,140,480,UMBCAL,0,1,,,,,0.9,0,,52.6,1,0,"OG DEAD, NEW SA"
A1,TR,3342,,,UMBCAL,1,1,1,1,3,,,,21.8,121.5,12,0,
A1,TR,3342.1,,,UMBCAL,0,0,0,0,0,,,,2.9,,,0,
A1,TR,3342.2,,,UMBCAL,0,0,0,0,0,,,,3.7,,,0,
A2,SA,3347,,,UMBCAL,0,1,,,,,,,,,,0,no data recorded but resprout in 2019 so infered- but no height- mkqc2022
A1,SA,3340,,,UMBCAL,0,1,,,,,0.87,0,,43.1,0,0,
A1,SA,3339,,,UMBCAL,0,1,,,,,0.72,0,,70.5,2,0,
A1,SA,3327,,,PSEMEN,0,0,,,,,,,,,,0,"GONE, TAG NOT FOUND"
B1,TR,3366,,,QUEGAR,1,1,0,1,2,,,,30.8,,,0,
A1,SA,5681,240,170,UMBCAL,0,1,,,,,0.39,0,,11.4,0,0,OG DEAD NEW SA 
