Plot ID,1326,,Sampler(s),"AC, MK, MO, KO",,,,,Date ,20180709,,,,,,,,
D2,SA,3687,,,UMBCAL,0,0,,,,,0.72,0,,,,0,
D2,SA,3686,,,UMBCAL,0,0,,,,,,,,,,1,gone
D2,TR,3698,,,QUEGAR,1,0,0,1,3,,,,45.7,,,0,
D2,TR,3699,,,PSEMEN,1,0,0,1,2,,,,14.8,,,0,
D2,TR,3410,,,PSEMEN,0,0,0,0,0,,,,,,,0,gone
D2,SA,3681,,,UMBCAL,0,1,,,,,1.78,0,,74.9,3,0,og dead
D2,SA,3682,,,UMBCAL,0,0,,,,,1.68,0,,,,0,
B1,SA,3576,,,UMBCAL,0,0,,,,,1.41,0,,,,0,
B1,SA,3575,,,UMBCAL,0,0,,,,,1.09,0,,,,0,
C1,SA,3610,,,UMBCAL,0,0,,,,,0.86,0,,,,0,
B1,SA,3589,,,UMBCAL,0,0,,,,,,,,,,1,dead/gone
B1,SA,3577,,,UMBCAL,1,1,,,,,1.05,0,,57.9,1,0,
B1,SA,3587,,,UMBCAL,0,0,,,,,0.66,0,,,,1,dead/gone
B1,SA,3588,,,UMBCAL,0,0,,,,,,,,,,1,dead/gone
B1,TR,3591,,,PSEMEN,1,0,0,1,2,,,,8.7,,,0,
B1,TR,3593,,,PSEMEN,1,0,0,1,3,,,,12.2,,,0,
B1,TR,3592,,,PSEMEN,1,0,0,1,3,,,,22.3,53.1,1,0,
B1,SA,3590,,,UMBCAL,1,1,,,,,1.09,0,,,,0,og dead
B1,SA,3595,,,UMBCAL,1,1,,,,,0.96,0,,65.6,1,0,og dead
B1,SA,3583,,,UMBCAL,0,0,,,,,,,,,,1,dead/gone
B1,SA,3584,,,PSEMEN,0,0,,,,,,,,,,1,dead/gone- was umbcal- changed to match 13db- mkqc2022
C1,SA,3660,,,UMBCAL,0,0,,,,,1.44,0,,,,0,
C1,TR,3596,,,UMBCAL,0,1,0,0,0,,,,1.92,105,1,0,og dead
C1,SA,3603,,,UMBCAL,0,0,,,,,,,,,,1,dead/gone
C1,TR,3601,,,PSEMEN,1,0,0,1,3,,,,19.8,,,0,
C1,SA,3597,,,UMBCAL,0,0,,,,,,,,,,1,dead/gone
C1,SA,3609,,,UMBCAL,0,0,,,,,,,,,,1,dead/gone
B1,SA,3578,,,UMBCAL,0,0,,,,,,,,,,0,"dead/gone, tag not found"
B1,SA,3579,,,UMBCAL,0,0,,,,,,,,,,0,"dead/gone, tag not found"
C1,SA,3608,,,UMBCAL,0,0,,,,,1.11,0,,,,0,
C1,SA,3607,,,UMBCAL,0,0,,,,,1.09,1,,,,0,
C1,SA,5661,185,325,UMBCAL,1,1,,,,,0.67,1,,40.9,0,0,"og dead, now SA"
C1,SA,3614,,,UMBCAL,0,0,,,,,1.74,0,,,,0,
C1,SA,3613,,,UMBCAL,0,0,,,,,0.63,0,,,,0,
C1,SA,999.5,,,UMBCAL,0,0,,,,,0.73,0,,,,0,
D3,TR,3694,,,ARBMEN,1,1,1,1,3,,,,40.9,73.4,1,0,
D3,TR,3696,,,ARBMEN,1,1,1,1,2,,,,35.4,68.5,1,0,
D2,SA,3653,,,UMBCAL,0,1,,,,,1.3,0,,70.7,2,0,Og dead
C2,SA,3620,,,UMBCAL,0,0,,,,,2,0,,,,0,
D2,SA,3683,,,UMBCAL,0,0,,,,,,,,,,1,gone
D2,SA,3691,,,UMBCAL,0,0,,,,,,,,,,1,gone
D2,SA,3684,,,UMBCAL,0,0,,,,,,,,,,1,gone
D2,SA,3411,,,UMBCAL,0,0,,,,,,,,,,1,gone
D2,SA,5653,145,320,UMBCAL,0,1,,,,,,,,,,0,Og dead
D3,TR,3695,,,PSEMEN,0,0,0,0,0,,,,6.37,,,0,
D3,SA,3675,,,UMBCAL,0,0,,,,,1.8,0,,,,0,
D3,SA,3679,,,UMBCAL,0,0,,,,,,,,,,1,gone
D3,SA,3680,,,UMBCAL,0,0,,,,,,,,,,1,gone
D3,TR,3692,,,PSEMEN,0,0,,,,,,,8.63,,,0,
D3,SA,3678,,,UMBCAL,0,0,,,,,,,,,,1,gone
D3,SA,3676,,,UMBCAL,0,0,,,,,,,,,,1,gone
D3,TR,3693,,,PSEMEN,0,0,0,0,0,,,,4.4,,,0,
D3,SA,3651,,,UMBCAL,0,0,,,,,,,,,,1,gone
D3,SA,3650,,,UMBCAL,0,0,,,,,1.93,0,,,,0,
D3,SA,3409,,,UMBCAL,0,0,,,,,,,,,,1,gone
D4,TR,3671,,,PSEMEN,0,0,0,0,0,,,,2.92,,,0,
D4,TR,3669,,,PSEMEN,0,0,0,0,0,,,,10.5,,,0,
D4,SA,3673,,,UMBCAL,0,0,,,,,1.64,0,,60,4,0,
D4,TR,3667,,,PSEMEN,1,0,0,1,2,,,,29.4,,,0,
D4,SA,3648,,,UMBCAL,0,0,,,,,1.57,0,,,,0,
C1,SA,3611,,,UMBCAL,0,0,,,,,,,,,,1,dead/gone
C1,SA,3618,,,UMBCAL,0,0,,,,,0.64,0,,,,1,dead/gone
C1,SA,3612,,,UMBCAL,0,0,,,,,0.78,0,,,,1,dead/gone
C1,SA,3688,,,UMBCAL,0,0,,,,,,,,,,1,dead/gone
C1,SA,999.6,,,UMBCAL,0,0,,,,,0.82,0,,,,0,
C1,SA,3631,,,UMBCAL,0,0,,,,,0.52,1,,,,0,
C1,SA,3630,,,UMBCAL,1,1,,,,,0.88,0,,50,1,0,og dead
C1,SA,3629,,,UMBCAL,1,1,,,,,1.8,0,,62.7,1,0,
C1,SA,5662,460,255,UMBCAL,1,1,,,,,0.59,0,,61.4,1,0,og dead
C1,TR,3604,,,UMBCAL,0,1,0,0,0,,,,1.38,,0,0,
C1,TR,3600,,,PSEMEN,0,0,0,0,0,,,,5.3,,,0,
C1,TR,3599,,,QUEAGR,0,1,,,,,,,6.7,,,0,"dead/gone, basal dead, no tag"
C1,SA,3602,,,UMBCAL,0,0,,,,,,,,,,1,dead/gone
C1,TR,3632,,,PSEMEN,1,0,0,1,3,,,,78.6,,,0,
C1,SA,3598,,,UMBCAL,0,0,,,,,,,,,,0,"dead/gone, no tag"
C1,SA,3606,,,UMBCAL,0,0,,,,,,,,,,0,"dead/gone, no tag"
B3,TR,3559,,,PSEMEN,1,0,0,1,2,,,,18.6,,,0,
B3,SA,3554,,,UMBCAL,0,0,,,,,,,,,,1,dead/gone
B3,SA,3555,,,UMBCAL,1,1,,,,,0.64,1,,33,0,0,og dead
B3,SA,3556,,,UMBCAL,0,0,,,,,,,,,,1,dead/gone
B3,SA,3558,,,UMBCAL,0,0,,,,,,,,,,1,dead/gone
B3,SA,3560,,,UMBCAL,0,0,,,,,,,,,,1,dead/gone
A3,SA,3531,,,UMBCAL,0,0,,,,,,,,,,1,dead/gone
A3,TR,3523,,,QUEGAR,1,0,0,1,2,,,,20.7,,,0,
A3,SA,3527,,,UMBCAL,1,1,,,,,1.15,0,,63.5,4,0,og dead
A3,TR,3526,,,UMBCAL,0,1,0,0,0,,,0,1.4,105.2,6,0,
A3,SA,3524,,,UMBCAL,1,0,,,,88.5,0.74,1,,,,0,SOD
A3,SA,3525,,,UMBCAL,0,0,,,,,,,,,,1,dead/gone
B4,SA,3548,,,UMBCAL,1,1,,,,,0.93,1,,32.8,0,0,og dead
D4,TR,3668,,,PSEMEN,0,0,0,0,0,,,,,,,0,gone
D4,TR,3672,,,PSEMEN,0,0,0,0,0,,,,7.5,,,0,
D4,TR,3670,,,PSEMEN,0,0,0,0,0,,,,7.2,,,0,
D4,SA,3649,,,UMBCAL,0,0,,,,,,,,,,1,gone
D4,SA,3674,,,UMBCAL,0,0,,,,,1.12,0,,,,0,
C4,TR,3664,,,PSEMEN,1,0,0,1,2,,,,11.5,,,0,
C4,SA,3645,,,UMBCAL,0,0,,,,,,,,,,1,gone
C4,SA,3659,,,UMBCAL,0,0,,,,,0.79,0,,,,0,
C4,SA,3665,,,QUEGAR,1,0,0,1,4,,,,37.2,,,0,
C4,SA,3646,,,UMBCAL,0,0,,,,,0.99,0,,,,0,
C4,SA,5654,78,235,UMBCAL,0,1,,,,,0.77,0,,,,0,og dead
C4,TR,3666,,,PSEMEN,1,0,0,1,3,,,,21.6,,,0,
C4,SA,999.7,,,UMBCAL,0,0,,,,,1.26,0,,,,0,
C4,SA,3647,,,UMBCAL,0,0,,,,,,,,,,0,"3641 in data- changed in 2013 DB, gone"
C4,SA,3643,,,UMBCAL,0,0,,,,,,,,,,1,gone
C4,SA,3644,,,UMBCAL,0,0,,,,,,,,,,1,gone
C4,SA,999.8,,,UMBCAL,0,0,,,,,0.88,0,,,,0,"Recorded as 999.7, but that tag was already assigned. Changed to 999.8."
C4,SA,5655,,,UMBCAL,0,1,,,,,,,,,,0,og dead
C3,SA,3638,,,UMBCAL,0,0,,,,,,,,,,1,gone
C3,SA,3639,,,UMBCAL,0,0,,,,,,,,,,1,gone 
C3,SA,3657,,,UMBCAL,0,0,,,,,,,,,,1,gone
C2,TR,3654,,,PSEMEN,1,0,0,1,2,,,,9.9,,,0,
C3,SA,3627,,,UMBCAL,0,0,,,,,,,,,,1,gone
C2,SA,3628,,,UMBCAL,0,0,,,,,,,,,,1,gone
B4,SA,3549,,,UMBCAL,0,0,,,,,1.8,0,,,,0,
B4,TR,3547,,,PSEMEN,0,0,0,0,0,,,,3.5,,,0,
A3,SA,5663,460,375,UMBCAL,1,0,,,,64.6,0.55,1,,,,0,SOD
A3,SA,5664,455,325,UMBCAL,1,0,,,,79,0.76,1,,,,0,SOD
A4,TR,3540,,,QUEGAR,1,1,0,1,4,,,,33.9,,,0,
A4,TR,3541,,,QUEGAR,0,0,0,0,0,,,,27.6,,,0,
A4,SA,3532,,,UMBCAL,0,0,,,,,1.68,0,,,,0,
A4,TR,3536,,,QUEGAR,1,0,0,1,4,,,,43,,,0,
A4,TR,3537,,,QUEGAR,1,0,0,1,4,,,,45.5,,,0,
A4,TR,3538,,,QUEGAR,1,0,0,1,3,,,,38.6,,,0,
A4,SA,3535,,,UMBCAL,0,0,,,,,,,,,,1,dead/gone
A4,SA,3530,,,UMBCAL,0,0,,,,,1.05,0,,,,0,
A4,SA,3534,,,UMBCAL,1,1,,,,,1.38,0,,48.6,0,0,
A4,SA,3528,,,UMBCAL,1,1,,,,,1.38,0,,57.7,1,0,
A4,SA,3529,,,UMBCAL,1,1,,,,,0.91,0,,38.6,0,0,
A4,TR,3542,,,PSEMEN,1,0,0,1,4,,,,26.8,,,0,
A4,SA,3539,,,UMBCAL,0,0,,,,,,,,,,1,dead/gone
A4,SA,3533,,,UMBCAL,0,0,,,,,0.74,0,,,,0,DB at 6 cm
A4,SA,3544,,,UMBCAL,0,0,,,,,,,,,,1,dead/gone
A4,SA,3546,,,UMBCAL,0,0,,,,,,,,,,1,dead/gone
B4,TR,3550,,,PSEMEN,1,0,0,1,3,,,,25.1,,,0,
B4,SA,3551,,,UMBCAL,0,0,,,,,,,,,,1,dead/gone
B4,TR,3557,,,PSEMEN,1,0,0,1,3,,,,17.5,,,0,
B4,SA,3545,,,UMBCAL,0,0,,,,,1.25,0,,,,0,
B4,SA,3552,,,UMBCAL,0,0,,,,,0.54,1,,,,0,
C3,TR,3655,,,PSEMEN,0,0,0,0,0,,,,7.4,,,0,
C3,TR,3656,,,PSEMEN,1,0,0,1,3,,,,13.8,,,0,
C3,SA,3658,,,UMBCAL,0,0,,,,,1.6,0,,,,0,
C3,SA,3642,,,UMBCAL,0,0,,,,,,,,,,1,gone
C3,SA,3626,,,UMBCAL,0,0,,,,,,,,,,1,gone
C3,SA,3641,,,UMBCAL,0,0,,,,,,,,,,1,gone
C3,SA,3640,,,UMBCAL,0,0,,,,,,,,,,1,gone
C2,TR,3636,,,UMBCAL,1,1,1,1,4,,,,36.5,198.5,13,0,
C2,SA,3633,,,UMBCAL,0,0,,,,,,,,,,1,gone
C2,SA,3617,,,UMBCAL,0,0,,,,,,,,,,1,gone
C2,SA,3615,,,UMBCAL,0,0,,,,,,,,,,1,gone
C2,SA,3635,,,UMBCAL,0,0,,,,,,,,,,1,gone
C2,SA,3616,,,UMBCAL,0,0,,,,,,,,,,0,
C2,SA,3622,,,UMBCAL,0,1,,,,,0.5,1,,28.9,,0,
C2,SA,3621,,,UMBCAL,0,1,,,,,0.64,0,,46.6,,0,og dead
C2,SA,3637,,,UMBCAL,0,0,,,,,0.49,0,,,,0,
C2,SA,3619,,,UMBCAL,0,0,,,,,,,,,,0,"gone, 3819 in 2013 data- fixed it there "
C2,SA,3623,,,UMBCAL,0,0,,,,,,,,,,1,gone
C2,SA,3624,,,UMBCAL,0,0,,,,,,,,,,1,gone
C2,SA,3634,,,UMBCAL,0,0,,,,,,,,,,1,gone
C2,SA,3625,,,UMBCAL,0,0,,,,,,,,,,0,tag not found
B1,SA,3585,,,UMBCAL,0,0,,,,,,,,,,,DATA FROM 2019- NOT SURVEYED IN 2018- MKQC2022
