Plot ID,1328,,Sampler(s),"MO, KO, MK, AC",,,,,Date ,20180724,,,,,,,,
C4,SA,4925,,,PSEMEN,0,0,,,,,1.3,0,,,,0,
C4,SA,4944,,,PSEMEN,0,0,,,,,1.11,0,,,,0,
C4,SA,4928,,,PSEMEN,0,0,,,,,1.2,0,,,,0,
C4,SA,4923,,,PSEMEN,0,0,,,,,1.4,0,,,,0,
C4,SA,4929,,,PSEMEN,0,0,,,,,0.89,0,,,,0,
C4,SA,4927,,,PSEMEN,0,0,,,,,0.7,0,,,,0,4827 in DB- changed it mk 2022
C4,SA,4921,,,PSEMEN,0,0,,,,,1.99,0,0.88,,,0,
A1,SA,4682,,,PSEMEN,0,0,,,,,0.57,0,,,,1,Dead
A1,TR,4671,,,QUEAGR,1,1,1,1,1,,,,12.7,,,0,
A1,TR,4670,,,QUEAGR,1,0,1,1,1,,,,10.3,,,0,
A1,TR,4668,,,QUEAGR,1,0,1,0,1,,,,10.2,,,0,Barely alive
A1,SA,4680,,,QUEAGR,0,0,,,,,,,,,,0,
A1,TR,4667,,,QUEAGR,1,0,1,1,3,,,,12.9,,,0,
A1,TR,4666,,,QUEAGR,0,1,0,0,0,,,,7.6,,,0,
A1,SA,4618,,,UNK,0,0,,,,,,,,,,1,Dead/gone. Check 2013 DB.
A1,TR,4629,,,QUEAGR,1,1,0,1,3,,,,19.2,,,0,
A1,SA,4616,,,PSEMEN,0,0,,,,,,,,,,1,Dead/gone
A1,SA,4615,,,PSEMEN,0,0,,,,,,,,,,1,Dead/gone
A1,SA,4679,,,PSEMEN,0,0,,,,,,,,,,1,Dead/gone
A1,TS,4681,,,QUEAGR,0,1,,,,,,,,,,0,
A1,SA,4624,,,QUEAGR,0,0,,,,,0.68,0,,,,0,
A1,TR,4672,,,QUEAGR,1,0,1,1,3,,,,18.1,,,0,
A1,TR,4673,,,QUEAGR,1,0,1,1,3,,,,12.6,,,0,
A1,TR,4645,,,QUEAGR,0,1,0,0,0,,,,5.6,,,0,
A1,TR,4628,,,QUEAGR,0,1,0,0,0,,,,6.3,,,0,
A1,TR,4625,,,PSEMEN,0,0,0,0,0,,,,4.5,,,0,
A1,SA,4639,,,PSEMEN,0,0,,,,,1.42,0,,,,0,
A1,SA,4627,,,PSEMEN,0,0,,,,,1.66,0,0.8,,,0,
A1,TR,4617,,,PSEMEN,0,0,0,0,0,,,,5.2,,,0,
A1,SA,4620,,,PSEMEN,0,0,,,,,1.18,0,,,,0,
A1,SA,4619,,,PSEMEN,0,0,,,,,0.62,0,,,,0,
A1,SA,4623,,,ARBMEN,0,1,,,,,1.56,0,,39.9,0,0,
A1,SA,4626,,,PSEMEN,0,0,,,,,0.42,0,,,,1,
A1,SA,999.25,,,PSEMEN,0,0,,,,,0.71,0,,,,0,
A1,SA,999.26,,,PSEMEN,0,0,,,,,0.38,0,,,,0,
C4,SA,4922,,,PSEMEN,0,0,,,,,,,,,,0,
C4,TR,4919,,,PSEMEN,0,0,0,0,0,,1.94,0,1.24,,,0,Now a dead TR
C4,TR,4920,,,PSEMEN,0,0,0,0,0,,,,3.31,,,0,
C4,SA,4926,,,PSEMEN,0,0,,,,,0.8,0,,,,0,
C4,SA,4935,,,PSEMEN,0,0,,,,,0.95,0,,,,0,
C4,SA,4934,,,PSEMEN,0,0,,,,,0.7,0,,,,0,
C4,SA,4932,,,PSEMEN,0,0,,,,,0.74,0,,,,0,
C4,TR,4937,,,PSEMEN,0,0,0,0,0,,,,4.41,,,0,
C4,SA,4938,,,PSEMEN,0,0,,,,,0.73,0,,,,0,
C4,SA,4939,,,PSEMEN,0,0,,,,,1.08,0,,,,0,
C4,SA,4940,,,PSEMEN,0,0,,,,,1.17,0,,,,0,
C4,SA,4941,,,PSEMEN,0,0,,,,,0.73,0,,,,0,
C4,SA,4930,,,PSEMEN,0,0,,,,,1.66,0,,,,0,
C4,SA,4943,,,PSEMEN,0,0,,,,,1.69,0,,,,0,
C4,TR,4931,,,PSEMEN,0,0,0,0,0,,,,2.05,,,0,
C4,TR,4912,,,PSEMEN,0,0,0,0,0,,,,4.02,,,0,
C4,SA,4950,,,PSEMEN,0,0,,,,,1.11,0,,,,0,
C4,SA,4949,,,PSEMEN,0,0,,,,,0.73,0,,,,0,
C4,TR,4947,,,QUEAGR,1,1,0,1,3,,,,34.1,,,0,
C4,SA,4945,,,PSEMEN,0,0,,,,,0.68,0,,,,0,
C4,SA,4946,,,PSEMEN,0,0,,,,,1.23,0,,,,0,
C4,TS,4954,,,QUEAGR,0,0,,,,,0.41,0,,,,0,
C4,SA,4951,,,FRACAL,0,1,,,,,0.85,0,,23.4,0,0,
C4,SA,4948,,,PSEMEN,0,0,,,,,0.8,0,,,,0,
C4,SA,4952,,,PSEMEN,0,0,,,,,0.74,0,,,,0,
C4,SA,4953,,,FRACAL,0,1,,,,,1.09,0,,48.4,0,0,
C4,SA,4936,,,PSEMEN,0,0,,,,,0.99,0,,,,0,
A1,SA,5835,390,495,PSEMEN,1,0,,,,58.5,0.6,0,,,,0,
A2,SA,999.27,,,PSEMEN,0,0,,,,,0.5,0,,,,0,
A2,SA,999.28,,,PSEMEN,0,0,,,,,0.58,0,,,,0,
A2,SA,999.29,,,PSEMEN,0,0,,,,,0.57,0,,,,0,
A2,SA,999.31,,,PSEMEN,0,0,,,,,0.57,0,,,,0,
A2,SA,4641,,,PSEMEN,0,0,,,,,0.66,0,,,,0,
A2,SA,4746,,,PSEMEN,0,0,,,,,0.42,0,,,,0,
A2,SA,999.32,,,PSEMEN,0,0,,,,,0.44,0,,,,0,
A2,SA,4674,,,PSEMEN,0,0,,,,,1.16,0,,,,0,
A2,SA,999.33,,,PSEMEN,0,0,,,,,0.44,0,,,,0,
A2,SA,999.34,,,PSEMEN,0,0,,,,,0.41,0,,,,0,
A2,SA,4677,,,PSEMEN,0,0,,,,,0.85,0,,,,1,
A2,SA,4643,,,PSEMEN,0,0,,,,,0.88,0,,,,0,
A2,SA,4642,,,PSEMEN,1,0,,,,94.6,0.67,0,,,,0,
A2,SA,4676,,,PSEMEN,0,0,,,,,0.79,0,,,,0,
A2,SA,4640,,,PSEMEN,0,0,,,,,0.86,0,,,,0,
A2,TR,4644,462,434,QUEAGR,1,1,1,1,3,,,,21,,,0,Check quad
A2,TR,4678,,,QUEAGR,1,0,1,1,4,,,,44.5,,,0,
A2,TR,4678.1,,,QUEAGR,1,0,1,1,4,,,,27,,,0,
A2,TR,4749,,,QUEAGR,0,1,0,0,0,,,,6.3,,,0,At nail 7.9 cm D
A2,TS,4749.1,,,QUEAGR,0,0,,,,,,,,,,1,Dead/gone
A2,SA,4822,,,PSEMEN,0,0,,,,,0.54,0,,,,0,
A2,SA,4750,,,PSEMEN,0,0,,,,,0.62,0,,,,0,
A2,SA,4751,,,PSEMEN,0,0,,,,,,,,,,1,Dead/gone
A2,TR,4752,,,PSEMEN,0,0,0,0,0,,,,3.8,,,0,
A2,SA,4760,,,PSEMEN,0,0,,,,,,,,,,1,Dead/gone
A2,TS,4678.2,,,QUEAGR,0,1,,,,,0.85,0,,13,0,0,
A2,TS,4678.3,,,QUEAGR,0,1,,,,,0.45,0,,16.5,0,0,
C4,TR,4823,,,PSEMEN,1,0,0,1,3,,,,5.79,,,0,
C4,SA,4933,,,PSEMEN,0,0,,,,,0.8,0,,,,0,BD at 7 cm
C4,SA,4942,,,PSEMEN,0,0,,,,,0.7,0,,,,0,
C4,SA,4911,,,PSEMEN,0,0,,,,,,,,,,1,dead/gone
C4,SA,4917,,,PSEMEN,0,0,,,,,0.68,0,,,,0,
C4,SA,4913,,,PSEMEN,0,0,,,,,0.9,0,,,,0,
C4,TR,4914,,,PSEMEN,0,0,0,0,0,,,,1.75,,,0,
C4,SA,4956,,,FRACAL,0,1,,,,,0.67,0,,46.6,0,0,og dead
C4,SA,4918,,,PSEMEN,0,0,,,,,0.84,0,,,,0,
C4,SA,999.38,,,PSEMEN,0,0,,,,,0.52,0,,,,0,
C4,SA,999.39,,,PSEMEN,0,0,,,,,0.48,0,,,,0,
C4,SA,5881,355,416,UMBCAL,0,1,,,,,0.54,0,,38.9,0,0,Og dead
D4,SA,5034,,,PSEMEN,0,0,,,,,0.93,0,,,,0,
D4,SA,5011,,,PSEMEN,0,0,,,,,0.97,0,,,,0,
D4,SA,5010,,,PSEMEN,0,0,,,,,1.32,0,,,,0,
D4,SA,5025,,,PSEMEN,0,0,,,,,0.95,0,,,,0,
D4,SA,5031,,,PSEMEN,0,0,,,,,0.88,0,,,,0,
D4,SA,5035,,,PSEMEN,0,0,,,,,1.15,0,,,,0,
D4,SA,5046,,,PSEMEN,0,0,,,,,1.12,0,,,,0,
D4,SA,5045,,,PSEMEN,0,0,,,,,2.01,0,,,,0,
D4,SA,5044,,,PSEMEN,0,0,,,,,0.51,0,,,,0,
D4,SA,5033,,,PSEMEN,0,0,,,,,0.94,0,,,,0,
D4,SA,5030,,,PSEMEN,0,0,,,,,0.77,0,,,,0,
D4,TR,5032,,,PSEMEN,0,0,0,0,0,,,,2.55,,,0,
D4,TR,5027,,,PSEMEN,0,0,0,0,0,,1.52,0,1.04,,,0,
D4,TR,5029,,,PSEMEN,0,0,0,0,0,,,,1.98,,,0,
D4,SA,5028,,,UNK,0,0,,,,,1.27,1,,,,0,"Species recorded as ""UNK28"". Confirm species."
A2,TS,4678.4,,,QUEAGR,0,1,,,,,0.52,0,,11.5,0,0,
A2,TS,4678.5,,,QUEAGR,0,1,,,,,0.56,0,,17.4,0,0,
A2,SA,4747,,,PSEMEN,0,0,,,,,0.55,0,,,,0,
A2,SA,999.35,,,PSEMEN,0,0,,,,,0.55,0,,,,0,
A2,SA,999.36,,,QUEAGR,0,0,,,,,0.39,0,,,,0,
A2,SA,999.37,,,PSEMEN,0,0,,,,,0.65,0,,,,0,
A2,SA,4748,,,PSEMEN,0,0,,,,,0.92,0,,,,0,
A2,SA,4695,,,PSEMEN,0,0,,,,,0.68,0,,,,0,
A2,SA,4675,,,PSEMEN,0,0,,,,,0.56,0,,,,1,
A2,SA,5836,88,348,PSEMEN,1,0,,,,54.6,0.39,1,,,,0,
A2,SA,5837,214,350,PSEMEN,1,0,,,,51.7,0.44,1,,,,0,
A2,SA,5838,310,72,PSEMEN,1,0,,,,70,0.6,1,,,,0,
A2,TS,4644.1,462,134,QUEAGR,0,1,,,,,0.71,1,,22.2,0,0,
A2,SA,5839,490,380,QUEAGR,1,0,,,,23.8,0.43,1,,,,0,Top killed
A2,SA,5840,490,270,QUEAGR,0,1,,,,,0.78,2,,29.8,0,0,
A3,TS,4832,,,QUEAGR,0,0,,,,,0.53,1,,,,0,
A3,SA,999.41,,,PSEMEN,0,0,,,,,0.35,0,,,,0,
A3,SA,999.42,,,PSEMEN,0,0,,,,,0.27,0,,,,0,
A3,TR,4761,,,QUEAGR,1,0,1,0,1,,,,18,,,0,
A3,SA,4759,,,PSEMEN,0,0,,,,,0.39,0,,,,0,
A3,SA,999.43,,,PSEMEN,0,0,,,,,0.42,0,,,,0,
A3,SA,999.44,,,PSEMEN,0,0,,,,,0.46,0,,,,0,
A3,SA,4763,,,PSEMEN,0,0,,,,,0.62,0,,,,0,
A3,SA,4762,,,PSEMEN,0,0,,,,,1.1,0,,,,0,
A3,SA,4764,,,PSEMEN,0,0,,,,,1.53,0,,,,0,
A3,SA,4834,,,PSEMEN,0,0,,,,,0.56,1,,,,0,
A3,SA,4767,,,PSEMEN,0,0,,,,,,,,,,1,Dead/gone
A3,TR,4765,,,PSEMEN,0,0,0,0,0,,2.16,0,1.31,,,0,Upgrade to tree
D4,SA,5026,,,PSEMEN,0,0,,,,,0.88,0,,,,0,
D4,TR,5014,,,PSEMEN,0,0,0,0,0,,1.94,0,1.28,,,0,
D4,TR,5036,,,PSEMEN,0,0,0,0,0,,,,1.82,,,0,
D4,TR,5015,,,QUEAGR,1,0,0,1,3,,,,37.2,,,0,
D4,SA,5048,,,ARBMEN,0,0,,,,,1.36,0,,,,0,
D4,SA,5049,,,ARBMEN,0,0,,,,,1.5,0,,,,0,
D4,SA,5047,,,ARBMEN,0,0,,,,,0.94,0,,,,0,
D4,SA,5041,,,PSEMEN,0,0,,,,,1.88,0,0.68,,,0,
D4,TR,5040,,,PSEMEN,0,0,0,0,0,,2.22,0,1.14,,,0,
D4,SA,5012,,,PSEMEN,0,0,,,,,0.81,0,,,,0,
D4,SA,5042,,,FRACAL,0,1,,,,,0.82,0,,,,0,OG dead
D4,SA,5882,156,61,FRACAL,0,1,,,,,0.52,1,,56.5,3,0,OG dead
D4,SA,999.45,,,PSEMEN,0,0,,,,,0.62,0,,,,0,dead SA
D4,SA,5052,,,PSEMEN,0,0,,,,,0.96,0,,,,0,new tag
D4,TR,5043,,,ARBMEN,1,1,1,1,4,,,,4.33,107.8,6,0,
D4,TR,5043.1,,,ARBMEN,0,0,0,0,0,,,,1.01,,,0,
D4,TR,5043.2,,,ARBMEN,0,0,0,0,0,,,,1.73,,,0,
D4,TR,5043.3,,,ARBMEN,0,0,0,0,0,,,,1.01,,,0,
D4,SA,5038,,,PSEMEN,0,0,,,,,0.77,0,,,,0,
D4,TR,5013,,,QUEAGR,1,0,1,0,1,,,,12,,,0,
D4,SA,5037,,,PSEMEN,0,0,,,,,0.78,0,,,,0,
D4,SA,5039,,,PSEMEN,0,0,,,,,0.81,0,,,,0,
D4,SA,5018,,,PSEMEN,0,0,,,,,0.61,0,,,,0,
D3,SA,5019,,,PSEMEN,0,0,,,,,2.76,0,1.61,,,0,Gone
D3,TR,4996,,,QUEAGR,1,0,1,0,1,,,,17.3,,,0,
D3,TR,4997,,,QUEAGR,0,1,0,0,0,,,,8.9,,,0,
D3,TR,4998,,,QUEAGR,0,1,0,0,0,,,,7.6,,,0,
D3,TR,4999,,,QUEAGR,1,0,1,0,1,,,,16.5,,,0,
A4,SA,4768,,,PSEMEN,0,0,,,,,0.88,0,,,,0,
A4,SA,4766,,,PSEMEN,0,0,,,,,0.95,0,,,,0,
A4,TR,4777,,,PSEMEN,0,0,0,0,0,,2.9,0,1.12,,,0,New TR
A4,SA,4756,,,PSEMEN,0,0,,,,,0.92,0,,,,0,
A4,SA,4755,,,PSEMEN,0,0,,,,,,,,,,1,Dead/gone
A4,SA,4754,,,UMBCAL,0,1,,,,,0.87,0,,37.7,0,0,OG dead
A4,SA,4758,,,PSEMEN,0,0,,,,,0.52,0,,,,0,
A4,SA,4757,,,PSEMEN,0,0,,,,,0.49,0,,,,0,BD at 5 cm
A4,SA,4753,,,PSEMEN,0,0,,,,,0.9,0,,,,0,
A4,SA,4771,,,PSEMEN,0,0,,,,,1.14,0,,,,0,
A4,SA,4772,,,PSEMEN,0,0,,,,,0.9,0,,,,0,
A4,SA,4773,,,PSEMEN,0,0,,,,,0.78,0,,,,0,
A4,SA,4769,,,PSEMEN,0,0,,,,,1.02,0,,,,0,
A4,SA,4770,,,PSEMEN,0,0,,,,,0.85,0,,,,0,
A4,SA,4774,,,PSEMEN,0,0,,,,,0.99,0,,,,0,
A4,SA,4775,,,PSEMEN,0,0,,,,,,,,,,1,Dead/gone
A4,SA,4776,,,FRACAL,0,1,,,,,1.7,0,,71.2,6,0,
A4,SA,4790,,,PSEMEN,0,0,,,,,1.4,0,,,,0,
A4,SA,4779,,,PSEMEN,0,0,,,,,1.56,0,,,,0,
A4,SA,4778,,,PSEMEN,0,0,,,,,,,,,,1,Dead/gone
A4,SA,4781,,,FRACAL,0,0,,,,,,,,,,1,Dead/gone
A4,SA,4783,,,ARBMEN,0,0,,,,,0.92,2,,,,0,
A4,TR,4782,,,PSEMEN,0,0,0,0,0,,,,2.44,,,0,
A4,SA,4784,,,UMBCAL,0,1,,,,,1.58,0,,,3,0,
A4,SA,4786,,,PSEMEN,0,0,,,,,1.41,0,,,,0,
A4,SA,4785,,,PSEMEN,0,0,,,,,1.07,0,,,,0,
A4,SA,4796,,,PSEMEN,0,0,,,,,1.23,0,,,,0,
A4,SA,4795,,,UMBCAL,0,1,,,,,1.56,0,,69.2,1,0,
D3,TR,5023,,,PSEMEN,0,0,0,0,0,,1.74,0,1.28,,,0,
D3,SA,5022,,,FRACAL,0,1,,,,,,,,33.8,0,0,OG dead
D3,SA,5017,,,PSEMEN,0,0,,,,,,,,,,1,Gone
D3,SA,5016,,,PSEMEN,0,0,,,,,0.93,0,,,,0,
D3,SA,5020,,,PSEMEN,0,0,,,,,0.71,0,,,,0,
D3,SA,999.46,,,PSEMEN,0,0,,,,,0.32,0,,,,0,
D3,SA,999.47,,,PSEMEN,0,0,,,,,0.43,0,,,,0,
D3,SA,999.48,,,PSEMEN,0,0,,,,,0.41,0,,,,0,
D3,SA,4994,,,PSEMEN,0,0,,,,,1.61,0,,,,0,
D3,SA,4995,,,PSEMEN,0,0,,,,,,,,,,1,Gone
D3,SA,5021,,,PSEMEN,0,0,,,,,0.87,0,,,,0,
D3,SA,4993,,,FRACAL,0,1,,,,,0.46,0,,29.4,0,0,OG dead
D3,SA,999.51,,,PSEMEN,0,0,,,,,0.52,0,,,,0,
D3,SA,4992,,,FRACAL,0,1,,,,,0.83,2,,88.7,5,0,OG dead
D3,TR,5003,,,PSEMEN,0,0,0,0,0,,2.51,0,1.66,,,0,
D3,SA,5007,,,PSEMEN,0,0,,,,,,,,,,1,Gone
D3,SA,5006,,,PSEMEN,0,0,,,,,,,,,,1,Gone
D3,SA,5005,,,PSEMEN,0,0,,,,,0.94,0,,,,0,
D3,SA,5002,,,PSEMEN,0,0,,,,,1,0,,,,0,
D3,SA,5004,,,PSEMEN,0,0,,,,,0.9,0,,,,0,
D3,SA,4989,,,PSEMEN,0,0,,,,,0.97,0,,,,0,
D3,SA,4990,,,PSEMEN,0,0,,,,,0.73,0,,,,0,
D3,SA,5001,,,PSEMEN,0,0,,,,,0.96,0,,,,0,
D3,SA,999.52,,,PSEMEN,0,0,,,,,0.61,0,,,,0,
D3,SA,5053,,,PSEMEN,0,0,,,,,0.65,0,,,,0,
D3,SA,5008,,,PSEMEN,0,0,,,,,,,,,,1,Gone
D3,TR,5009.1,,,UMBCAL,0,0,0,0,0,,,,1.34,,,0,
D3,TR,5009.2,,,UMBCAL,0,1,0,0,0,,,,1.73,108.3,6,0,
A4,SA,4800,,,PSEMEN,0,0,,,,,0.96,0,,,,0,
A4,SA,4794,,,PSEMEN,0,0,,,,,0.87,0,,,,0,
A4,SA,4793,,,FRACAL,0,1,,,,,1.32,0,,85.1,6,0,
A4,SA,4792,,,PSEMEN,0,0,,,,,,,,,,1,Dead/gone
B4,SA,4810,,,PSEMEN,0,0,,,,,0.7,0,,,,0,
B4,SA,4809,,,PSEMEN,0,0,,,,,1.19,0,,,,0,
B4,SA,999.49,,,QUEAGR,0,0,,,,,0.67,0,,,,0,
A4,SA,4790,,,PSEMEN,0,0,,,,,1.66,0,0.83,,,0,
A4,TR,4789,,,QUEAGR,1,0,0,1,4,,,,18.6,,,0,
A4,TR,4788,,,QUEAGR,1,0,0,1,4,,,,24,,,0,
A4,TR,4791,,,QUEAGR,1,0,1,0,1,,,,7,,,0,
A4,TR,4811,,,QUEAGR,1,0,1,1,4,,,,161,,,0,
A4,SA,4803,,,PSEMEN,0,0,,,,,0.68,0,,,,0,
A4,TR,4797,,,QUEAGR,1,0,1,0,1,,,,6.8,,,0,
A4,TS,4797.1,,,QUEAGR,0,0,,,,,0.63,2,,,,0,
B4,TR,4801,,,QUEAGR,1,0,1,1,3,,,,10.1,,,0,
A4,TR,4802,,,QUEAGR,1,0,1,1,2,,,,8.6,,,0,
A4,TR,4798,,,QUEAGR,1,0,1,1,4,,,,21.6,,,0,
A4,TR,4799,,,QUEAGR,1,0,0,1,2,,,,13.9,,,0,
A4,TR,4787,,,PSEMEN,1,0,0,1,4,,,,12.5,,,0,
B4,TS,5841,30,375,QUEAGR,0,1,,,,,1.01,4,,32,0,0,
B4,SA,4805,,,PSEMEN,0,0,,,,,0.92,0,,,,0,
B4,SA,4812,,,PSEMEN,0,0,,,,,0.8,0,,,,0,BD approximate
B4,SA,4813,,,QUEAGR,0,1,,,,,0.7,0,,,,0,"OG dead, approximate BD"
B4,SA,4816,,,FRACAL,0,1,,,,,0.69,1,,49.5,0,0,
B4,SA,4825,,,PSEMEN,0,0,,,,,0.71,0,,,,0,
B4,TR,4824,,,QUEAGR,1,1,1,1,3,,,,18.6,,,0,
B4,TR,4823,,,PSEMEN,1,0,0,1,4,,,,5.8,,,0,
D3,TR,5009.3,,,UMBCAL,0,1,0,0,0,,,,2.77,105.5,8,0,OG dead
D3,TR,5009,,,UMBCAL,0,1,0,0,0,,,,1.8,71.3,5,0,OG dead
D3,TS,5009.4,,,UMBCAL,0,1,,,,,0.69,0,,84,5,0,OG dead
D3,SA,4987,,,FRACAL,0,1,,,,,0.74,2,,51,1,0,OG dead
D3,SA,4988,,,PSEMEN,0,0,,,,,0.78,0,,,,0,
D3,SA,4856,,,PSEMEN,1,0,,,,107.3,1.09,0,,,,0,
D3,SA,4974,,,PSEMEN,0,0,,,,,0.76,0,,,,0,
D3,SA,4973,,,PSEMEN,0,0,,,,,0.64,0,,,,0,
D3,SA,5054,,,PSEMEN,0,0,,,,,0.54,0,,,,0,
D3,SA,4972,,,PSEMEN,0,0,,,,,0.71,0,,,,0,
