Plot ID,1335,,Sampler(s),"MK,MO,AC,KO",,,,,Date ,20180716,,,,,,,,,,
D2,SA,5753,75,292,UMBCAL,0,1,,,,,1.05,1,,76.8,2,0,,og dead/new sa,
B2,SA,5734,55,125,UMBCAL,0,1,,,,,0.6,0,,46.2,0,0,,og dead/new sa,
D2,SA,5754,35,-180,UMBCAL,0,1,,,,,1.08,0,,31.8,0,0,,og dead/new sa,
D2,SA,5755,22,-170,UMBCAL,0,1,,,,,0.56,0,,52.8,1,0,,og dead/new sa,
B2,SA,5737,5,375,UMBCAL,0,1,,,,,0.68,2,,40.9,0,0,,og dead/new sa,
B1,SA,5736,107,250,UMBCAL,0,1,,,,,1,0,,45.2,0,0,,og dead/new sa,
D1,SA,5756,275,495,UMBCAL,0,1,,,,,0.74,2,,33,0,0,,og dead/new sa,
C2,SA,5757,-125,5,UMBCAL,0,1,,,,,0.85,2,,48.2,0,0,,og dead/new sa,
B1,SA,99415,,,UMBCAL,0,0,,,,,0.6,0,,,,0,,,
C2,SA,5758,-120,160,UMBCAL,0,1,,,,,0.87,0,,42.2,0,0,,og dead/new sa,
B1,SA,5738,200,490,UMBCAL,0,1,,,,,1.01,1,,39.6,0,0,,og dead/new sa,
C2,SA,5759,265,55,UMBCAL,0,1,,,,,1.04,0,,45.5,0,0,,og dead/new sa,
B1,SA,5761,135,4,UMBCAL,0,1,,,,,0.65,0,,33.4,0,0,,og dead/new sa,
C2,SA,5760,90,35,UMBCAL,0,1,,,,,0.67,2,,38.3,0,0,,og dead/new sa,
C2,SA,5762,20,90,UMBCAL,0,1,,,,,0.84,1,,54.8,1,0,,og dead/new sa,
B1,SA,5773,499,295,UMBCAL,0,1,,,,,0.68,0,,45.1,0,0,,og dead/new sa,
C2,SA,5763,175,245,UMBCAL,0,1,,,,,0.95,1,,40.4,0,0,,og dead/new sa,
C2,SA,99416,,,UMBCAL,0,0,,,,,0.92,0,,,,0,,,
C1,SA,5774,53,454,UMBCAL,0,1,,,,,0.68,0,,41.9,0,0,,og dead/new sa,
C1,SA,5764,215,395,UMBCAL,0,1,,,,,0.63,1,,30.5,0,0,,og dead/new sa,
D1,SA,5765,110,-125,UMBCAL,0,1,,,,,0.4,0,,28,0,0,,og dead/new sa,
C1,SA,5775,125,447,UMBCAL,0,1,,,,,0.68,0,,40.9,0,0,,og dead/new sa,
C1,SA,99417,,,UMBCAL,0,0,,,,,0.51,0,,,,0,,,
C1,SA,5776,440,300,UMBCAL,0,1,,,,,0.78,1,,33.7,0,0,,og dead/new sa,
D1,SA,5766,350,270,UMBCAL,0,1,,,,,0.53,0,,28.4,0,0,,og dead/new sa,
C1,SA,5777,275,188,UMBCAL,0,1,,,,,0.59,0,,36,0,0,,og dead/new sa,
D1,SA,5767,410,230,UMBCAL,0,1,,,,,0.72,0,,45.2,0,0,,og dead/new sa,
C1,SA,5778,425,40,UMBCAL,1,1,,,,34.1,0.54,1,,,0,0,,NEW SA,
C1,SA,5779,48,370,UMBCAL,0,1,,,,,0.65,0,,41.3,0,0,,og dead/new sa,
D1,SA,5768,380,110,UMBCAL,0,1,,,,,0.13,1,,49.1,0,0,,og dead/new sa,
D1,SA,5769,240,105,UMBCAL,0,1,,,,,0.55,1,,39.1,0,0,,og dead/new sa,
D1,SA,5770,185,85,UMBCAL,0,1,,,,,0.56,0,,21.5,0,0,,og dead/new sa,
D1,SA,5771,85,200,UMBCAL,0,1,,,,,0.75,0,,43.2,0,0,,og dead/new sa,
