Plot ID,1307,,Sampler(s),"MK,MO,AC,KO",,,,,Date ,20180719,,,,,,,,
B1,SA,1141,,,QUEAGR,0,1,,,,,1.45,0,,44.2,0,0,
B1,SA,1135,,,QUEAGR,0,1,,,,,1.38,0,,51,1,0,
B1,SA,1149,,,QUEAGR,0,1,,,,,3.01,0,,44.8,0,0,
B1,SA,1146,,,QUEAGR,0,0,,,,,1.68,0,,,,0,
B1,SA,1138,,,ARBMEN,0,0,,,,,,,,,,1,DEAD/GONE
B1,SA,1151,,,ARBMEN,0,0,,,,,,,,,,0,"DEAD/GONE, TAG NOT FOUND"
B1,SA,1150,,,BACPIL,0,0,,,,,,,,,,0,"DEAD/GONE, TAG NOT FOUND"
B1,SA,1136,,,ARBMEN,0,0,,,,,,,,,,0,"DEAD/GONE, TAG NOT FOUND"
B1,SA,1148,,,UMBCAL,0,0,,,,,,,,,,1,DEAD/GONE
B1,SA,1144,,,QUEAGR,0,1,,,,,2.89,0,,35.1,0,0,
A1,SA,1109,,,ARBMEN,0,0,,,,,,,,,,0,
A1,SA,5820,430,192,QUEAGR,0,1,,,,,0.67,0,,34.1,0,0,"DEAD/GONE, TAG NOT FOUND"
A2,SA,1111,,,QUEAGR,0,0,,,,,0.69,0,,,,0,
A2,TR,1110,,,ARBMEN,1,1,1,1,2,,,,42,109.8,9,0,
A2,TR,1110.1,,,ARBMEN,1,1,0,1,2,,,,27.5,,0,0,
A2,TR,1110.2,,,ARBMEN,1,1,1,1,1,,,,31.2,87.5,2,0,
A3,TR,1112,,,ARBMEN,0,1,0,0,0,,,,,111.1,5,0,
A3,TS,1112.1,,,ARBMEN,0,0,,,,,1.38,0,,,,0,"TS, SA OR TRIS BD SUPPOSED TO BE DBH?"
A3,TS,1114,,,PSEMEN,0,0,,,,,,,,,,1,DEAD/GONE
A3,SA,999.7,,,ARBMEN,0,0,,,,,1.05,0,,,,0,
A3,SA,5821,5,490,ARBMEN,0,0,,,,,0.61,1,,31.1,0,0,
A3,SA,999.8,,,ARBMEN,0,0,,,,,0.91,1,,,,0,
A4,SA,5822,7,19,ARBMEN,0,1,,,,,0.86,0,,14.9,0,0,
A3,SA,5823,90,415,ARBMEN,0,1,,,,,1.04,0,,49.4,0,0,
A3,SA,5824,144,446,ARBMEN,0,1,,,,,0.76,0,,30.8,0,0,
A3,SA,5825,214,408,ARBMEN,0,1,,,,,0.69,0,,31,0,0,
A4,TR,1123,,,QUEKEL,1,1,1,1,4,,,,67.6,,,0,DBH TAKEN @1.4- NOT @ NAIL 
A4,TR,1124,,,QUEGAR,1,1,0,1,3,,,,27,60.1,2,0,was quekel- 2019 notes say to change to GAR- mkqc2022
A4,SA,1125,,,ARBMEN,0,1,,,,,,,,23.5,0,0,
A4,SA,1113,,,ARBMEN,0,1,,,,,,,,28.5,0,0,
A4,SA,1119,,,ARBMEN,0,1,,,,,0.74,0,,32.3,0,0,
A4,SA,1120,,,ARBMEN,0,0,,,,,1.09,0,,,,0,
A4,SA,1122,,,ARBMEN,0,0,,,,,,,,,,0,"DEAD/GONE, TAG NOT FOUND"
A4,SA,1117,,,ARBMEN,0,0,,,,,,,,,,0,"DEAD/GONE, TAG NOT FOUND"
A4,SA,1116,,,ARBMEN,0,0,,,,,,,,,,0,"DEAD/GONE, TAG NOT FOUND"
A4,SA,5903,185,350,UMBCAL,0,1,,,,,1.03,0,,21,0,0,
A4,SA,5902,173,385,ARBMEN,0,1,,,,,0.64,0,,22,0,0,
