Plot ID,1320,,Sampler(s),"MO, MK, KO, AC",,,,,Date ,20180730,,,,,,,,
D2,TR,4732,,,UMBCAL,0,1,0,0,0,,,,3.2,165.8,4,0,
D3,SA,4726,,,FRACAL,0,1,,,,,,,,101.4,6,0,
D3,TR,4724,,,HETARB,0,0,0,0,0,,2.36,0,1.19,,,0,WAS SA NOW TR
D3,SA,4723,,,UMBCAL,0,0,,,,,,,,,,1,
D3,TR,4725,,,HETARB,0,1,0,0,0,,,,4,112.6,9,0,
D3,TR,4725.1,,,HETARB,0,0,0,0,0,,,,2.56,,,0,
B1,TR,4664,,,FRACAL,0,1,0,0,0,,2.34,0,1.89,103.5,12,0,"SNAG, DBH EFFECTED"
B1,TR,4662,,,ARBMEN,0,1,0,0,0,,,,31.2,38.2,0,0,
B1,TR,4658,,,FRACAL,0,1,0,0,0,,,,1.96,81.6,1,0,
B1,TR,4657,,,HETARB,0,1,0,0,0,,,,2.43,92.5,8,0,
B1,TR,4657.1,,,HETARB,0,0,0,0,0,,,,1.52,,,0,
B1,TR,4657.2,,,HETARB,0,1,0,0,0,,,,2.28,77,7,0,
B1,TS,4657.3,,,HETARB,0,0,,,,,1.63,0,,,,0,
B1,TR,4661,,,HETARB,0,1,0,0,0,,,,,74,5,0,
B1,TR,4661.1,,,HETARB,0,0,0,0,0,,,,,,,0,GONE 
B1,TS,4661.2,,,HETARB,0,0,,,,,,,,,,0,GONE 
B1,SA,4663,,,UMBCAL,0,0,,,,,,,,,,0,GONE - SAID TAG PULLED BUT I THINK THIS IS TYPO 4665- SHOULD HAVE BEEN 4663- CONFIRM IN FIELF MKQC2022
B1,TR,4656,,,ARBMEN,0,0,0,0,0,,,,5.4,,,0,
B1,TR,4632,,,HETARB,0,0,0,0,0,,,,4.01,,,0,
B1,TR,4632.1,,,HETARB,0,1,0,0,0,,,,2.12,114.6,9,0,
B1,TR,4632.2,,,HETARB,0,0,0,0,0,,,,1.79,,,0,
B1,TR,4632.3,,,HETARB,0,0,0,0,0,,,,1.82,,,0,
B1,TS,4632.4,,,HETARB,0,0,,,,,1.14,0,,,,0,
B1,SA,4744,,,HETARB,0,0,,,,,0.85,0,,,,0,
B1,TR,4631,,,UMBCAL,0,0,0,0,0,,,,2.08,,,0,
B1,SA,5983,54,106,FRACAL,1,,,,,184.9,0.91,10,,,,0,
B1,TR,4655,,,ARBMEN,1,1,1,1,2,,,,32.9,96.5,6,0,
B1,SA,4743,,,ARBMEN,0,0,,,,,,,,,,0,GONE
B1,SA,4660,,,FRACAL,0,0,,,,,,,,,,0,GONE
B4,TR,4557,,,HETARB,0,0,0,0,0,,,,4.49,88.7,6,0,
B4,TR,4557.1,,,HETARB,0,0,0,0,0,,,,1.52,,,0,
B4,TS,4557.2,,,HETARB,0,0,,,,,0.67,0,,,,0,
B4,TR,4742,,,HETARB,0,1,0,0,0,,,,3.08,125.6,7,0,
B4,TR,4742.1,,,HETARB,0,0,0,0,0,,,,2.93,,,0,
D3,TR,4725.2,,,HETARB,0,0,0,0,0,,,,1.89,,,0,
D3,TR,4725.3,,,HETARB,0,0,0,0,0,,,,2.09,,,0,
D3,TR,4725.4,,,HETARB,0,0,0,0,0,,,,3.39,,,0,
D3,TR,4725.5,,,HETARB,0,0,0,0,0,,,,2.96,,,0,
D3,TS,4725.6,,,HETARB,0,0,,,,,,,,,,0,GONE
D4,SA,4721,,,UMBCAL,0,0,,,,,0.96,1,,,,0,
D4,SA,999.1,,,UMBCAL,0,,,,,,0.48,0,,,,0,
D4,SA,999.2,,,PSEMEN,0,,,,,,0.51,0,,,,0,
D4,TR,4722,,,UMBCAL,0,1,0,0,0,,,,4.3,93.3,7,0,
D4,TR,4722.1,,,UMBCAL,0,0,0,0,0,,,,0.89,,,0,
D4,TR,4713,,,QUEGAR,1,0,1,1,3,,,,18.3,,,0,
C4,SA,4710,,,UMBCAL,0,1,,,,,2.31,2,,109.7,3,0,
C4,TR,4704,,,HETARB,0,1,0,0,0,,3.97,0,1.42,73.3,8,0,"WAS SA, NOW TR"
C4,TR,4706,,,HETARB,0,1,0,0,0,,,,2.24,87.6,3,0,
C4,TS,4706.1,,,HETARB,0,0,,,,,,,,,,1,GONE
C4,TR,4707,,,FRACAL,0,1,0,0,0,,2.73,0,1.77,145.1,15,0,"WAS SA, NOW TR"
C4,TR,4705,,,UMBCAL,0,0,0,0,0,,,,2.76,,,0,
C4,TR,4705.1,,,UMBCAL,0,0,0,0,0,,,,1.12,,,1,
C4,SA,4703,,,HETARB,0,0,,,,,,,,,,0,NOT FOUND
C4,SA,4701,,,HETARB,0,0,,,,,,,,,,0,NOT FOUND
C4,TR,4711,,,FRACAL,0,1,0,0,0,,,,1.57,14.1,11,0,
C4,TR,4714,,,HETARB,0,1,0,0,0,,,,,101.1,19,0,GONE/STUMP
C4,TR,4714.1,,,HETARB,0,0,0,0,0,,,,3.1,,,0,
C4,TS,4714.2,,,HETARB,0,1,,,,,1.45,0,,115.4,4,0,
C4,TR,4708,,,AMOCAL,0,1,0,0,0,,,,2.8,141,9,0,
C4,TR,4708.1,,,AMOCAL,0,0,0,0,0,,,,1.48,,,0,
C1,SA,999.3,,,UMBCAL,0,0,,,,,3.7,0,,,,0,
B4,TR,4742.2,,,HETARB,0,0,0,0,0,,,,,,,0,GONE
B4,TR,4742.3,,,HETARB,0,0,0,0,0,,,,,,,0,GONE
B4,SA,4552,,,HETARB,0,0,,,,,,,,,,1,
B4,TR,4553,,,UMBCAL,0,0,0,0,0,,,,1.72,,,0,
B4,TR,4555,,,HETARB,0,1,0,0,0,,,,2.73,115,15,0,
B4,TR,4555.1,,,HETARB,0,0,0,0,0,,,,2.37,,,0,
B4,TR,4555.2,,,HETARB,0,1,0,0,0,,,,1.69,75.1,3,0,
B4,TR,4555.3,,,HETARB,0,0,0,0,0,,,,1.56,,,0,
B4,TS,4555.4,,,HETARB,0,0,,,,,1.5,0,,,,0,
B4,SA,4633,,,UMBCAL,0,1,,,,,1.17,0,,26.8,0,0,
B4,SA,4556,,,HETARB,0,0,,,,,0.73,0,,,,0,
B4,SA,4554,,,HETARB,0,0,,,,,0.75,0,,,,0,
B4,SA,4558,,,FRACAL,0,0,,,,,,,,,,1,GONE
B4,SA,4712,,,FRACAL,0,0,,,,,,,,,,1,GONE
B4,TR,4559,,,HETARB,0,1,0,0,0,,,,3.96,100.7,14,0,
B4,TR,4559.1,,,HETARB,0,0,0,0,0,,,,4.33,,,0,
B4,TR,4559.2,,,HETARB,0,0,0,0,0,,,,1.66,,,0,
B4,TR,4559.3,,,HETARB,0,1,0,0,0,,3.13,0,2.5,86.8,12,0,
B4,SA,4637,,,HETARB,0,0,,,,,1.6,0,0.9,,,0,
B4,SA,4636,,,FRACAL,0,0,,,,,,,,,,1,GONE
B4,TR,4719,,,HETARB,0,0,0,0,0,,,,4.5,91.1,18,0,
B4,TR,4719.1,,,HETARB,0,0,0,0,0,,,,3.14,,,0,
B4,TR,4719.2,,,HETARB,0,0,0,0,0,,,,0.82,,,0,
B4,TR,4719.3,,,HETARB,0,0,0,0,0,,,,0.96,,,0,
B4,TS,4719.4,,,HETARB,0,0,,,,,,,,,,1,GONE
B4,SA,4720,,,HETARB,0,0,,,,,0.85,0,,,,0,
B4,TR,4551,,,FRACAL,0,0,0,0,0,,,,1.49,,,0,
B4,SA,4634,,,FRACAL,0,0,,,,,,,,,,1,GONE
B4,SA,4635,,,PSEMEN,0,0,,,,,,,,,,1,GONE
B4,TR,4638,,,UMBCAL,0,1,0,0,0,,,,8.4,233.9,15,0,
B4,TR,4638.1,,,UMBCAL,0,0,0,0,0,,,,8.1,,,0,
A4,SA,4574,,,HETARB,0,0,,,,,1.03,0,,,,0,
A4,SA,5984,414,320,HETARB,0,1,,,,,1.02,0,,39.8,0,0,
A4,SA,4573,,,UMBCAL,0,0,,,,,,,,,,1,GONE
A4,TR,4577,,,PSEMEN,1,0,0,1,5,,,,115.6,,,0,
A4,SA,4580,,,UMBCAL,0,0,,,,,,,,,,1,GONE
A4,TR,4576,,,ARBMEN,0,0,0,0,0,,,,1.66,,,0,
A4,TS,4576.1,,,ARBMEN,0,0,,,,,2.9,0,1.4,,,0,
A4,SA,4561,,,FRACAL,0,0,,,,,2.93,0,,,,0,
A4,SA,4582,,,UMBCAL,0,0,,,,,1.9,0,,,,0,
A4,SA,4560,,,HETARB,0,0,,,,,,,,,,1,GONE
A4,SA,4581,,,FRACAL,0,0,,,,,,,,,,1,GONE
A4,TR,4569,,,QUEAGR,1,0,1,1,3,,,,31.9,,,0,
A4,TR,4571,,,HETARB,0,0,0,0,0,,,,,,,0,DBH UNAVAILABLE
A4,TS,4571.1,,,HETARB,0,0,,,,,0.87,0,,,,0,
A4,SA,4563,,,FRACAL,0,0,,,,,,,,,,1,GONE
A4,SA,4578,,,FRACAL,0,0,,,,,,,,,,1,GONE
A4,SA,4579,,,FRACAL,0,0,,,,,,,,,,1,GONE
A4,TR,4570,,,QUEAGR,0,0,0,0,0,,,,,,,1,GONE
A4,SA,4562,,,FRACAL,0,0,,,,,,,,,,1,GONE
A4,SA,4572,,,HETARB,0,0,,,,,,,,,,1,GONE
A4,TR,4575,,,ARBMEN,0,0,0,0,0,,,,1.35,,,0,
A3,SA,4564,,,FRACAL,0,0,,,,,,,,,,1,GONE
A3,SA,4566,,,UMBCAL,1,0,,,,,,,,,,1,GONE
A3,SA,4543,,,FRACAL,0,0,,,,,,,,,,1,GONE
A3,SA,4550,,,HETARB,0,0,,,,,,,,,,1,GONE
A1,TR,4511,,,UMBCAL,0,1,0,0,0,,,,3.7,169.1,20,0,
A1,TR,4509,,,QUEGAR,1,1,0,1,4,,,,27.3,62.7,2,0,
A1,TR,4513,,,ARBMEN,0,1,0,0,0,,,,4.7,138,4,0,
A1,TR,4512,,,HETARB,0,1,0,0,0,,,,2.14,102.2,15,0,
A1,TR,4512.1,,,HETARB,0,1,0,0,0,,,,1.73,,0,0,
A1,TS,4512.2,,,HETARB,0,1,,,,,1.3,0,,99,1,1,
A1,TR,4514,,,FRACAL,0,1,0,0,0,,,,1.84,172.6,31,0,
A1,TS,4514.1,,,FRACAL,0,0,,,,,1.45,0,,,,0,
A1,TR,4515,,,HETARB,0,1,0,0,0,,,,1.57,52.4,1,0,
A1,TS,4515.1,,,HETARB,0,0,,,,,0.62,0,,,,1,
A1,TR,4517,,,HETARB,0,1,0,0,0,,,,2.1,96,29,0,
A1,TS,4517.1,,,HETARB,0,0,,,,,,,,,,0,TAG NOT FOUND
A1,SA,4510,,,UMBCAL,0,1,,,,,1.47,0,,66.7,2,0,
A1,SA,4508,,,UMBCAL,0,1,,,,,0.75,1,,60.2,1,0,
A1,SA,4520,,,UMBCAL,0,1,,,,,2.17,0,,74.1,1,0,
A1,SA,4516,,,FRACAL,0,0,,,,,,,,,,1,GONE
A1,SA,5959,66,59,FRACAL,1,0,,,,74.6,0.8,2,,,,0,
A1,SA,4521,,,ARBMEN,0,0,,,,,,,,,,1,GONE
A1,TR,4524,,,FRACAL,0,0,0,0,0,,2.38,0,1.28,,,1,GONE
A1,SA,4525,,,AMOCAL,0,1,,,,,,,,179.5,14,0,
A1,SA,4522,,,FRACAL,0,0,,,,,,,,,,1,GONE
A1,SA,4523,,,FRACAL,0,0,,,,,,,,,,1,GONE
A1,TR,4527,,,AMOCAL,0,1,0,0,0,,,,,145.9,17,0,GONE
A1,TR,4527.1,,,AMOCAL,0,0,0,,0,,,,,,,0,GONE
A1,SA,4518,,,FRACAL,0,0,,,,,,,,,,0,TAG NOT FOUND
A1,SA,4519,,,HETARB,0,0,,,,,,,,,,0,TAG NOT FOUND
A1,SA,4528,,,FRACAL,0,0,,,,,,,,,,0,TAG NOT FOUND
A1,SA,4622,,,FRACAL,0,0,,,,,,,,,,0,TAG NOT FOUND
A3,TR,4545,,,QUEAGR,1,1,1,1,2,,,,26.8,,,0,
A3,SA,4565,,,UMBCAL,0,0,,,,,,,,,,1,GONE
A3,TR,4547,,,UMBCAL,0,0,0,0,0,,,,2.3,,,0,
A3,TR,4542,,,FRACAL,0,1,0,0,0,,,,,92.1,1,1,GONE
A3,TR,4548,,,ARBMEN,0,1,0,0,0,,,,4.58,141.6,5,0,
A3,TR,4549,,,HETARB,0,1,0,0,0,,,,3.32,126.5,13,0,
A3,TR,4549.1,,,HETARB,0,0,0,0,0,,,,2.5,,,0,
A3,TR,4549.2,,,HETARB,0,0,0,0,0,,,,0.96,,,0,
A3,TR,4549.3,,,HETARB,0,0,0,0,0,,,,2.36,,,0,
A3,TS,4549.4,,,HETARB,0,0,,,,,1.24,0,,,,0,
A3,SA,4621,,,FRACAL,0,0,,,,,,,,,,1,GONE
A3,TR,4568,,,HETARB,0,0,0,0,0,,,,,,,0,GONE/STUMP
A3,TR,4568.1,,,HETARB,0,0,0,0,0,,,,,,,0,GONE
A3,TS,4568.2,,,HETARB,0,0,,,,,,,,,,0,GONE
A3,SA,4610,,,UMBCAL,0,0,,,,,,,,,,0,GONE
A3,SA,4609,,,HETARB,0,0,,,,,,,,,,0,GONE
A3,SA,5985,499,55,HETARB,0,1,,,,,3.7,0,,47.6,0,0,BD @ 8CM
A2,TR,4541,,,QUEGAR,1,1,0,1,4,,,,39.1,65.4,2,0,
A2,SA,4538,,,UMBCAL,0,1,,,,,,,,104.3,4,0,BD UNAVAILABLE
A2,TR,4546,,,HETARB,0,1,0,0,0,,,,1.84,78.6,6,0,
A2,TR,4546.1,,,HETARB,0,0,0,0,0,,,,1.48,,,0,
A2,TR,4546.2,,,HETARB,0,0,0,0,0,,,,1.39,,,0,
A2,TR,4546.3,,,HETARB,0,0,0,0,0,,,,1.18,52.5,1,0,
A2,TS,4546.4,,,HETARB,0,0,,,,,1.06,0,,70.6,3,0,
A2,TR,4544,,,HETARB,0,1,0,0,0,,,,3.07,105.3,2.4,0,
A2,TR,4544.1,,,HETARB,0,0,0,0,0,,,,1.42,,,0,
A2,TR,4544.2,,,HETARB,0,0,0,0,0,,,,1.52,,,0,
A2,TR,4544.3,,,HETARB,0,0,0,0,0,,,,3.08,,,0,
A2,TS,4544.4,,,HETARB,0,0,,,,,1.11,0,,,,0,
A2,TR,4544.5,,,HETARB,0,0,0,0,0,,,,,,,0,GONE
A2,TS,4526,,,QUEAGR,0,0,,,,,,,,,,1,GONE
A2,SA,4530,,,UMBCAL,0,0,,,,,0.88,0,,,,0,
A2,TR,4529,,,HETARB,0,1,0,0,0,,,,3.2,78.8,12,0,
A2,TR,4529.1,,,HETARB,0,0,0,0,0,,,,,,,0,GONE/ TAG NOT FOUND
A2,TR,4529.2,,,HETARB,0,1,0,0,0,,,,2.68,63,8,0,
A2,TR,4529.3,,,HETARB,0,0,0,0,0,,,,2.19,,,0,
A2,TR,4529.4,,,HETARB,0,0,0,0,0,,,,2.35,,,0,
A2,TS,4529.5,,,HETARB,0,1,,,,,,,,80.4,13,0,BD UNAVAILABLE
A2,SA,4532,,,FRACAL,0,0,,,,,1.63,0,,,,0,
A2,TR,4534,,,UMBCAL,0,1,0,0,0,,,,2.19,161.2,3,0,
A2,SA,4531,,,FRACAL,0,0,,,,,,,,,,1,GONE
A2,TR,4535,,,FRACAL,0,0,0,0,0,,2.47,0,1.38,,,0,
A2,SA,5986,241,239,FRACAL,1,0,,,,108.9,0.53,3,,,,0,
A2,TR,4536,,,QUEAGR,0,1,0,0,0,,,,1.42,108.4,3,0,
A2,TS,4536.1,,,QUEAGR,0,0,,,,,1.22,0,,,,0,
A2,SA,4533,,,FRACAL,0,1,,,,,,,,142.8,11,0,BD UNAVAILABLE
A2,SA,4537,,,AMOCAL,0,1,,,,,,,,99.4,1,0,GONE
A2,SA,4539,,,QUEAGR,0,0,,,,,,,,,,1,GONE
