Plot ID,1317,,Sampler(s),"TT, GH, MO",,,,,Date ,20190625,,,,,,,,,
A4,TR,2754,,,QUEGAR,1,0,1,1,4,,,,19.9,,,,,"ATTACHED TO 55, 56"
A4,TR,2756,,,QUEGAR,1,0,1,1,3,,,,15.2,,,,,"ATTACHED TO 54, 56"
A4,TR,2757,,,QUEGAR,1,0,1,1,4,,,,23.1,,,,,ATTACHED TO 58
A4,TR,2758,,,QUEGAR,0,0,0,0,0,,,,NA,,,,,ATTACHED TO 57
A4,SA,2759,,,UMBCAL,1,0,,,,76.6,0.86,2,,,,,,BD OR RESPROUT
A3,TR,2749,,,QUEGAR,0,0,0,0,0,,,,NA,,,,,
A3,TR,2747,,,QUEGAR,1,0,1,1,5,,,,25.3,,,,,
A3,TR,2748,,,QUEGAR,1,0,1,1,5,,,,21,,,,,
A3,TR,2746,,,QUEGAR,0,0,0,0,0,,,,NA,,,1,,DEAD ON GROUND
A1,TR,2744,,,QUEGAR,1,0,1,1,4,,,,32.1,,,,,
A1,TR,2745,,,QUEGAR,0,0,0,0,0,,,,NA,,,,,TOP BROKEN OFF/ TAG ON STUMP
B2,TR,2769,,,QUEDEC,0,0,NA,NA,NA,,,,NA,,,,,DEAD/ GONE/ TAG NOT FOUND
