Plot ID,1345,,Sampler(s),"MO, TT, MK, GH",,,,,Date ,20190701,,,,,,,,,
A4,TR,2280,,,HETARB,0,1,0,0,0,,,,NA,193.8,18,,,
A4,TR,2280.1,,,HETARB,0,0,0,0,0,,,,NA,,,1,,DEAD
A4,TR,2280.2,,,HETARB,0,0,0,0,0,,,,NA,,,1,,DEAD
A2,TR,2273,,,HETARB,0,1,0,0,0,,,,NA,123,10,,,
A2,TR,2273.1,,,HETARB,0,1,0,0,0,,,,NA,187.4,4,,,
A2,TR,2273.2,,,HETARB,0,1,0,0,0,,,,NA,208.5,6,,,
A2,TR,2273.3,,,HETARB,0,0,0,0,0,,,,NA,,,1,,DEAD
A2,TR,2273.4,,,HETARB,0,1,0,0,0,,,,NA,164.5,3,,,
A2,TR,2273.5,,,HETARB,0,0,0,0,0,,,,NA,,,,,GONE
A2,TR,2273.6,,,HETARB,0,1,0,0,0,,,,NA,161.3,15,,,
A2,TR,2273.7,,,HETARB,0,0,0,0,0,,,,NA,,,1,,DEAD
A2,TR,2273.8,,,HETARB,0,0,0,0,0,,,,NA,,,1,,DEAD
A2,TR,2273.9,,,HETARB,0,0,0,0,0,,,,NA,,,1,,DEAD
A2,TR,2273.01,,,HETARB,1,0,0,1,4,,,,2.7,,,,,POINT TEN
A2,TR,2273.11,,,HETARB,0,0,0,0,0,,,,NA,,,1,,DEAD
A2,TR,2273.12,,,HETARB,0,0,0,0,0,,,,NA,,,,,GONE
A2,TR,2275,,,HETARB,0,1,0,0,0,,,,NA,142.4,18,,,
A2,SA,2235,,,UMBCAL,1,0,,,,114.2,0.63,4,,,,,,REPROUT BD
A2,SA,2269,,,UMBCAL,0,1,,,,NA,0.56,NA,,89.3,3,,,REPROUT BD
A2,TR,2256,,,HETARB,0,1,0,0,0,,,,NA,192.9,15,,,
A2,TR,2265,,,HETARB,0,1,0,0,0,,,,NA,129.4,21,,,
A2,TS,2265.1,,,HETARB,0,0,,,,NA,NA,NA,,,,,,NO TAG
A2,TR,2264,,,HETARB,0,1,0,0,0,,,,NA,160.1,8,,,
A2,TR,2264.1,,,HETARB,0,1,0,0,0,,,,NA,163.2,12,,,
A2,TR,2264.2,,,HETARB,0,1,0,0,0,,,,NA,165.4,4,,,
A2,TR,2264.3,,,HETARB,0,1,0,0,0,,,,NA,156.2,2,,,
A2,TR,2263,,,HETARB,1,1,0,1,2,,,,3.23,177.4,13,,,
A2,TR,2263.1,,,HETARB,1,1,0,1,3,,,,3.41,177.3,8,,,
A2,TR,2263.2,,,HETARB,0,1,0,0,0,,,,1.79,161,4,,,
D4,SA,1917,,,HETARB,1,0,,,,54.1,0.51,2,,,,,,TAG REPLACED
D4,SA,1918,,,HETARB,0,0,,,,,,,,,,,,NOT FOUND
D4,SA,1943,,,HETARB,1,0,,,,57.8,0.41,0,,,,,,
D4,SA,1920,,,QUEAGRI,1,0,,,,,0.28,0,,39.7,0,,,OG DEAD
C4,TR,1940,,,QUEGAR,1,0,1,1,4,,,,29,,,,,
C4,TR,1938,,,QUEDOU,1,0,1,1,4,,,,18,,,,,COULD BE QUEGAR X {?ILLEGIBLE MARGIN SCAN}
C4,TR,1939,,,QUEDOU,0,0,0,0,0,,,,,,,,,SNAG NO TAG {T? ILLEGIBLE MARGIN SCAN
C4,TR,1941,,,ARCMAN,0,0,0,0,0,,,,,,,,,
C4,TR,1942,,,ARCMAN,0,0,0,0,0,,,,,,,,,
C3,TR,1936,,,QUEDOU,1,0,1,1,4,,,,23,,,,,
C3,SA,1937,,,QUEAGRI,1,0,,,,76.3,0.82,6,,,,,,was gar typo-mkqc2022
C2,SA,1916,,,HETARB,0,1,,,,,0.89,,,49,0,,,.89 is OG .39 RESPROUT
C1,TR,1934,,,ARCMAN,1,0,0,1,3,,,,21.6,,,,,
C1,TR,1934.1,,,ARCMAN,0,0,0,0,0,,,,16,,,,,
C1,TR,1934.2,,,ARCMAN,1,0,0,1,3,,,,14.7,,,,,
C1,TR,1934.3,,,ARCMAN,0,0,0,0,0,,,,8.5,,,,,was typo 1034.3- mkqc2022
C1,TR,1934.4,,,ARCMAN,1,0,0,1,2,,,,6.5,,,,,NEW POINT 4 W/O {.3? ILLEGIBLE MARGIN SCAN}
C1,TR,5594,100,50,QUEDOU,1,0,1,1,2,,,,15.5,,,,,
C1,SA,1906,,,UMBCAL,0,1,,,,,0.47,0,,42,0,,,
C1,SA,1915,,,HETARB,0,1,,,,,0.48,,,46,,,,
C1,SA,1932,,,UMBCAL,1,0,,,,80.1,0.56,4,,,,,,OG DEAD BDSPROUT 750
C1,SA,1933,,,HETARB,0,1,,,,,0.38,,,40.2,0,,,
B1,TR,2239,,,HETARB,0,1,0,0,0,,,,NA,120.4,3,,,
B1,TR,2239.1,,,HETARB,0,1,0,0,0,,,,NA,120,5,,,
B1,TS,2239.2,,,HETARB,0,1,,,,,NA,,,119.4,4,,,
B1,TR,2241,,,HETARB,0,1,0,0,0,,,,,150,19,,,
B1,TR,2241.1,,,HETARB,0,1,0,0,0,,,,,98.6,2,,,
B1,TR,2241.2,,,HETARB,0,1,0,0,0,,,,,180.2,4,,,
A2,TR,2263.3,,,HETARB,0,1,0,0,0,,,,NA,166,6,,,
A2,TR,2263.4,,,HETARB,1,1,0,1,3,,,,4.6,181.6,9,,,
A2,TR,2263.5,,,HETARB,0,1,0,0,0,,,,NA,147.2,4,,,
A2,TR,2263.6,,,HETARB,0,1,0,0,0,,,,2.81,107,3,,,
A2,TR,2263.7,,,HETARB,0,1,0,0,0,,,,NA,157,9,,,
A2,SA,2270,,,QUEAGRI,1,0,,,,66.7,0.3,3,,,,,,RESPROUT BD
A2,SA,2271,,,QUEAGRI,0,0,,,,NA,NA,NA,,,,,,
A2,SA,2272,,,HETARB,0,0,,,,NA,NA,NA,,,,1,,DEAD
A2,TR,2262,,,UMBCAL,1,1,1,0,1,,,,6.8,266.1,4,,,
A2,SA,2268,,,UMBCAL,1,0,,,,161.2,0.96,5,,,,,,RESPROUT BD
A2,SA,2261,,,HETARB,1,0,,,,93.7,0.6,9,,,,,,RESPROUT BD
A2,SA,2260,,,HETARB,0,1,,,,NA,1.24,NA,,77.3,1,,,RESPROUT BD 0.46
A1,SA,2267,,,HETARB,0,1,,,,NA,2.04,NA,,137.5,8,,,RESPROUT BD .7{?}
A1,SA,2266,,,QUEAGRI,0,1,,,,NA,0.53,NA,,17.5,NA,,,RESPROUT BD .12
B4,TR,2246,,,QUEGAR,1,0,1,1,3,,,,33.7,,,,,QUEGAR NOT DOU- (fixed in 13 and 18 DB-mkqc22)
B3,SA,5592,80,499,HETARB,0,1,,,,NA,0.32,NA,,48.5,NA,,,RESPROUT BD was typo dup 5593
B3,TR,2252,,,HETARB,0,1,0,0,0,,,,NA,172.1,2,,,
B3,TR,2252.1,,,HETARB,0,1,0,0,0,,,,NA,110.6,7,,,
B4,TR,2242,,,HETARB,0,1,0,0,0,,,,NA,145,39,,,
B4,TR,2242.1,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
B4,TR,2242.2,,,HETARB,0,0,0,0,0,,,,NA,,,,,
B4,TR,2242.3,,,HETARB,0,0,0,0,0,,,,NA,,,,,
B4,TR,2248,,,QUEGAR,1,0,1,1,4,,,,23.3,,,,,was typo 224 -mkqc2022
B4,TR,2247,,,HETARB,0,1,0,0,0,,,,NA,150.3,7,,,
B4,TR,2245,,,UMBCAL,0,1,0,0,0,,,,NA,83.9,2,,,
B4,TR,2243,,,QUEAGRI,0,1,0,0,0,,,,NA,105.1,2,,,
B4,TR,2243.1,,,QUEAGRI,0,0,0,0,0,,,,NA,,,1,,
B1,TR,2241.3,,,HETARB,0,0,0,0,0,,,,,,,,,
B1,TS,2241.4,,,HETARB,0,0,,,,,,,,,,1,,
B1,TR,5595,265,263,UMBCAL,0,1,0,0,0,,,,1.21,151.6,3,,,
B1,TR,2257,,,QUEGAR,1,0,1,1,4,,,,41.6,,,,,
B1,TR,2257.1,,,QUEGAR,1,0,1,1,4,,,,39.1,,,,,
B1,TR,2257.2,,,QUEGAR,1,0,1,1,3,,,,26.5,,,,,
B1,TR,2240,,,HETARB,0,1,0,0,0,,,,,126.5,1,,,
B1,TR,2240.1,,,HETARB,0,0,0,0,0,,,,,,,,,
B1,TR,2240.2,,,HETARB,0,1,0,0,0,,,,,182,6,,,
B1,TR,2240.3,,,HETARB,0,1,0,0,0,,,,,146.2,12,,,
B1,TR,2240.4,,,HETARB,0,0,0,0,0,,,,,,,,,
B1,TR,2240.5,,,HETARB,1,1,1,1,3,,,,6.5,202.4,9,,,
B2,TR,2295,,,QUEGAR,1,1,1,1,3,,,,25.5,55.8,1,,,IN '18 DB TYPO 1295 (fixed!)
B2,TR,2293,,,QUEGAR,1,0,1,1,4,,,,19.3,,,,,5593 REPLACED WITH 2293{?ILLEGIBLE MARGIN SCAN}
B2,SA,2289,,,QUEAGRI,1,0,,,,61,0.36,0,,,,,,BD OF RESPROUT
B2,TR,2294,,,HETARB,0,1,0,0,0,,,,NA,123.5,7,,,real
B2,TR,2294.1,,,HETARB,0,0,0,0,0,,,,NA,,,,,real
B2,SA,5593,35,326,HETARB,0,1,,,,NA,1.46,NA,,105.3,4,,,BD OF OG
B2,TR,2292,,,HETARB,0,1,0,0,0,,,,NA,117.7,11,,,
B2,TR,2290,,,HETARB,0,1,0,0,0,,,,NA,138.2,9,,,
B2,TR,2290.1,,,HETARB,0,0,0,0,0,,,,NA,,,,,
B2,TR,2290.2,,,HETARB,0,1,0,0,0,,,,NA,141.6,11,,,
B2,TR,2290.3,,,HETARB,0,0,0,0,0,,,,NA,,,,,
B2,TR,2290.4,,,HETARB,0,1,0,0,0,,,,NA,27,136,,,
B2,TR,2290.5,,,HETARB,0,0,0,0,0,,,,NA,,,,,
B2,TR,2290.6,,,HETARB,0,0,0,0,0,,,,NA,,,,,
B2,TR,2290.7,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
B2,TR,2285,,,HETARB,0,1,0,0,0,,,,,129.6,9,,,
B4,TR,2244,,,UMBCAL,0,1,0,0,0,,,,NA,147.6,5,,,
B3,TR,2251,,,UMBCAL,0,1,0,0,0,,,,NA,146.3,5,,,
B3,TR,2250,,,HETARB,0,1,0,0,0,,,,,128.3,17,,,
B3,SA,2249,,,QUEAGRI,0,1,,,,NA,0.79,NA,,45.1,0,,,BD OF RESPROUT IS .23- was typo 2248- mkqc2022
B3,TR,2254,,,QUEGAR,1,0,0,1,4,,,,34.4,,,,,misenetred as queafri-mkqc22
B2,TR,2286,,,HETARB,0,1,0,0,0,,,,NA,121,19,,,
B2,TR,2286.1,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
B3,TR,2253,,,HETARB,0,1,0,0,0,,,,NA,180.3,8,,,
B3,TR,2253.1,,,HETARB,0,1,0,0,0,,,,NA,249,34,,,
B3,TR,2253.2,,,HETARB,0,0,0,0,0,,,,NA,,,,,"DEAD/GONE, NO TAG"
B3,TR,2253.3,,,HETARB,0,1,0,0,0,,,,NA,180.9,19,,,
B3,TR,2284,,,HETARB,0,1,0,0,0,,,,NA,180.9,7,,,
B3,TR,2284.1,,,HETARB,0,0,0,0,0,,,,NA,,,,,CANT FIND
B3,TR,2284.2,,,HETARB,0,1,0,0,0,,,,2.21,94,7,,,
B3,TR,2284.3,,,HETARB,0,1,0,0,0,,,,NA,209.5,15,,,
B3,TR,2284.4,,,HETARB,0,1,0,0,0,,,,2.87,207,10,,,
B3,TR,2283,,,HETARB,0,1,0,0,0,,,,2.61,180.1,8,,,
B3,TR,2283.1,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
B3,TR,2283.2,,,HETARB,0,0,0,0,0,,,,NA,,,,,GONE
B3,TR,2283.3,,,HETARB,0,0,0,0,0,,,,NA,,,,,GONE
B3,TR,2282,,,QUEAGRI,0,1,0,0,0,,,,NA,120.1,2,,,
B3,TR,2238,,,QUEGAR,1,0,0,1,4,,,,31.8,,,,,
B3,TR,2281,,,QUEGAR,1,0,0,1,4,,,,23.6,,,,,
B3,TR,2255,,,HETARB,0,1,0,0,0,,,,NA,117.5,2,,,
B3,TR,2255.1,,,HETARB,0,1,0,0,0,,,,1.34,124.1,3,,,
B3,TR,2236,,,HETARB,0,1,0,0,0,,,,NA,155,10,,,
B3,TR,2236.1,,,HETARB,0,0,0,0,0,,,,NA,,,,,GONE
B3,TR,2237,,,HETARB,0,0,0,0,0,,,,NA,,,1,,was misentered as arcman in 2018-typo carried over-mkqc2022
B2,TR,2285.1,,,HETARB,0,1,0,0,0,,,,NA,143.4,11,,,
B2,TR,2285.2,,,HETARB,0,1,0,0,0,,,,NA,120.4,14,,,
B2,TR,2285.3,,,HETARB,0,1,0,0,0,,,,NA,110.2,6,,,
B2,TR,2285.4,,,HETARB,0,1,0,0,0,,,,NA,124.3,6,,,
B2,TR,2285.5,,,HETARB,0,1,0,0,0,,,,NA,138,12,,,
B2,TR,2285.6,,,HETARB,0,1,0,0,0,,,,NA,136.4,12,,,
B2,TR,2285.7,,,HETARB,0,0,0,0,0,,,,NA,,,,,
B2,TR,2285.8,,,HETARB,0,0,0,0,0,,,,NA,,,,,
B2,TR,2291,,,HETARB,0,1,0,0,0,,,,NA,200.4,30,,,
B2,TR,2291.1,,,HETARB,0,0,0,0,0,,,,NA,,,,,
B2,TR,2291.2,,,HETARB,0,0,0,0,0,,,,NA,,,,,
B2,TR,2291.3,,,HETARB,0,0,0,0,0,,,,NA,,,,,
B2,TR,2296,,,HETARB,0,1,0,0,0,,,,,123.8,5,,,
B2,TR,2296.1,,,HETARB,0,0,0,0,0,,,,,,,,,
B2,TR,2296.2,,,HETARB,0,0,0,0,0,,,,,,,,,TAG NOT FOUND
B2,SA,5590,250,103,HETARB,0,1,,,,NA,0.4,NA,,86,2,,,BD OF RESPROUT
B2,SA,5589,250,103,HETARB,0,1,,,,NA,1.02,NA,,118.4,4,,,BD OF RESPROUT
B2,SA,2297,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
B2,TR,2298,,,HETARB,0,1,0,0,0,,,,NA,176.5,7,,,
B2,TR,2298.1,,,HETARB,0,1,0,0,0,,,,NA,168.6,11,,,
B2,TR,2298.2,,,HETARB,0,0,0,0,0,,,,NA,,,,,
B2,TR,2298.3,,,HETARB,0,0,0,0,0,,,,NA,,,,,
B2,TR,2299,,,HETARB,0,1,0,0,0,,,,NA,149,7,,,was typo 2294- dup- mkqc2022
B2,TR,2299.1,,,HETARB,0,0,0,0,0,,,,NA,,,,,TAG GONE/DEAD/ was typo 2294- dup- mkqc2022
B2,TR,2300,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
B2,TR,2300.1,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
B2,TR,2300.2,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
B2,TR,1901,,,HETARB,0,1,0,0,0,,,,NA,119.2,9,,,
B2,TR,1901.1,,,HETARB,0,0,0,0,0,,,,NA,,,,,
B2,SA,2288,,,QUEAGRI,0,1,,,,NA,0.31,NA,,48.5,,,,BD OF RESPROUT
B2,SA,2287,,,QUEAGRI,1,0,,,,81.6,0.66,3,,,,,,BD OF RESPROUT
B2,TR,1908,,,HETARB,0,1,0,0,0,,,,,180.5,21,,,
B2,TR,1908.1,,,HETARB,0,0,0,0,0,,,,,,,,,
B2,TR,1908.2,,,HETARB,0,0,0,0,0,,,,,,,,,
B2,TR,1908.3,,,HETARB,0,0,0,0,0,,,,,,,,,
B2,TR,1908.4,,,HETARB,0,0,0,0,0,,,,,,,,,
B2,TR,1908.5,,,HETARB,0,1,0,0,0,,,,,195.6,11,,,
B2,TR,1908.6,,,HETARB,0,0,0,0,0,,,,,,,,,
B2,TR,1908.7,,,HETARB,0,1,0,0,0,,,,,141.5,19,,,
B2,TR,1908.8,,,HETARB,0,0,0,0,0,,,,,,,,,
B2,TR,1908.9,,,HETARB,0,1,0,0,0,,,,,137.6,5,,,
B2,TR,1908.11,,,HETARB,0,0,0,0,0,,,,,,,,,
B2,TR,2299.2,,,HETARB,0,1,0,0,0,,,,,141.2,10,,,
