Plot ID,1348,,Sampler(s),"MO, TT, MK, CVH",,,,,Date ,20190808/ 20190809,,,,,,,,,
A4,SA,3081,,,AMOCAL,1,0,,,,134,1.51,21,,,,,,BD OF BSPRT
A4,SA,3122,,,AMOCAL,1,0,,,,112.9,0.79,14,,,,,,BD OF BSPRT
A4,SA,3120,,,AMOCAL,1,0,,,,105,0.29,9,,,,,,BD OF BSPRT
A4,SA,3082,,,AMOCAL,1,0,,,,134.5,0.85,6,,,,,,BD OF BSPRT
A4,SA,3121,,,AMOCAL,1,0,,,,102.4,0.92,18,,,,,,BD OF BSPRT
A4,SA,3129,,,AMOCAL,1,0,,,,102.3,0.61,7,,,,,,BD OF BSPRT
A4,SA,3119,,,AMOCAL,1,0,,,,114,0.74,14,,,,,,BD OF BSPRT
A4,SA,6179,,,AMOCAL,1,0,,,,99,0.67,3,,,,,,
A4,SA,3126,,,AMOCAL,1,0,,,,113,0.62,10,,,,,,BD OF BSPRT
A4,SA,3127,,,AMOCAL,1,0,,,,116.5,0.76,8,,,,,,BD OF BSPRT
A4,SA,3083,,,AMOCAL,1,0,,,,119.5,0.83,14,,,,,,BD OF BSPRT
A4,SA,6865,240,470,AMOCAL,1,0,,,,191,1.18,16,,,,,,
A4,SA,6882,440,430,AMOCAL,1,0,,,,148,0.79,28,,,,,,
B2,SA,6007,,,AMOCAL,1,0,,,,120.7,0.71,3,,,,,,BD OF BSPRT
B2,SA,6006,,,AMOCAL,1,0,,,,82,0.6,9,,,,,,BD OF BSPRT
B2,SA,6005,,,AMOCAL,1,0,,,,84.1,0.52,17,,,,,,BD OF BSPRT
B2,SA,6004,,,AMOCAL,1,0,,,,81.8,0.53,13,,,,,,BD OF BSPRT
B2,SA,3147,,,AMOCAL,1,0,,,,108.6,0.63,11,,,,,,BD OF BSPRT
B2,SA,3148,,,AMOCAL,1,0,,,,77.1,0.59,14,,,,,,BD OF BSPRT
B1,SA,3149,,,AMOCAL,1,0,,,,82.2,0.4,14,,,,,,BD OF BSPRT
B2,SA,6001,,,AMOCAL,1,0,,,,94.6,0.65,12,,,,,,BD OF BSPRT
B2,SA,3141,,,AMOCAL,1,0,,,,77.6,0.59,15,,,,,,BD OF BSPRT
B1,SA,6003,,,AMOCAL,1,0,,,,73.3,0.57,4,,,,,,
B1,SA,3092,,,HETARB,1,0,,,,116.9,0.59,13,,,,,,BD OF BSPRT
B2,SA,6866,30,80,AMOCAL,1,0,,,,62.9,0.44,1,,,,,,
B2,SA,6883,151,294,AMOCAL,1,0,,,,55.8,0.3,3,,,,,,
B3,SA,3140,,,AMOCAL,1,0,,,,82,0.76,5,,,,,,
B3,SA,6884,312,180,AMOCAL,1,0,,,,91.4,0.63,3,,,,,,
B3,TR,3078,,,PSEMEN,1,0,0,1,4,,,,13.6,,,,,
B3,SA,6002,,,AMOCAL,1,0,,,,55.1,0.37,15,,,,,,BD OF BSPRT
B3,SA,3146,,,AMOCAL,1,0,,,,56.5,0.49,8,,,,,,BD OF BSPRT
B3,SA,6187,,,AMOCAL,1,0,,,,116,0.76,16,,,,,,BD OF BSPRT
B3,SA,3183,,,AMOCAL,1,0,,,,61.9,0.36,17,,,,,,BD OF BSPRT
B3,SA,3089,,,AMOCAL,1,0,,,,57.5,0.42,10,,,,,,BD OF BSPRT
B3,SA,6486,,,AMOCAL,1,0,,,,84.2,0.66,31,,,,,,BD OF BSPRT/ CHANGED FROM 6486 MKQC2022
B3,SA,3145,,,AMOCAL,1,0,,,,87.2,0.47,12,,,,,,BD OF BSPRT
B3,SA,3142,,,AMOCAL,1,0,,,,104.1,0.56,8,,,,,,BD OF BSPRT
B3,SA,6185,,,AMOCAL,1,0,,,,91.6,0.49,16,,,,,,BD OF BSPRT
B3,SA,6868,402,428,AMOCAL,1,0,,,,69.4,0.38,8,,,,,,
B3,SA,6885,304,499,AMOCAL,1,0,,,,60.5,0.39,15,,,,,,
B3,SA,3182,,,AMOCAL,1,0,,,,74.9,0.51,14,,,,,,BD OF BSPRT
B3,SA,6184,,,AMOCAL,1,0,,,,99.5,0.6,13,,,,,,BD OF BSPRT
B3,SA,6186,,,AMOCAL,1,0,,,,86,0.68,28,,,,,,BD OF BSPRT
B4,SA,3134,,,AMOCAL,1,0,,,,83,0.38,12,,,,,,BD OF BSPRT
B4,SA,6180,,,PSEMEN,1,0,,,,78.3,0.55,27,,,,,,
B4,SA,3086,,,AMOCAL,1,0,,,,100.1,0.62,7,,,,,,BD OF BSPRT
B4,SA,3131,,,AMOCAL,1,0,,,,103.6,0.66,23,,,,,,BD OF BSPRT
B4,SA,6183,,,AMOCAL,1,0,,,,64.1,0.41,15,,,,,,BD OF BSPRT
B4,SA,3130,,,AMOCAL,1,0,,,,98.7,0.56,21,,,,,,BD OF BSPRT
B4,SA,6182,,,AMOCAL,1,0,,,,89.1,0.55,12,,,,,,BD OF BSPRT
B4,SA,6874,167,366,AMOCAL,1,0,,,,129.4,0.78,12,,,,,,
B4,SA,6886,250,315,AMOCAL,1,0,,,,80.5,0.49,8,,,,,,
B4,SA,6181,96,499,AMOCAL,1,0,,,,131.2,0.71,12,,,,,,BD OF BSPRT
B4,SA,6875,,,AMOCAL,1,0,,,,102.2,0.55,10,,,,,,
B4,SA,6887,200,285,AMOCAL,1,0,,,,64,0.44,5,,,,,,
B4,SA,6888,200,210,AMOCAL,1,0,,,,62,0.42,5,,,,,,
B4,SA,6889,,,AMOCAL,1,0,,,,75.3,0.5,2,,,,,,
C4,SA,3175,,,AMOCAL,1,0,,,,92.9,0.57,7,,,,,,BD OF BSPRT
C4,SA,6193,,,AMOCAL,1,0,,,,78.5,0.58,5,,,,,,BD OF BSPRT
C4,SA,6192,,,AMOCAL,1,0,,,,132.5,0.74,22,,,,,,
C3,SA,6018,,,AMOCAL,1,0,,,,82.5,0.48,5,,,,,,
C4,SA,6195,,,AMOCAL,1,0,,,,100.3,0.62,2,,,,,,
C4,SA,6890,411,250,AMOCAL,1,0,,,,97.3,0.6,9,,,,,,
C4,SA,6891,405,305,AMOCAL,1,0,,,,71.5,0.42,9,,,,,,
C4,SA,3177,,,AMOCAL,1,0,,,,99.3,0.6,23,,,,,,BD OF BSPRT
C4,SA,6189,,,AMOCAL,1,0,,,,94.2,0.62,3,,,,,,
C4,SA,3196,,,AMOCAL,1,0,,,,70.6,0.47,9,,,,,,BD OF BSPRT
C4,SA,6191,,,AMOCAL,1,0,,,,104.7,0.62,4,,,,,,
C4,SA,6190,,,AMOCAL,1,0,,,,82.4,0.48,11,,,,,,BD OF BSPRT
C4,SA,6194,,,AMOCAL,1,0,,,,121.6,0.8,22,,,,,,BD OF BSPRT
D4,SA,3227,,,UMBCAL,1,0,,,,206,1.7,0,,,,,1,
D4,SA,3228,,,AMOCAL,1,0,,,,198.8,1.46,16,,,,,,
C1,SA,3166,,,UMBCAL,1,0,,,,53.7,0.54,3,,,,,,OG DEAD
C1,SA,3169,,,AMOCAL,1,0,,,,157.5,0.83,30,,,,,,BD OF BSPRT
C1,SA,3095,,,AMOCAL,1,0,,,,139.3,0.77,28,,,,,,BD OF BSPRT
C1,SA,6876,350,191,AMOCAL,1,0,,,,114.2,0.85,5,,,,,,
D1,SA,3257,,,AMOCAL,1,0,,,,11.6,0.74,7,,,,,,
D1,SA,6009,,,AMOCAL,1,0,,,,81.8,0.5,13,,,,,,BD OF BSPRT
D1,SA,6008,,,AMOCAL,1,0,,,,74.7,0.48,2,,,,,,
D1,SA,3262,,,AMOCAL,1,0,,,,130,0.75,6,,,,,,
D1,SA,3191,,,AMOCAL,1,0,,,,56.6,0.34,1,,,,,,BD OF BSPRT
D2,SA,3250,,,AMOCAL,1,0,,,,171.7,0.82,15,,,,,,
D2,SA,3248,,,UMBCAL,1,0,,,,122.5,0.7,1,,,,,,
D2,SA,3247,,,UMBCAL,1,0,,,,119.6,1.07,0,,,,,,
D2,SA,6198,,,UMBCAL,1,0,,,,51,0.48,0,,,,,,
D2,SA,3249,,,AMOCAL,1,0,,,,57.1,0.34,9,,,,,,
D2,SA,6198,,,UMBCAL,1,0,,,,51.4,0.52,0,,,,,,
D2,SA,6197,,,UMBCAL,1,0,,,,86.4,0.7,0,,,,,,
D2,SA,6196,,,UMBCAL,1,0,,,,67.3,0.91,0,,,,,,
C2,SA,3043,,,AMOCAL,1,0,,,,99.8,0.8,21,,,,,,BD OF BSDPRT
C2,SA,6021,,,AMOCAL,1,0,,,,50.1,0.43,14,,,,,,BD OF BSPRT
C2,SA,6877,499,370,AMOCAL,1,0,,,,71.1,0.38,9,,,,,,
C2,SA,6878,371,469,AMOCAL,1,0,,,,76,0.36,5,,,,,,
C3,SA,3210,,,AMOCAL,1,0,,,,114.9,0.65,16,,,,,,BD OF BSPRT
C2,SA,6879,291,399,AMOCAL,1,0,,,,57.5,0.41,8,,,,,,
C2,SA,6892,341,369,AMOCAL,1,0,,,,58.5,0.47,8,,,,,,
C3,SA,3211,,,AMOCAL,1,0,,,,114.4,0.8,9,,,,,,BD OF BSPRT
C3,SA,3212,,,AMOCAL,1,0,,,,115.3,0.75,9,,,,,,BD OF BSPRT
C2,SA,6893,371,439,AMOCAL,1,0,,,,59.6,0.35,0,,,,,,
C2,SA,6894,251,469,AMOCAL,1,0,,,,51.7,0.36,20,,,,,,
C2,SA,6895,251,499,AMOCAL,1,0,,,,55.8,0.37,22,,,,,,
C3,SA,3214,,,AMOCAL,1,0,,,,102.2,0.65,13,,,,,,BD OF BSPRT
C3,SA,3213,,,AMOCAL,1,0,,,,86,0.4,16,,,,,,BD OF BSPRT
C2,SA,6896,190,499,AMOCAL,1,0,,,,62.5,0.36,7,,,,,,
C3,SA,3215,,,AMOCAL,1,0,,,,129.8,0.72,14,,,,,,BD OF BSPRT
C3,SA,3239,,,AMOCAL,1,0,,,,112.2,0.54,3,,,,,,BD OF BSPRT
C3,SA,6023,,,UMBCAL,1,0,,,,122.1,0.75,9,,,,,,BD OF BSPRT
C4,SA,5242,,,AMOCAL,1,0,,,,77,1.12,1,,,,,,BD OF BSPRT
C4,SA,6022,,,AMOCAL,1,0,,,,98.7,0.75,17,,,,,,BD OF BSPRT
C4,SA,6011,,,AMOCAL,1,0,,,,94.9,0.55,18,,,,,,BD OF BSPRT
C4,SA,6012,,,AMOCAL,1,0,,,,75.9,0.42,12,,,,,,BD OF BSPRT
C4,SA,6013,,,AMOCAL,1,0,,,,55.2,0.49,5,,,,,,BD OF BSPRT
C4,SA,6019,,,AMOCAL,1,0,,,,64,0.42,6,,,,,,BD OF BSPRT
C4,SA,6014,,,AMOCAL,1,0,,,,90.9,0.61,16,,,,,,BD OF BSPRT
C4,SA,6020,,,AMOCAL,1,0,,,,72.1,0.43,2,,,,,,BD OF BSPRT
C4,SA,6015,,,AMOCAL,1,0,,,,81.8,0.53,17,,,,,,BD OF BSPRT
C4,SA,6016,,,AMOCAL,1,0,,,,68,0.41,14,,,,,,BD OF BSPRT
C4,SA,6017,,,AMOCAL,1,0,,,,84.4,0.51,16,,,,,,BD OF BSPRT
C4,SA,6901,265,450,AMOCAL,1,0,,,,61.9,0.37,6,,,,,,
C4,SA,3171,,,AMOCAL,1,0,,,,78.6,0.57,13,,,,,,
C4,SA,6010,,,AMOCAL,1,0,,,,71.1,0.46,11,,,,,,BD OF BSPRT
C4,SA,6018,,,AMOCAL,1,0,,,,84.2,0.47,5,,,,,,BD OF BSPRT
C4,SA,3216,,,AMOCAL,1,0,,,,71.8,0.53,9,,,,,,BD OF BSPRT
C4,SA,3218,,,AMOCAL,1,0,,,,117.3,0.66,10,,,,,,BD OF BSPRT
C4,SA,6902,454,366,AMOCAL,1,0,,,,87,0.55,5,,,,,,
C3,SA,6903,454,396,AMOCAL,1,0,,,,107.5,0.57,6,,,,,,
C3,SA,6900,304,366,AMOCAL,1,0,,,,82.5,0.55,6,,,,,,
C3,SA,6899,384,426,AMOCAL,1,0,,,,59.8,0.36,6,,,,,,
C3,SA,6904,428,184,AMOCAL,1,0,,,,72.5,0.38,1,,,,,,
D3,SA,3180,,,PSEMEN,1,0,,,,65.8,1.2,0,,,,,,
D3,SA,3236,,,AMOCAL,1,0,,,,104.6,0.7,8,,,,,,
D3,SA,3244,,,UMBCAL,1,0,,,,56.1,1.01,0,,,,,1,
D3,SA,3238,,,AMOCAL,1,0,,,,63.8,0.38,5,,,,,,
D3,SA,3239,,,AMOCAL,1,0,,,,,,,,,,,,
D3,SA,3240,,,AMOCAL,1,0,,,,154.6,0.87,24,,,,,,
D3,SA,3241,,,AMOCAL,1,0,,,,136.1,0.7,11,,,,,,BD OF BSPRT
D3,SA,3239,,,AMOCAL,1,0,,,,106.1,0.72,3,,,,,,
D3,SA,6918,154,270,AMOCAL,1,0,,,,71.6,0.46,2,,,,,,
D3,SA,6919,174,290,AMOCAL,1,0,,,,68,0.53,2,,,,,,
D3,SA,6920,154,340,AMOCAL,1,0,,,,56.6,0.42,6,,,,,,
D3,SA,6906,241,145,AMOCAL,1,0,,,,60.6,0.33,7,,,,,,
A3,SA,6921,256,200,AMOCAL,1,0,,,,72.7,0.41,6,,,,,,
C3,SA,6922,490,360,AMOCAL,1,0,,,,54.2,0.34,4,,,,,,
C3,SA,6923,499,290,AMOCAL,1,0,,,,66.2,0.43,4,,,,,,
C4,SA,3222,,,AMOCAL,1,0,,,,85.4,0.52,14,,,,,,BD OF BSPRT
A3,SA,3077,,,AMOCAL,1,0,,,,115,0.76,19,,,,,,BD OF BSPRT
C1,SA,3096,,,AMOCAL,1,0,,,,12.5,0.63,26,,,,,,
A1,TR,3103,,,PSEMEN,0,0,0,0,0,,,,NA,,,,,
A1,TR,3102.1,,,HETARB,0,0,0,0,0,,,,3.43,,,,,
A1,TR,3102.2,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
B2,TR,3090.1,,,QUEGAR,0,0,0,0,0,,,,NA,,,,,GONE
A2,TR,3067,,,AMOCAL,0,0,0,0,0,,,,NA,,,,,NOT FOUND
A3,TR,3114,,,PSEMEN,0,0,0,0,0,,,,NA,,,,,
A3,TR,3159,,,QUEGAR,0,0,0,0,0,,,,NA,,,1,,
A4,TR,3124.1,,,AMOCAL,0,0,0,0,0,,,,NA,,,1,,
B1,TR,3091,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,
B1,TR,3152.1,,,HETARB,0,0,0,0,0,,,,,,,1,,
B1,TR,3152.2,,,HETARB,0,0,0,0,0,,,,,,,1,,
B1,TR,3152.3,,,HETARB,0,0,0,0,0,,,,,,,1,,
B1,TR,3152.4,,,HETARB,0,0,0,0,0,,,,,,,1,,
B1,TR,3152.5,,,HETARB,0,0,0,0,0,,,,,,,,,TAG NOT FOUND
B4,TR,3087,,,AMOCAL,0,0,0,0,0,,,,6.2,,,,,
C4,TR,3220,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,
C4,TR,3223,,,HETARB,0,0,0,0,0,,,,NA,91.5,13,,,
C4,TR,3223.1,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
C4,TR,3225.1,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
D4,TR,3226,,,QUEKEL,0,0,0,0,0,,,,NA,,,,,DEAD/ GONE/ TAG NOT FOUND
C1,TR,3098,,,PSEMEN,0,0,0,0,0,,,,,,,1,,
C1,TR,3094,,,PSEMEN,0,0,0,0,0,,,,,,,1,,
D1,TR,3256,,,QUEKEL,0,0,0,0,0,,,,,,,1,,
D2,TR,3186,,,HETARB,0,0,0,0,0,,,,,,,,,TAG MOVED ONTO LOOP WITH .1
D2,TR,3186.2,,,HETARB,0,0,0,0,0,  ,,,,,,1,,WAS 3196.2 IN '18 DB)
C2,TR,3203,,,PSEMEN,0,0,0,0,0,,,,,,,1,,
C2,TR,3204,,,PSEMEN,0,0,0,0,0,,,,,,,1,,
D3,TR,3231,,,PSEMEN,0,0,0,0,0,,,,,,,,,
D3,TR,3237.1,,,UMBCAL,0,0,0,0,0,,,,,,,,,
A1,TR,3102,,,HETARB,0,1,0,0,0,,,,6.4,161.3,43,,,
A2,TR,3153,,,AMOCAL,0,1,0,0,0,,,,NA,99.5,8,,,
A3,TR,3111,,,AMOCAL,0,1,0,0,0,,,,NA,136.3,16,,,
A3,TR,3109,,,QUEGAR,0,1,0,0,0,,,,NA,60.3,1,,,
A3,TR,3158,,,QUEGAR,0,1,0,0,0,,,,NA,47.5,0,,,
A3,TR,3160,,,QUEGAR,0,1,0,0,0,,,,NA,56.5,1,,,
A4,TR,3123,,,UMBCAL,0,1,0,0,0,,0.71,,NA,69.6,1,,,TAG ON BSPROUT
A4,TR,3128,,,UMBCAL,0,1,0,0,0,,,,NA,123.5,22,,,
A4,TR,3124,,,AMOCAL,0,1,0,0,0,,1.38,,NA,192.5,27,,,TAG MOVED TO BSPT (B {? SCAN CUT OFF}
B1,TR,3152,,,HETARB,0,1,0,0,0,,,,,127.3,35,,,
C4,TR,3225,,,HETARB,0,1,0,0,0,,,,,NA,0,,,
C1,TR,3164,,,QUEGAR,0,1,0,0,0,,,,8.8,NA,0,,,SNAG/ TAG NOT FOUND
D2,TR,3254,,,QUEGAR,0,1,0,0,0,,,,,99.7,6,,,
D3,TR,3237,,,UMBCAL,0,1,0,0,0,,,,,71,6,,,
A1,TR,3102.3,,,HETARB,1,0,1,1,3,,,,5,,,,,
B2,TR,3090,,,QUEGAR,1,0,1,1,2,,,,16.5,,,,,
B2,TR,3090.2,,,QUEGAR,1,0,1,1,3,,,,16.5,,,,,
B2,TR,3090.3,,,QUEGAR,1,0,1,0,1,,,,13.7,,,,,ONE EPI BRANCH
B2,TR,3090.4,,,QUEGAR,1,0,1,1,4,,,,15.8,,,,,
A2,TR,3064,,,QUEGAR,1,0,1,1,4,,,,19.7,,,,,
A2,TR,3105,,,PSEMEN,1,0,0,1,2,,,,13.5,,,,,FIX TAG *
A4,TR,3118.1,,,UMBCAL,1,0,0,1,4,,,,3.6,,,,,
B2,TR,3150,,,PSEMEN,1,0,0,1,4,,,,46.3,,,,,
C1,TR,3162,,,QUEGAR,1,0,1,1,4,,,,22.3,,,,,
B3,TR,3144,,,QUEGAR,1,0,1,1,4,,,,16.4,,,,,
B3,TR,3144.1,,,QUEGAR,1,0,1,1,5,,,,18.6,,,,,
B3,TR,3138,371,477,QUEGAR,1,0,1,1,4,,,,14.3,,,,,
B4,TR,3135,,,QUEGAR,1,0,1,1,3,,,,11.6,,,,,
B4,TR,3136,,,QUEGAR,1,0,1,1,4,,,,16.2,,,,,
B4,TR,3137,,,QUEGAR,1,0,1,1,4,,,,15.3,,,,,
D4,TR,3179,,,PSEMEN,1,0,0,1,4,,,,2.52,,,,,
C1,TR,3201,,,QUEGAR,1,0,1,1,4,,,,14.1,,,,,
D1,TR,3255,,,PSEMEN,1,0,0,1,4,,,,8.1,,,,,
D1,TR,3259,,,PSEMEN,1,0,0,1,4,,,,15.9,,,,,
D1,TR,3261,,,PSEMEN,1,0,1,1,4,,,,6.8,,,,,
D2,TR,3190,,,PSEMEN,1,0,0,1,3,,,,10.9,,,,,DELETE DUPE IN '18 DB (IN D1)
D2,TR,3253,,,QUEGAR,1,0,1,1,4,,,,17.6,,,,,
D2,TR,3254,,,QUEGAR,1,0,1,1,4,,,,17.6,,,,,
D2,TR,3252.1,,,HETARB,1,0,0,1,3,,,,1.21,,,,,
C3,TR,3173,,,QUEGAR,1,0,1,1,5,,,,19.9,,,,,
C3,TR,3172,,,AMOCAL,1,0,1,1,5,,,,16,,,,,
C4,TR,3100,,,QUEGAR,1,0,1,1,5,,,,23,,,,,
C4,TR,3217,,,PSEMEN,1,0,0,1,3,,,,13.6,,,,,
D3,TR,3233,,,QUEGAR,1,0,1,1,3,,,,16.8,,,,,
D3,TR,3234,,,QUEGAR,1,0,1,1,3,,,,19.9,,,,,
D3,TR,3185,,,PSEMEN,1,0,0,1,2,,,,1.6,,,,,
D3,TR,3246,,,PSEMEN,1,0,0,1,1,,,,1.3,,,,,
A1,TR,3063,,,QUEKEL,1,1,0,1,2,,,,11.6,82.5,2,,,TOP BROKEN OFF
A2,TR,3066,,,QUEGAR,1,1,0,1,4,,,,14.9,NA,0,,,
A3,TR,3108,,,QUEGAR,1,1,0,1,3,,,,15.5,NA,0,,,
A3,TR,3110,,,QUEGAR,1,1,1,1,2,,,,15.8,54.2,4,,,
A4,TR,3118,,,UMBCAL,1,1,0,1,3,,,,4,88.7,26,,,
B1,TR,3154,,,QUEGAR,1,1,1,1,4,,,,13.1,NA,0,,,
B1,TR,3155,,,QUEGAR,1,1,1,1,4,,,,16.9,NA,0,,,
B1,TR,3156,,,QUEGAR,1,1,1,1,4,,,,16.1,NA,0,,,
B4,TR,3132,,,QUEGAR,1,1,1,1,4,,,,14.9,NA,0,,,
C4,TR,3219,,,QUEGAR,1,1,1,1,4,,,,22.5,52.5,1,,,RESPROUOT BROWSED
C4,TR,3174,,,QUEGAR,1,1,1,1,4,,,,11.6,NA,0,,,
C1,TR,3097,,,QUEGAR,1,1,1,1,3,,,,11.7,NA,0,,,
C1,TR,3165,,,QUEGAR,1,1,1,1,4,,,,19.3,NA,0,,,
C1,TR,3163,,,QUEGAR,1,1,1,1,4,,,,13.4,NA,0,,,
C1,TR,3162,,,QUEGAR,1,1,1,1,5,,,,23.5,NA,0,,,
D2,TR,3189,,,AMOCAL,0,1,0,0,0,,0.54,18,,97.8,3,,,
D2,TR,3188,,,QUEGAR,1,1,1,1,4,,,,24.3,72.4,1,,,
D2,TR,3186.1,,,HETARB,1,1,1,1,4,,,,5,NA,0,,,TAG MOVED ONTO LOOP WITH .1
D2,TR,3252,,,HETARB,1,1,1,0,1,,,,4.09,208.5,5,,,
C2,TR,3206,,,QUEGAR,1,1,1,1,4,,,,11.3,NA,0,,,
C2,TR,3205,,,QUEGAR,1,1,1,1,4,,,,10.4,NA,0,,,
C2,TR,3099,,,QUEGAR,1,1,,1,3,,,,14.9,58,1,,,
C2,TR,3192,,,QUEGAR,1,1,1,1,4,,,,22.5,50.5,1,,,
D3,TR,3235,,,QUEGAR,1,1,1,1,3,,,,13.9,0.9,1,,,
D3,TR,3232,,,QUEGAR,1,1,1,1,4,,,,18.8,NA,0,,,
D3,TR,3230,,,QUEGAR,1,1,1,1,4,,,,19.3,64.5,1,,,
C2,TR,3207,,,QUEGAR,1,1,1,1,3,,,,19,NA,0,,,
A1,TS,3102.5,,,HETARB,0,0,,,,NA,NA,,,,,1,,
A2,TS,3153.1,,,AMOCAL,0,0,,,,,,,,,,,,
A3,TS,3111.1,,,AMOCAL,0,0,,,,NA,NA,NA,,,,1,,
A4,TS,3124.2,,,AMOCAL,0,0,,,,NA,na,,,,,1,,
B1,TS,3152.6,,,HETARB,0,0,,,,,,,,,,,,TAG NOT FOUND
C4,TS,3223.2,,,HETARB,0,0,,,,,,,NA,,,1,,
D2,TS,3189.1,,,AMOCAL,0,0,,,,,,,,,,1,,
