Plot ID,1312,,Sampler(s),"MK, MO, TT, GH, MF",,,,,Date ,"20190611, 20190612",,,,,,,,,
A1,SA,1284,,,QUEAGRI,0,1,,,,,1.23,,,46.5,0,,,OG DEAD 
A1,TR,1332,,,UMBCAL,1,0,1,1,5,,,,1.05,,,,1,
A1,SA,1282,,,UMBCAL,1,0,,,,127,0.94,0,,,,,1,
A1,TR,1273,,,QUEAGRI,1,1,1,1,4,,,,24.7,46,0,,,ADD BSPROUT TO STEM
A1,TR,1273.1,,,QUEAGRI,1,0,1,1,3,,,,26,,,,,
D4,TR,1556,,,ARBMEN,1,0,0,1,4,,,,44.7,,,,,1565 IN '18 DB- fixed it- mkqc2022
D4,TR,1556.1,,,ARBMEN,1,0,1,1,3,,,,48.4,,,,,1566 IN '18 DB- fixed it- mkqc2022
D4,SA,5536,,,UMBCAL,1,0,,,,51.3,0.63,1,,,,,,
D4,TR,1547,,,ARBMEN,1,0,1,1,2,,,,6.37,,,,,
D4,SA,5535,,,UMBCAL,1,0,,,,61.6,0.59,1,,,,,,
D4,SA,5542,,,HETARB,1,0,,,,60.1,0.44,2,,,,,,
D3,TR,1557,,,ARBMEN,1,0,0,1,3,,,,11.8,,,,,
C3,SA,5508,,,UMBCAL,1,0,,,,67.9,0.76,1,,,,,,
D3,SA,1549,,,UMBCAL,1,0,,,,83.1,0.99,0,,,,,1,
D3,SA,5537,,,UMBCAL,1,0,,,,62.3,0.68,1,,,,,1,
D3,SA,6372,499,150,UMBCAL,1,0,,,,51.1,0.44,2,,,,,1,
D2,TR,1558,,,QUEKEL,1,0,1,1,3,,,,20,,,,,
D2,TR,1559,,,ARBMEN,1,0,0,1,3,,,,32.8,,,,,
D2,TR,1563,,,ARBMEN,1,0,0,1,2,,,,4.65,,,,,
D2,TR,1564,,,ARBMEN,1,0,0,1,4,,,,14.6,,,,,
D2,TR,1564.1,,,ARBMEN,1,0,0,1,2,,,,3.43,,,,,
D2,SA,5525,,,UMBCAL,1,0,,,,65.5,0.47,2,,,,,1,
D2,SA,5524,,,UMBCAL,1,0,,,,80.8,0.78,0,,,,,1,
D2,SA,1561,,,UMBCAL,1,0,,,,67.6,0.46,0,,,,,1,
D2,SA,5568,,,UMBCAL,1,0,,,,78.7,0.47,1,,,,,1,
D2,SA,1562,,,UMBCAL,1,1,,,,96,0.71,0,,,,,1,2ND OG STEM DEAD W/ BSPROUT
D2,SA,1566,,,HETARB,1,0,,,,119.7,1.67,1,,,,,,
D1,SA,5532,,,UMBCAL,1,0,,,,167.9,1.38,0,,,,,1,
D2,SA,1570,,,QUEAGRI,1,0,,,,71.1,0.81,1,,,,,,
D2,TR,1571,,,HETARB,1,0,0,1,3,,,,1.07,,,,,NOW A TREE
D2,SA,1567,,,QUEAGRI,1,0,,,,59.5,0.53,1,,,,,,
D2,SA,1572,,,QUEAGRI,1,0,,,,88.1,0.76,0,,,,,,
D2,SA,5523,,,UMBCAL,1,0,,,,69.6,0.42,1,,,,,1,
A1,TR,1276,,,UMBCAL,1,0,1,1,4,,,,1.6,,,,,*
A1,SA,6359,17,300,UMBCAL,1,0,,,,92.1,0.5,0,,,,,1,
A1,SA,1285,,,BACPIL,0,0,,,,,,,,,,,,NOT FOUND
A1,SA,1281,,,UMBCAL,0,0,,,,,,,,,,,,NOT FOUND
A1,SA,1462,,,UMBCAL,0,0,,,,,,,,,,,,NOT FOUND
A1,SA,6358,260,320,UMBCAL,1,0,,,,51.2,0.39,2,,,,,1,SA STEM # 2 STEMS {?ILLEGIBLE MARGIN SCAN}
A2,SA,6357,455,32,UMBCAL,1,0,,,,52,0.57,0,,,,,,
A2,SA,1301,,,UMBCAL,0,1,,,,,1.18,,,139.6,2,,1,SA STEM # .99 BD OF OG/ 1.18 BD OF BSPRT
A2,SA,6356,340,90,UMBCAL,1,0,,,,60.5,0.63,1,,,,,,
A2,SA,1302,,,QUEAGRI,0,1,,,,,0.86,2,,41.6,0,,,OG DEAD
A2,SA,1305,,,UMBCAL,1,0,,,,121.1,1.1,2,,,,,,*
A2,SA,6355,385,98,QUEAGRI,1,0,,,,82.6,0.64,3,,,,,,NEW SA
A2,SA,1303,,,QUEAGRI,1,1,,,,191.9,1.71,0,,52,1,,,
A2,SA,6354,370,150,UMBCAL,1,0,,,,66,0.53,1,,,,,,*
A2,TR,1304,,,UMBCAL,1,0,0,1,5,,,,1.4,,,,,*
A2,SA,1320,,,UMBCAL,1,0,,,,104.3,0.84,0,,,,,1,
A2,SA,1319,,,QUEAGRI,0,0,,,,NA,0.62,NA,,,,1,,
A2,SA,1312,,,QUEAGRI,1,0,,,,101.1,0.82,0,,,,,,
A2,TR,1327,,,QUEAGRI,1,1,0,1,3,,,,1.4,58.3,1,,,
A2,TR,1306,,,UMBCAL,1,0,1,1,4,,,,1.8,,,,,*
A2,SA,1309,,,UMBCAL,1,0,,,,123,1.07,0,,,,,,*
A2,SA,1308,,,QUEAGRI,1,0,,,,64.5,0.68,3,,,,,,3 DEAD STEMS INDER BD
A2,TR,1296,,,UMBCAL,1,0,1,1,4,,,,1.5,,,,,.1 ON ITS WAY STILL UNDER 
A2,SA,1334,,,QUEAGRI,0,1,,,,NA,0.62,NA,,73.9,,,,OG DEAD
A2,SA,1335,,,QUEAGRI,0,1,,,,NA,0.9,NA,,66,,,,OG DEAD
A2,SA,1336,,,QUEAGRI,1,0,,,,73.2,0.87,1,,,,,,"averaged two dups one with ht 72.4 and bd .68, the other with ht 73.9 and bd 1.05"
A2,TR,1330,,,ARBMEN,1,0,1,1,4,,,,2.8,,,,,
A2,TS,1330.1,,,ARBMEN,1,1,,,,,,,NA,NA,0,,,TOP KILLED
A2,TS,1296.1,,,UMBCAL,1,0,,,,195.6,1.6,,,,,,,*
D2,SA,1565,495,89,QUEAGRI,1,0,,,,38.9,0.39,0,,,,,,
D1,SA,1589,,,QUEAGRI,1,0,,,,113.4,0.68,0,,,,,,
D1,SA,1588,,,UMBCAL,1,0,,,,197.6,1.33,2,,,,,1,
D1,SA,1583,,,QUEAGRI,1,0,,,,237,2.41,0,0.68,,,,,
D1,SA,1605,,,QUEAGRI,0,0,,,,NA,2.27,NA,,,,,,DEAD
D1,SA,1596,,,QUEAGRI,1,0,,,,170.7,1.39,0,,,,,,
D1,SA,1595,,,QUEAGRI,1,0,,,,35.8,0.84,3,,,,,,
D1,SA,1591,,,HETARB,1,0,,,,158.1,0.98,2,,,,,,
D1,SA,5544,,,QUEAGRI,1,0,,,,62.6,0.37,0,,,,,,
D1,SA,5540,,,QUEAGRI,1,0,,,,55.9,0.67,0,,,,,,
D1,SA,1606,,,UMBCAL,1,0,,,,104,0.85,1,,,,,1,
D1,SA,1598,,,QUEAGRI,1,0,,,,161.5,1.32,0,,,,,,
D1,SA,1597,,,UMBCAL,1,0,,,,145,1.03,1,,,,,1,
D1,SA,1599,,,QUEAGRI,1,0,,,,79.1,0.87,1,,,,,,
D1,TR,1593,,,ARBMEN,1,0,0,1,3,,,,3.36,,,,,
D1,TR,1593.1,,,ARBMEN,1,0,0,1,4,,,,5.47,,,,,
D1,SA,1577,,,UMBCAL,1,0,,,,125.2,0.62,1,,,,,1,
D1,SA,1578,,,HETARB,0,0,,,,NA,0.39,NA,,,,,,"DEAD- WAS QUEAGRI IN 18 BUT WAS DEAD, HETARB IN 2013- MKQC2022"
D1,TR,1576,,,HETARB,1,0,0,1,5,,,,3.15,,,,,
D1,TS,1576.1,,,HETARB,1,0,,,,213.7,0.93,0,,,,,,
D1,TS,1576.2,,,HETARB,1,0,,,,134.5,1.07,0,,,,,,
D1,TS,1576.3,,,HETARB,1,0,,,,288.7,1.46,0,0.96,,,,,
D1,SA,1609,,,QUEAGRI,1,0,,,,90.4,0.61,0,,,,,,
D1,SA,1607,,,QUEAGRI,1,0,,,,85.9,0.67,0,,,,,,
D1,SA,1601,,,UMBCAL,1,0,,,,124.4,0.73,1,,,,,,
D1,SA,1600,,,QUEAGRI,1,0,,,,88.6,0.51,0,,,,,,
D1,SA,1604,,,QUEAGRI,1,0,,,,80.8,1.04,0,,,,,,
D1,SA,1602,,,UMBCAL,1,0,,,,96.3,0.51,0,,,,,,
A2,SA,1348,,,ARBMEN,1,0,,,,120,1.25,1,,,,,,
A2,SA,1331,,,QUEAGRI,1,0,,,,50.2,0.6,1,,,,,,STEM <10 DEAD
A2,SA,6353,215,40,QUEAGRI,1,0,,,,55,1.14,1,,,,,,NEW SA
A2,SA,5574,445,310,QUEAGRI,0,1,,,,NA,0.56,3,,47.2,0,,,OG DEAD
A2,TR,1299,,,QUEAGRI,1,0,1,1,4,,,,34.5,,,,,
A2,TR,1299.1,,,QUEAGRI,0,0,0,0,0,,,,,,,,,FELL OFF
A2,SA,6352,,,QUEAGRI,1,0,,,,71.3,0.92,1,,,,,,
A2,SA,1298,,,ARBMEN,1,0,,,,117,1.35,1,,,,,,
A2,SA,1311,,,QUEAGRI,0,1,,,,NA,1.31,1,,108.5,,,,OG DEAD OR BRANCH <10
A2,SA,6351,95,395,QUEAGRI,1,0,,,,67.8,0.93,0,,,,,,
A2,SA,1381,,,QUEAGRI,1,0,,,,141.6,1.27,1,,,,,,
A2,SA,5571,,,UMBCAL,1,0,,,,69,0.48,0,,,,,,
A2,SA,1379,,,QUEAGRI,1,0,,,,78.3,1.89,0,,,,,,
A2,SA,1297,,,QUEAGRI,0,0,,,,NA,0.58,,,,,1,,
A2,SA,5573,,,QUEAGRI,1,0,,,,74.7,1.13,0,,,,,,
A2,SA,1277,,,UMBCAL,0,1,,,,NA,1.5,0,,72.5,1,,,*/ OG DEAD/ BSPROUT .61
A2,SA,5556,,,UMBCAL,1,0,,,,155.6,1.28,0,,,,,,*
A2,TR,1300,135,360,ARBMEN,1,1,1,1,4,,,,1.3,55.2,1,,,
A2,SA,6350,135,360,QUEAGRI,1,0,,,,59,0.65,0,,,,,,
A2,SA,1328,,,ARBMEN,1,0,,,,166.1,1.34,0,,,,,,
A2,SA,1329,,,QUEAGRI,0,1,,,,NA,0.58,1,,37.8,,,,OG DEAD
A2,SA,1317,,,QUEAGRI,1,0,,,,53.8,1,0,,,,,,
A2,TR,1315,,,UMBCAL,1,0,1,1,4,,,,1.6,,,,1,
A2,SA,1316,,,QUEAGRI,0,1,,,,NA,0.53,0,,28.2,,,,OG DEAD
A2,SA,1314,,,UMBCAL,1,0,,,,150,2.16,0,,,,,,
A2,SA,6349,325,240,QUEGAR,1,0,,,,32.1,0.99,1,,,,,,TOP KILLED
A2,SA,1313,,,QUEAGRI,1,0,,,,82.1,0.79,1,,,,,,
D1,SA,1560,,,QUAGRI,1,0,,,,128.1,0.83,0,,,,,,
D1,SA,1573,,,UMBCAL,1,0,,,,160.1,1.48,0,,,,,,
D1,SA,5541,,,UMBCAL,1,0,,,,52.1,0.59,1,,,,,,
D1,SA,1580,,,QUEAGRI,1,0,,,,108.8,0.54,1,,,,,,
D1,SA,1579,,,UMBCAL,1,0,,,,138.5,1.05,0,,,,,,
D1,SA,1568,,,QUEAGRI,1,0,,,,42.5,0.22,0,,,,,,
D1,TR,1584,,,PSEMEN,1,0,0,1,4,,,,13.7,,,,,
D1,SA,1585,,,QUEAGRI,1,0,,,,91.2,0.67,0,,,,,,
D1,SA,1586,,,QUEAGRI,1,0,,,,50.6,0.36,0,,,,,,
D1,SA,1587,,,QUEAGRI,1,0,,,,99.2,0.97,3,,,,,,
D1,SA,1581,,,QUEAGRI,1,0,,,,190.8,0.94,2,,,,,,
D1,SA,1582,,,QUEAGRI,1,0,,,,41.2,0.48,1,,,,,,
D1,SA,1594,,,QUEAGRI,1,0,,,,57.5,0.78,0,,,,,,
D1,SA,1603,,,QUEAGRI,1,0,,,,80.6,0.98,0,,,,,,
D1,SA,1574,,,QUEAGRI,1,0,,,,80.2,0.52,0,,,,,,
D1,SA,1575,,,QUEAGRI,0,0,,,,NA,NA,NA,,,,,,
D1,SA,6373,140,500,UMBCAL,1,0,,,,51.1,0.63,0,,,,,,
C1,TR,1487,,,HETARB,1,0,0,1,3,,,,1.05,,,,,
C1,SA,1485,,,UMBCAL,1,0,,,,185.9,1.54,0,,,,,,
C1,TR,1482,,,QUEAGRI,1,0,1,1,4,,,,12.2,,,,,
C1,TR,1480,,,HETARB,1,0,0,1,4,,,,2.65,,,,,
C1,TR,1480.1,,,HETARB,1,0,0,1,3,,,,0.46,,,,,
C1,TR,1480.2,,,HETARB,1,0,0,1,4,,,,1.25,,,,,
C1,TS,1480.3,,,HETARB,1,0,,,,158,1.3,0,,,,,,
C1,SA,5579,,,UMBCAL,1,0,,,,59.5,0.45,3,,,,,,
C1,SA,1477,,,UMBCAL,1,0,,,,165,1.58,0,,,,,,
C1,SA,1478,,,ARBMEN,1,0,,,,131.2,0.46,1,,,,,,
C1,SA,5554,,,UMBCAL,1,0,,,,62.7,0.84,1,,,,,,
A2,SA,1310,,,UMBCAL,1,0,,,,143.5,1.61,0,,,,,,misrecorded as queagri- mkqc2022
A2,SA,1322,,,UMBCAL,1,0,,,,103.7,0.94,1,,,,,,*
A2,SA,1321,,,QUEAGRI,1,0,,,,71,0.79,5,,,,,,
A2,SA,1326,,,QUEAGRI,1,0,,,,56.1,0.58,0,,,,,,
A2,SA,1323,,,UMBCAL,1,0,,,,76.5,0.8,0,,,,,1,
A2,SA,1324,,,QUEAGRI,1,0,,,,73,1.12,3,,,,,,
A2,SA,5575,,,QUEAGRI,1,0,,,,51.1,0.57,1,,,,,,
A4,SA,5511,,,ARBMEN,1,0,,,,78.6,0.75,0,,,,,,
A4,SA,5512,,,ARBMEN,1,0,,,,50.7,0.68,2,,,,,,
A4,SA,1383,,,HETARB,1,0,,,,130.9,0.68,1,,,,,,
A4,SA,5513,,,PSEMEN,1,0,,,,155.6,1.79,0,,,,,,
A4,SA,1351,,,HETARB,1,0,,,,65.1,0.43,4,,,,,,
A4,SA,5515,,,PSEMEN,1,0,,,,78.6,1.11,0,,,,,,
A4,SA,5520,,,UMBCAL,1,0,,,,76.2,0.7,0,,,,,,*
A4,SA,1384,,,UMBCAL,1,0,,,,196.8,2.75,0,,,,,,*
A4,SA,5517,,,QUEAGRI,1,0,,,,66.1,0.51,1,,,,,,
A4,SA,5519,,,ARBMEN,1,0,,,,53,0.83,1,,,,,,
A4,TR,1385,,,QUEAGRI,1,0,0,1,4,,,,51.8,,,,,TOXDIV IN DBH
A4,TR,1385.1,,,QUEAGRI,1,0,0,1,4,,,,71.6,,,,,TOXDIV IN DBH
A4,SA,1350,,,UMBCAL,1,0,,,,96,0.86,0,,,,,,*
A4,SA,5516,,,QUEAGRI,1,0,,,,59.1,0.63,0,,,,,,
A4,SA,1349,,,QUEAGRI,1,0,,,,66.1,0.64,1,,,,,,
A4,SA,5514,,,ARBMEN,1,0,,,,53.7,0.59,0,,,,,,OUT OF PLOT
A3,SA,1363,,,QUEAGRI,1,0,,,,90,0.73,0,,,,,,
A3,SA,1341,,,UMBCAL,1,0,,,,128.4,1.29,1,,,,,,*
A3,SA,5548,,,QUEAGRI,1,0,,,,63.6,0.58,1,,,,,,
C1,SA,1479,,,PSEMEN,1,0,,,,115.9,0.75,1,,,,,,
C1,TR,1481,,,QUEAGRI,1,0,1,1,3,,,,6.5,,,,,
C1,SA,5533,,,UMBCAL,1,0,,,,71.4,1.04,1,,,,,,
C1,SA,1476,,,QUEAGRI,1,0,,,,57.6,0.39,0,,,,,,
C1,SA,1473,,,ARBMEN,1,0,,,,138.3,1.51,0,,,,,,
C1,SA,1471,,,UMBCAL,1,0,,,,116,0.87,0,,,,,,
C1,TR,1507,,,ARBMEN,1,0,0,1,4,,,,1,,,,,NOW A TR
C1,SA,1506,,,ARBMEN,1,0,,,,164.2,2.22,0,,,,,,
C1,TR,1493,,,QUEAGRI,1,0,0,1,2,,,,1,,,,,NOW A TR
C1,SA,1495,,,ARBMEN,1,0,,,,132.3,2.26,0,,,,,,
C1,SA,1505,,,QUEAGRI,1,0,,,,187.9,1.43,0,,,,,,
C1,SA,1492,,,ARBMEN,1,0,,,,146.3,1.35,0,,,,,,
C1,SA,1491,,,ARBMEN,1,0,,,,115.2,1.44,0,,,,,,
C1,SA,6374,260,442,ARBMEN,1,0,,,,60.4,0.56,0,,,,,,NEW SA
C1,SA,1490,,,QUEAGRI,1,0,,,,77.9,1.01,0,,,,,,
C1,SA,5539,,,UMBCAL,1,0,,,,55.5,0.65,1,,,,,,
C1,SA,1489,,,QUEAGRI,1,0,,,,59.5,0.55,2,,,,,,
C1,SA,1486,,,UMBCAL,1,0,,,,181.2,1.3,0,,,,,1,
C1,SA,1488,,,HETARB,1,0,,,,104.5,0.67,0,,,,,,
C1,SA,1498,,,QUEAGRI,1,0,,,,135.1,0.65,0,,,,,,
C1,SA,5578,,,UMBCAL,1,0,,,,65.8,0.54,1,,,,,,
C1,SA,5543,,,UMBCAL,1,0,,,,68,0.54,1,,,,,,
C1,SA,1497,,,UMBCAL,1,0,,,,219,1.71,1,,,,,,
C1,SA,5565,,,QUEAGRI,1,0,,,,47.2,0.3,2,,,,,,
C1,SA,1555,,,QUEAGRI,1,0,,,,199,2.17,0,,,,,,
C1,SA,1502,,,UMBCAL,1,0,,,,130.8,0.92,1,,,,,,
C1,SA,5534,,,PSEMEN,1,0,,,,118.9,0.69,0,,,,,,
C1,SA,1503,,,QUEAGRI,1,0,,,,126.5,0.93,2,,,,,,
A3,SA,5566,,,QUEAGRI,1,0,,,,48.3,0.52,1,,,,,,
A3,SA,5545,,,QUEAGRI,1,0,,,,50.5,0.68,2,,,,,,
A3,SA,1339,,,UMBCAL,1,0,,,,149.6,2.11,0,,,,,1,
A3,SA,1340,,,QUEAGRI,1,0,,,,119.5,0.85,0,,,,,,was typo 1346- mkqc2022
A3,SA,5546,,,QUEAGRI,1,0,,,,51.8,0.57,0,,,,,,
A3,SA,5552,,,QUEAGRI,1,0,,,,77.8,0.68,1,,,,,,
A3,TR,1343,,,UMBCAL,1,0,0,1,4,,,,1.1,,,,,*
A3,SA,6348,307,165,QUEAGRI,1,0,,,,60.1,0.53,2,,,,,,
A3,SA,5551,,,QUEAGRI,1,0,,,,57.5,0.64,1,,,,,,
A3,TR,1318,,,QUEAGRI,1,1,0,1,4,,,,1.3,NA,0,,,
A3,SA,1338,,,QUEAGRI,1,0,,,,97.6,0.96,2,,,,,,
A3,SA,1337,,,QUEAGRI,1,0,,,,87.4,1.06,1,,,,,,
A3,SA,1356,,,QUEAGRI,1,1,,,,115.8,0.59,0,,NA,0,,,
A3,SA,1359,,,HETARB,1,0,,,,138.4,1.28,2,,,,,,
A3,SA,1358,,,QUEAGRI,1,0,,,,69,1.09,0,,,,,,
B3,SA,5527,,,UMBCAL,1,0,,,,63.9,0.64,3,,,,,,*
A3,SA,1354,,,QUEAGRI,1,0,,,,66.8,0.85,2,,,,,,
A3,SA,1365,,,QUEAGRI,1,0,,,,41.6,0.88,1,,,,,,
A3,SA,1366,,,QUEAGRI,1,0,,,,108,1.14,1,,,,,,
A3,SA,1352,,,UMBCAL,1,0,,,,91.5,0.76,0,,,,,,*
A3,SA,1355,,,QUEAGRI,1,0,,,,96.1,0.8,2,,,,,,
A3,SA,1353,,,QUEAGRI,1,0,,,,121.6,1.5,1,,,,,,
A3,SA,1325,,,QUEAGRI,1,0,,,,91,0.9,0,,,,,,
A3,SA,1357,,,HETARB,1,0,,,,202.2,1.86,3,,,,,,
A3,SA,1369,,,HETARB,1,0,,,,78.6,0.7,3,,,,,,
A3,SA,1345,,,HETARB,1,0,,,,234.4,1.29,7,,,,,,
A3,SA,1367,,,QUEAGRI,1,0,,,,46,0.56,0,,,,,,
A3,SA,1362,,,QUEAGRI,1,0,,,,86.3,0.92,0,,,,,,
A3,TR,1361,,,PSEMEN,1,1,1,1,5,,,,2,,,,,
A3,TR,1347,,,UMBCAL,1,0,0,1,4,,,,2.3,,,,,*
A3,SA,1364,,,QUEAGRI,1,0,,,,60.6,0.6,3,,,,,,
A3,SA,1344,,,UMBCAL,1,0,,,,55,0.79,0,,,,,,*
A3,SA,5530,,,QUEAGRI,1,0,,,,16.8,0.65,0,,,,,,TOP KILLED
A3,SA,5550,,,QUEAGRI,1,0,,,,62,0.48,0,,,,,,
A3,SA,1342,,,UMBCAL,1,0,,,,35.2,0.65,0,,,,,,
A3,SA,1368,,,QUEAGRI,0,0,,,,,0.66,0,,,,,,
A3,SA,5531,,,HETARB,1,0,,,,56,0.38,1,,,,,,
A3,SA,5569,,,QUEAGRI,1,0,,,,76.7,0.52,0,,,,,,
B1,SA,1474,,,UMBCAL,1,0,,,,166.1,1.55,0,,,,,1,
B1,SA,5581,195,100,UMBCAL,1,0,,,,,0.48,0,,,,,1,"B4 IN DB, CHANGE TO B1"
B1,TR,1463,,,UMBCAL,1,0,1,1,4,,,,1.36,,,,1,
B1,SA,1467,,,QUEAGRI,1,0,,,,96.4,1.49,0,,,,,,
B1,SA,1468,,,UMBCAL,1,0,,,,193,1.7,0,,,,,1,
B1,SA,1469,47,95,UMBCAL,1,0,,,,162.9,1.35,1,,,,,1,
B1,SA,1470,,,UMBCAL,1,0,,,,134.5,0.95,2,,,,,1,
B1,SA,1453,,,UMBCAL,1,0,,,,105.4,0.61,1,,,,,1,
B1,SA,1454,,,UMBCAL,1,0,,,,48.6,1,4,,,,,1,
B1,SA,1452,,,UMBCAL,1,0,,,,53.6,1.21,3,,,,,1,
B1,SA,1455,,,ARBMEN,1,0,,,,43.6,0.84,1,,,,,,
B1,SA,6429,55,110,UMBCAL,1,0,,,,52,0.53,0,,,,,1,NEW SA
B1,SA,1456,,,UMBCAL,1,0,,,,226.8,1.67,1,,,,,1,
B1,SA,6428,380,95,UMBCAL,1,0,,,,56,0.65,0,,,,,1,
B1,SA,1466,,,UMBCAL,1,0,,,,135.8,1.63,0,,,,,,
B1,TR,1464,,,UMBCAL,1,0,1,1,5,,,,1.51,,,,1,
B1,SA,1458,,,QUEAGRI,1,0,,,,84.3,0.99,0,,,,,,
B1,SA,6427,920,460,UMBCAL,1,1,,,,50.2,0.11,0,,,,,1,
C1,SA,1501,,,QUEAGRI,1,0,,,,154.1,0.92,0,,,,,,
C1,SA,1499,,,QUEAGRI,1,0,,,,161.8,1.47,0,,,,,,
C1,SA,1500,,,QUEAGRI,1,0,,,,134.7,1.05,0,,,,,,
C1,SA,1504,,,UMBCAL,1,0,,,,75.9,0.89,1,,,,,,OG DEAD
C1,SA,1496,,,ARBMEN,1,0,,,,58.2,0.36,0,,,,,,
C1,SA,1483,,,QUEAGRI,1,0,,,,137.2,0.81,2,,,,,,
C1,SA,1484,,,QUEAGRI,1,0,,,,159.1,0.98,1,,,,,,
C4,SA,5505,,,UMBCAL,1,0,,,,53.2,0.62,3,,,,,,
C4,SA,1551,,,HETARB,1,0,,,,72.2,0.46,2,,,,,,
C4,SA,5502,287,437,UMBCAL,1,0,,,,80.3,0.68,2,,,,,,
C4,SA,1550,,,HETARB,1,0,,,,118.7,0.8,3,,,,,,
C4,TR,1546,,,QUEAGRI,1,0,0,1,3,,,,17.7,,,,,
C4,TR,1546.1,,,QUEAGRI,1,0,0,1,3,,,,19,,,,,
C4,TR,1546.2,,,QUEAGRI,1,0,0,1,4,,,,18.5,,,,,
C4,TR,1546.3,,,QUEAGRI,1,0,0,1,4,,,,21.6,,,,,
C4,TR,1700,,,UMBCAL,1,0,0,1,5,,,,1.72,,,,,
C4,SA,6375,91,340,HETARB,1,0,,,,,50.3,0.27,,,,,,
C4,SA,1553,,,PSEMEN,1,0,,,,,278,1.61,0.86,,,,,
C4,TR,1554,,,UMBCAL,1,0,0,1,5,,,,1.78,,,,1,
C4,TR,1552,,,HETARB,1,0,0,1,5,,,,1.23,,,,,
C4,SA,5504,,,UMBCAL,0,1,,,,NA,0.91,0,,21,NA,,,"OG DEAD, changed from 6504- mkqc2022"
C4,SA,1544,,,UMBCAL,1,0,,,,99.4,0.88,0,,,,,,
C4,SA,6376,190,330,QUEAGRI,1,0,,,,108.2,0.56,0,,,,,,
C4,SA,6377,132,453,UMBCAL,1,0,,,,53,0.46,0,,,,,,NEW SA
C4,TR,1543,,,HETARB,1,0,0,1,4,,,,2,,,,,
C4,TR,1543.1,,,HETARB,1,0,0,1,3,,,,0.81,,,,,
C4,SA,5506,,,UMBCAL,1,0,,,,123.9,0.69,0,,,,,,
C3,TR,1535,,,QUEAGRI,1,0,0,1,4,,,,26.1,,,,,NEST IN UPPER CANOPY
B1,SA,5582,,,UMBCAL,1,0,,,,36.6,0.47,0,,,,,1,B4 IN DB- CHANGE
B1,SA,5558,290,380,UMBCAL,1,0,,,,66.8,0.79,0,,,,,1,
B1,SA,5572,,,QUEAGRI,1,0,,,,62.6,0.56,0,,,,,,B4 IN DB- CHANGE
B1,SA,1450,,,UMBCAL,1,0,,,,150,1.78,0,,,,,1,
B1,SA,1449,,,QUEAGRI,1,0,,,,26.8,0.57,2,,,,,,TOP KILLED
B1,SA,1451,,,UMBCAL,1,0,,,,154.8,1.25,1,,,,,1,
B1,TR,1459,,,UMBCAL,1,0,1,1,4,,,,1.72,,,,1,
B1,SA,1461,,,UMBCAL,1,0,,,,220.5,1.53,0,,,,,1,
