Plot ID,PPW1321,,Sampler(s),"MO, GH",,,,,Date ,20190717,,,,,,,,,
D2,TR,2452,,,AMOCAL,0,0,0,0,0,,,,NA,,,1,,GONE
D2,TR,2445,,,AMOCAL,0,0,0,0,0,,,,NA,,,1,,GONE
D2,SA,2443,,,UMBCAL,1,0,,,,122,0.8,1,,,,,,BD OF BSPRT
D2,SA,2446,,,AMOCAL,1,0,,,,132.6,0.65,7,,,,,,BD OF BSPRT
D2,SA,2454,,,AMOCAL,1,0,,,,77.1,0.54,10,,,,,,BD OF BSPRT
D2,SA,5946,,,AMOCAL,1,0,,,,88.5,0.7,9,,,,,,BD OF BSPRT
D2,SA,2469,,,AMOCAL,0,0,,,,NA,NA,NA,,,,1,,
D2,SA,2447,,,AMOCAL,0,0,,,,NA,NA,NA,,,,,,TAG NOT FOUND
D2,SA,2456,,,AMOCAL,0,0,,,,NA,NA,NA,,,,1,,
D2,SA,2472,,,AMOCAL,0,0,,,,NA,NA,NA,,,,,,TAG NOT FOUND
D2,SA,2451,,,UMBCAL,0,0,,,,NA,NA,NA,,,,,,TAG NOT FOUND
D3,SA,2438,,,FRACAL,0,1,,,,NA,0.41,0,,42.5,,,,BD OF BSPRT
D3,TR,2442,,,QUEGAR,0,1,0,0,0,,,,,NA,0,,,
D3,SA,2486,,,UMBCAL,0,1,,,,,0.37,0,,41.2,,,1,BD OF BSPRT
D3,SA,5950,,,UMBCAL,1,0,,,,52.1,0.61,0,,,,,,BD OF BSPRT
D3,SA,5951,,,UMBCAL,1,0,,,,55.7,0.43,1,,,,,,BD OF BSPRT
D3,SA,5952,,,UMBCAL,1,0,,,,58,0.47,0,,,,,,BD OF BSPRT
D3,SA,2436,,,UMBCAL,1,0,,,,91.5,0.78,1,,,,,,BD OF BSPRT
D3,SA,2485,,,UMBCAL,1,0,,,,93,0.64,1,,,,,1,BD OF BSPRT
D3,TR,2439,,,QUEGAR,1,1,1,1,5,,,,19.7,85.5,9,,,2018 SP. QUEKEL
D3,SA,2437,,,UMBCAL,1,0,,,,71.2,0.85,2,,,,,,BD OF BSPRT
D3,SA,2440,,,AMOCAL,1,0,,,,205,1.05,39,,,,,,BD OF BSPRT
D3,SA,5958,,,UMBCAL,0,1,,,,NA,0.24,0,,29.2,,,,BD OF BSPRT
D3,SA,2441,,,UMBCAL,0,1,,,,NA,0.41,0,,41.7,,,,BD OF BSPRT
D3,SA,6470,37,250,FRACAL,1,0,,,,63.8,0.41,2,,,,,,
C3,SA,2422,,,UMBCAL,1,0,,,,98.1,0.71,5,,,,,,BD OF BSPRT
C3,TR,2420,,,QUEGAR,1,0,1,1,3,,,,,26.4,,,,
C3,SA,2419,,,UMBCAL,1,0,,,,86,0.65,4,,,,,,BD OF BSPRT
C3,TR,2425,,,QUEKEL,1,0,0,1,1,,,,,17.7,,,,
C3,SA,5973,,,UMBCAL,1,0,,,,81,0.65,1,,,,,,BD OF BSPRT
C3,SA,5956,,,UMBCAL,1,0,,,,67.4,0.37,2,,,,,,BD OF BSPRT
C3,SA,2421,,,UMBCAL,1,0,,,,116.8,0.75,1,,,,,,BD OF BSPRT
C3,SA,5975,,,UMBCAL,1,0,,,,89,0.6,1,,,,,,
C3,SA,5974,,,UMBCAL,1,0,,,,118.8,0.93,0,,,,,,
C3,SA,2424,,,UMBCAL,0,0,,,,NA,NA,NA,,,,1,,GONE
C3,SA,2484,,,UMBCAL,0,0,,,,NA,NA,NA,,,,1,,GONE
C3,SA,2423,,,UMBCAL,0,0,,,,NA,NA,NA,,,,,,GONE/ TAG NOT FOUND
C3,SA,2426,,,UMBCAL,0,0,,,,NA,NA,NA,,,,,,GONE/ TAG NOT FOUND
C3,SA,2395,,,AMOCAL,0,0,,,,NA,NA,NA,,,,,,GONE/ TAG NOT FOUND
C3,SA,6471,291,62,FRACAL,1,0,,,,51.3,0.33,2,,,,,,
D4,SA,5955,,,UMBCAL,1,0,,,,85.2,0.8,4,,,,,,BD OF BSPRT
D4,SA,2435,,,UMBCAL,1,0,,,,97.9,0.63,7,,,,,,BD OF BSPRT
A3,SA,2360,,,UMBCAL,1,0,,,,75.1,0.75,3,,,,,,BD OF BSPRT
A3,TR,2363,,,ARBMEN,1,1,0,1,4,,,,46,1,70,,,
A3,SA,2361,,,UMBCAL,1,0,,,,77.7,0.62,2,,,,,,BD OF BSPRT
A3,SA,5852,,,UMBCAL,1,0,,,,67.9,0.68,1,,,,,,BD OF BSPRT
A3,SA,2362,,,UMBCAL,1,0,,,,58.3,0.54,3,,,,,,BD OF BSPRT
A3,SA,2366,,,UMBCAL,1,0,,,,92.5,0.82,0,,,,,,BD OF BSPRT- was typo 2363- mkqc2022
A3,SA,2364,,,UMBCAL,0,0,,,,NA,NA,NA,,,,,,BD OF BSPRT
A3,SA,2367,,,UMBCAL,0,0,,,,NA,NA,NA,,,,,,TAG NOT FOUND
A3,SA,2373,,,FRACAL,0,0,,,,NA,NA,NA,,,,,,TAG NOT FOUND
A3,SA,6474,55,352,UMBCAL,1,0,,,,53.4,0.42,1,,,,,,TAG NOT FOUND
A4,SA,5853,,,UMBCAL,1,0,,,,50.9,0.55,1,,,,,,
A4,SA,2372,,,UMBCAL,1,0,,,,127,0.85,4,,,,,,BD OF BSPRT
A4,SA,5854,310,177,UMBCAL,1,0,,,,79.4,0.97,3,,,,,,BD OF BSPRT
A4,TR,2374,,,QUEGAR,1,0,1,1,3,,,,22.6,,,,,BD OF BSPRT
A4,SA,2375,,,UMBCAL,1,0,,,,79.8,0.72,2,,,,,,
A4,SA,2371,,,FRACAL,1,0,,,,70.2,0.71,3,,,,,,BD OF BSPRT
A4,SA,2376,,,UMBCAL,1,0,,,,85.7,0.72,5,,,,,,BD OF BSPRT
A4,SA,2368,,,UMBCAL,0,0,,,,NA,NA,NA,,,,,,BD OF BSPRT
A4,SA,2369,,,UMBCAL,0,0,,,,NA,NA,NA,,,,,,TAG NOT FOUND
A4,SA,6478,340,177,UMBCAL,1,0,,,,51,0.48,0,,,,,,TAG NOT FOUND
D4,SA,5953,,,UMBCAL,1,0,,,,66.4,0.64,0,,,,,,BD OF BSPRT
D4,SA,2434,,,UMBCAL,1,0,,,,97.9,0.65,5,,,,,,BD OF BSPRT
D4,SA,2433,,,UMBCAL,1,0,,,,80.1,0.84,2,,,,,,BD OF BSPRT
D4,SA,5954,,,UMBCAL,0,0,,,,NA,NA,NA,,,,1,,DEAD/ GONE
C4,SA,2432,,,UMBCAL,1,0,,,,90.1,1,10,,,,,,BD OF BSPRT
C4,SA,5971,,,FRACAL,0,1,,,,NA,0.39,0,,43.2,,,,BD OF BSPRT
C4,SA,5970,,,UMBCAL,1,0,,,,56.2,0.56,3,,,,,,BD OF BSPRT
C4,SA,2427,,,UMBCAL,1,0,,,,134.6,0.97,3,,,,,,BD OF BSPRT
C4,SA,5899,,,UMBCAL,1,0,,,,68.2,0.71,2,,,,,,BD OF BSPRT
C4,SA,2428,63,435,UMBCAL,1,0,,,,93,0.86,1,,,,,,BD OF BSPRT
C4,SA,6472,23,405,UMBCAL,1,0,,,,50.8,0.69,3,,,,,,
C4,SA,6473,183,435,FRACAL,1,0,,,,54.6,0.37,3,,,,,,
B3,SA,2393,,,UMBCAL,1,0,,,,98.8,0.84,4,,,,,,BD OF BSPRT
B4,TR,2387,,,QUEAGRI,1,0,1,1,3,,,,13.9,,,,,
B4,TR,2387.1,,,QUEAGRI,1,0,1,1,2,,,,14,,,,,
B4,SA,5861,,,FRACAL,1,0,,,,82.1,0.65,3,,,,,,
B4,SA,2385,,,UMBCAL,1,0,,,,108.9,1.1,2,,,,,,BD OF BSPRT
B4,SA,2379,200,270,UMBCAL,1,0,,,,92.2,0.93,0,,,,,,BD OF BSPRT
B4,SA,2378,,,UMBCAL,1,0,,,,121.5,1.06,5,,,,,,BD OF BSPRT
B4,TR,2390,,,QUEGAR,1,1,1,1,4,,,,21.8,60.2,1,,,
B4,SA,2388,,,UMBCAL,1,0,,,,76.5,0.89,8,,,,,,BD OF BSPRT
B4,SA,2381,,,UMBCAL,1,0,,,,98.8,0.92,3,,,,,,BD OF BSPRT
B4,SA,2389,,,FRACAL,1,0,,,,52.1,0.4,7,,,,,,BD OF BSPRT
B4,SA,2380,,,UMBCAL,1,0,,,,69.8,0.54,3,,,,,,BD OF BSPRT
B4,SA,5862,,,UMBCAL,1,0,,,,79.1,0.62,7,,,,,,BD OF BSPRT
B4,SA,2377,,,UMBCAL,1,0,,,,120,1.07,8,,,,,,BD OF BSPRT
B4,SA,2382,,,UMBCAL,1,0,,,,68,0.64,4,,,,,,BD OF BSPRT
B4,TR,2384,,,QUEKEL,1,0,1,1,4,,,,22.1,,,,,
B4,SA,6475,200,268,FRACAL,1,0,,,,59.8,0.42,5,,,,,,NEW SA
B4,SA,6476,39,25,FRACAL,1,1,,,,54.3,0.46,5,,,,,,NEW SA
B3,SA,5859,,,ARBMEN,0,0,,,,NA,0.45,0,,48,,,,BD OF BSPRT
B3,SA,2400,,,UMBCAL,1,0,,,,92.8,0.87,4,,,,,,NEW SA
B3,SA,6477,,,FRACAL,1,0,,,,50.1,0.33,10,,,,,,BD OF BSPRT
B3,SA,5860,,,UMBCAL,1,0,,,,78.7,0.56,1,,,,,,BD OF BSPRT
B3,SA,2396,,,UMBCAL,1,0,,,,53,0.32,1,,,,,,NEW SA
B3,SA,6479,459,371,FRACAL,1,0,,,,51.5,0.4,6,,,,,,NEW SA
C3,SA,6480,35,440,FRACAL,1,0,,,,55.3,0.48,0,,,,,,NEW SA
B3,SA,6481,493,461,UMBCAL,1,0,,,,94.6,0.84,3,,,,,,NEW SA
C3,SA,6482,35,349,FRACAL,1,0,,,,66,0.38,2,,,,,,NEW SA
B3,SA,2399,,,UMBCAL,0,0,,,,NA,NA,NA,,,,1,,
