Plot ID,PPW1340,,Sampler(s),"MO, MF, MK, GH",,,,,Date ,20190605,,,,,,,,,
A3,TR,1630.17,,,UMBCAL,0,1,0,0,0,,,,,81.1,4,,,
A3,TR,1630.18,,,UMBCAL,0,1,0,0,0,,,,,286,1,,,
A3,TR,1630.19,,,UMBCAL,0,0,0,0,0,,,,,,,,,NOT FOUND IN 2018 0R 2019
A3,TR,1630.02,,,UMBCAL,0,1,0,0,0,,,,,162.2,3,,,.02 REPRESENTS .20 TAG in field
A3,TR,1630.21,,,UMBCAL,0,0,0,0,0,,,,,,,,,
A3,TR,1630.22,,,UMBCAL,0,1,0,0,0,,,,,124.4,1,,,
A3,TS,1630.23,,,UMBCAL,0,0,0,0,0,,,,,,,,,
A3,TR,1630.24,,,UMBCAL,0,1,0,0,0,,,,,136.8,2,,,
A3,SA,1630.11,,,UMBCAL,0,1,0,0,0,,,,NA,127.1,2,,,
D4,SA,1691,,,BACPIL,0,0,,,,,,,,,,1,,
D4,SA,1697,,,PSEMEN,0,0,,,,,,,,,,1,,
D3,SA,1672,,,PSEMEN,0,0,,,,,,,,,,1,,
D4,SA,6368,340,275,BACPIL,1,0,,,,84.5,1.27,2,,84.5,,,,NEW SA
C2,TR,1665,,,PSEMEN,0,0,0,0,0,,,,33.4,,,,,
C2,TR,1663,,,UMBCAL,0,1,0,0,0,,,,3.94,147.4,20,,,
C1,SA,5866,,,UMBCAL,0,1,,,,,,,,49.4,,,,
C1,SA,1667,,,UMBCAL,1,0,,,,54.7,0.92,1,,,,,,
C1,SA,6371,272,256,BACPIL,1,0,,,,57.3,1.06,3,,,,,,NEW SA
D1,SA,6370,100,499,BACPIL,1,0,,,,86.1,1.18,1,,,,,,NEW SA
D1,SA,5867,,,BACPIL,1,0,,,,128.9,1.9,5,,,,,,
D1,TR,1709,,,NOTDEN,0,1,0,0,0,,,,12,173.5,50,,,
D1,SA,1708,,,UMBCAL,0,1,,,,,,,,40.2,,,,
D1,SA,6369,50,165,BACPIL,1,0,,,,120,1.81,6,,,,,,
D2,SA,5868,,,UMBCAL,0,1,,,,,,,,33.7,,,,
D2,TR,1706,,,PSEMEN,0,0,0,0,0,,,,33.9,,,,,
D2,TR,1704,,,QUEAGRI,0,1,0,0,0,,,,,66,3,,,
D2,TR,1704.1,,,QUEAGRI,0,0,0,0,0,,,,,,,,,GONE/ NOT FOUND
D2,TS,1704.3,,,QUEAGRI,0,0,0,0,0,,,,,,,,,GONE/ NOT FOUND
D2,SA,1705,,,UMBCAL,0,1,,,,,,,,35.4,,,,
D2,SA,5869,,,UMBCAL,0,1,,,,,,,,45.1,,,,
C3,SA,1674,,,PSEMEN,0,0,,,,,,,,,,1,,NOT ON LIST/ TAG PULLED/ GONE
