Plot ID,PPW1852,,Sampler(s),"MK, MO, GH",,,,,Date ,20190726,,,,,,,,,
B3,SA,6551,340,307,BACPIL,1,0,,,,96.8,1.13,1,,,,,,NEW SA
B3,SA,6578,205,367,UMBCAL,1,0,,,,68.2,0.57,1,,,,,,NEW SA
B2,SA,6230,,,UMBCAL,1,0,,,,111.5,1.32,3,,,,,1,BD OFBSPRT
B2,SA,6579,410,490,BACPIL,1,0,,,,118,1.92,4,,,,,,NEW SA
B2,SA,6232,,,BACPIL,1,0,,,,154,1.93,1,,,,,,
B2,SA,6552,130,170,BACPIL,1,0,,,,97,0.93,0,,,,,,NEW SA
B2,SA,6580,190,310,CEACUN,1,0,,,,57.6,0.44,5,,,,,,NEW SA
C2,SA,6553,118,250,BACPIL,1,0,,,,135.1,1.78,1,,,,,,NEW SA
C2,TR,6231,,,UMBCAL,0,1,0,0,0,,,,,271,16,,,
C2,SA,6223,,,BACPIL,1,0,,,,148.5,2.17,4,,,,,,CHECK RESPROUT TYPO IN '18 DB
C2,TR,6227,,,QUEKEL,0,0,0,0,0,,,,,,,,,
C2,SA,6228,,,UMBCAL,1,0,,,,73.2,0.99,1,,,,,1,
C2,TR,6229,,,UMBCAL,0,1,0,0,0,,,,,143.1,18,,,
C2,SA,6226,,,UMBCAL,1,0,,,,147.5,1.4,0,,,,,1,
C3,SA,6220,,,UMBCAL,1,0,,,,121.7,0.76,4,,,,,1,
C3,SA,6581,396,165,BACPIL,1,0,,,,123.2,1.54,0,,,,,,NEW SA
C3,SA,6554,396,45,BACPIL,1,0,,,,62.3,0.72,1,,,,,,NEW SA
C3,SA,6582,421,235,BACPIL,1,0,,,,95,1.17,0,,,,,,NEW SA
C3,SA,6583,371,225,BACPIL,1,0,,,,106.9,0.92,0,,,,,,NEW SA
C3,SA,6100,,,UMBCAL,1,0,,,,95.7,1.22,9,,,,,,
C3,SA,6584,145,468,ARCMAN,1,0,,,,52,0.53,1,,,,,,NEW SA
C3,SA,6585,45,348,BACPIL,1,0,,,,130,1.71,2,,,,,,NEW SA
C3,SA,6099,,,UMBCAL,1,0,,,,99,1.14,3,,,,,1,
D2,SA,6225,,,UMBCAL,1,0,,,,113.9,1.26,2,,,,,,
D3,SA,6098,,,UMBCAL,1,0,,,,99.6,1.49,8,,,,,,
D2,SA,6555,261,360,BACPIL,1,0,,,,93.4,0.61,0,,,,,,NEW SA
D2,SA,6586,115,280,BACPIL,1,0,,,,55,0.65,5,,,,,,NEW SA
D2,TR,6224,,,UMBCAL,0,1,0,0,0,,,,,195.5,14,,1,
D3,SA,6556,1,340,BACPIL,1,0,,,,90.7,0.65,2,,,,,,NEW SA
D3,SA,6097,,,UMBCAL,1,0,,,,119,2.02,0,,,,,,
D3,SA,6557,100,415,BACPIL,1,0,,,,83.2,1.07,2,,,,,,NEW SA
D4,SA,6587,315,142,BACPIL,1,0,,,,105.2,0.87,5,,,,,,NEW SA
D3,SA,6558,160,415,BACPIL,1,0,,,,54.5,0.35,0,,,,,,NEW SA
D4,SA,6095,,,UMBCAL,1,0,,,,213.4,2.65,8,,,,,,
D4,SA,6559,245,170,UMBCAL,1,0,,,,66.2,0.64,2,,,,,,NEW SA
D4,SA,6588,5,270,BACPIL,1,0,,,,70.2,0.57,2,,,,,,NEW SA
D4,SA,6560,315,357,BACPIL,1,0,,,,100.4,0.72,1,,,,,,NEW SA
D4,SA,6096,,,UMBCAL,1,0,,,,126.2,1.27,3,,,,,,
D4,SA,6561,450,257,BACPIL,1,0,,,,77.4,0.63,0,,,,,,NEW SA
C4,SA,6589,475,480,BACPIL,1,0,,,,132.8,1.81,0,,,,,,NEW SA
C4,TR,6093,,,QUEGAR,0,1,0,0,0,,,,,150.1,18,,,CHANGE SP IN DB
C4,SA,6590,425,455,UMBCAL,1,0,,,,88.8,0.8,4,,,,,,NEW SA
C4,TR,6094,,,QUEKEL,0,0,0,0,0,,,,,,,,,
B4,SA,6591,480,280,BACPIL,1,0,,,,63.5,0.32,0,,,,,,NEW SA
