Plot ID,1305,,Sampler(s),"MO, JB",,,,,Date ,20190715,,,,,,,,,
D3,TR,1193,,,QUEAGR,1,0,1,1,5,,,,98.7,,,,,TOXDIV IN DBH
D3,SA,5878,,,UMBCAL,0,1,,,,,0.52,0,,23.3,,,,BD OF BSPROUT
D3,SA,1191,,,UMBCAL,0,0,,,,,,,,,,,,TAG NOT FOUND
D3,SA,6469,20,182,UMBCAL,1,0,,,,58.6,0.56,3,,,,,,
D2,SA,1186,,,QUEAGR,0,1,,,,,0.17,0,,43.2,,,,BD OF BSPROUT
D2,TR,1188,,,UMBCAL,0,1,0,0,0,,,,,98.3,1,,,
D2,SA,1189,,,UMBCAL,1,0,,,,68.6,0.6,3,,,,,,BD OF BSPROUT
D1,TR,1182,,,QUEAGR,1,0,1,1,4,,,,32.3,,,,,POWDERY MILDEW
D1,SA,1183,,,UMBCAL,0,0,,,,,,,,,,1,,
D1,SA,1184,,,UMBCAL,0,0,,,,,,,,,,1,,
D1,SA,1180,,,UMBCAL,0,1,,,,,0.48,0,,48.1,,,,BD OF BSPROUT
A2,SA,6342,350,180,SAMNIG,1,1,,,,105.4,0.75,1,,,,,,
