Plot ID,1328,,Sampler(s),"MO, GH, TT, MK",,,,,Date ,20190722,,,,,,,,,
D2,SA,4965,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
D2,SA,4967,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
D2,SA,4968,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
D2,TR,4969,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,
D2,SA,4983,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
D2,SA,5056,,,HETARB,0,0,,,,NA,NA,NA,,,,1,,
C2,SA,4898,,,UMBCAL,1,0,,,,129.7,0.82,11,,,,,,BDBSPT
C2,SA,5898,,,PSEMEN,1,0,,,,68.5,0.7,2,,,,,,
C2,SA,5900,,,PSEMEN,1,0,,,,78.5,0.63,0,,,,,,
C2,TR,4892,,,QUEAGRI,1,0,1,1,3,,,,27.6,,,,,
C2,TR,4890,,,QUEAGRI,0,1,0,0,0,,,,,NA,0,,,
C2,TR,4891,,,QUEAGRI,1,1,1,1,4,,,,14.3,51,1,,,
C2,SA,4881,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
C2,SA,4882,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
C2,SA,4883,,,PSEMEN,0,0,,,NA,NA,NA,,,,,1,,
C2,SA,4884,,,PSEMEN,0,0,,,NA,NA,NA,,,,,1,,
C2,SA,4885,,,PSEMEN,0,0,,,NA,NA,NA,,,,,1,,
C2,SA,4886,,,PSEMEN,0,0,,,NA,NA,NA,,,,,1,,
C2,SA,4887,,,PSEMEN,0,0,,,NA,NA,NA,,,,,1,,
C2,SA,4888,,,PSEMEN,0,0,,,NA,NA,NA,,,,,1,,
C2,SA,4889,,,PSEMEN,0,0,,,NA,NA,NA,,,,,1,,
C2,SA,4899,,,PSEMEN,0,0,,,NA,NA,NA,,,,,1,,
A2,TR,4644,,,QUEAGRI,1,1,1,1,5,,,,20.9,NA,0,,,
A2,TS,4644.1,,,QUEAGRI,1,0,,,,45.4,0.29,,,,,,,
B2,SA,4853,,,QUEAGRI,1,0,,,,54,0.39,0,,,,,,BDBSPRT
A2,SA,5840,,,QUEAGRI,1,0,,,,40.5,0.29,NA,,,,,,BDBDPRT
A2,SA,5839,,,QUEAGRI,1,0,,,,32.5,0.44,NA,,,,,,BDBSPRT
A2,SA,4748,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
A2,SA,4746,,,PSEMEN,0,0,,,,NA,NA,NA,,,,,,
A2,TR,4678,,,QUEAGRI,1,0,1,1,5,,,,44.3,,,,,
A2,TR,4678.1,,,QUEAGRI,1,0,1,1,5,,,,27.1,,,,,
A2,TS,4678.2,,,QUEAGRI,1,0,,,,25.4,0.28,NA,,,,,,
A2,TS,4678.3,,,QUEAGRI,1,0,,,,13.9,0.17,NA,,,,,,BDBSPRT
A2,TS,4678.4,,,QUEAGRI,1,0,,,,18.3,0.28,NA,,,,,,BDBSPRT
A2,TS,4678.5,,,QUEAGRI,0,0,,,,NA,NA,,,,,1,,
A2,SA,4747,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
A2,SA,4642,,,PSEMEN,1,0,,,,100,0.72,0,,,,,,
A2,SA,5838,,,PSEMEN,1,0,,,,75.1,0.57,1,,,,,,
A2,SA,5836,,,PSEMEN,1,0,,,,60.3,0.39,0,,,,,,
A2,SA,5837,,,PSEMEN,1,0,,,,57.2,0.46,0,,,,,,
A2,TR,4749,,,QUEAGRI,0,1,0,0,0,,,,NA,NA,0,,,
A2,SA,4640,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
A2,SA,4641,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
A2,SA,4643,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
A2,SA,4674,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
A2,SA,4676,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
A2,SA,4695,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
A2,SA,4750,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
A2,TR,4752,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,
A2,SA,4822,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
B3,SA,5050,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
B2,TS,4852,,,QUEAGRI,1,0,,,,65.5,0.46,,,,,,,BDBSPRT
B2,TR,4854,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,
B2,TR,4858,,,QUEAGRI,1,0,1,1,5,,,,19.5,,,,,
B2,TR,4857,,,QUEAGRI,1,1,1,1,5,,,,18.2,79.2,2,,,
B2,SA,4851,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
B2,SA,5848,,,PSEMEN,1,0,,,,55.8,0.56,0,,,,,,
B3,SA,4845,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
B2,SA,4855,,,FRACAL,1,0,,,,68,0.44,3,,,,,,BDBSPRT
B2,TR,4846,,,QUEAGRI,1,0,1,1,4,,,,23.4,,,,,
B2,SA,6493,40,214,PSEMEN,1,0,,,,70.3,0.46,0,,,,,,
A3,TS,4832,,,QUEAGRI,0,0,,,,NA,NA,,,,,,,
A3,SA,4759,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
A3,SA,4762,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
A3,SA,4763,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
A3,SA,4764,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
A3,TR,4765,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,
A3,SA,4834,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
A3,TR,4761,,,QUEAGRI,1,0,1,0,2,,,,17.5,,,1,,
A3,SA,4754,,,UMBCAL,1,0,,,,47.5,0.39,NA,,,,,0,"""NO SOD"" NOTED ON DATA SHEET"
A4,SA,4780,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
B4,TR,4801,,,QUEAGRI,0,0,0,0,0,,,,NA,,,,,DEAD ON GROUND
A4,TR,4802,,,QUEAGRI,1,0,1,1,4,,,,18.6,,,,,
A4,TR,4799,,,QUEAGRI,1,0,1,1,4,,,,13.7,,,,,
A4,TR,4798,,,QUEAGRI,1,0,1,1,4,,,,20,,,,,
A4,SA,4793,,,FRACAL,1,0,,,,113.2,0.55,5,,,,,,BD OF BSPRT 
A4,TR,4797,,,QUEAGRI,1,0,1,1,2,,,,6.7,,,,,
A4,TS,4797.1,,,QUEAGRI,0,0,,,,NA,NA,,,,,1,,
A4,TR,4791,,,QUEAGRI,1,0,0,1,1,,,,6.9,,,,,
A4,TR,4788,,,QUEAGRI,1,0,1,1,4,,,,21.2,,,,,
A4,TR,4789,,,QUEAGRI,1,0,1,1,5,,,,18.9,,,,,
A4,TR,4787,,,PSEMEN,1,0,0,1,2,,,,13,,,,,
A4,SA,4795,,,UMBCAL,1,0,,,,99.2,0.65,4,,,,,,BD OF BSPRT
A4,SA,4784,,,UMBCAL,1,0,,,,83.7,0.75,8,,,,,,BD OF BSPRT
A4,SA,4776,,,FRACAL,1,0,,,,98.4,0.75,9,,,,,,BD OF BSPRT
B4,TR,4811,,,QUEAGRI,1,0,1,1,3,,,,16.2,,,,,CHANGE QUAD
A4,SA,4756,,,PSEMEN,0,0,,,,NA,NA,NA,,,,,,NOT FOUND
A4,SA,4757,,,PSEMEN,0,0,,,,NA,NA,NA,,,,,,NOT FOUND
A4,SA,4758,,,PSEMEN,0,0,,,,NA,NA,NA,,,,,,NOT FOUND
A4,SA,4766,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
A4,SA,4768,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
A4,SA,4769,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
A4,SA,4770,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
A4,SA,4771,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
A4,SA,4772,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
A4,SA,4773,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
A4,SA,4774,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
A4,TR,4777,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,
A4,SA,4779,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
A4,TR,4782,,,PSEMEN,0,0,0,0,0,,NA,,NA,,,1,,
A4,SA,4783,,,ARBMEN,0,0,,,,NA,NA,NA,,,,1,,
A4,SA,4785,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
A4,SA,4786,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
A4,SA,4790,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
A4,SA,4794,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
A4,SA,4796,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
A4,SA,4800,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
A4,SA,4803,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
B4,TS,5841,,,QUEAGRI,1,0,,,,41.5,0.55,,,,,,,
B4,TR,4808,,,QUEAGRI,1,1,1,1,1,,,,9,NA,0,,,
B4,SA,4804,,,FRACAL,1,0,,,,70,0.43,0,,,,,,BD OF BSPRT
B4,TR,4807,,,QUEAGRI,1,0,1,1,5,,,,22.3,,,,,
B4,TR,4806,,,QUEAGRI,1,0,1,1,4,,,,15.1,,,,,
B4,TS,4821,,,QUEAGRI,0,0,,,,NA,,,,,,1,,
B4,TR,4831,,,ARBMEN,1,1,0,1,1,,,,2.93,89.5,4,,,
B4,TR,4831.1,,,ARBMEN,1,0,0,1,2,,,,1.79,,,,,
B4,TR,4831.2,,,ARBMEN,0,0,0,0,0,,,,NA,,,1,,
B4,TR,4830,,,QUEAGRI,1,1,1,1,1,,,,7.7,,,,,
B4,TS,4827,,,QUEAGRI,1,0,,,,40.9,0.32,,,,,,,BD OF BSPRT
B4,SA,5842,,,QUEAGRI,1,0,,,,35.2,0.36,NA,,,,,,BD OF BSPRT
B4,SA,4813,,,QUEAGRI,1,0,,,,45.6,0.41,NA,,,,,,BD OF BSPRT
B4,TR,4824,,,QUEAGRI,1,1,1,1,3,,,,18.5,NA,0,,,
B4,TR,4823,,,PSEMEN,0,0,0,0,0,,,,5.5,,,,,
B4,SA,4816,,,FRACAL,1,0,,,,66,0.43,3,,,,,,BD OF BSPRT
B3,SA,4828,482,499,FRACAL,1,0,,,,50.3,0.28,2,,,,,,BD OF BSPRT
B3,SA,4956,499,499,FRACAL,1,0,,,,67.1,0.4,2,,,,,,BD OF BSPRT
B4,SA,4805,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
B4,SA,4809,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
B4,SA,4810,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
B4,SA,4812,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
B4,SA,4814,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
B4,SA,4815,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
B4,SA,4817,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
B4,SA,4818,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
B4,SA,4819,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
B4,SA,4820,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
B4,SA,4825,,,FRACAL,0,0,,,,NA,NA,NA,,,,1,,was psemen but changing to fracal to match 2013- mkqc2022
B4,SA,4826,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
B3,TR,4838,,,QUEAGRI,1,0,0,1,5,,,,30.8,,,,,
B3,SA,5051,,,AMOCAL,1,0,,,,37.8,0.25,NA,,,,,,BD OF BSPRT- moving 37.8 to height of resprout from dbh- bc that is impossible big for amocal- mkqc2022
B3,SA,4837,,,AMOCAL,1,0,,,,71.5,0.54,1,,,,,,BD OF BSPRT
B3,SA,5843,,,AMOCAL,1,0,,,,164.9,0.94,3,,,,,,BD OF BSPRT
B3,TR,4836,,,PSEMEN,1,0,0,1,4,,,,3.73,,,,,
B3,TR,4850,,,QUEAGRI,1,1,1,1,4,,,,34,NA,0,,,
B3,SA,5847,,,PSEMEN,1,0,,,,75.8,0.52,0,,,,,,
B3,SA,4833,,,FRACAL,1,0,,,,118.9,0.7,6,,,,,,BD OF BSPRT
B3,TR,4843,,,QUEAGRI,1,0,1,1,2,,,,23.4,,,,,
B3,SA,4841,,,QUEAGRI,1,0,,,,26,0.28,NA,,,,,,BD OF BSPRT
B3,SA,5845,,,FRACAL,1,0,,,,52.5,0.38,3,,,,,,BD OF BSPRT
B3,SA,5846,,,HETARB,1,0,,,,25,0.26,NA,,,,,,BD OF BSPRT
B3,SA,4844,,,QUEAGRI,1,0,,,,67.1,0.51,0,,,,,,BD OF BSPRT
B3,SA,4840,,,AMOCAL,1,0,,,,240.1,0.9,0,,,,,,BD OF BSPRT
B3,TS,5844,,,QUEAGRI,1,0,,,,41.4,0.46,NA,,,,,,BD OF BSPRT
C3,SA,4915,,,UMBCAL,1,0,,,,74.4,0.48,1,,,,,,BD OF BSPRT
D4,TR,5032,,,PSEMEN,0,0,0,0,0,,,,NA,,,,,6 FT TAG
D4,SA,5030,,,PSEMEN,0,0,,,,,,,,,,1,,
D4,SA,5033,,,PSEMEN,0,0,,,,,,,,,,1,,
D4,SA,5034,,,PSEMEN,0,0,,,,,,,,,,1,,
D4,SA,5031,,,PSEMEN,0,0,,,,,,,,,,1,,
D4,SA,5025,,,PSEMEN,0,0,,,,,,,,,,1,,
D4,SA,5010,,,PSEMEN,0,0,,,,,,,,,,1,,
D4,SA,5035,,,PSEMEN,0,0,,,,,,,,,,1,,
D4,SA,5046,,,PSEMEN,0,0,,,,,,,,,,1,,
D4,SA,5045,,,PSEMEN,0,0,,,,,,,,,,1,,
D4,TR,5027,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,
D4,TR,5029,,,PSEMEN,0,0,0,0,0,,,,NA,,,,,6 FT TAG
D4,SA,5028,,,HOLDIS,1,0,,,,73.4,0.33,5,,,,,,CHANGE SP IN DATA BASE/ 2018 OG DEAD/ BD BSPRT
D4,SA,5011,,,PSEMEN,0,0,,,,,,,,,,1,,
D4,TR,5013,,,QUEAGRI,1,0,1,0,1,,,,11.9,,,,,
D4,TR,5043,,,ARBMEN,1,1,1,1,4,,,,5.9,161.2,6,,,
D4,TR,5043.1,,,ARBMEN,0,0,0,0,0,,,,NA,,,1,,
D4,TR,5043.2,,,ARBMEN,0,0,0,0,0,,,,NA,,,1,,
D4,TR,5043.3,,,ARBMEN,0,0,0,0,0,,,,NA,,,1,,
D4,SA,5048,,,ARBMEN,0,0,,,,,,,,,,1,,
D4,SA,5041,,,PSEMEN,0,0,,,,,,,,,,1,,
D4,SA,5052,,,PSEMEN,0,0,,,,,,,,,,1,,
D4,TR,5040,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,
D4,SA,5012,,,PSEMEN,0,0,,,,,,,,,,1,,
D4,SA,5882,,,FRACAL,1,0,,,,73.9,0.46,3,,,,,,BD OF BSPRT
D4,SA,5039,,,PSEMEN,0,0,,,,,,,,,,1,,
D4,SA,5037,,,PSEMEN,0,0,,,,,,,,,,1,,
D4,SA,5038,,,PSEMEN,0,0,,,,,,,,,,1,,
B3,SA,4835,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
B3,TR,4839,,,PSEMEN,0,0,0,0,0,,,,,,,1,,
B3,SA,4842,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
B3,SA,4847,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
B3,SA,4848,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
B3,SA,4849,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
C3,TR,4910,,,FRACAL,0,0,0,0,0,,,,NA,,,,,
C3,TR,4910.1,,,FRACAL,0,0,0,0,0,,,,NA,,,1,,
C3,TR,4910.2,,,FRACAL,0,0,0,0,0,,,,NA,,,1,,
C3,TR,4910.3,,,FRACAL,0,0,0,0,0,,,,NA,,,1,,
C3,TR,4910.4,,,FRACAL,0,0,0,0,0,,,,NA,,,1,,
C3,TR,4910.5,,,FRACAL,0,0,0,0,0,,,,NA,,,1,,
C3,TR,4910.6,,,FRACAL,0,0,0,0,0,,,,NA,,,1,,
C3,TR,4901,,,UMBCAL,0,1,0,0,0,,,,NA,132.5,4,,,
C3,SA,4894,,,UMBCAL,1,0,,,,77.5,0.41,2,,,,,,BD OF BSPRT
C3,SA,5879,,,PSEMEN,1,0,,,,80.5,0.53,1,,,,,,
C3,SA,4895,,,FRACAL,1,0,,,,59.1,0.3,1,,,,,,BD OF BSPRT
C3,SA,5880,,,FRACAL,1,0,,,,45.1,0.24,NA,NA,,,,,BD OF BSPRT
C3,SA,4916,,,FRACAL,0,0,,,,NA,,NA,NA,,,,,NOT FOUND
C3,SA,4906,,,PSEMEN,0,0,,,,NA,,NA,NA,,,,,NOT FOUND
C3,SA,4893,,,PSEMEN,0,0,,,,NA,,NA,NA,,,1,,
C3,SA,4896,,,PSEMEN,0,0,,,,NA,,NA,NA,,,1,,
C3,SA,4897,,,PSEMEN,0,0,,,,NA,,NA,NA,,,1,,
C3,SA,4900,,,PSEMEN,0,0,,,,NA,,NA,NA,,,1,,
C3,SA,4902,,,PSEMEN,0,0,,,,NA,,NA,NA,,,1,,
C3,SA,4903,,,PSEMEN,0,0,,,,NA,,NA,NA,,,1,,
C3,SA,4904,,,PSEMEN,0,0,,,,NA,,NA,NA,,,1,,
C3,SA,4905,,,PSEMEN,0,0,,,,NA,,NA,NA,,,1,,
D4,TR,5014,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,
D4,TR,5015,,,QUEAGRI,1,0,1,1,4,,,,37.4,,,,,
D4,TR,5036,,,PSEMEN,0,0,0,0,0,,,,NA,,,,,LEFT TAG
D4,SA,5047,,,PSEMEN,0,0,,,,,,,,,,1,,CHANGE TO PSEMEN IN 2018 DB- done
D4,SA,5049,,,ARBMEN,0,0,,,,,,,,,,1,,
D4,SA,5017,,,PSEMEN,0,0,,,,,,,,,,,,NOT FOUND (changed from dup 5018 - other one says tag pulled- and there was no 5017 so I did it mkqc2022)
D4,SA,5026,,,PSEMEN,0,0,,,,,,,,,,,,NOT FOUND
D4,SA,5044,,,PSEMEN,0,0,,,,,,,,,,,,NOT FOUND
D3,SA,5798,,,UMBCAL,1,0,,,,32,0.4,0,,,,,,BD OF BSPRT
D3,TR,5023,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,
D3,TR,4998,,,QUEAGRI,0,1,0,0,0,,,,7.4,NA,0,,,
D3,TR,4999,,,QUEAGRI,1,1,1,1,2,,,,16.5,NA,0,,,
D3,TR,4997,,,QUEAGRI,0,1,0,0,0,,,,8.5,NA,0,,,
D3,TR,4996,,,QUEAGRI,1,0,1,1,3,,,,17.1,,,,,
D4,SA,5018,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
D3,SA,4993,,,FRACAL,1,0,,,,40,0.27,NA,,,,,,BD OF BSPRT
D3,SA,4992,,,FRACAL,1,0,,,,132.3,0.66,6,,,,,,BD OF BSPRT
D3,SA,5800,,,UMBCAL,1,0,,,,62.9,0.39,2,,,,,,BD OF BSPRT
D3,SA,4856,,,PSEMEN,1,0,,,,115,1.08,0,,,,,,
D3,SA,4987,,,FRACAL,1,0,,,,71.5,0.53,4,,,,,,BD OF BSPRT
D3,SA,4909,,,QUEAGRI,0,0,,,,NA,NA,NA,,,,,,
D3,TR,5009,,,UMBCAL,0,1,0,0,0,,,,NA,97.4,6,,,
D3,TR,5009.1,,,UMBCAL,0,0,0,0,0,,,,NA,,,,,
D3,TR,5009.2,,,UMBCAL,0,1,0,0,0,,,,NA,165.2,10,,,
D3,TR,5009.3,,,UMBCAL,0,1,0,0,0,,,,NA,120.4,10,,,
D3,TS,5009.4,,,UMBCAL,0,0,0,0,0,NA,NA,,,,,1,,
D3,SA,5055,,,FRACAL,1,0,,,,50.6,0.34,0,,,,,,BD OF BSPRT
D3,SA,5799,,,FRACAL,1,0,,,,86.2,0.75,3,,,,,,
C3,SA,4907,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
C3,SA,4908,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
C4,SA,4951,,,FRACAL,1,0,,,,40.8,0.33,NA,,,,,,BD OF BSPRT
C4,SA,4953,,,FRACAL,1,0,,,,63.3,0.45,10,,,,,,BD OF BSPRT
C4,SA,5881,,,UMBCAL,1,0,,,,38.4,0.34,NA,,,,,,BD OF BSPRT
C4,TS,4954,,,QUEAGRI,0,1,,,,22,0.14,,,,,,,BD OF BSPRT ( was dead in 2018- new resprout- mkqc2023
C4,TR,4947,,,QUEAGRI,1,1,1,1,5,,,,33.7,NA,0,,,was typo 4974- mkqc2022
C4,TR,4955,,,FRACAL,0,1,0,0,0,,,,NA,104.6,12,,,
