Plot ID,PPW1854,,Sampler(s),"MO, GH, MK",,,,,Date ,20190726,,,,,,,,,
A2,TR,6080.1,,,QUEAGRI,0,1,0,0,0,,,,NA,153.1,17,,,
A2,TR,6080.2,,,QUEAGRI,0,1,0,0,0,,,,NA,99,7,,,
A2,TR,6081,,,QUEAGRI,0,1,0,0,0,,8.2,,NA,100.2,13,,,BD OF TR= 8.2/ SNAG 
A2,TR,6082,,,QUEAGRI,0,1,0,0,0,,,,NA,180.4,22,,,
A2,TR,6083,,,UMBCAL,0,1,0,0,0,,,,NA,339.3,55,,,
B2,SA,6517,499,1,ARCMAN,1,0,,,,1.13,72.4,3,,,,,,NEW SA
B2,TR,6049,,,QUEAGRI,0,1,0,0,0,,,,NA,168.2,19,,,
B1,TR,6038,,,NOTDEN,0,1,0,0,0,,3.63,,NA,189.8,8,,,BD OF TREE= 3.63/ SNAG
B1,TR,6037,,,QUEAGRI,0,1,0,0,0,,,,NA,138,9,,,
B1,TR,6040,,,UMBCAL,0,1,0,0,0,,,,NA,369.4,8,,,
B1,TR,4040.1,,,UMBCAL,0,1,0,0,0,,,,NA,394.5,11,,,
B1,TR,6040.2,,,UMBCAL,0,1,0,0,0,,,,NA,365,3,,,
C2,SA,6048,,,BACPIL,1,0,,,,193.2,2,4,,,,,,
C2,TR,6047,,,UMBCAL,0,1,0,0,0,,,,NA,240.5,16,,,
B1,SA,6039,,,BACPIL,1,0,,,,118,2.39,2,,,,,,
C2,TR,6046,,,NOTDEN,0,1,0,0,0,,,,NA,185.3,11,,,
D2,TR,6045,,,NOTDEN,0,1,0,0,0,,,,NA,258.1,18,,,
D2,TR,6044,,,NOTDEN,0,1,0,0,0,,3.65,,NA,178,21,,,
C1,SA,6518,270,1,ARCMAN,1,0,,,,62.5,0.81,2,,,,,,NEW SA
D1,TR,6043,,,UMBCAL,0,1,0,0,0,,8.47,,NA,282.5,15,,,
D1,SA,6531,75,1,NOTDEN,1,0,,,,132.2,1.27,4,,,,,,BD OF OG= 1.99
D1,TR,6042,,,UMBCAL,0,1,0,0,0,,,,NA,357.6,14,,,
D1,TR,6041,,,QUEAGRI,0,1,0,0,0,,,,NA,117.1,14,,,
A1,TR,6034,,,ARBMEN,0,1,0,0,0,,,,NA,175.8,5,,,
A1,TR,6034.1,,,ARBMEN,0,1,0,0,0,,,,NA,218.4,8,,,
A1,TR,6035,,,NOTDEN,0,1,0,0,0,,,,NA,258,31,,,
A1,SA,6036,,,BACPIL,1,0,,,,81.5,0.92,2,,,,,,
