Plot ID,PPW1853,,Sampler(s),"MK, GO, GH, TT, MO",,,,,Date ,20910731/ 20190801/ 20190802,,,,,,,,,
B3,SA,6656,375,25,CEACUN,1,0,,,,54,0.32,9,,,,,,
B3,SA,6668,395,115,CEACUN,1,0,,,,55.7,0.38,2,,,,,,
B3,SA,6669,350,55,CEACUN,1,0,,,,62.3,0.42,3,,,,,,
B3,SA,6657,350,90,CEACUN,1,0,,,,55.8,0.28,3,,,,,,chnaged from 5657 mkqc2022
B2,SA,6658,150,250,BACPIL,1,0,,,,127,1.59,4,,,,,,BD OF BSPRT/ UPDATE X 
B1,SA,6253,499,280,AMOCAL,1,0,,,,119.6,0.68,3,,,,,,BD OF BSPRT/ XY UPDATED
B1,SA,6252,499,160,CORCOR,1,0,,,,142.1,1.04,8,,,,,,
B2,SA,6659,220,240,CEACUN,1,0,,,,64,0.48,4,,,,,,
B2,SA,6660,305,250,BACPIL,1,0,,,,104.4,0.99,0,,,,,,
B2,SA,6661,230,240,CEACUN,1,0,,,,55.5,0.47,7,,,,,,
B2,SA,6662,230,265,CEACUN,1,0,,,,75.1,0.57,6,,,,,,
B2,SA,6663,190,250,CEACUN,1,0,,,,60.5,0.46,8,,,,,,
B2,SA,6664,230,165,CEACUN,1,0,,,,52.5,0.4,11,,,,,,
B2,SA,6665,165,95,CEACUN,1,0,,,,70.6,0.69,3,,,,,,
B2,SA,6670,365,210,BACPIL,1,0,,,,95,0.68,0,,,,,,
B2,SA,6671,290,170,CEATHY,1,0,,,,51.8,0.3,0,,,,,,
B2,SA,6666,220,220,CEACUN,1,0,,,,52.7,0.32,0,,,,,,
B2,SA,6672,95,100,CEACUN,1,0,,,,78.5,0.69,7,,,,,,
B2,SA,6673,215,26,CEACUN,1,0,,,,54.4,0.27,1,,,,,,
B2,SA,6701,300,270,CEACUN,1,0,,,,61.5,0.36,2,,,,,,
B2,SA,6747,365,330,CEACUN,1,0,,,,64.7,0.31,3,,,,,,
B2,SA,6702,210,340,CEACUN,1,0,,,,50,0.34,3,,,,,,
B2,SA,6703,185,350,CEACUN,1,0,,,,56,0.27,6,,,,,,
B2,SA,6748,499,100,CEACUN,1,0,,,,60.1,0.29,2,,,,,,
B2,SA,6704,160,340,CEACUN,1,0,,,,55.5,0.28,6,,,,,,
B2,SA,6749,380,340,CEACUN,1,0,,,,65.3,0.3,1,,,,,,
B2,SA,6750,410,350,CEACUN,1,0,,,,51.6,0.26,3,,,,,,
B2,SA,6705,250,400,CEACUN,1,0,,,,50.1,0.4,6,,,,,,
B2,SA,6751,380,370,CEACUN,1,0,,,,55,0.23,4,,,,,,
B2,SA,6752,370,400,CEACUN,1,0,,,,58.1,0.31,3,,,,,,
B2,SA,6706,170,480,CEACUN,1,0,,,,55.5,0.31,5,,,,,,
B2,SA,6753,365,410,CEACUN,1,0,,,,61.4,0.28,6,,,,,,
B2,SA,6754,499,430,CEACUN,1,0,,,,62,0.39,8,,,,,,
B2,SA,6707,320,400,CEACUN,1,0,,,,50.5,0.27,0,,,,,,
B2,SA,6708,340,350,CEACUN,1,0,,,,60.2,0.27,7,,,,,,
B2,SA,6755,220,499,CEACUN,1,0,,,,68.2,0.42,2,,,,,,
B1,SA,6709,270,150,CEACUN,1,0,,,,51,0.32,0,,,,,,
B2,SA,6756,145,25,CEACUN,1,0,,,,61.1,0.34,0,,,,,,
B1,SA,6710,270,220,CEACUN,1,0,,,,62,0.41,5,,,,,,
B1,SA,6757,430,280,CEACUN,1,0,,,,60.6,0.5,2,,,,,,
B1,SA,6711,310,390,CEACUN,1,0,,,,57.2,0.5,2,,,,,,
B1,SA,6758,450,200,CEACUN,1,0,,,,62.5,0.26,2,,,,,,
B1,SA,6759,380,160,CEACUN,1,0,,,,59.7,0.48,4,,,,,,
B1,SA,6712,330,420,CEACUN,1,0,,,,58.1,0.38,5,,,,,,
B1,SA,6760,270,470,CEACUN,1,0,,,,56,0.53,1,,,,,,
B1,SA,6713,190,170,CEACUN,1,0,,,,52.8,0.37,7,,,,,,
C1,TR,6257,185,60,UMBCAL,0,1,0,0,0,,,,NA,373.5,9,,1,
C1,TR,6257.1,,,UMBCAL,0,1,0,0,0,,,,NA,377.5,5,,1,
C1,TR,6257.2,,,UMBCAL,0,1,0,0,0,,,,NA,117,5,,1,
C1,TR,6257.3,,,UMBCAL,0,1,0,0,0,,,,NA,143.5,3,,1,
C1,TR,6257.4,,,UMBCAL,0,1,0,0,0,,,,NA,261.5,4,,1,
C1,TR,6257.5,,,UMBCAL,0,1,0,0,0,,,,NA,245.6,4,,1,
C1,TR,6257.6,,,UMBCAL,0,1,0,0,0,,,,NA,343.2,8,,1,
C1,TR,6258,400,380,UMBCAL,0,1,0,0,0,,,,NA,286,34,,1,
C1,SA,6761,240,380,CEACUN,1,0,,,,60,0.35,11,,,,,,
C1,SA,6762,280,310,CEATHY,1,0,,,,73.2,0.37,1,,,,,,
C1,SA,6259,90,1,CEATHY,1,0,,,,151.4,0.65,5,,,,,,
C1,SA,6763,70,200,CEATHY,1,0,,,,129.6,0.82,9,,,,,,
C1,SA,6714,460,280,CEACUN,1,0,,,,61.6,0.36,2,,,,,,
C1,SA,6764,70,110,CEACUN,1,0,,,,51.5,0.25,2,,,,,,
C2,TR,6260,,,QUEAGRI,1,0,1,0,3,,,,39.7,,,,,
C2,TR,6261,,,UMBCAL,0,1,0,0,0,,,,NA,362,22,,,
C2,TR,6261.1,,,UMBCAL,0,0,0,0,0,,,,NA,,,,,
C2,TR,6261.2,,,UMBCAL,0,1,0,0,0,,,,NA,365.5,30,,,
C2,SA,6715,290,330,CEACUN,1,0,,,,65.9,0.45,7,,,,,,
C2,SA,6716,290,325,CEACUN,1,0,,,,57,0.36,8,,,,,,
C2,SA,6765,50,180,CEACUN,1,0,,,,60.4,0.29,2,,,,,,
C2,SA,6766,25,180,CEACUN,1,0,,,,55.7,0.35,1,,,,,,
C2,SA,6717,120,400,CEACUN,1,0,,,,55.4,0.39,4,,,,,,
C2,SA,6718,160,405,CEACUN,1,0,,,,66.5,0.43,7,,,,,,
C2,SA,6767,110,180,CEACUN,1,0,,,,69.6,0.36,3,,,,,,
C2,SA,6768,110,190,CEACUN,1,0,,,,52,0.22,2,,,,,,
C2,SA,6719,90,150,CEACUN,1,0,,,,50.2,0.29,3,,,,,,
C2,SA,6769,105,220,CEACUN,1,0,,,,101.7,0.72,3,,,,,,
C2,SA,6720,90,95,CEACUN,1,0,,,,56.5,0.3,9,,,,,,
C2,SA,6770,125,250,CEACUN,1,0,,,,71.1,0.27,6,,,,,,
C2,SA,6721,120,499,CEACUN,1,0,,,,52.5,0.37,1,,,,,,
C2,SA,6722,75,430,CEACUN,1,0,,,,55.6,0.33,10,,,,,,
C2,SA,6771,90,270,CEACUN,1,0,,,,68.2,0.31,13,,,,,,
C2,SA,6772,90,290,CEACUN,1,0,,,,88.2,0.32,4,,,,,,
C2,SA,6724,25,430,CEACUN,1,0,,,,54.3,0.37,8,,,,,,
C2,SA,6775,140,290,BACPIL,1,0,,,,76.5,0.73,5,,,,,,
C2,SA,6773,185,220,CEACUN,1,0,,,,55.9,0.29,1,,,,,,
C2,SA,6774,240,230,CEACUN,1,0,,,,50.5,0.29,4,,,,,,
C2,SA,6725,230,260,CEACUN,1,0,,,,51.5,0.49,7,,,,,,
C2,SA,6726,270,260,CEACUN,1,0,,,,52,0.77,3,,,,,,
C3,TR,6263,,,QUEKEL,0,1,0,0,0,,,,NA,323.6,43,,,
C3,TR,6776,,,QUEAGRI,0,1,0,0,0,,,,8.2,NA,NA,,,USED TO BE 6263.1 IN '18 DB
C2,SA,6727,290,280,CEACUN,1,0,,,,56,0.79,3,,,,,,
C2,SA,6728,240,105,CEACUN,1,0,,,,63,0.69,0,,,,,,
C3,TR,6262,,,UMBCAL,0,1,0,0,0,,,,NA,174.7,6,,,
C3,SA,6729,250,335,CEACUN,1,0,,,,51.7,0.24,0,,,,,,
C3,SA,6777,1,145,CEACUN,1,0,,,,70.8,0.3,2,,,,,,
C3,SA,6730,240,390,CEACUN,1,0,,,,50.2,0.3,2,,,,,,
C4,TR,6264,,,QUEAGRI,1,1,1,0,1,,,,20.5,84.5,11,,,BASAL HEAVILY BROWSED
C4,SA,6731,347,288,BACPIL,1,0,,,,50,0.55,0,,,,,,
C4,TR,6265,,,QUEAGRI,0,1,0,0,0,,,,,113.5,13,,,BASAL HEAVILY BROWSED
C4,TR,6266,,,QUEAGRI,1,1,1,0,1,,,,,102.2,27,,,BASAL & BRANCHING HEAVILY BROWSED
C4,SA,6268,,,UMBCAL,1,0,,,,65,0.72,1,,,,,,
C4,SA,6732,303,498,CEACUN,1,0,,,,71.2,0.46,7,,,,,,
C4,TR,6267,,,QUEAGRI,0,1,0,0,0,,,,NA,62.1,2,,,
D4,TR,6251,,,QUEAGRI,1,1,1,0,1,,,,25.8,133.5,5,,,
D4,SA,6733,200,390,CEACUN,1,0,,,,63,0.29,0,,,,,,
D4,SA,6734,200,480,CEACUN,1,0,,,,69.8,0.29,2,,,,,,
D4,SA,6778,240,245,CEACUN,1,0,,,,56.8,0.54,7,,,,,,
D4,TR,6250,,,UMBCAL,0,1,0,0,0,,,,NA,208,10,,,
D4,TR,6250.1,,,UMBCAL,0,1,0,0,0,,,,NA,170.8,10,,,
D4,SA,6779,378,390,CEACUN,1,0,,,,52.6,0.21,0,,,,,,
D4,SA,6780,225,290,CEACUN,1,0,,,,54.9,0.31,11,,,,,,
D4,SA,6735,290,390,CEACUN,1,0,,,,51.2,0.43,1,,,,,,
D4,SA,6736,290,499,CEACUN,1,0,,,,59,0.33,1,,,,,,
D4,SA,6723,105,150,CEACUN,1,0,,,,70.1,0.3,7,,,,,,
D4,SA,6249,,,UMBCAL,1,0,,,,82.5,0.63,2,,,,,,
D4,SA,6737,495,498,CEACUN,1,0,,,,80.6,0.39,3,,,,,,
D4,SA,6781,40,57,BACPIL,1,0,,,,92.4,0.84,2,,,,,,
D4,SA,6738,285,280,CEACUN,1,0,,,,54.2,0.49,0,,,,,,
D4,SA,6739,40,250,BACPIL,1,0,,,,78.2,0.54,5,,,,,,
D4,SA,6740,170,155,CEACUN,1,0,,,,52.5,0.32,3,,,,,,
D4,SA,6741,285,280,CEACUN,1,0,,,,57,0.33,3,,,,,,
D4,SA,6742,285,245,CEACUN,1,0,,,,51,0.24,2,,,,,,
D4,SA,6743,425,75,CEACUN,1,0,,,,68,0.34,2,,,,,,
D4,SA,6744,475,30,CEACUN,1,0,,,,53.2,0.34,3,,,,,,
D4,SA,6745,165,70,CEACUN,1,0,,,,58.7,0.24,6,,,,,,
D4,SA,6746,205,90,CEACUN,1,0,,,,57.8,0.38,3,,,,,,was typo 6786- mkqc 2022
D4,SA,6782,1,127,CEACUN,1,0,,,,54.5,0.37,2,,,,,,
D4,SA,6783,110,380,BACPIL,1,0,,,,50.2,0.61,4,,,,,,
D4,SA,6784,150,460,CEACUN,1,0,,,,59,0.26,1,,,,,,
D4,SA,6785,130,490,CEACUN,1,0,,,,52.6,0.25,4,,,,,,
D3,TR,6248,,,UMBCAL,0,1,0,0,0,,,,NA,401.5,38,,1,
D3,TR,6248.1,,,UMBCAL,0,0,0,0,0,,,,NA,,,,1,
D3,TR,6248.2,,,UMBCAL,0,0,0,0,0,,,,NA,,,,1,
D3,TR,6248.3,,,UMBCAL,0,1,0,0,0,,,,NA,339.8,34,,1,
D3,SA,6786,470,440,CEATHY,1,0,,,,78.2,0.31,3,,,,,,
D3,SA,6787,310,245,CEATHY,1,0,,,,66,0.3,4,,,,,,INSIDE 6248 RESPROUT
D3,SA,6788,420,430,CEATHY,1,0,,,,61,0.27,5,,,,,,
D3,SA,6789,395,455,CEATHY,1,0,,,,54,0.18,0,,,,,,
D3,TR,6246,,,UMBCAL,0,1,0,0,0,,,,NA,280.5,18,,1,
D3,SA,6790,380,200,CEATHY,1,0,,,,83.5,0.47,0,,,,,,
D3,TR,6247,,,UMBCAL,0,1,0,0,0,,,,NA,321.5,22,,1,
D3,TR,6247.1,,,UMBCAL,0,1,0,0,0,,,,NA,314.3,30,,,SWITCH POINTS
D3,TR,6247.2,,,UMBCAL,0,0,0,0,0,,,,NA,,,,,IN '18 DB
D3,SA,6791,410,205,CEATHY,1,0,,,,58.6,0.32,0,,,,,,
D3,SA,6792,420,205,CEACUN,1,0,,,,80.8,0.44,0,,,,,,
D3,SA,6793,430,205,CEACUN,1,0,,,,87,0.37,5,,,,,,
D3,SA,6794,435,185,CEACUN,1,0,,,,55.6,0.25,3,,,,,,
D3,SA,6795,435,150,CEACUN,1,0,,,,61,0.47,4,,,,,,
D3,SA,6796,445,185,CEACUN,1,0,,,,70.5,0.36,6,,,,,,
D3,SA,6797,470,140,CEACUN,1,0,,,,66.8,0.44,4,,,,,,
D3,SA,6798,470,165,CEACUN,1,0,,,,72,0.56,6,,,,,,
D3,SA,6799,465,165,CEACUN,1,0,,,,52,0.43,7,,,,,,
D3,SA,6800,470,215,CEATHY,1,0,,,,118,0.44,2,,,,,,
D3,SA,6801,415,125,CEACUN,1,0,,,,70.5,0.43,2,,,,,,
D3,SA,6803,490,1,CEACUN,1,0,,,,52.5,0.4,3,,,,,,
D3,SA,6802,415,110,CEACUN,1,0,,,,54.8,0.3,6,,,,,,
D2,TR,6244,,,QUEAGRI,1,0,1,0,2,,,,42.6,,,,,
D2,TR,6244.1,,,QUEAGRI,0,0,0,0,0,,,,19.9,,,,,WASN'T TAGGED/ ADD TO '18
D2,SA,6804,420,310,CEACUN,1,0,,,,60.5,0.48,3,,,,,,
D2,SA,6245,450,340,CEACUN,1,0,,,,78.8,0.73,7,,,,,,UPDATED XY
D2,SA,6805,499,395,CEACUN,1,0,,,,68.6,0.47,5,,,,,,
D2,SA,6806,465,380,CEACUN,1,0,,,,62.9,0.56,2,,,,,,
D2,SA,6807,450,290,CEACUN,1,0,,,,56.4,0.28,5,,,,,,
D2,SA,6808,420,230,CEACUN,1,0,,,,60,0.3,1,,,,,,
D2,SA,6809,425,250,CEACUN,1,0,,,,60.5,0.29,1,,,,,,
D2,SA,6810,445,200,CEACUN,1,0,,,,70.4,0.4,0,,,,,,
D2,SA,6811,405,230,CEACUN,1,0,,,,74.1,0.32,4,,,,,,
D2,SA,6812,375,25,ARCMAN,1,0,,,,50.6,0.3,4,,,,,,
D1,SA,6813,300,370,BACPIL,1,0,,,,70.1,0.95,0,,,,,,
D1,SA,6814,340,285,CEACUN,1,0,,,,68.2,0.36,6,,,,,,
D1,SA,6815,430,35,CEACUN,1,0,,,,71.5,0.48,3,,,,,,
D1,SA,6816,420,80,CEACUN,1,0,,,,52,0.6,3,,,,,,
D1,SA,6818,400,75,CEACUN,1,0,,,,63,0.53,8,,,,,,
D1,SA,6817,425,75,CEACUN,1,0,,,,50.3,0.31,2,,,,,,
D1,SA,6819,435,100,CEACUN,1,0,,,,53.1,0.37,6,,,,,,
D1,SA,6820,320,105,CEACUN,1,0,,,,63,0.64,4,,,,,,
D1,SA,6821,260,180,CEACUN,1,0,,,,57.5,0.45,5,,,,,,
D1,SA,6822,260,210,CEACUN,1,0,,,,51.2,0.21,5,,,,,,
D2,SA,6823,290,450,CEACUN,1,0,,,,55.2,0.49,3,,,,,,
D1,SA,6824,50,250,CEACUN,1,0,,,,57.7,0.36,5,,,,,,
D1,SA,6825,90,190,CEACUN,1,0,,,,70,0.37,3,,,,,,
D1,SA,6826,100,120,CEACUN,1,0,,,,51.4,0.28,0,,,,,,
D1,SA,6827,20,175,CEACUN,1,0,,,,52.3,0.3,5,,,,,,
D1,SA,6828,180,440,CEACUN,1,0,,,,56.1,0.21,4,,,,,,
D2,SA,6829,110,480,CEACUN,1,0,,,,60.1,0.43,4,,,,,,
D1,SA,6830,460,140,CEACUN,1,0,,,,59.8,0.31,10,,,,,,
D1,SA,6831,400,180,CEACUN,1,0,,,,81.7,0.36,8,,,,,,
D1,SA,6832,410,285,CEACUN,1,0,,,,52.8,0.29,0,,,,,,
