Plot ID,PPW1350,,,,Sampler(s),"MK, MO, CVH/ MO, MK, CVH, GH",,,,,Date ,20190809/ 20190812,,,,,,,
D4,TR,4299,,,HETARB,0,1,0,0,0,,,,NA,118.5,8,,,
D4,TR,4299.1,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
D4,TR,4299.2,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
D4,TR,4299.3,,,HETARB,0,1,0,0,0,,,,NA,203,48,,,
D4,TR,4299.4,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
D4,TR,4299.5,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
D4,TS,4299.6,,,HETARB,0,1,,,,NA,NA,NA,,136.8,5,,,
D4,SA,4285,,,AMOCAL,1,0,,,,159.1,0.7,13,,,,,,BD OF BSPRT
D3,TR,4298,,,QUEGAR,1,1,1,1,3,,,,18.2,74.5,6,,,
D3,SA,4286,,,AMOCAL,1,0,,,,144.5,0.58,21,,,,,,BD OF BSPRT
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
D3,SA,4295,,,AMOCAL,1,0,,,,143.2,0.74,4,,,,,,BD OF BSPRT
D3,SA,6050,,,AMOCAL,1,0,,,,97.3,0.49,3,,,,,,
D3,SA,4294,,,AMOCAL,1,0,,,,129.4,0.59,5,,,,,,BD OF BSPRT
D3,SA,6051,,,AMOCAL,1,0,,,,116.8,0.63,2,,,,,,BD OF BSPRT
D3,SA,6053,,,AMOCAL,1,0,,,,172,0.96,12,,,,,,BD OF BSPRT
D3,SA,6052,,,AMOCAL,1,0,,,,114.9,0.56,11,,,,,,BD OF BSPRT
D3,SA,6909,65,279,AMOCAL,1,0,,,,62.3,0.39,12,,,,,,NEW SA
D3,SA,6910,145,260,AMOCAL,1,0,,,,66.3,0.35,13,,,,,,NEW SA
D3,SA,6911,25,239,AMOCAL,1,0,,,,50.2,0.44,6,,,,,,NEW SA
D3,SA,6054,,,AMOCAL,1,0,,,,127.1,0.67,9,,,,,,BD OF BSPRT
D3,SA,4312,,,AMOCAL,1,0,,,,173,0.89,31,,,,,,BD OF BSPRT
D3,SA,4280,,,AMOCAL,1,0,,,,116.9,0.6,13,,,,,,BD OF BSPRT
D3,TR,4301,,,HETARB,0,1,0,0,0,,,,,107.2,9,,,
D3,TS,4301.1,,,HETARB,0,0,,,,,,,,,,,,NOT FOUND
D3,SA,4303,,,AMOCAL,1,0,,,,225.4,0.98,15,,,,,,BD OF BSPRT
D3,SA,4302,,,AMOCAL,1,0,,,,146.3,0.6,6,,,,,,BD OF BSPRT
D3,SA,4305,,,AMOCAL,1,0,,,,160.4,0.75,5,,,,,,BD OF BSPRT
D3,TR,4304,,,PSEMEN,1,0,0,1,3,,,,42.3,,,,,
D3,SA,4311,,,AMOCAL,1,0,,,,118,0.58,15,,,,,,BD OF BSPRT
D3,TR,4307,,,UMBCAL,0,1,0,0,0,,,,,131.5,8,,,
D3,SA,6056,,,AMOCAL,1,0,,,,163.2,0.73,13,,,,,,BD OF BSPRT
D3,SA,6055,,,AMOCAL,1,0,,,,168.8,0.75,23,,,,,,BD OF BSPRT
D3,SA,6912,240,95,AMOCAL,1,0,,,,68.6,0.41,6,,,,,,NEW SA
D3,SA,4306,,,AMOCAL,1,0,,,,161.4,0.99,8,,,,,,BD OF BSPRT
D3,SA,4279,,,AMOCAL,1,0,,,,111.8,0.98,12,,,,,,BD OF BSPRT
D3,SA,4309,,,AMOCAL,1,0,,,,167.3,0.59,8,,,,,,BD OF BSPRT
D3,SA,6057,,,AMOCAL,1,0,,,,120.8,0.65,16,,,,,,BD OF BSPRT
D3,SA,4313,,,AMOCAL,1,0,,,,138.2,0.76,10,,,,,,BD OF BSPRT
D3,SA,4284,,,UMBCAL,0,0,,,,,,,,,,1,,
D3,SA,4293,,,UMBCAL,0,0,,,,,,,,,,1,,
D2,TR,4314,,,PSEMEN,0,0,0,0,0,,,,NA,,,,,was dup typo 4313- mkqc2022
D2,SA,6913,153,480,AMOCAL,1,0,,,,56.3,0.3,13,,,,,,
D2,SA,4316,,,AMOCAL,1,0,,,,145.8,0.8,8,,,,,,BD OF BSPRT
D2,TR,4315,,,HETARB,0,1,0,0,0,,,,NA,76,5,,,
D2,TS,4315.1,,,HETARB,0,1,,,,NA,NA,,,123.6,4,,,
D2,TR,4318,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,
D2,SA,6058,,,AMOCAL,1,0,,,,79,0.43,9,,,,,,BD OF BSPRT
D2,SA,6914,159,211,AMOCAL,1,0,,,,74.1,0.44,3,,,,,,
D2,SA,4329,,,AMOCAL,1,0,,,,106.9,0.7,16,,,,,,BD OF BSPRT
D2,TR,4333,,,HETARB,0,1,0,0,0,,,,NA,120.5,24,,,
D2,TR,4333.1,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
D2,TS,4333.2,,,HETARB,0,0,,,,NA,NA,,,,,1,,
D2,TR,4333.3,,,HETARB,0,1,0,0,0,,,,NA,148.6,17,,,
D2,TR,4333.4,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
D2,TR,4333.5,,,HETARB,0,1,0,0,0,,,,NA,148.4,17,,,
D2,SA,6915,148,53,AMOCAL,1,0,,,,115.9,0.62,7,,,,,,was typo 6195- mkqc2022
D2,SA,4332,,,AMOCAL,1,0,,,,100.4,0.5,5,,,,,,BD OF BSPRT
D2,TR,4326,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,
D1,TR,4325,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,
D2,TR,4321,,,UMBCAL,0,1,0,0,0,,,,NA,93.6,5,,,
D2,TR,4328,,,UMBCAL,0,1,0,0,0,,,,NA,152.4,4,,,
D2,SA,4324,,,FRACAL,1,0,,,,60.7,0.41,2,,,,,,BD OF BSPRT
D2,SA,4319,,,AMOCAL,1,0,,,,147.2,0.66,14,,,,,,BD OF BSPRT
D2,SA,4327,,,AMOCAL,1,0,,,,176.6,0.89,26,,,,,,BD OF BSPRT
D2,SA,6916,299,161,AMOCAL,1,0,,,,87.6,0.42,2,,,,,,
D1,SA,4263,,,AMOCAL,1,0,,,,155.6,0.88,12,,,,,,BD OF BSPRT/ SP FRACAL IN '18 DB
D1,TR,4337,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,
D1,TR,4338,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,
D1,TR,4336,,,HETARB,0,1,0,0,0,,,,NA,149.9,8,,,
D1,TR,4336.1,,,HETARB,0,1,0,0,0,,,,NA,185,15,,,
D1,TR,4336.2,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
D1,TS,4336.3,,,HETARB,0,0,,,,NA,NA,,,,,1,,
D1,TR,4340,,,HETARB,0,1,0,0,0,,,,NA,184.1,16,,,
D1,TR,4340.1,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
D1,TR,4340.2,,,HETARB,0,1,0,0,0,,,,NA,191.5,16,,,
D1,TR,4340.3,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
D1,TR,4340.4,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
D1,TR,4340.5,,,HETARB,0,1,0,0,0,,,,NA,197.6,6,,,
D1,TR,4340.6,,,HETARB,0,1,0,0,0,,,,NA,112.7,7,,,
D1,TR,4340.7,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
D1,TR,4340.8,,,HETARB,0,1,0,0,0,,,,NA,136.2,12,,,
D1,TS,4340.9,,,HETARB,0,0,,,,NA,NA,,,,,1,,
D1,TR,4343,,,QUEAGRI,1,0,1,1,3,,,,19.8,,,,,
D1,TR,4344,,,HETARB,0,0,0,0,0,,,,,,,,,DEAD/ GONE/TAG IN GROUND
D1,TR,4344.1,,,HETARB,0,1,0,0,0,,,,,73.4,8,,,
D1,TR,4344.2,,,HETARB,0,1,0,0,0,,,,,87.5,3,,,
D1,,4335,,,PSEMEN,0,0,,,,NA,NA,,,,,1,,
D1,SA,6059,,,AMOCAL,1,0,,,,151.5,0.67,3,,,,,,changed from typo 6095- mkqc2022
C3,TR,4271,,,PSEMEN,1,0,0,1,4,,,,32.9,,,,,
C3,TR,4272,,,PSEMEN,1,0,0,1,4,,,,50.3,,,,,
C3,SA,4097,,,HETARB,1,0,,,,69.4,0.68,9,,,,,,BD OF BSPRT
C3,SA,4283,,,UMBCAL,0,0,,,,,,,,,,1,,
C3,SA,4282,,,HETARB,0,0,,,,,,,,,,1,,
C3,SA,4275,,,AMOCAL,1,0,,,,125.8,0.62,21,,,,,,BD OF BSPRT
C3,TR,4098,,,HETARB,0,1,0,0,0,,,,NA,118.3,10,,,
C3,TR,4098.1,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
C3,TR,4098.3,,,HETARB,0,1,0,0,0,,,,NA,125.3,7,,,
C3,SA,4276,,,AMOCAL,1,0,,,,156.4,0.73,15,,,,,,BD OF BSPRT
C3,SA,4281,,,AMOCAL,1,0,,,,73.4,0.49,9,,,,,,BD OF BSPRT
C3,SA,6917,272,23,AMOCAL,1,0,,,,76,0.4,5,,,,,,
C3,SA,6032,,,AMOCAL,1,0,,,,88.6,0.62,6,,,,,,
C3,SA,4278,,,AMOCAL,0,0,,,,,,,,,,,,TAG NOT FOUND
C3,SA,6924,500,86,AMOCAL,1,0,,,,137.2,0.68,11,,,,,,
C3,SA,4273,,,UMBCAL,0,0,,,,,,,,,,,,GONE/ TAG NOT FOUND
A2,TR,4177,,,PSEMEN,1,0,0,1,4,,,,45.2,,,,,changed from 1477 mkqc2022
A2,TR,4170,,,PSEMEN,1,0,0,1,4,,,,45.2,,,,,NOT A TYPO- SAME AS 1477
A2,TR,4166,,,PSEMEN,1,0,0,1,4,,,,31.8,,,,,
A2,SA,4188,,,UMBCAL,1,0,,,,66.5,0.68,3,,,,,,
A2,SA,4176,,,UMBCAL,0,1,,,,,0.74,0,,23.5,0,,,BD OF OG .74
A2,SA,4169,,,AMOCAL,1,0,,,,165,0.82,15,,,,,,BD OF BSPRT
A2,SA,4182,,,AMOCAL,1,0,,,,126.4,0.95,7,,,,,,NEEDS NEW TAG/ BD OF BSPRT
A1,SA,4067,,,AMOCAL,1,0,,,,197.3,0.98,17,,,,,,BD OF BSPRT
A1,SA,4300,,,AMOCAL,1,0,,,,192.8,1.01,11,,,,,,BD OF BSPRT
A1,SA,6930,336,327,AMOCAL,1,0,,,,156.2,8.8,14,,,,,,BD OF BSPRT/ BBD OF OG .9
A1,SA,4160,,,AMOCAL,1,0,,,,104.1,0.58,15,,,,,,BD OF BSPRT
A1,SA,4159,,,AMOCAL,1,0,,,,142.7,0.84,23,,,,,,BD OF BSPRT
A1,SA,4117,,,AMOCAL,1,0,,,,148.6,0.71,8,,,,,,BD OF BSPRT
A1,SA,4118,,,AMOCAL,1,0,,,,97.3,0.58,31,,,,,,BD OF BSPRT
A1,SA,4119,,,AMOCAL,1,0,,,,171.7,0.9,5,,,,,,BD OF BSPRT
A1,TR,4120,,,UMBCAL,0,1,0,0,0,,0.5,,,110.4,9,,,
A1,TR,4194,,,QUEAGRI,1,1,1,1,4,,,,18.2,50.1,1,,,NEEDS NEW TAG/ CHANGE SP IN '18 DB
A1,TR,4196,,,HETARB,0,0,0,0,0,,,,,,,,,OG TAG MOVED TO .1
A1,TR,4196.1,,,HETARB,0,1,0,0,0,,0.98,,,166.8,6,,,OG TAG MOVED FROM .0
A1,TR,4196.2,,,HETARB,0,0,0,0,0,,,,,,,1,,
A1,TS,4196.3,,,HETARB,0,1,,,,,1,,,166.4,26,,,
A1,SA,4116,,,HETARB,1,0,,,,83.2,0.52,6,,,,,,BD OF BSPRT
B1,SA,6028,,,AMOCAL,1,0,,,,129.2,0.64,11,,,,,,
B1,SA,6931,223,110,AMOCAL,1,0,,,,64.2,0.43,6,,,,,,
B1,TR,4214,,,PSEMEN,0,0,0,0,0,,,,,,,1,,
B1,SA,4215,,,PSEMEN,0,0,,,,,,,,,,,,
B1,SA,4213,,,PSEMEN,0,0,,,,,,,,,,1,,
B1,TR,4204,,,QUEAGRI,1,0,1,1,4,,,,30.8,,,,,
B1,TR,4261,,,QUEAGRI,1,1,1,0,1,,,,18.7,76.6,3,,,
B1,TS,4208,,,QUEAGRI,1,0,,,,68.9,1.05,11,,,,,,
B1,TS,4207,,,QUEAGRI,1,0,,,,60.5,0.87,2,,,,,,
B1,SA,6026,,,AMOCAL,1,0,,,,105,5.2,14,,,,,,
B1,SA,6025,,,AMOCAL,1,0,,,,100.3,0.5,5,,,,,,
B1,SA,6027,,,AMOCAL,1,0,,,,87,,7,,,,,,
B1,SA,6932,43,346,AMOCAL,1,0,,,,62.5,0.41,4,,,,,,
B1,SA,6933,43,306,AMOCAL,1,0,,,,79,0.52,12,,,,,,
B1,SA,4209,,,HETARB,0,0,,,,,,,,,,1,,DEAD/GONE
B1,SA,4211,,,UMBCAL,0,0,,,,,,,,,,,,
B1,SA,4212,,,PSEMEN,0,0,,,,,,,,,,1,,
B1,SA,4216,,,PSEMEN,0,0,,,,,,,,,,1,,
B2,TR,4202,,,PSEMEN,1,0,0,1,4,,,,34.7,,,,,
B2,SA,4205,,,AMOCAL,1,0,,,,182,0.99,17,,,,,,BD OF BSPRT
B2,SA,6024,,,AMOCAL,1,0,,,,109,0.55,7,,,,,,
B2,SA,4206,,,AMOCAL,1,0,,,,203.5,1.05,19,,,,,,
B2,SA,6934,35,417,AMOCAL,1,0,,,,111.9,0.6,6,,,,,,
B2,TS,4201,,,HETARB,0,1,,,,,,,,,,,,
B2,TS,4201.1,,,HETARB,0,1,,,,,,,,131.2,9,,,
B2,TR,4095,,,HETARB,0,1,0,0,0,,,,,135.6,8,,,
B2,TS,4095.1,,,HETARB,0,0,,,,,,,,124,1,,,
B2,SA,4100,,,AMOCAL,1,0,,,,165.2,0.95,7,,,,1,,
B2,SA,4203,,,UMBCAL,1,0,,,,60.4,0.6,4,,,,,,BD OF BSPRT
B1,SA,6926,500,370,AMOCAL,1,0,,,,72.1,0.44,10,,,,,,
B1,SA,6927,488,395,AMOCAL,1,0,,,,57.2,0.31,7,,,,,,
B2,TR,4094,,,HETARB,0,0,0,0,0,,,,,,,,,NOT FOUND
B2,TS,4094.1,,,HETARB,0,0,,,,,,,,,,,,NOT FOUND
C1,SA,4222,,,PSEMEN,0,0,,,,,,,,,,1,,
C1,SA,4180,,,PSEMEN,0,0,,,,,,,,,,1,,
C1,SA,4220,,,PSEMEN,0,0,,,,,,,,,,1,,
C1,SA,4219,,,PSEMEN,0,0,,,,,,,,,,1,,
C1,SA,4241,,,PSEMEN,0,0,,,,,,,,,,1,,deleted a dup that also said tag pulled- identical- mkqc2022
C1,SA,4227,,,PSEMEN,0,0,,,,,,,,,,1,,
C1,SA,4229,,,PSEMEN,0,0,,,,,,,,,,1,,
C1,SA,4228,,,PSEMEN,0,0,,,,,,,,,,1,,
C1,TR,4223,,,PSEMEN,0,0,0,0,0,,,,,,,1,,
C1,TR,4226,,,UMBCAL,0,0,0,0,0,,,,,,,,,LEFT TAG
C1,SA,4234,,,PSEMEN,0,0,,,,,,,,,,1,,
C1,SA,4224,,,UMBCAL,1,0,,,,69.4,0.56,6,,,,,,
C1,SA,4225,,,AMOCAL,1,0,,,,90,0.55,13,,,,,,
C1,SA,4230,,,AMOCAL,1,0,,,,139.6,0.76,7,,,,,,BD OF BSPRT
C1,SA,4235,,,PSEMEN,0,0,,,,,,,,,,1,,
C1,SA,4237,,,PSEMEN,0,0,,,,,,,,,,1,,
C1,SA,4238,,,PSEMEN,0,0,,,,,,,,,,1,,
C1,SA,4239,,,PSEMEN,0,0,,,,,,,,,,1,,
C1,TR,4240,,,PSEMEN,0,0,0,0,0,,,,,,,1,,
C2,SA,4248,,,PSEMEN,0,0,,,,,,,,,,1,,
C1,SA,6029,,,AMOCAL,1,0,,,,95.6,0.51,6,,,,,,BD OF BSPRT
C1,SA,6935,141,202,AMOCAL,1,0,,,,74.3,0.45,4,,,,,,
C2,TR,4254,,,PSEMEN,1,0,0,1,4,,,,23.8,,,,,
C2,SA,6030,,,AMOCAL,1,0,,,,75.4,0.42,7,,,,,,
C2,SA,6031,,,AMOCAL,1,0,,,,86.6,0.55,11,,,,,,
C2,TR,4256,,,PSEMEN,0,0,,,,,,,,,,1,,CONFIRMED DEAD
C2,SA,4252,,,AMOCAL,1,0,,,,196.5,0.99,12,,,,,,BD OF BSPRT
C2,SA,6936,162,110,AMOCAL,1,0,,,,90.6,0.52,4,,,,,,
C2,SA,4257,,,AMOCAL,1,0,,,,107,0.63,3,,,,,,BD OF BSPRT
C2,SA,4250,,,AMOCAL,1,0,,,,105.3,0.49,5,,,,,,BD OF BSPRT
C2,SA,4249,,,AMOCAL,1,0,,,,151.9,0.73,18,,,,,,BD OF BSPRT
C2,SA,4253,,,AMOCAL,1,0,,,,129,0.66,9,,,,,,BD OF BSPRT
C2,SA,4251,,,AMOCAL,1,0,,,,154.4,0.83,13,,,,,,BD OF BSPRT
C2,SA,6937,245,215,AMOCAL,1,0,,,,86.2,0.38,8,,,,,,BD OF BSPRT
C2,SA,4341,,,UMBCAL,1,0,,,,77.5,0.6,5,,,,,,"NOT ON LIST- was in c3 and led to a dup- deleted it, said tag not found - mkqc2022"
C2,SA,4268,,,UMBCAL,1,0,,,,117.6,0.76,0,,,,,,BD OF BSPRT
C2,SA,4270,,,AMOCAL,1,0,,,,136.6,0.81,6,,,,,,BD OF BSPRT
C2,SA,4247,,,AMOCAL,1,0,,,,150.8,0.93,10,,,,,,BD OF BSPRT
C2,SA,4246,,,UMBCAL,0,1,,,,,,3,,33.5,0,,,
C2,SA,4269,,,AMOCAL,1,0,,,,70.3,0.43,3,,,,,,BD OF BSPRT
C2,SA,4277,,,AMOCAL,1,0,,,,162.2,0.74,11,,,,,,BD OF BSPRT
C2,SA,4334,,,AMOCAL,1,0,,,,84.3,0.52,6,,,,,,BD OF BSPRT
C2,SA,6033,,,AMOCAL,1,0,,,,141.6,0.8,5,,,,,,BD OF BSPRT
C2,SA,4244,,,PSEMEN,0,0,,,,,,,,,,1,,
C2,TR,4266,,,PSEMEN,0,0,0,0,0,,,,,,,1,,
C2,SA,6938,355,108,AMOCAL,1,0,,,,149.5,0.85,7,,,,,,BD OF BSPRT
C2,SA,6939,285,108,AMOCAL,1,0,,,,87.6,0.55,9,,,,,,BD OF BSPRT
C2,SA,6940,499,94,AMOCAL,1,0,,,,130.8,0.69,2,,,,,,BD OF BSPRT
C2,SA,4267,,,AMOCAL,1,0,,,,104.2,0.52,9,,,,,,BD OF BSPRT
C2,SA,4262,,,AMOCAL,1,0,,,,176.7,0.96,24,,,,,,BD OF BSPRT
C2,SA,6941,322,400,AMOCAL,1,0,,,,71.2,0.45,7,,,,,,BD OF BSPRT
C2,SA,6942,3347,400,AMOCAL,1,0,,,,114.8,0.69,2,,,,,,BD OF BSPRT
C2,TR,4258,,,PSEMEN,0,0,0,0,0,,,,,,,1,,
C2,TR,4260,,,HETARB,0,1,0,0,0,,,,,118.2,2,,,
C2,TR,4260.1,,,HETARB,0,0,0,0,0,,,,,,,1,,
C2,SA,4259,,,UMBCAL,1,0,,,,59,0.53,1,,,,,,
C2,SA,4264,,,AMOCAL,1,0,,,,98.9,0.57,10,,,,,,
C2,SA,6943,400,460,AMOCAL,1,0,,,,89.7,0.56,5,,,,,,
C2,SA,4265,,,AMOCAL,1,0,,,,143.2,0.63,17,,,,,,
C2,SA,6944,385,227,AMOCAL,1,0,,,,141.4,0.62,4,,,,,,
C2,SA,4245,,,AMOCAL,1,0,,,,60.6,0.37,3,,,,,,
C2,SA,6945,483,120,AMOCAL,1,0,,,,90.6,0.59,11,,,,,,
C2,SA,4243,,,FRACAL,0,0,,,,,,,,,,1,,
C1,SA,6925,450,473,AMOCAL,1,0,,,,99.5,0.56,1,,,,,,
