Plot ID,1347,,Sampler(s),"MO, GH",,,,,Date ,20190805,,,,,,,,,
B1,TR,2983,,,UMBCAL,1,0,1,1,4,,,,1.87,,,,1,
B1,TR,2984,,,UMBCAL,1,1,0,1,5,,,,3.06,NA,0,,1,
B1,SA,6159,,,UMBCAL,1,0,,,,52.2,0.61,0,,,,,1,
B1,SA,2986,,,UMBCAL,1,0,,,,56.1,0.83,0,,,,,1,
B2,SA,6851,455,125,AMOCAL,1,0,,,,73.5,0.36,5,,,,,,NEW SA
B1,SA,6852,455,500,AMOCAL,1,0,,,,68.5,0.31,2,,,,,,NEW SA
C1,TR,2997,,,QUEAGRI,0,1,0,0,0,,,,NA,94,12,,,FALLEN
C1,SA,6853,375,90,UMBCAL,1,0,,,,77.2,0.42,0,,,,,1,NEW SA
C1,TR,2996,,,QUEAGRI,0,0,0,0,0,,,,NA,,,,,DOWNED
C1,SA,6168,,,AMOCAL,1,0,,,,146.2,0.78,8,,,,,,
C1,TR,2995,,,UMBCAL,1,0,1,1,5,,,,2.28,,,,1,
C1,SA,2988,,,UMBCAL,1,0,,,,99.2,1.13,0,,,,,1,
C1,SA,6854,,,AMOCAL,1,0,,,,71.7,0.38,3,,,,,,NEW SA
C1,SA,2991,,,UMBCAL,1,0,,,,140.6,1.12,2,,,,,1,
C1,TR,2998,,,QUEAGRI,0,0,0,0,0,,,,,,,,,DOWNED
C1,TS,2998.1,,,QUEAGRI,0,0,0,0,0,,,,,,,,,DOWNED
C1,SA,2990,,,UMBCAL,1,0,,,,114.5,1.35,1,,,,,1,
C1,SA,3047,,,UMBCAL,1,0,,,,74.9,1.07,1,,,,,1,
C1,SA,2989,,,UMBCAL,1,0,,,,67.8,0.59,0,,,,,1,
C1,SA,2987,,,UMBCAL,1,0,,,,76,0.68,2,,,,,1,
C2,SA,2993,,,UMBCAL,1,0,,,,171.8,1.43,0,,,,,1,
C2,TR,2992,,,UMBCAL,1,0,1,1,5,,,,3.7,,,,1,
C2,TR,2994,,,PSEMEN,1,0,0,1,3,,,,46.9,,,,,
C2,TR,3013,,,UMBCAL,1,0,1,1,5,,,,3,,,,1,
C2,TR,3000,,,UMBCAL,1,0,1,1,5,,,,1.27,,,,1,
C2,TR,3041,,,AMOCAL,0,1,0,0,0,,,,NA,249.9,9,,,
C2,TR,3041.1,,,AMOCAL,1,0,0,1,4,,,,0.93,,,,,
C2,SA,3040,,,UMBCAL,1,0,,,,77.1,0.62,1,,,,,1,
C2,SA,6157,,,AMOCAL,1,0,,,,251.4,1.16,17,,,,,,
C2,TR,3030,,,UMBCAL,1,0,0,1,5,,,,5.8,,,,1,
C2,TR,3030.1,,,UMBCAL,1,0,0,1,4,,,,3.3,,,,1,
C3,SA,3003,,,UMBCAL,1,0,,,,88.5,1.29,0,,,,,1,
C3,SA,2999,,,UMBCAL,1,1,,,,70,0.73,0,,,,,1,
C3,SA,6158,,,AMOCAL,1,0,,,,179.2,1.06,0,,,,,,
C3,SA,6156,,,AMOCAL,1,0,,,,217.8,1.19,3,,,,,,
C3,SA,3001,,,UMBCAL,1,0,,,,100.6,0.7,2,,,,,1,
C3,SA,6160,,,AMOCAL,1,0,,,,239,1.68,2,,,,,,
C3,TR,3006,,,UMBCAL,1,1,0,1,4,,,,1.44,132.3,1,,1,
C3,SA,3004,,,UMBCAL,1,0,,,,66.6,0.62,0,,,,,1,
C4,TR,3005,,,PRUCER,1,1,0,1,5,,,,4.17,66.4,2,,,
C4,SA,6161,,,UMBCAL,1,0,,,,63.6,1.3,1,,,,,1,
C4,TR,3032,,,PRUCER,1,0,0,1,4,,,,4.04,,,,,
C4,SA,3031,,,UMBCAL,1,0,,,,53.3,1.27,0,,,,,1,
C4,SA,3033,,,AMOCAL,1,0,,,,220.6,1.2,12,,,,,,
C4,SA,6167,,,AMOCAL,1,0,,,,192.8,1.26,5,,,,,,
C4,TR,3007,,,UMBCAL,1,1,0,1,4,,,,8.3,68.8,1,,,
C4,TR,3007.1,,,UMBCAL,1,0,0,1,3,,,,1.19,,,,,NEW TR
C4,SA,3045,,,PRUCER,0,0,,,,NA,NA,NA,,,,1,,
C4,SA,3046,,,PRUCER,0,0,,,,NA,0.83,NA,,,,,,
C4,SA,3044,,,PRUCER,1,0,,,,99.6,1.02,0,,,,,,MOSS IN BD
C4,SA,3008,,,AMOCAL,0,1,,,,NA,0.24,NA,,53.5,1,,,"OG DEAD, BDBSPT (dead in 18- new resporuter-mkqc2023)"
C4,SA,2959,,,UMBCAL,1,0,,,,134.2,1.24,1,,,,,1,was typo 2995 mkqc2022
D4,SA,3055,,,AMOCAL,1,0,,,,280.1,1.6,7,,,,,,changed from 2055 mkqc2022
D4,SA,3056,,,AMOCAL,1,0,,,,148.9,1.33,0,,,,,,
D4,SA,3057,,,AMOCAL,1,0,,,,236.6,1.1,2,,,,,,
D4,SA,3058,,,AMOCAL,1,0,,,,78.2,0.32,0,,,,,,
D4,SA,3059,,,AMOCAL,1,0,,,,242.5,1.53,2,,,,,,
D4,SA,6171,,,AMOCAL,1,0,,,,191,1.07,1,,,,,,
D4,SA,6169,,,AMOCAL,1,0,,,,177.5,0.92,0,,,,,,
D4,TR,3010,,,AMOCAL,1,1,0,1,4,,,,1.2,242.2,8,,,
D4,SA,3011,,,UMBCAL,1,0,,,,67.8,1.53,0,,,,,1,
D4,SA,6170,,,AMOCAL,1,0,,,,158.9,1.04,7,,,,,,
D4,SA,3054,,,AMOCAL,1,0,,,,160.6,1.5,6,,,,,,became a tree 2018 but 2019 and 2020 took  SA meanurments
D3,SA,6172,,,AMOCAL,1,0,,,,236.2,1.7,3,,,,,,
D3,TR,3017,,,UMBCAL,1,0,0,1,5,,,,7.5,,,,1,
D3,TR,3016,,,PSEMEN,1,0,0,1,4,,,,56.6,,,,,
D3,SA,3019,,,UMBCAL,1,0,,,,73,0.78,0,,,,,1,
D3,TR,3018,,,UMBCAL,1,0,1,1,5,,,,2.3,,,,1,
D3,SA,3053,,,UMBCAL,1,1,,,,190.6,1.45,0,,67.2,1,,1,
D3,SA,3034,,,UMBCAL,1,0,,,,73,0.84,2,,,,,1,
D3,TR,3029,,,UMBCAL,1,0,1,1,4,,,,8.9,206,5,,1,BASAL IS TAG 3028
D3,TS,3029.1,,,UMBCAL,1,0,,,,139,1.45,0,,,,,1,BS OF 3029
D3,SA,3028,,,UMBCAL,1,0,,,,77.4,0.75,3,,,,,1,
D2,SA,3012,,,UMBCAL,1,0,,,,134.5,0.64,1,,,,,1,
D2,SA,3023,,,UMBCAL,1,0,,,,204.3,1.82,0,,,,,1,
D3,TR,3035,,,UMBCAL,1,1,0,1,5,,,,3.1,53.2,1,,1,
D2,TR,3022,,,UMBCAL,1,1,0,1,4,,,,1.3,167.5,6,,1,
D2,SA,3021,,,AMOCAL,1,0,,,,236.5,1.84,9,,,,,,
D2,SA,3020,,,UMBCAL,1,0,,,,128.9,1.3,0,,,,,1,
D2,SA,3024,,,UMBCAL,1,0,,,,166.8,1.23,1,,,,,,
C4,TR,3009,,,UMBCAL,1,0,0,1,5,,,,1.14,,,,,NOWATR
C4,SA,6162,,,UMBCAL,1,0,,,,87.1,0.9,2,,,,,1,
C3,SA,6855,,,AMOCAL,1,0,,,,245.6,1.35,11,,,,,,NEW SA
D2,SA,3036,,,UMBCAL,1,0,,,,79,1.25,1,,,,,1,
D2,SA,6173,,,AMOCAL,1,0,,,,229.8,1.76,2,,,,,,
D2,SA,6174,,,AMOCAL,1,0,,,,210.1,1.94,13,,,,,,
D1,SA,6175,,,UMBCAL,1,0,,,,51.4,0.84,1,,,,,,
D1,SA,3037,,,UMBCAL,1,0,,,,198.5,2.24,1,,,,,1,
D1,SA,3060,,,AMOCAL,1,0,,,,138.5,0.66,6,,,,,,
D1,TR,3048,,,UMBCAL,1,0,0,1,4,,,,3.9,,,,1,
D1,TR,3049,,,UMBCAL,1,0,0,1,5,,,,2.1,,,,1,
D1,TS,3048.1,,,UMBCAL,1,0,,,,106.1,1.31,1,,,,,1,
D1,TR,3027,,,QUEAGR,1,0,0,1,4,,,,3.2,,,,,3027.1 IS BASAL-- changed form quegar typo- mkqc2022
D1,TS,3027.1,,,QUEAGR,1,0,,,,84.3,0.76,1,,,,,1,BASAL OF 3027- changed form quegar typo- mkqc2022
D1,TR,3026,,,UMBCAL,1,0,1,1,4,,,,1.24,,,,1,3026.1 BASAL
D1,TS,3026.1,,,UMBCAL,1,0,,,,146.5,1.1,2,,,,,1,
D1,SA,6833,145,131,FRACAL,1,0,,,,89.9,0.42,2,,,,,,
D1,TR,3038,,,AMOCAL,1,1,0,1,4,,,,1.4,253.4,8,,,
D1,TR,3025,,,QUEAGR,1,0,1,1,4,,,,3.4,NA,0,,,changed form quegar typo- mkqc2022
D1,SA,3050,,,AMOCAL,1,0,,,,119.5,1.07,5,,,,,,
D1,SA,3039,,,AMOCAL,1,0,,,,205.5,1.14,3,,,,,,
D1,SA,6177,70,455,UMBCAL,1,0,,,,57.4,1.12,0,,,,,1,
D1,SA,6176,,,AMOCAL,1,0,,,,222.6,1.63,2,,,,,,
D1,SA,3051,,,AMOCAL,1,0,,,,151.1,1.05,2,,,,,,TAG MOVED TO BSPRT/ BD OF BDSPRT/ OG DEAD
D1,SA,3052,,,AMOCAL,0,0,,,,0,0,,,,,,,NOT FOUND/ was typo 3057 mkqc2022
D1,SA,3061,,,AMOCAL,0,0,,,,0,0,,,,,,,NOT FOUND
D1,SA,6834,,,AMOCAL,1,0,,,,98.5,0.53,2,,,,,,typo 6843- mkqc2022
D1,SA,6835,225,499,AMOCAL,1,0,,,,140.2,0.78,4,,,,,,
A4,SA,6836,430,5,AMOCAL,1,0,,,,208.4,0.96,16,,,,,,
