Plot ID,PPW1327,,Sampler(s),"MO, MK, TT, CVH",,,,,Date ,20190806,,,,,,,,,
D2,TR,4469.1,368,406,FRACAL,1,0,0,1,4,,,,1.28,,,,,
D2,TR,4466,,,QUEBER,1,1,0,1,3,,,,1.49,NA,0,,,chnaged from bergar to match other years 
D2,SA,4467,,,QUEBER,1,0,,,,216,1.65,3,,,,,,
D2,SA,4474,,,QUEBER,1,0,,,,168,1.54,2,,,,,,
D2,SA,4468,,,QUEBER,1,0,,,,88,0.63,1,,,,,,CHANGED FROM 4465 TO MATCJ FILED NOTES IN 2020
D2,SA,4473,,,QUEBER,0,1,,,,,0.26,0,,46.5,0,,,BD OF BSPRT
D2,SA,6154,,,QUEBER,1,0,,,,59.2,0.48,0,,,,,,
D2,TS,6842,426,248,HETARB,1,0,,,,149.2,0.8,4,,,,,,
C2,TR,4427,,,PSEMEN,1,0,0,1,4,,,,39.4,,,,,
C2,TR,4423,,,PSEMEN,1,0,0,1,2,,,,11.3,,,,,
C2,TR,4400,,,PSEMEN,1,0,0,1,4,,,,65.6,,,,,
C2,TR,4425,,,QUEAGRI,1,1,1,0,1,,,,8.6,NA,0,,,
C2,TR,4422,,,QUEAGRI,1,0,1,1,4,,,,27.3,,,,,
C2,SA,6131,,,QUEAGRI,1,0,,,,96.5,0.51,1,,,,,,
C2,TR,4424,,,QUEAGRI,1,0,1,1,3,,,,13.1,,,,,
C2,SA,4421,,,HETARB,1,0,,,,282,1.52,6,,,,,,
C2,TR,4426,,,HETARB,1,1,0,1,5,,,,1.62,52.1,1,,,
C2,TS,4426.1,,,HETARB,0,0,,,,NA,1.65,0,,,,,,
C2,SA,4419,,,QUEBER,1,0,,,,93.4,0.65,4,,,,,,
C2,SA,6133,,,HETARB,1,0,,,,69.5,0.54,2,,,,,,
C2,SA,6857,170,30,HETARB,1,0,,,,59.6,0.38,3,,,,,,
C2,SA,6132,,,HETARB,1,0,,,,165.3,0.77,3,,,,,,
C2,SA,4420,,,QUEBER,1,0,,,,98.6,0.67,1,,,,,,changed from bega to match other years- mkqc2022
C3,SA,4428,,,QUEAGRI,1,0,,,,120.3,0.68,2,,,,,,IN C3
C3,TR,4431,,,UMBCAL,1,0,1,1,5,,,,2.06,,,,,
C3,SA,4433,,,HETARB,1,0,,,,141.4,1.23,4,,,,,,
C3,TR,4429,,,HETARB,0,1,0,0,0,,,,1.25,NA,0,,,
C3,TS,4429.1,,,HETARB,1,0,,,,159,0.95,2,,,,,,
C3,TS,4429.2,,,HETARB,1,0,,,,224,1.45,,,,,,,
C3,TR,4439,,,PSEMEN,1,0,0,1,2,,,,10.5,,,,,
C3,TR,4398,,,HETARB,0,1,0,0,0,,,,NA,182.6,10,,,
C3,TR,4398.1,,,HETARB,1,1,0,1,2,,,,4.6,240,3,,,REALLY A BRANCH @ BASE
C3,TR,4398.2,,,HETARB,0,0,0,0,0,,,,NA,,,,,
C3,TR,4398.3,,,HETARB,0,0,0,0,0,,,,2.24,,,,,
C3,TR,4398.4,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
C3,TS,4398.5,,,HETARB,0,0,,,,,,,,,,1,,
C3,TR,4398.6,,,HETARB,1,0,1,1,4,,,,3.09,,,,,TAG ADDED
C3,SA,4432,,,RHACRO,1,0,,,,126.8,0.42,1,,,,,,
C3,TR,4437,,,HETARB,1,1,0,1,3,,,,1.5,136,,,,
C3,TR,4437.1,,,HETARB,1,0,1,1,4,,,,1.8,,,,,
C3,TR,4437.2,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
C3,TS,4437.3,,,HETARB,0,0,,,,,,,NA,,,1,,
C3,SA,4399,,,QUEAGRI,1,0,,,,44.1,0.51,3,,,,,,
C3,SA,4435,,,HETARB,1,0,,,,161.8,1.28,8,,,,,,
C3,SA,4436,,,QUEBER,1,0,,,,180.7,1.75,0,,,,,,
C3,SA,6134,,,QUEAGRI,1,0,,,,98.4,0.6,0,,,,,,
C4,SA,4390,,,QUEBEGA,1,0,,,,39.6,0.64,1,,,,,,TOP KILLED/ changed form agri to match mk id in 2020
C4,TR,4184,,,PSEMEN,1,0,0,1,3,,,,2.2,,,,,
C4,TR,4440,,,PSEMEN,1,0,0,1,3,,,,2.6,,,,,
C4,SA,4438,,,PSEMEN,1,0,,,,73.8,0.51,0,,,,,,
C4,SA,6858,285,405,QUEBERGAR,1,0,,,,68.8,0.23,0,,,,,,
C4,TR,4441,,,QUEAGRI,1,0,1,1,3,,,,18.9,,,,,
C4,TR,4441.1,,,QUEAGRI,1,0,0,1,4,,,,14.6,,,,,
C4,SA,4485,,,QUEBER,1,0,,,,41.6,0.58,2,,,,,,
B4,SA,4394,,,QUEBER,1,0,,,,82,0.52,0,,,,,,
B4,TR,4389,,,UMBCAL,1,0,0,1,5,,,,1.4,,,,1,
B4,TR,4387,,,PSEMEN,1,0,0,1,2,,,,1.6,,,,,
B4,SA,4388,,,UMBCAL,1,0,,,,139,1.39,0,,,,,,
B4,TR,4392,310,40,UMBCAL,1,0,0,1,4,,,,1.7,,,,,
B4,TR,4393,,,HETARB,0,1,0,0,0,,,,NA,165.9,7,,,
B4,TS,4393.1,,,HETARB,0,0,,,,,,,,,,1,,
B4,TS,4393.2,,,HETARB,1,0,,,,216.3,2.3,,,,,,,
B4,SA,6135,,,QUEBER,1,0,,,,69.8,0.39,1,,,,,,
B4,SA,4391,,,PSEMEN,0,0,,,,,,,,,,,,NOT FOUND
B4,SA,4395,,,QUEBEGA,1,0,,,,34.7,0.4,1,,,,,,NOT FOUND IN '18 DB
A4,TR,4385,,,PSEMEN,1,0,0,1,3,,,,6.2,,,,,
A4,TR,4383,,,PSEMEN,1,0,0,1,2,,,,2,,,,,
A4,TR,4384,,,PSEMEN,1,0,0,1,3,,,,2.4,,,,,
A4,SA,4386,,,UMBCAL,1,0,,,,110.6,1.61,0,,,,,,
A4,SA,6126,,,QUEBER,1,0,,,,84.6,0.48,4,,,,,,
D4,TR,4483,,,QUEBEGA,0,1,0,0,0,,,,1.3,103.8,5,,,
D4,TR,4442,,,QUEAGRI,1,0,0,1,2,,,,13.8,,,,,
D4,TR,4445,,,QUEAGRI,1,0,0,1,4,,,,7.1,,,,,
D4,TR,4445.1,,,QUEAGRI,1,0,1,1,2,,,,2.36,,,,,
D4,TR,4445.2,,,QUEAGRI,1,0,0,1,1,,,,1.34,,,,,
D4,SA,4443,,,HETARB,1,0,,,,209,1.81,15,,,,,,
D4,SA,4446,,,QUEBEGA,0,0,,,,,,,,,,1,,
D4,SA,4447,,,QUEAGRI,1,0,,,,292.3,1.24,1,,,,,,
D4,SA,4454,,,HETARB,1,0,,,,129.6,1.39,13,,,,,,
D4,SA,6138,,,QUEBER,1,0,,,,70.9,0.46,1,,,,,,6137& 6138 CONNECTED @ BASE
D4,SA,6137,,,QUEBER,1,0,,,,80.6,0.59,2,,,,,,6137& 6138 CONNECTED @ BASE
D4,SA,4449,,,QUEBER,1,0,,,,77.4,0.41,1,,,,,,BD OF BSPRT/ 4449 & 4450 CONNECTED @ BASE
D4,SA,6136,,,PSEMEN,0,0,,,,NA,0.44,NA,,,,1,,
D4,SA,4450,,,QUEBER,1,0,,,,77.5,0.42,9,,,,,,BD OF BSPRT/ 4449 & 4450 CONNECTED @ BASE
D4,SA,4444,,,QUEBER,1,0,,,,51.5,0.36,8,,,,,,BD OF BSPRT
D4,SA,6139,,,PSEMEN,0,0,,,,NA,0.57,NA,,,,1,,
D4,SA,4451,,,HETARB,1,0,,,,103.3,0.94,4,,,,,,RESPROUT/ OG DEAD/ BD OF BSPRT
D4,SA,4452,,,QUEBEGA,1,0,,,,226,1.31,0,,,,,,
D4,SA,4453,,,QUEBER,0,0,,,,,,,,,,,,NOT FOUND
D3,TR,4448,,,QUEBER,1,1,0,1,4,,,,2.05,88.5,8,,,
D3,TR,4448.1,,,QUEBER,1,0,0,1,3,,,,1.43,,,,,
D3,TS,4448.2,,,QUEBER,0,0,,,,NA,NA,NA,,,,1,,
D3,TR,4465,,,QUEAGRI,1,0,0,1,4,,,,2.4,,,,,
D3,TR,4465.1,,,QUEAGRI,1,0,0,1,4,,,,2.8,,,,,
D3,SA,4464,,,QUEBEGA,1,0,,,,70.7,0.5,1,,,,,,BD OF BSPRT/ changed from queber bc was queagke in 2013db
D3,SA,4457,,,ADEFAS,0,0,,,,NA,NA,NA,,,,,,
D3,SA,4455,,,QUEBER,1,0,,,,70.1,0.47,26,,,,,,BD OF BSPRT
D3,SA,4456,,,HETARB,1,0,,,,220.4,1.24,9,,,,,,BD OF BSPRT
D3,TR,4458,,,QUEAGRI,1,0,0,1,3,,,,4.4,,,,,
D3,TR,4458.1,,,QUEAGRI,1,0,1,1,3,,,,2.7,,,,,
D3,TS,4458.2,,,QUEAGRI,0,0,,,,NA,NA,NA,,,,,,
D3,SA,4484,,,QUEBER,1,0,,,,189.2,1.72,4,,,,,,
D3,TR,4459,,,QUEBEGA,1,1,1,1,2,,,,1.4,NA,0,,,
D3,TR,4462,,,QUEBER,1,1,0,1,4,,,,2.2,108.3,1,,,
D3,TR,4462.1,,,QUEBER,1,0,0,1,4,,,,1.3,,,,,NEW POINT
D3,SA,4461,,,HETARB,1,0,,,,141.2,1.1,7,,,,,,
D3,SA,4460,,,QUEBER,1,0,,,,158.3,1.32,5,,,,,,was typo umbcal -mkqc2022
D3,SA,4463,,,QUEBER,1,0,,,,197,1.61,12,,,,,,
D3,SA,6155,,,UMBCAL,1,0,,,,67.2,0.58,1,,,,,,
D3,SA,4482,,,QUEBER,1,0,,,,174.4,2.35,0,,,,,,
C3,SA,4434,425,315,HETARB,1,0,,,,211.4,1.42,3,,,,,,UPDATED XY QUAD/ this one has same number of branches as 2013- averaging ht 208.5 bd 1.34 with 2 stems - with dup -ht 214.2 bd 1.49 with 4 stems- mkqc2022
B2,SA,4410,,,QUEAGRI,1,0,,,,62.2,0.68,2,,,,,,
B2,SA,4402,,,HETARB,1,0,,,,88,0.62,2,,,,,,
B2,SA,4405,,,QUEBER,1,0,,,,56,0.8,1,,,,,,
B2,SA,4404,,,QUEBER,1,0,,,,88.6,0.91,1,,,,,,
B2,SA,4409,,,QUEBER,1,0,,,,88.8,0.67,0,,,,,,
B2,SA,4403,,,HETARB,1,0,,,,58.1,0.5,5,,,,,,
B2,SA,4408,,,HETARB,1,0,,,,56.6,0.35,1,,,,,,
B2,SA,4407,,,HETARB,1,0,,,,73.6,0.75,2,,,,,,
B2,SA,6128,,,QUEBER,1,0,,,,71.2,0.65,7,,,,,,
B2,SA,6869,320,315,QUEBERGAR,1,0,,,,53.1,0.41,1,,,,,,
B2,SA,6859,455,475,HETARB,1,0,,,,62.3,0.41,2,,,,,,
B2,SA,4401,,,HETARB,1,0,,,,34.7,0.77,3,,,,,,
B2,TR,4406,,,HETARB,0,1,0,1,2,,,,2.07,,1,,,
B2,TR,4406.1,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
B2,TR,4406.2,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
B2,TS,4406.3,,,HETARB,1,0,,,,179.4,1.01,0,,,,,,
B2,TR,4406.4,,,HETARB,1,0,0,1,5,,,,16,,,,,
B3,SA,6127,,,HETARB,1,0,,,,72.9,0.57,6,,,,,,
B3,TR,4397,,,PSEMEN,1,0,0,1,3,,,,54,,,,,
B3,SA,4396,,,QUEAGRI,1,0,,,,80.3,0.74,7,,,,,,
B2,TS,4406.5,,,HETARB,1,0,,,,190.7,1.2,0,,,,,,NEW POINT
A3,SA,4378,,,UMBCAL,1,0,,,,125.2,1.47,0,,,,,1,
A3,TR,4380,,,PSEMEN,1,0,0,1,3,,,,2.3,,,,,
A3,TR,4377,,,PSEMEN,1,0,0,1,3,,,,10,,,,,was typo 4373 mkqc2022
A3,TR,4379,,,HETARB,1,1,0,1,4,,,,2.27,208,14,,,
A3,TR,4379.1,,,HETARB,0,0,0,0,0,,,,,,,1,,
A3,TR,4379.2,,,HETARB,0,0,0,0,0,,,,,,,1,,
A3,TS,4379.3,,,HETARB,0,0,,,,,,,,,,1,,
A3,TR,4379.4,,,HETARB,1,0,0,1,5,,,,1.09,,,,,
A3,SA,4381,,,QUEAGRI,1,0,,,,96.8,1.07,0,,,,,,
A3,TR,4382,,,HETARB,1,0,,,,,,,2.74,,,,,GET RID OF OTHER 2018 DUP 
A3,TR,4382.1,,,HETARB,1,0,,,,,,,1.16,,,,,
A3,TS,4382.2,,,HETARB,0,1,,,,,0.47,0,,54.7,1,,,
A3,TR,4382.3,,,HETARB,1,0,,,,,1.59,,,,,,,
A3,TR,4382.4,,,HETARB,1,0,,,,,,,1.21,,,,,
A3,SA,4375,,,PSEMEN,1,0,,,,166.7,1.58,0,,,,,,
A3,TR,4372,,,PSEMEN,1,0,,,,,,,28.2,,,,,
A3,SA,4373,,,PSEMEN,1,0,,,,168.9,1.66,0,,,,,,
A3,SA,4376,,,QUEAGRI,1,0,,,,60.8,0.45,2,,,,,,
A3,SA,6860,295,285,HETARB,1,0,,,,50.5,0.41,6,,,,,,
A3,SA,6870,180,162,UMBCAL,1,0,,,,53,0.51,3,,,,,,
A2,TR,4370,,,ARBMEN,1,0,0,1,4,,,,25.7,,,,,
A2,TR,4370.1,,,ARBMEN,1,0,0,1,4,,,,21.2,,,,,
A2,TR,4374,,,HETARB,1,0,1,0,1,,,,5,,,,,
A2,TR,4374.1,,,HETARB,0,0,0,0,0,,,,3.1,,,,,
A2,TR,4374.2,,,HETARB,1,1,0,1,5,,,,3.3,125.2,1,,,
A2,TR,4374.3,,,HETARB,0,0,0,0,0,,,,1.62,,,,,
A2,TR,4374.4,,,HETARB,0,0,0,0,0,,,,NA,,,,,
A2,TR,4369,,,PSEMEN,1,0,0,1,2,,,,4.6,,,,,
A2,SA,4371,,,QUEBER,1,0,,,,62.5,0.35,1,,,,,,
A2,TR,4366,,,PSEMEN,1,0,0,1,3,,,,4.35,,,,,
A2,TR,4365,,,PSEMEN,1,0,0,1,2,,,,2.2,,,,,
A2,TR,4364,,,PSEMEN,1,0,0,1,3,,,,3.17,,,,,
A2,SA,4367,,,PSEMEN,1,0,,,,207,1.62,0,,,,,,
A2,SA,4355,,,HETARB,0,0,,,,,,,,,,,,NOT FOUND
A2,TR,4368,,,PSEMEN,0,0,,,,,,,,,,1,,
A3,SA,6871,440,285,QUEBER,1,0,,,,63.1,0.34,1,,,,,,
A3,SA,6872,250,465,UMBCAL,1,0,,,,51.4,0.7,1,,,,,,
D1,SA,6861,145,330,QUEBEGA,1,0,,,,84.1,0.67,0,,,,,,
D1,SA,6862,150,335,QUEBEGA,1,0,,,,68.3,0.55,0,,,,,,
D1,SA,6863,150,285,QUEBEGA,1,0,,,,67.3,0.34,0,,,,,,
D1,SA,6864,155,180,QUEBEGA,1,0,,,,73.1,0.35,1,,,,,,
D3,SA,6873,295,205,QUEAGRI,1,0,,,,50.8,0.27,0,,,,,,
