Plot ID,1333,,Sampler(s),"MO, MF, GH, TT",,,,,Date ,"20190710, 20190711",,,,,,,,,
B3,SA,5668,165,420,UMBCAL,0,1,,,,,0.16,0,,17.2,,,,BDBSPRT
B3,SA,5669,,,UMBCAL,0,0,,,,,,,,,,,,
B3,SA,3361,,,UMBCAL,0,0,,,,,,,,,,,,NOT FOUND/ was typo 5661- mkqc2022 
B4,SA,3352,,,UMBCAL,1,0,,,,67.6,0.79,4,,,,,,BDBSPRT
B4,SA,3351,,,UMBCAL,1,0,,,,82.2,0.92,4,,,,,,BDBSPRT
B4,TR,3350,,,QUEAGARI,1,0,0,1,2,,,,43.7,,,,,TOP FELL OFF
B4,SA,5665,,,UMBCAL,0,1,,,,,0.44,0,,40.1,,,,BDBSPRT
B4,SA,5672,,,UMBCAL,0,1,,,,,,,,11.8,,,,TOO SHORT FOR BD
C4,SA,3353,,,UMBCAL,0,0,,,,,,,,,,1,,DEAD
C4,SA,3379,,,UMBCAL,0,1,,,,,,,,15.2,,,,TOO SHORT FOR BD
B4,SA,6410,280,54,UMBCAL,0,1,,,,,0.77,0,,26.5,,,,OG BD
C3,TR,3374,,,UMBCAL,1,1,1,1,3,,,,31.5,106.5,14,,,
C3,TR,3374.1,,,UMBCAL,0,0,0,0,0,,,,,,,,,
C3,TR,3374.2,,,UMBCAL,0,0,0,0,0,,,,,,,,,
C3,TS,3374.3,,,UMBCAL,0,0,,,,,,,,,,1,,DEAD
C3,SA,3357,,,UMBCAL,0,0,,,,,,,,,,,,NOT FOUND
C2,TR,3362,,,UMBCAL,1,1,1,1,3,,,,29.4,211,44,,,
C2,SA,3373,,,UMBCAL,0,0,,,,,,,,,,,,"GONE, UNDER 3350'S {TAG?}"
C1,TR,3371,,,QUEGAR,1,0,1,1,2,,,,36,,,,,
