Plot ID,PPW1330,,Sampler(s),"MO, GH, TT",,,,,Date ,20190618/ 20190620/20190621,,,,,,,,,
A2,SA,3432,,,AMOCAL,1,0,,,,92.1,0.51,7,,,,,,RESPROUT BD
A2,TR,3433,,,UMBCAL,0,0,0,0,0,,,,NA,,,,,
A2,TR,3438,,,HETARB,0,1,0,0,0,,,,NA,140.1,16,,,
A2,TR,3438.1,,,HETARB,0,0,0,0,0,,,,NA,,,,,
A2,TR,3438.2,,,HETARB,0,0,0,0,0,,,,NA,,,,,
A2,TR,3485,,,AMOCAL,0,1,0,0,0,,,,NA,187.2,9,,,
A2,SA,3483,,,UMBCAL,1,0,,,,115.3,0.6,1,,,,,,RESPROUT BD
A2,SA,3482,440,335,UMBCAL,1,0,,,,89.9,0.51,1,,,,,,RESPROUT BD
A2,SA,3479,,,UMBCAL,0,0,,,,NA,NA,NA,,,,,,
A2,SA,3480,,,QUEAGRI,1,0,,,,41.4,0.3,4,,,,,,RESPROUT BD
B1,TR,3840,,,PSEMEN,1,0,1,1,3,,,,4.8,,,,,
B1,TR,3879,,,ARBMEN,1,1,0,1,2,,,,11.3,106.3,4,,,
B1,TR,3881,,,PSEMEN,1,0,1,1,4,,,,23.3,,,,,
B1,TR,3842,,,UMBCAL,0,1,0,0,0,,,,NA,116.4,4,,,
B1,TR,3833,,,UMBCAL,0,1,0,0,0,,,,NA,113.6,4,,,
B1,TR,3829,,,UMBCAL,0,1,0,0,0,,,,NA,166,2,,,
B2,TR,3876,,,QUEGAR,1,0,1,1,3,,,,15,NA,0,,,
B2,TR,3825,,,QUEGAR,1,1,1,1,3,,,,16,56.2,7,,,
B2,TR,3821,,,PSEMEN,0,0,0,0,0,,,,3.5,,,,,"was umbca, leftover typo from 2018-mkqc22"
B2,TR,3822,,,UMBCAL,0,1,0,0,0,,,,NA,107.5,4,,,
B2,TR,3816,,,PSEMEN,0,0,0,0,0,,,,2,,,,,PAST DBH MAY BE IN MM
B2,TR,3758,,,QUEGAR,1,1,1,1,4,,,,17.5,97.2,7,,,
B2,TR,3755,,,PSEMEN,0,0,0,0,0,,,,1.6,,,,,
B2,TR,3760,,,ARBMEN,1,1,1,1,3,,,,8.4,88.7,7,,,
B2,TR,3760.1,,,ARBMEN,0,0,0,0,0,,,,3.1,,,,,
B2,TR,5712,,,PSEMEN,1,0,1,1,3,,,,3.8,,,,,"was not tagged in 2013, but recorded as 3742- that tage went onto a hetarb, tagged in 2018- mkqc2022"
B2,TR,3810,,,FRACAL,0,0,0,0,0,,,,NA,,,1,,
B3,TR,3805,,,UMBCAL,0,1,0,0,0,,,,2.4,158,11,,,
B3,TR,3805.1,,,UMBCAL,0,1,0,0,0,,,,1.4,166.6,8,,,
B3,TR,3805.2,,,UMBCAL,0,0,0,0,0,,,,1.4,,,,,
B3,TR,3803,,,UMBCAL,0,1,0,0,0,,,,2.5,195.7,14,,,
B3,TR,3798,,,UMBCAL,1,1,1,1,3,,,,3.6,154,6,,,
B3,TR,3747,,,UMBCAL,1,1,1,1,3,,,,4.9,118.5,14,,,
B3,TR,3795,,,UMBCAL,0,1,0,0,0,,,,4.2,250,3,,,
B3,TR,3812,,,PSEMEN,1,0,0,1,3,,,,11.9,,,,,
B3,TR,3792,,,AMOCAL,0,1,0,0,0,,,,NA,188.7,10,,,
B4,TR,3779,,,PSEMEN,1,0,0,1,3,,,,20,,,,,
B4,TR,3772,,,PSEMEN,1,0,1,1,2,,,,7.4,,,,,
A2,SA,3491,194,396,AMOCAL,1,0,,,,69.7,0.49,0,,,,,,RESPROUT BD
A2,TR,3437,,,UMBCAL,0,1,0,0,0,,,,NA,119.4,2,,,
A2,TR,3490,,,HETARB,0,1,0,0,0,,,,,149.1,18,,,
A2,TR,3490.1,,,HETARB,1,0,1,1,1,,,,2.22,,,,,
A2,TR,3490.2,,,HETARB,0,0,0,0,0,,,,NA,,,,,
A2,TR,3490.3,,,HETARB,0,1,0,0,0,,,,NA,159.3,6,,,
A2,TR,3490.4,,,HETARB,0,0,0,0,0,,,,NA,,,,,
A2,SA,3477,,,AMOCAL,1,0,,,,146.9,0.71,6,,,,,,RESPROUT BD
A2,SA,3486,,,UMBCAL,1,0,,,,58.7,0.49,2,,,,,,RESPROUT BD
A3,TR,3445,,,FRACAL,0,1,0,0,0,,,,NA,99.9,4,,,
A3,SA,3440,,,UMBCAL,1,0,,,,121.5,0.63,2,,,,,,RESPROUT BD
A3,TR,3441,,,UMBCAL,0,0,0,0,0,,,,,,,,,added this TR bc the TS in 2018 was recorded ad the main stem in 2019- mkqc2023
A3,TS,3441.1,,,UMBCAL,1,0,,,,78,0.63,NA,,,,,,RESPROUT BD
A3,SA,3444,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
A3,SA,3439,,,UMBCAL,0,0,,,,NA,NA,NA,,,,,,
A3,SA,5705,,,FRACAL,1,0,,,,113.8,0.73,2,,,,,,
A3,SA,3450,,,UMBCAL,1,0,,,,110.3,1.76,0,,,,,,
A3,TR,3719,,,PSEMEN,1,0,0,1,2,,,,6.5,,,,,
A3,TR,3451,,,HETARB,0,1,0,0,0,,,,NA,145.9,19,,,
A3,TR,3452,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
A3,TR,3716,,,HETARB,0,1,0,0,0,,,,NA,83.5,3,,,
A3,TS,3716.1,,,HETARB,0,0,,,,NA,NA,,,,,1,,
A3,TR,3717,,,HETARB,0,1,0,0,0,,,,NA,233,5,,,
A3,TR,3717.1,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
A3,SA,3709,,,UMBCAL,1,0,,,,102.9,0.51,2,,,,,,RESPROUT BD
A4,SA,3728,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
A4,SA,3765,,,UMBCAL,0,0,,,,NA,NA,NA,,,,,,
A3,SA,3702,,,UMBCAL,0,0,,,,NA,NA,NA,,,,,,
A3,SA,3500,,,FRACAL,1,0,,,,76,0.48,4,,,,,,"BSPROUT BD: .48/ OG bd 0.61, changing 5 over 50 to assumption of 4 under"
A3,SA,3720,,,FRACAL,0,0,,,,NA,NA,NA,,,,1,,
A3,SA,5704,,,UMBCAL,0,0,,,,NA,0.36,NA,,,,,,BD @ 6.0/ BROKEN OFF
A3,SA,3714,,,UMBCAL,0,0,,,,NA,NA,NA,,,,,,
A3,SA,3715,,,UMBCAL,0,0,,,,NA,NA,NA,,,,,,
A3,SA,3713,,,UMBCAL,0,0,,,,NA,NA,NA,,,,1,,was fracal- changing to match prev yrs- mkqc22
A3,SA,3711,,,UMBCAL,0,0,,,,NA,NA,NA,,,,,,
A3,SA,3449,,,UNK,0,0,,,,NA,NA,NA,,,,1,,GONE
A3,TR,5603,,,HETARB,0,1,0,0,0,,,,NA,117.5,11,,," THIS WAS DUP 5706  IN 2018 AND 2019, SOMEWHOW WITH DATA FOR BOTH. IM LEAVING THE OTHER/ SECOND ONE AS THE ONE ""WITH THE TAG 5706"" CHANGING THIS ONE TO AVAIL TAG NUM 5603- NOT DEPLOTED IN FIELD!! I BELIVE ITS TAGGLESS, NOT SURE WHAT HAPPENED HERE TBH-MKQC2023"
A3,TR,3802,,,AMOCAL,0,1,0,0,0,,,,NA,178.2,7,,,
A3,TS,3802.2,,,AMOCAL,0,0,,,,NA,NA,NA,,,,1,,
A4,SA,3765,,,UMBCAL,0,0,,,,NA,NA,NA,,,,1,,
A4,SA,3493,,,QUEAGRI,0,0,,,,NA,NA,NA,,,,1,,
A4,TR,3723,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,
A4,TR,3722,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,
A4,SA,3726,,,UMBCAL,1,0,,,,71.1,0.83,5,,,,,,
A4,TR,3497,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,
A4,TR,3761,,,AMOCAL,0,1,0,0,0,,,,NA,181.5,9,,,
A4,TR,3721,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,
B4,TR,3769,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,
A4,SA,3731,,,UMBCAL,1,0,,,,11.8,NA,NA,,,,,,n0 BD? Why?- cinfirmed not recorded-mkqc2023
A4,TR,3732,,,AMOCAL,0,1,0,0,0,,,,NA,,,,,
A4,SA,3729,,,QUEAGRI,0,0,,,,NA,NA,NA,,,,1,,GONE
A4,SA,3781,,,UMBCAL,1,0,,,,74.9,0.43,1,,,,,,RESPROUT BD
A4,SA,3704,,,AMOCAL,1,0,,,,80.2,0.42,8,,,,,,
A1,SA,6414,,,AMOCAL,1,0,,,,113.5,0.58,6,,,,,,
A1,SA,6413,,,AMOCAL,1,0,,,,78.5,0.36,3,,,,,,
B4,TR,3771,,,PSEMEN,0,0,0,0,0,,,,5.4,,,,,
B4,TR,3775,,,PSEMEN,1,0,0,1,3,,,,15.5,,,,,
B4,TR,3773,,,QUEGAR,1,1,1,1,3,,,,28.4,76.1,7,,,
B4,TR,3774,,,QUEGAR,1,1,1,1,3,,,,19.4,77.2,1,,,
B1,SA,3832,,,UMBCAL,1,0,,,,111,0.69,2,,,,,,RESPROUT BD
B1,SA,3839,,,QUEAGRI,0,0,,,,NA,NA,NA,,,,1,,
B1,SA,3838,,,UMBCAL,1,0,,,,81.9,0.55,1,,,,,,RESPROUT BD
B1,SA,3882,,,UMBCAL,1,0,,,,81.5,0.62,7,,,,,,RESPROUT BD
B1,SA,3484,,,AMOCAL,1,0,,,,33,0.24,0,,,,,,RESPROUT BD
B1,SA,3830,,,AMOCAL,1,0,,,,116.8,0.57,7,,,,,,RESPROUT BD
B1,SA,3831,,,UMBCAL,1,0,,,,48,0.32,0,,,,,,RESPROUT BD
B2,SA,3824,,,UMBCAL,1,0,,,,72,0.71,0,,,,,,RESPROUT BD
B1,SA,3834,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
B1,SA,3835,,,AMOCAL,1,0,,,,196.2,0.79,0,,,,,,REPROUT BD
B1,SA,6402,20,412,FRACAL,1,0,,,,90.8,0.45,3,,,,,,NEW SA
B1,SA,3993,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
B1,SA,3836,,,UMBCAL,1,0,,,,78.2,0.6,1,,,,,,RESPROUT BD
B1,SA,5713,,,UMBCAL,1,0,,,,72.3,0.65,2,,,,,,
B1,TS,3879.1,,,ARBMEN,0,0,,,,NA,NA,,,,,1,,
B2,TR,3742,,,HETARB,0,1,0,0,0,,,,NA,NA,0,,,
B2,TR,3742.1,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
B2,TR,3742.2,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
B2,TR,3742.3,,,HETARB,0,1,0,0,0,,,,NA,184.4,27,,,
B2,TR,3742.4,,,HETARB,0,1,0,0,0,,,,NA,114.6,5,,,
B2,TS,3742.5,,,HETARB,0,1,0,0,0,,,,NA,142.1,11,,,
B1,SA,6403,120,392,AMOCAL,1,0,,,,68.9,0.41,2,,,,,,NEW SA
B1,SA,6404,140,392,AMOCAL,1,0,,,,99.5,0.52,3,,,,,,NEW SA
B1,SA,6405,185,402,AMOCAL,1,0,,,,101,0.41,7,,,,,,NEW SA
B1,SA,6406,210,402,AMOCAL,1,0,,,,76.6,0.44,8,,,,,,NEW SA
B2,SA,3874,,,UMBCAL,0,0,,,,NA,NA,NA,,,,1,,
B2,SA,3817,,,UMBCAL,0,0,,,,NA,NA,NA,,,,1,,
B2,TS,5715,,,QUEGAR,1,0,,,,101.5,0.73,,,,,,,
B2,TS,5714,,,QUEGAR,1,0,,,,78.8,0.76,,,,,,,
B2,TS,5714.1,,,QUEGAR,1,0,,,,83.4,0.62,,,,,,,
B2,TS,5716,,,QUEGAR,1,0,,,,79.9,0.46,,,,,,,
B2,TS,5716.1,,,QUEGAR,1,0,,,,98,0.61,,,,,,,
B2,SA,3757,,,AMOCAL,1,0,,,,203.2,1.05,10,,,,,,
B2,SA,5710,,,QUEGAR,1,0,,,,61.6,0.53,4,,,,,,
B2,SA,3818,,,AMOCAL,1,0,,,,85.7,0.51,12,,,,,,RESPROUT BD
B2,SA,6407,258,214,QUEGAR,1,0,,,,72.1,0.52,1,,,,,,NEW SA
B2,SA,3820,,,UMBCAL,1,0,,,,32.5,0.27,0,,,,,,RESPROUT BD
B2,SA,3809,,,AMOCAL,1,0,,,,173,0.86,20,,,,,,
B2,SA,3819,,,UMBCAL,1,0,,,,17,0.58,,,,,,,"TOP BROKEN OFF, BRANCHING FROM STEM"
B2,SA,5711,,,AMOCAL,1,0,,,,102.5,0.67,16,,,,,,
B2,TR,3875,,,ARBMEN,1,1,0,1,3,,,,13.9,113,4,,,COULD BE 3873 IN '18 DB
B2,SA,3815,,,AMOCAL,1,0,,,,90.5,0.55,2,,,,,,RESPROUTED BD
B3,SA,3470,,,UMBCAL,1,0,,,,52,0.39,0,,,,,,RESPROUTED BD
B4,SA,3845,,,UMBCAL,1,0,,,,116.9,1.12,3,,,,,,RESPROUTED BD
B4,SA,3777,,,UMBCAL,1,0,,,,76,0.57,1,,,,,,
B4,SA,3778,,,AMOCAL,1,0,,,,107,0.59,4,,,,,,changimg from umbcal to match prev yrs-mkqc22
B4,SA,3780,,,UMBCAL,0,0,,,,NA,NA,NA,,,,1,,
B4,SA,5708,,,UMBCAL,1,0,,,,66.8,0.57,2,,,,,,NOT ON LIST; 5705 IN '18 DB
B4,SA,5707,,,AMOCAL,1,0,,,,109.1,0.57,2,,,,,,
B4,SA,3790,,,UMBCAL,1,0,,,,78.7,0.78,2,,,,,,RESPROUT BD
B4,SA,3786,,,UMBCAL,0,0,,,,NA,NA,NA,,,,,,GONE NOT FOUND
C4,TR,3997,,,QUEGAR,1,1,1,1,4,,,,19.8,107.2,8,,,changing from queagri to match prev yrs-mkqc22
C4,TR,3935,,,PSEMEN,1,0,0,1,1,,,,13.3,,,,,
C4,TR,3936,,,PSEMEN,1,0,0,1,1,,,,12,,,,,
C4,TR,3934,,,UMBCAL,0,1,0,0,0,,,,NA,90.4,8,,,
C4,TR,3991,,,PSEMEN,0,0,0,0,0,,,,5.6,,,,,
C4,TR,3992,,,PSEMEN,1,0,0,1,1,,,,11,,,,,
C4,SA,3990,,,UMBCAL,1,1,,,,79.2,1.64,2,,116.5,1,,,"""18 EPICORMIC NOT A MISTAKE"
C4,TR,3998,,,PSEMEN,0,0,0,0,0,,,,,2.7,,,,
C4,SA,5685,,,AMOCAL,1,0,,,,67.7,0.56,4,,,,,,
C4,SA,5686,,,AMOCAL,1,0,,,,56.3,0.39,9,,,,,,
C4,TS,3934.1,,,UMBCAL,0,0,,,,,,,,,,1,,DEAD
C4,SA,4125,,,QUEGAR,1,0,,,,50.2,0.45,5,,,,,,RESPROUT BD (was typo queagri-mkqc22)
C4,SA,4105,,,AMOCAL,1,0,,,,77.4,0.42,5,,,,,,TAG GONE/ NEW MADE
C4,TR,3931,,,UMBCAL,0,1,0,0,0,,,,5.2,157.2,14,,,
C4,SA,3996,,,UMBCAL,1,0,,,,49.3,0.48,2,,,,,,RESPROUT BD
C4,SA,3995,,,AMOCAL,1,0,,,,58.1,0.44,4,,,,,,
C4,TR,3920,,,PSEMEN,1,0,0,1,2,,,,14.2,,,,,
C4,SA,3919,,,UMBCAL,1,0,,,,86.1,0.49,3,,,,,,RESPROUT BD
C4,SA,3921,,,UMBCAL,1,0,,,,53.2,0.42,2,,,,,,RESPROUT BD
C4,SA,3930,,,UMBCAL,1,0,,,,39.1,0.4,1,,,,,,RESPROUT BD
C4,TR,4000,,,HETARB,0,1,0,0,0,,,,NA,34.5,0,,,TAG GONE/ NEW MADE
C4,TR,4000.1,,,HETARB,0,0,0,0,0,,,,NA,,,1,,DEAD
C4,SA,3999,,,HETARB,0,0,,,,NA,NA,NA,,,,1,,DEAD
C4,SA,3939,,,UMBCAL,0,0,,,,NA,NA,NA,,,,1,,DEAD
C4,TR,3928,,,HETARB,0,0,0,0,0,,,,2.9,,,,,
C3,TR,3928.1,,,HETARB,0,0,0,0,0,,,,1.7,,,,,
C3,TR,3969,,,PSEMEN,0,0,0,0,0,,,,5.6,,,1,,DEAD
C3,TR,3970,240,165,PSEMEN,1,0,0,1,2,,,,12.5,,,,,
B4,SA,3472,,,UMBCAL,0,0,,,,,,,,,,1,,NOT ON LIST/ GONE
B4,TR,3788,,,HETARB,0,1,0,0,0,,,,NA,205.6,9,,,
B4,TR,3788.2,,,HETARB,0,0,0,0,0,,,,NA,,,1,,DEAD
B4,TR,3788.3,,,HETARB,0,0,0,0,0,,,,NA,,,1,,DEAD
B4,TR,3788.4,,,HETARB,0,0,0,0,0,,,,NA,,,1,,DEAD
B4,TR,3788.6,,,HETARB,0,0,0,0,0,,,,NA,,,1,,DEAD
B4,TR,3788.7,,,HETARB,0,1,0,0,0,,,,NA,90.5,1,,,
B4,TR,3788.8,,,HETARB,0,1,0,0,0,,,,NA,153.2,11,,,
B4,TS,3788.9,,,HETARB,1,0,,,,121.2,NA,11,,,12,,,
B4,TR,5706,,,UMBCAL,0,1,0,0,0,,,,NA,138.4,12,,,"NOW THE ""REAL 5706"" NEEDS FIELD CONF THAT THIS TAG IS ON A BAY AND NOT A HETARB"
B4,TR,3791,,,HETARB,0,1,0,0,0,,,,NA,154.6,8,,,
B4,TR,3466,,,UMBCAL,0,0,0,0,0,,,,NA,,,1,,NOT IN GROUND
B4,TR,3733,,,HETARB,0,1,0,0,0,,,,NA,102.6,12,,,
B4,TR,3733.1,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
B4,TS,3733.2,,,HETARB,0,0,,,,,,,NA,,,1,,
B4,TR,3776,,,HETARB,0,1,0,0,0,,,,NA,189.2,26,,,
B4,TR,3776.1,,,HETARB,0,1,0,0,0,,,,NA,284.9,16,,,
B4,TR,3776.2,,,HETARB,0,1,0,0,0,,,,NA,210,10,,,
B4,TR,3776.3,,,HETARB,0,0,0,0,0,,,,NA,,,1,,GONE
B4,TS,3776.4,,,HETARB,0,0,,,,,,,,,,1,,
B4,SA,6380,71,250,BACPIL,1,0,,,,69.6,0.21,0,,,,,,NEW SA
B3,TR,3739,,,HETARB,0,1,0,0,0,,,,NA,178.6,9,,,
B3,TR,5709,,,AMOCAL,0,1,0,0,0,,1.15,,,278.7,4,,,RESPROUT BD - wa a tree but recorded as an SA in filed- moving data- mkqc2023
B3,SA,3738,,,AMOCAL,1,0,,,,218.8,0.99,6,,,,,,RESPROUT BD 
B3,SA,3745,,,UMBCAL,1,0,,,,112.9,0.84,3,,,,,,RESPROUT BD 
B3,SA,3806,,,AMOCAL,1,0,,,,188.6,0.86,0,,,,,,RESPROUT BD 
B3,SA,3801,,,UMBCAL,1,0,,,,33.9,0.28,0,,,,,,RESPROUT BD 
B3,SA,3796,,,UMBCAL,1,0,,,,40.2,0.39,0,,,,,,RESPROUT BD 
C3,SA,3977,,,UMBCAL,1,0,,,,98.9,0.67,2,,,,,,RESPROUT BD 
C3,TR,3872,,,PSEMEN,1,0,1,1,1,,,,5.4,,,,,was typo 3878-mkqc22
C3,TR,3915,,,UMBCAL,0,0,0,0,0,,,,1.4,,,,,
C3,TR,3917,,,UMBCAL,1,1,1,1,4,,,,3.2,127.6,4,,,
C3,TR,3917.1,,,UMBCAL,0,0,0,0,0,,,,1.01,,,,,
C3,TR,3918,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,DEAD
C3,TR,3985,,,UMBCAL,1,1,1,1,4,,,,7.1,222,11,,,
C3,SA,3987,,,UMBCAL,0,0,,,,NA,NA,NA,,,,,,
C3,TR,3981,,,UMBCAL,1,1,1,1,2,,,,5.3,219.2,5,,,
C3,TR,3983,,,HETARB,0,1,0,0,0,,,,2.8,104,13,,,
C3,TR,3983.1,,,HETARB,0,0,0,0,0,,,,1.4,,,,,
C3,TR,3962,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,DEAD
C3,TR,3963,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,DEAD
C3,TR,3870,,,UMBCAL,0,1,0,0,0,,,,1.1,125.5,7,,,
C3,TR,3753,,,HETARB,0,0,0,0,0,,,,2.1,,,,,
C3,TR,3753.1,,,HETARB,0,0,0,0,0,,,,NA,,,1,,DEAD
C3,TR,3753.2,,,HETARB,0,0,0,0,0,,,,NA,,,1,,DEAD
C3,SA,3978,,,UMBCAL,1,0,,,,79.2,0.51,3,,,,,,RESPROUT BD
C3,SA,3925,,,UMBCAL,1,0,,,,62.1,0.53,1,,,,,,RESPROUT BD
C3,SA,3922,,,UMBCAL,0,0,,,,NA,NA,NA,,,,,,
C3,SA,3924,,,UMBCAL,1,0,,,,100.6,0.48,2,,,,,,RESPROUT BD
C3,TR,3973,,,PSEMEN,1,0,1,1,2,,,,3.2,,,,,EPICORMIN NOT A MISTAKE
C3,TR,3974,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,DEAD
C3,TR,3972,,,PSEMEN,1,0,1,1,2,,,,7.3,,,,,EPICORMIC NOT A MISTAKE
C3,SA,3971,408,40,UMBCAL,1,0,,,,77.2,0.53,3,,,,,,RESPROUT BD
C3,SA,5688,,,UMBCAL,1,0,,,,37,0.47,0,,,,,,
C3,SA,3976,,,UMBCAL,1,0,,,,68.8,0.5,3,,,,,,
C3,SA,3923,,,UMBCAL,1,0,,,,NA,0.48,1,,47.3,,,,RESPROUT BD
C3,TR,3916,,,UMBCAL,0,0,0,0,0,NA,NA,NA,,,,,,
C3,SA,3975,370,65,UMBCAL,0,0,,,,NA,NA,NA,,,,,,
C3,TR,3926,,,HETARB,0,0,0,0,0,,,,NA,,,,,
C3,TR,3966,,,PSEMEN,1,0,1,1,2,,,,4.4,,,,,EPICORMIC NOT A MISTAKE
C3,TR,3759,,,UMBCAL,0,1,0,0,0,,,,NA,125.1,5,,,
C3,TR,3927,,,UMBCAL,0,1,0,0,0,,,,NA,NA,0,,,
C3,TR,3959,,,UMBCAL,0,1,0,0,0,,,,NA,78.5,5,,,
C3,SA,3929,,,UMBCAL,0,0,,,,NA,NA,NA,,,,1,,GONE
C3,TR,3984,,,UMBCAL,0,0,0,0,0,,,,NA,,,,,GONE/ TAG NOT FOUND
C3,SA,3863,,,AMOCAL,1,0,,,,67,0.5,5,,,,,,IN '18 RECORDED AS 38653/ BD OF BSPROUT
C3,SA,3982,,,AMOCAL,0,0,,,,NA,NA,NA,,,,,,NOT FOUND
C2,TR,3864,,,QUEGAR,1,1,1,1,4,,,,18.3,66.4,3,,,
C2,TR,3954,,,PSEMEN,1,0,0,1,3,,,,17.6,,,,,
