Plot ID,1313,,Sampler(s),"M0,MK,KO,DA",,,,,Date ,,,,,,,,,
B3,SA,1742,,,HETARB,0,0,,,,0,0.3,0,,0,0,NO,
C4,TR,1747,,,ARBMEN,0,1,0,1,3,,,,19.3,62,2,NO,
C4,TR,1747.1,,,ARBMEN,0,0,0,0,0,,,,5.9,0,0,NO,
C4,TR,1746,,,ARBMEN,0,1,0,0,0,,,,4,73,2,NO,
C4,TR,1749,,,ARBMEN,1,1,1,1,2,,,,20,80,5,NO,
A3,TR,1732,,,ARBMEN,1,0,0,1,4,,,,30.7,0,0,NO,
A3,TR,1732.1,,,ARBMEN,1,0,1,1,2,,,,17.6,0,0,NO,"TS IN DATABASE, SHOULD BE TR"
A3,TR,1732.4,,,ARBMEN,0,0,0,0,0,,,,9.2,0,0,NO,"TS IN DATABASE, SHOULD BE TR"
A3,TR,1732.2,,,ARBMEN,1,1,1,1,3,,,,22.3,57.4,2,NO,"TS IN DATABASE, SHOULD BE TR"
A3,TR,1732.3,,,ARBMEN,1,1,0,1,4,,,,39.6,0,0,NO,"TS IN DATABASE, SHOULD BE TR"
A3,TR,1732.5,,,ARBMEN,1,1,1,1,3,,,,25,91.2,1,NO,"TS IN DATABASE, SHOULD BE TR"
A3,SA,1733,,,QUEAGR,0,0,,,,0,0.94,0,,0,0,NO,TAG LOST
A4,SA,1734,,,HETARB,0,1,,,,0,1.11,0,,34.4,0,NO,
A4,SA,1735,,,UMBCAL,0,1,,,,0,2.34,0,,69.7,4,NO,
B3,TR,1741,,,QUEAGR,1,0,0,1,4,,,,73,0,0,NO,
B3,TR,1740,,,ARBMEN,1,1,1,1,2,,,,8.7,57.9,2,NO,
B3,SA,1743,,,HETARB,0,0,,,,0,0.81,0,,0,0,NO,
B3,TR,1739,,,HETARB,0,1,0,0,0,,2.72,,6.73,72.6,5,NO,
B4,SA,1737,,,HETARB,0,1,,,,0,2.68,0,,66.7,1,NO,
B4,SA,1738,,,UMBCAL,0,0,,,,0,1.03,0,,0,0,NO,
B4,SA,1736,,,HETARB,0,1,,,,0,2.17,0,,75.4,5,,
